patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428658,2025-09-30,Methods and compositions for enzymatic polymerization of N3′→P5′ phosphoramidate DNA,0,C07K|C12N|C12P|C12Q|C12Y
12428490,2025-09-30,Methods and compositions for chimeric antigen receptor targeting cancer cells,0,A61K|A61P|C07K|G01N
12427521,2025-09-30,Sorting particles in a microfluidic device,0,A61K|B01L|G01N
12421557,2025-09-23,Methods for predicting outcomes and treating colorectal cancer using a cell atlas,0,A61K|C12Q|G01N|Y02A
12419948,2025-09-23,Immunogenic compositions and use thereof,0,A61K|A61P|C12N|G01N
12419913,2025-09-23,Modification of CAR-T cells,0,A61K|A61P|C07K
12419885,2025-09-23,Kinase inhibitors and methods of use thereof,0,A61K|A61P|C07D
12409457,2025-09-09,Devices and method for enrichment and alteration of cells and other particles,0,B01L|B03C|B33Y|C12M|C12Q|G01N|Y10T
12409249,2025-09-09,Compositions and methods for immune tolerance,0,A61K|A61L|A61P|C12N|Y02A
12404525,2025-09-02,Engineered human-endogenous virus-like particles and methods of use thereof for delivery to cells,0,C07K|C12N
12404507,2025-09-02,Using micrornas to control activation status of hepatic stellate cells and to prevent fibrosis in progressive liver diseases,0,A61K|A61P|C12N
12398145,2025-08-26,Bicyclic urea kinase inhibitors and uses thereof,0,A61K|A61P|C07D
12396996,2025-08-26,"Compounds, pharmaceutical compositions, and methods of their use in reversing cancer chemoresistance",0,A61K|A61P|C07D
12385908,2025-08-12,Size-based particle separation and concentration using particle size amplification,0,B01L|G01N
12385041,2025-08-12,Conditional-siRNAS and uses thereof in treating cardiac hypertrophy,0,C12N|C12Q
12385033,2025-08-12,High-resolution spatial macromolecule abundance assessment,0,C12N|C12Q
12384834,2025-08-12,Anti-ApoE antibodies and polynucleotides thereof,0,A61K|A61P|C07K
12383528,2025-08-12,Cromolyn esters and uses thereof,0,A61K|A61P|C07B|C07D
12378510,2025-08-05,Lung bioreactor,0,A01N|A61K|C12M
12378297,2025-08-05,Chimeric antigen receptor T cells targeting the tumor microenvironment,0,A61K|A61P|C07K
12374435,2025-07-29,Methods for treating infections,0,C12Q|G16B|G16H
12371732,2025-07-29,Methods of preparing nucleic acids for sequencing,0,C12Q
12370210,2025-07-29,Carbon monoxide as a treatment for neurodegenerative disease,0,A61K|A61P
12366512,2025-07-22,Methods and systems for non-destructive estimation of scattering particle size,0,G01N
12357675,2025-07-15,Efficient protein expression in vivo using modified RNA (mod-RNA),0,A01K|A61K|A61L|A61P|C12N
12351815,2025-07-08,Engineered human-endogenous virus-like particles and methods of use thereof for delivery to cells,0,C07K|C12N
12351814,2025-07-08,Engineered human-endogenous virus-like particles and methods of use thereof for delivery to cells,0,C07K|C12N
12350290,2025-07-08,Compositions and methods that promote hypoxia or the hypoxia response for treatment and prevention of mitochondrial dysfunction and oxidative stress disorders,0,A61K|A61M|A61P|C07K|C12N|G01N
12343353,2025-07-01,Modulating phosphatase activity in cardiac cells,0,A01K|A61K|A61P|C07K|C12N
12331363,2025-06-17,Digital analysis of blood samples to determine efficacy of cancer therapies for specific cancers,0,C12Q
12331319,2025-06-17,Respiratory and sweat gland ionocytes,0,A61K|A61P|C12N|G01N
12319938,2025-06-03,Enhanced virus-like particles and methods of use thereof for delivery to cells,0,C07K|C12N
12313625,2025-05-27,"Living tissue model device, vascular wall model, vascular wall model device and method of evaluating test substance",0,G01N
12312613,2025-05-27,Unconstrained genome targeting with near-PAMless engineered CRISPR-Cas9 variants,0,C07K|C12N|C12Y
12286641,2025-04-29,Methods for increasing efficiency of nuclease-induced homology-directed repair,0,C07K|C12N
12285502,2025-04-29,HER3 peptides for imaging and radiotherapy,0,A61K|A61P|C07K
12285446,2025-04-29,Compositions and methods for improving mitochondrial function,0,A23K|A23L|A23V|A61K|A61P|C07K|C12N|C12Y
12277866,2025-04-15,Organosynthetic dynamic heart model,0,A61F|A61L|B33Y|G01N|G09B
12276670,2025-04-15,Methods for identifying and treating adrenomyeloneuropathy (AMN),0,A61P|C07K|G01N
12269891,2025-04-08,Agonistic anti-tumor necrosis factor receptor 2 antibodies,0,A61K|A61P|C07K|G01N
12264341,2025-04-01,CRISPR-Cas enzymes with enhanced on-target activity,0,C07K|C12N
12251219,2025-03-18,"Systems, methods, and apparatus for differential phase contrast microscopy by transobjective differential epi-detection of forward scattered light",0,A61B|G01N|G02B
12246075,2025-03-11,Granzyme B directed imaging and therapy,0,A61B|A61K|A61P|C12Q
12241096,2025-03-04,Engineered CRISPR-Cas9 nucleases with altered PAM specificity,0,A61K|C07K|C12N
12239126,2025-03-04,Methods and compositions for preserving tissues and organs,0,A01N|G01N
12233107,2025-02-25,GHRH or analogues thereof for use in treatment of hepatic disease,0,A61K|A61P
12227578,2025-02-18,"Modulation of intestinal epithelial cell differentiation, maintenance and/or function through T cell action",0,A61K|A61P|C07K|C12N|G01N
12226520,2025-02-18,Self-fueled particles for propulsion through flowing aqueous fluids,0,A61K|A61L|A61P|C01F|C01P|C12Y
12226479,2025-02-18,Methods and compositions of use of CD8+ tumor infiltrating lymphocyte subtypes and gene signatures thereof,0,A61K|A61P|C12N|C12Q|G01N
12226446,2025-02-18,WS-635 uses thereof in medicine,0,A61K|A61P
12220704,2025-02-11,Concentrating particles in a microfluidic device,0,A61K|B01L|G01N
12215382,2025-02-04,Liver protective MARC variants and uses thereof,0,A61K|C12Q
12209909,2025-01-28,Systems and methods for stimulated Brillouin microscopy,0,G01J|G01N|H01S
12208047,2025-01-28,Method and apparatus for dermatological treatment,0,A61B|A61H|A61K|A61L|A61Q
12208001,2025-01-28,Methods and systems for preventing or reducing stenosis in a subject receiving a graft,0,A01N|A61F|A61K|A61L|A61M|A61N
12207648,2025-01-28,"Vessel treatment systems, methods, and kits",0,A01N|A61F|A61M|A61P
12202861,2025-01-21,"Inducible, tunable, and multiplex human gene regulation using CRISPR-Cpf1",0,A61K|C07K|C12N
12202856,2025-01-21,"Tethered interleukin-2 to its receptor IL-2RBETA, a platform to enhance natural killer and regulatory T cell activity",0,A61K|A61P|C07K|C12N
12195424,2025-01-14,Antibiotic compounds,0,A01N|A61K|A61P|C07C|Y02A
12193996,2025-01-14,Monocyte compositions and methods for the treatment of infectious disease,0,A61K|A61P
12188925,2025-01-07,"Multi-stage, multiplexed target isolation and processing from heterogeneous populations",0,B01L|G01N
12187722,2025-01-07,Small molecule inhibitors of TEAD transcription factors,0,A61K|A61P|C07C|C07D
12180520,2024-12-31,Engineered CRISPR-Cas9 nucleases with altered PAM specificity,0,A01K|A61K|C07K|C12N|C12Y
12180447,2024-12-31,Bone marrow microfluidic devices and methods for preparing and using the same,0,B01L|C12M|C12N|G01N
12178845,2024-12-31,Methods and compositions relating to the treatment of tumors,0,A01K|A61K|A61P|C07K|C12N
12174188,2024-12-24,Methods of identifying subjects responsive to treatment for type 1 diabetes and compositions for treating the same,0,A61K|A61P|G01N
12174115,2024-12-24,Resolving absolute depth in circular-ranging optical coherence tomography,0,G01B|G01N
12173339,2024-12-24,Variants of Cpf1 (Cas12a) with altered PAM specificity,0,C12N|C12Q|C12Y|Y02A
