patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427171,2025-09-30,Krill oil composition enriched in LPC-DHA and LPC-EPA,0,A61K|A61P|C12P|C12Y
12419939,2025-09-23,Vaccine and methods for detecting and preventing filariasis,0,A61K|A61P|Y02A
12419899,2025-09-23,Ion channel prosthetic compositions comprising lipid-coated crystals of amphotericin B,0,A61K
12407974,2025-09-02,Multi frequency acoustic emission micromachined transducers for non-destructive evaluation of structural health,0,B81B|G01M|G01N|H04R
12399150,2025-08-26,Atomic-to-nanoscale matter emission / flow regulation device,0,B22F|B33Y|B41J|B82Y|G01N|H01L
12398192,2025-08-26,Cancer treatment with 237 CAR-T cell based therapeutics recognizing the Tn epitope,0,A61K|A61P|C07K|C12N
12396969,2025-08-26,Compounds and methods for the treatment of parasitic infections,0,A61K|A61P|C07C
12391927,2025-08-19,Multi-chimeric cell and therapy for transplantation and treatment of immune deficiencies and genetic disorders,0,A61K|C12N
12385837,2025-08-12,Digital domain photon peak event detection system and method,0,G01N|G02B|G06T|G06V
12380337,2025-08-05,Coded trace reconstruction,0,C12N|C12Q|G06N
12350399,2025-07-08,Polyphosphate-functionalized inorganic nanoparticles as hemostatic compositions and methods of use,0,A61K|A61L|A61P|Y10T
12344666,2025-07-01,PDGF mutants and methods of use thereof,0,A61K|A61P|C07K
12336992,2025-06-24,PAC-1 combination therapy,0,A61K|A61P
12332418,2025-06-17,Photonic resonator interferometric scattering microscopy,0,G01N|G02B
12329794,2025-06-17,Recombinant herpes simplex virus for cancer immunotherapy,0,A61K|A61P|C12N
12295939,2025-05-13,Substituted benzothiophene analogs as selective estrogen receptor degraders,0,A61K|C07B|C07D
12286407,2025-04-29,"Estrogen receptor beta ligands for the prevention and treatment of multiple sclerosis (MS) and other demyelinating, inflammatory and neurodegenerative diseases",0,A61P|C07D
12270821,2025-04-08,Device and method for assessing oxidative potential of ambient particulate matter,0,B01L|G01N
12269900,2025-04-08,Inhibitors of β integrin-G protein α subunit binding interactions,0,A61K|A61P|C07K
12264172,2025-04-01,Phosphonate products and methods,0,A01N|A61K|C07F|Y02A
12263351,2025-04-01,Methods and systems for modulating cellular activation,0,A61B|A61N|C12N
12235275,2025-02-25,Fluorescent substrates for poly(ADP-ribosyl) hydrolases,0,C07H|C09B|C09K|C12Q|G01N
12234240,2025-02-25,"Substituted imidazo[5,1-d][1,2,3,5]tetrazines for the treatment of cancer",0,A61K|C07D
12220239,2025-02-11,Long-term implantable electronic devices,0,A61B|A61N|G01N|H01L
12201730,2025-01-21,Catalytic microgelators for decoupled control of gelation rate and rigidity of biological gels,0,A61K|A61P|B01J
12201643,2025-01-21,Mechanochemical dynamic for focal cancer treatment,0,A61K|A61P
12196659,2025-01-14,Mass-sensing instrument with capacitive feedback path,0,B06B|G01G|G01H|G01N|H03B
12195753,2025-01-14,Nucleic acid and other compositions and methods for the modulation of cell membranes,0,A61K|C12N
12187662,2025-01-07,FOXM1 inhibitor compositions and methods of using the same,0,A61K|A61P|C07C|C07D|G01N
12180198,2024-12-31,Ribocil C antibiotics effective for Gram-negative pathogens,0,A61P|C07D|Y02A
12180159,2024-12-31,Activators of the unfolded protein response,0,A61K|A61P|C07D
12173334,2024-12-24,Bio-engineered hyper-functional “super” helicases,0,C12N|C12P|C12Y
12168006,2024-12-17,Cancer therapy by degrading dual MEK signaling,0,A61K|A61P|C07D
12121597,2024-10-22,High-intensity focused ultrasound-induced mechanochemical transduction in synthetic elastomers,0,A61K|G01N
12116580,2024-10-15,Genetic toolbox for metabolic engineering of non-conventional yeast,0,C12N
12092576,2024-09-17,Clipping-assisted dual-fluorophore sensing,0,G01N
12090164,2024-09-17,Genotype-agnostic rescue of cystic fibrosis with small molecule bicarbonate channels,1,A61K|A61P
12090153,2024-09-17,Combination therapy for the treatment of uveal melanoma,0,A61K|A61P
12084411,2024-09-10,"Hinokitiol analogues, methods of preparing and pharmaceutical compositions thereof",0,A61K|A61P|C07C
12077812,2024-09-03,Compositions and methods useful in detecting and diagnosing multiple sclerosis,0,C12Q|G01N
12077792,2024-09-03,Engineered microorganisms for production of 2′fucosyllactose and l-fucose,0,C07K|C12N|C12P|C12Y
12054727,2024-08-06,Plants with increased water use efficiency,0,C07K|C12N
12054469,2024-08-06,Benzothiophene-based selective estrogen receptor downregulator compounds,0,A61P|C07D
12053533,2024-08-06,Fluorescent probe for cyclooxygenase-2,0,A61K|C07D|C09B|G01N
12042545,2024-07-23,Encapsulated extracellular vesicles,0,A61K|C07K|C12N
