patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12404532,2025-09-02,Composition for producing glucosylated steviol glycoside including glucosyltransferase and method of producing glucosylated steviol glycoside using the same,0,C12N|C12P|C12R|C12Y
12371686,2025-07-29,Ribulose-phosphate 3-epimerase motif having low side reactivity and enzyme including the same,0,C12N|C12P|C12R|C12Y
12359189,2025-07-15,Nucleic acid purification method,0,C07H|C12N|C12Q|C30B
12354654,2025-07-08,"Memory device comprising biocompatible polymer nanoparticles, and manufacturing method therefor",0,B82Y|C08L|C09D|G01N|G11C|H10K
12351846,2025-07-08,"Microorganism for producing L-amino acid having increased cytochrome C activity, and L-amino acid production method using same",0,C07K|C12N|C12P|C12R
12331339,2025-06-17,Method of producing sulfur-containing amino acid or derivative thereof,0,C07K|C12N|C12P|C12R|C12Y
12305203,2025-05-20,"Psicose-6-phosphate phosphatase, composition for producing psicose comprising the same, and method for producing psicose using the same",0,C12N|C12P|C12Y
12290085,2025-05-06,Feed additive composition and feed composition comprising the same,0,A23K|A61K|Y02P
12285512,2025-04-29,Composition comprising allulose as active ingredient for skin whitening,0,A21D|A23C|A23G|A23L|A23V|A61K|A61P|A61Q
12275972,2025-04-15,Microorganism producing purine nucleotide and method of producing purine nucleotide using the same,0,C07K|C12N|C12P
12270061,2025-04-08,Modified polypeptide of glutamine synthetase and method of producing L-glutamine using the same,0,C12N|C12P|C12R|C12Y|C40B
12269851,2025-04-08,Polypeptide and method of producing IMP using the same,0,C07K|C12N|C12P|C12R
12264346,2025-04-01,Modified polypeptide having mannanase activity,0,C12N|C12P|C12Y
12203117,2025-01-21,Method of producing sulfur-containing amino acid or derivative thereof,0,C07K|C12N|C12P|C12R
12203108,2025-01-21,"Psicose-6-phosphate phosphatase, composition for producing psicose including said enzyme, method for producing psicose using said enzyme",0,C12N|C12P|C12Y
12186303,2025-01-07,Feed additive for cattle comprising n-acetyl-l-tryptophan as active ingredient,0,A23K|A23V|A61K|A61P
12173341,2024-12-24,Method for producing L-amino acids using microorganism containing NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,0,C12N|C12P|C12R|C12Y
12139733,2024-11-12,Ornithine decarboxylase variant and method for producing putrescine by using same,0,C12N|C12P|C12Y
12133835,2024-11-05,Extract from plant steeped in allulose and preparation method therefor,0,A23L|A61K|A61P
12133545,2024-11-05,"Plant-soaked solution comprising tagatose, and method for producing same",0,A23L|A23V|A61K|A61P
12098401,2024-09-24,Fructose-4-epimerase and method for preparing tagatose using same,0,C12N|C12P|C12Y
12067903,2024-08-20,Method for manufacturing food indicator,0,B32B|C09J|G01N|G09F
12053005,2024-08-06,Method of manufacturing transfructosylation steviol glycosides using the Lactobacillus mali,0,A23L|A23V|C07H|C12P
