patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419949,2025-09-23,Modified human cytomegalovirus proteins,0,A61K|A61P|C07K|C12N
12415838,2025-09-16,Modified meningococcal fHbp polypeptides,0,A61K|A61P|C07K
12409231,2025-09-09,Cycloalkyne derivatized saccharides,0,A61K|A61P|C08B
12398380,2025-08-26,Methods of host cell modification,0,A61K|C12N|C12P|Y02A
12384819,2025-08-12,Modified cytomegalovirus proteins and stabilized complexes,0,A61K|C07K|C12N
12312384,2025-05-27,Modified meningococcal fHbp polypeptides,0,A61K|A61P|C07K|C12N
12264179,2025-04-01,Epstein-Barr Virus antigen constructs,0,A61K|A61P|C07K|C12N
12233121,2025-02-25,"Methods of producing bioconjugates of E. coli O-antigen polysaccharides, compositions thereof, and methods of use thereof",0,A61K|C12N|C12P|C12Y|Y02A
12227540,2025-02-18,Saponin purification,0,A61K|C07J|C12N|Y02A
12215378,2025-02-04,RNA identity method using RNAse H digestion and size fractionating,0,A61K|C12Q
12214029,2025-02-04,Polysaccharide and uses thereof,0,A61K|A61P|C07K|C08B|Y02A
12186389,2025-01-07,Nucleic acid base vaccine against emerging SARS-CoV-2 variants,0,A61K|A61P|C07K|C12N
12186333,2025-01-07,Delivery of RNA to trigger multiple immune pathways,0,A61K|C12N
12180512,2024-12-31,Simian adenoviral vectors with two expression cassettes,0,A61K|C12N
12139512,2024-11-12,Pre-fusion RSV F antigens,0,A61K|A61P|C07K|C12N
12138307,2024-11-12,Saponin extraction,0,A61K|Y02A
12128096,2024-10-29,Immunogenic composition,0,A61K|A61P|B01J|C07K|C08B|Y02A
12128094,2024-10-29,"Immunogenic compositions comprising OMVs, an acellular pertussis antigen, a tetanus toxoid and a diphtheria toxoid",0,A61K|A61P|Y02A
12109259,2024-10-08,Vaccines for Neisseria gonorrhoeae,0,A61K|A61P|C07K
12083174,2024-09-10,Immunogenic compositions and uses thereof,0,A61K|A61P|C12N
12076385,2024-09-03,Methods and compositions for immune protection against extra-intestinal pathogenic E. coli,0,A61K|A61P|C08B|Y02A
12076352,2024-09-03,Immunogenic composition,0,A61K|C07K|C12N|Y02A
12064480,2024-08-20,Immunigenic alpha-branched trehalose-diesters,0,A61K|A61P|C07H
12036285,2024-07-16,Immunogenic conjugates and use thereof,0,A61K|A61P|Y02A
12018044,2024-06-25,RNA purification methods,0,A61P|B01D|C07H|C12N
12016919,2024-06-25,Methods for manufacturing an adjuvant,0,A61K|B01F|Y02A
12005109,2024-06-11,Multi-functionalized nOMV conjugates,0,A61K|A61P|Y02A
11998579,2024-06-04,Immunogenic composition,0,A61K|A61P|C12N|C12Y|C40B|Y02A
11986518,2024-05-21,Immunogenic compositions,0,A61K|A61P|Y02A
11959092,2024-04-16,Process for the manipulation of nucleic acids,0,C12N
11957749,2024-04-16,Hepatitis B immunization regimen and compositions,0,A61K|A61P|C07K|C12N
11951161,2024-04-09,Methods for inducing an immune response,0,A61K|A61P|C12N|Y02A
11944675,2024-04-02,Bioconjugates made from recombinant N-glycosylated proteins from procaryotic cells,0,A61K|A61P|C07K|Y02A
11939357,2024-03-26,Modified meningococcal fHbp polypeptides,0,A61K|A61P|C07K
11932671,2024-03-19,Modified meningococcal fHbp polypeptides,0,A61K|A61P|C07K
11932669,2024-03-19,Modified cytomegalovirus proteins and stabilized complexes,0,A61K|C07K|C12N
11931405,2024-03-19,"Bioconjugates of E. coli O-antigen polysaccharides, methods of production thereof, and methods of use thereof",1,A61K|A61P|C07K|C12N|C12Y|Y02A
11918643,2024-03-05,RNA vaccine against SARS-CoV-2 variants,4,A61K|A61P|C07K|C12N
11913001,2024-02-27,Immunisation of large mammals with low doses of RNA,0,A61K|A61P|C12N
11905514,2024-02-20,Immunisation of large mammals with low doses of RNA,1,A61K|A61P|C12N
11896636,2024-02-13,Immunogenic combination compositions and uses thereof,0,A61K|A61P|C12N
11891608,2024-02-06,Immunization of large mammals with low doses of RNA,1,A61K|A61P|C12N
11883534,2024-01-30,Immunisation with lipid formulations with RNA encoding immunogens,2,A61K|A61P|C12N|Y02A
11883478,2024-01-30,Method of treatment,0,A61K|A61P|Y02A
