patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421512,2025-09-23,CRISPR/Cas screening platform to identify genetic modifiers of tau seeding or aggregation,0,A61K|C12N|G01N|G16B
12421317,2025-09-23,Polynucleotides encoding anti-glucagon-like peptide 1 receptor (GLP1R) antagonist antibodies,0,A61K|A61P|C07K
12421315,2025-09-23,CLL-1 targeted immunotherapies,0,A61K|A61P|C07K|C12N
12419963,2025-09-23,Diels-Alder conjugation methods,0,A61K|A61P
12419282,2025-09-23,Non-human animals expressing humanized CD3 complex,0,A01K|C07K|C12N|G01N|Y02A
12415856,2025-09-16,EGFR x CD28 multispecific antibodies,0,A61K|A61P|C07K|C12N
12414551,2025-09-16,Genetically modified major histocompatibility complex mice,0,A01K|C07K|C12N
12411141,2025-09-09,LC-MS methods for antibody isotyping and quantification,0,G01N|H01J
12410442,2025-09-09,Compositions and methods for treating sensorineural hearing loss using otoferlin dual vector systems,0,A01K|A61K|A61P|C07K|C12N|C12Y
12404505,2025-09-02,Delivery of a gene-editing system with a single retroviral particle and methods of generation and use,0,A61K|C07K|C12N|C12Y
12402611,2025-09-02,Genetically modified mice and engraftment,0,A01K|A61K|C07K|C12N|Y02A
12399182,2025-08-26,Quantitation and identification of dimers in co-formulations,0,G01N
12398434,2025-08-26,Compositions and methods for detecting a biological contaminant,0,C12Q
12398212,2025-08-26,Methods for treating or preventing asthma by administering an IL-4R antagonist,0,A61K|A61P|C07K|Y02A
12398176,2025-08-26,Use of Raman spectroscopy in downstream purification,0,C07K|G01N
12397028,2025-08-26,Adoptive cellular therapy,0,A61K|A61P|C07K|C12N|Y02A
12396952,2025-08-26,Tuning of release kinetics in hydrogels,0,A61K|C07K
12396444,2025-08-26,Mouse comprising a humanized TRKB locus,0,A01K|A61K|C07K|C12N|C12Y
12391920,2025-08-19,Models of tauopathy,0,A01K|A61K|C12N
12391753,2025-08-19,Antigen binding molecule formats,0,A61K|A61P|C07K
12391734,2025-08-19,"PD-1 homing endonuclease variants, compositions, and methods of use",0,A61K|A61P|C07K|C12N|C12Y
12389889,2025-08-19,Mouse having a humanized cluster of differentiation 47 gene,0,A01K|A61P|C07K|C12N|G01N
12389888,2025-08-19,Mice expressing a limited immunoglobulin light chain repertoire,0,A01K|C07K|C12N
12378557,2025-08-05,Treatment of sepsis with PCSK9 and LDLR modulators,0,A61P|C12N|C12Q
12378258,2025-08-05,"Biologically active molecules, conjugates thereof, and therapeutic uses",0,A61K|A61P|C07D
12377159,2025-08-05,Steroids and protein-conjugates thereof,0,A61K|A61P|C07J
12376573,2025-08-05,Genetically modified mice comprising humanized cellular immune system components with improved diversity of TCRB repertoire,0,A01K|C07K|C12N
12372502,2025-07-29,Methods for chromatography resin slurry determination,0,B01D|G01F|G01N
12371503,2025-07-29,Methods of treatment using a leptin receptor agonist antibody,0,A61K|A61P|C07K
12371487,2025-07-29,Methods for obtaining antibodies that bind transmembrane proteins and cells that produce the same,0,C07K|G01N
