patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429485,2025-09-30,Biomarker panels for on-treatment prediction of response to immuno-oncology drugs,0,A61K|C07K|G01N
12428417,2025-09-30,Inhibitors of macrophage migration inhibitory factor,0,A61K|A61P|C07D|Y02A
12421557,2025-09-23,Methods for predicting outcomes and treating colorectal cancer using a cell atlas,0,A61K|C12Q|G01N|Y02A
12419897,2025-09-23,Synthetic derivatives of cholic acid 7-sulfate and uses thereof,0,A61K|A61P|C07J
12406749,2025-09-02,Systems and methods for predicting repair outcomes in genetic engineering,0,A61K|C12N|G16B
12404503,2025-09-02,Methods and compositions for identifying epitopes,0,A61K|C12N|C40B|G01N
12404348,2025-09-02,Bifunctional chimeric molecules for labeling of kinases with target binding moieties and methods of use thereof,0,A61K|A61P|C07D|C07K|C12R|C12Y
12398181,2025-08-26,Methods and compositions for delivery of agents across the blood-brain barrier,0,A61K|A61P|C07K|C12N
12397014,2025-08-26,Polysaccharide compositions for use in treating filariasis,0,A01N|A01P|A61K|A61P|C07K
12391685,2025-08-19,Inhibitors of RNA-guided nuclease target binding and uses thereof,0,A61K|A61P|C07D|C12N
12385099,2025-08-12,Circulating microrna signatures for ovarian cancer,0,A61P|C12Q|G16B
12385067,2025-08-12,Compositions and therapeutic methods of microRNA gene delivery,0,A61K|A61P|C12N
12383495,2025-08-12,Resident articles for gram-level dosing,0,A61B|A61K|A61M
12378307,2025-08-05,Antibodies blocking DLL4-mediated notch signalling,0,A61P|C07K|G01N
12377153,2025-08-05,Poly(beta-thioester) polymers and polymeric nanoparticles,0,A61K|A61P|B82Y|C08F|C08L|C09D
12370228,2025-07-29,Medicinal vaginal Lactobacillus cocktail,0,A61K|A61P|C12N|C12R
12365735,2025-07-22,Anti-KLRG1 antibodies,0,A61P|C07K
12360109,2025-07-15,System and sensor array,0,B82Y|C01G|C01P|G01N|G06F|G06N|G16B
12357802,2025-07-15,Self-actuating articles,0,A61B|A61J|A61K|A61M|A61N
12319970,2025-06-03,Methods for identifying progression of a primary melanoma,0,C12Q|G01N
12286643,2025-04-29,Methods for generating hematopoietic stem cells,0,A61K|A61P|C12N
12286420,2025-04-29,EAAT2 activators and methods of using thereof,0,A61P|C07D
12285464,2025-04-29,Therapeutic targets involved in the progression of nonalcoholic steatohepatitis (NASH),0,A61K|A61P|C12N|G01N
12281332,2025-04-22,Methods of enhancing development of renal organoids and methods of using the same,0,A61K|A61P|C07K|C12N|G01N
12268832,2025-04-08,"Self-righting systems, methods, and related components",0,A61B|A61J|A61K|A61M|A61N
