patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428475,2025-09-30,Humanized anti-ACTH antibodies and use thereof,0,A61K|A61P|C07K
12421303,2025-09-23,"Agents, uses and methods for the treatment of synucleinopathy",0,A61K|A61P|C07K
12398169,2025-08-26,"Process for the manufacture of (2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(((4aR,10aR)-7-hydroxy-1-propyl-1,2,3,4,4a,5,10,10a-octahydrobenzo[g]quinolin-6-yl)oxy)tetrahydro-2H-pyran-2-carboxylic acid",0,A61P|C07D|C07H
12398106,2025-08-26,Catecholamine carbamate prodrugs for use in the treatment of parkinson's disease,0,A61K|A61P|C07D
12391749,2025-08-19,Acute treatment and rapid treatment of headache using anti-CGRP antibodies,0,A61K|A61P|C07K
12391650,2025-08-19,Catecholamine prodrugs for use in the treatment of Parkinson's disease,0,A61P|C07D|C07F
12384837,2025-08-12,Treatment of most bothersome symptom (MBS) associated with migraine using anti-CGRP antibodies,0,A61K|A61P|C07K
12384836,2025-08-12,Treatment of headache using anti-CGRP antibodies,0,A61K|A61P|C07K
12384765,2025-08-12,Catecholamine prodrugs for use in the treatment of Parkinson's Disease,0,A61P|C07D
12378219,2025-08-05,Crystalline forms of a MAGL inhibitor,0,A61K|A61P|C07B|C07D
12358975,2025-07-15,Compositions and methods for treating synucleinopathies,0,A61K|A61P|C07K
12358974,2025-07-15,Compositions and methods for treating synucleinopathies,0,A61K|A61P|C07K
12351627,2025-07-08,Anti-ACTH antibodies and use thereof,0,A61K|A61P|C07K
12351624,2025-07-08,Compositions and methods for treating synucleinopathies,0,A61K|A61P|C07K
12331123,2025-06-17,"Agent, uses and methods for treatment",0,A61K|A61P|C07K
12319710,2025-06-03,Catecholamine prodrugs for use in the treatment of Parkinson's diseases,0,A61P|C07D|C07H
12258340,2025-03-25,Pyrazole MAGL inhibitors,0,A61K|A61P|C07D
12258305,2025-03-25,Alcohol derivatives as Kv7 potassium channel openers,0,A61P|C07B|C07C
12226428,2025-02-18,Catecholamine prodrugs for use in the treatment of Parkinson's disease,5,A61K|A61P|C07D|C07H
12215145,2025-02-04,Treatment of headache using anti-CGRP antibodies,0,A61K|A61P|C07K
12215144,2025-02-04,Acute treatment and rapid treatment of headache using anti-CGRP antibodies,0,A61K|A61P|C07K
12162936,2024-12-10,Methods of treatment with anti-PACAP antibodies,0,A61K|A61P|C07K|G01N|Y02A
12152029,2024-11-26,Crystalline forms of a MAGL inhibitor,0,A61P|C07B|C07D
12129289,2024-10-29,Antibodies specific for hyperphosphorylated tau and methods of use thereof,0,A61K|A61P|C07K|G01N
12122821,2024-10-22,Regulation of glucose metabolism using anti-CGRP antibodies,0,A61K|C07K|G01N
12116355,2024-10-15,Deuterated 1-piperazino-3-phenyl indanes for treatment of schizophrenia,0,A61K|A61P|C07B|C07C|C07D
12077794,2024-09-03,Temperature shift for high yield expression of polypeptides in yeast and other transformed cells,0,C07K|C12N|C12P
12077581,2024-09-03,Anti-PACAP antibodies and uses thereof,0,A61K|A61P|C07K|G01N|Y02A
12077578,2024-09-03,Compositions and methods for treating synucleinopathies,4,A61K|A61P|C07K
