patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427162,2025-09-30,"Pharmaceutical composition, methods for treating and uses thereof",0,A61K|A61P
12427161,2025-09-30,Methods for treating and pharmaceutical compositions,0,A61K|A61P
12421218,2025-09-23,Substituted pyrazine-carboxamide derivatives,0,A61P|C07D
12398146,2025-08-26,Heterobicyclic amides as inhibitors of CD38,0,A61P|C07D
12398143,2025-08-26,Imidazopyrazine derivatives and the use thereof as medicament,0,A61K|A61P|C07D
12391737,2025-08-19,Soluble NPY2 receptor agonists,0,A61K|A61P|C07K
12391667,2025-08-19,"N-methyl, n-(6-(methoxy)pyridazin-3-yl) amine derivatives as Autotaxin (ATX) modulators for the treatment of inflammatory airway or fibrotic diseases",0,A61P|C07D
12390508,2025-08-19,Brain natriuretic peptide engrafted antibodies,0,A61K|A61P|C07K
12378296,2025-08-05,Glucagon analogues as long-acting GLP-1/glucagon receptor agonists in the treatment of fatty liver disease and steatohepatitis,0,A61K|A61P|C07K
12371671,2025-07-29,Methods for continuously inactivating a virus during manufacture of a protein,0,C07K|C12M|C12N
12371656,2025-07-29,Method of increasing protein production in a chinese hamster ovary perfusion cell culture,0,C12N|C12P
12371651,2025-07-29,Bioreactor or fermenter for the culturing of cells or microorganisms in suspension in industrial scale,0,C12M|C12N
12364700,2025-07-22,Medical use of pharmaceutical combination or composition,0,A61K|A61P
12358910,2025-07-15,Heteroaromatic compounds as Vanin inhibitors,0,A61K|A61P|C07D
12351584,2025-07-08,"Cyclic ether derivatives of pyrazolo[1,5-a]pyrimidine-3-carboxyamide",0,A61K|A61P|C07D|Y02A
12344663,2025-07-01,Anti-C3 antibodies and antigen-binding fragments thereof and their uses for treating eye or ocular diseases,0,A61K|A61P|C07K|G01N
12312405,2025-05-27,Anti-PD-1 antibodies,0,A61K|A61P|C07K
12312363,2025-05-27,"Spiro[3H-indole-3,2′-pyrrolidin]-2(1H)-one compounds and derivatives as MDM2-p53 inhibitors",0,A61K|A61P|C07D|C08K
12312352,2025-05-27,Use of a DPP-4 inhibitor in SIRS and/or sepsis,0,A61K|A61P|C07D
12291532,2025-05-06,Substituted xanthines as modulators of TRPC5 activity,0,A61P|C07D
12281099,2025-04-22,Isoindolinone substituted indoles and derivatives as RAS inhibitors,0,A61P|C07D
12275798,2025-04-15,Tri-specific binding molecules,0,A61P|C07K
12275722,2025-04-15,Process of reworking a crystalline form of a glycine transport inhibitor,0,A61K|C07B|C07D
12263157,2025-04-01,Aldosterone synthase inhibitors for treating chronic kidney disease,0,A61K|A61P
12263153,2025-04-01,"Pharmaceutical composition, methods for treating and uses thereof",0,A61K|A61P
12240828,2025-03-04,Heteroaromatic compounds as vanin inhibitors,0,A61K|A61P|C07D
12233068,2025-02-25,Combination of active agents for the treatment of progressive fibrosing interstitial lung diseases (PF-ILD),0,A61K|A61P
12226411,2025-02-18,Soluble guanylate cyclase activators for treating portal hypertension,0,A61K|A61P
12213970,2025-02-04,"Pyridinyl sulfonamide derivatives, pharmaceutical compositions and uses thereof",0,A61K|A61P|C07D
12209257,2025-01-28,System and method to determine critical process parameters for a continuous viral inactivation reactor to design and manufacture same,0,B01L|C12M|C12N|G01N|G16B
12195712,2025-01-14,Linked perfusion to continuous-flow stirred-tank reactor cell culture system,0,C07K|C12M|C12N|C12P
12187719,2025-01-07,Proteolysis targeting chimera (PROTACS) as degraders of SMARCA2 and /or SMARCA4,0,A61K|A61P|C07D|C07K
12180223,2024-12-31,"3H,4H-thieno[2,3-d]pyrimidin-4-one derivatives as TRPA1 inhibitors",0,A61P|C07D
12178819,2024-12-31,DPP IV inhibitor formulations,0,A61K|A61P
12178809,2024-12-31,"Pyridinyl sulfonamide derivatives, pharmaceutical compositions and uses thereof",0,A61K|A61P|C07D
12173267,2024-12-24,Cell-controlled perfusion in continuous culture,0,C12M|C12N
12173083,2024-12-24,Multi-specific binding proteins for cancer treatment,0,A61K|A61P|C07K|C12N|G01N
12173072,2024-12-24,Antibodies targeting a complex comprising non-classical HLA-I and neoantigen and their methods of use,0,A61K|A61P|C07K
12171795,2024-12-24,Recombinant rhabdovirus encoding for a CD80 extracellular domain Fc-fusion protein,0,A61K|C07K|C12N|Y02A
