patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428411,2025-09-30,Preparation of oxindole derivatives as novel diacylglyceride o-acyltransferase 2 inhibitors,0,A61P|C07D
12428397,2025-09-30,Factor XI activation inhibitors,0,A61P|C07D
12427187,2025-09-30,Glucose-responsive insulin conjugates,0,A61K|A61P|C07K
12427159,2025-09-30,Hydroxypyrrolidine-substituted arylsulfonamide compounds with selective activity in voltage-gated sodium channels,0,A61K|A61P|C07D
12421524,2025-09-23,Expression vectors for eukaryotic expression systems,0,C07K|C12N
12419943,2025-09-23,Methods for producing Streptococcus pneumoniae capsular polysaccharide carrier protein conjugates,0,A61K
12414952,2025-09-16,"Substituted amino triazolopyrimidine and amino triazolopyrazine adenosine receptor antagonists, pharmaceutical compositions and their use",0,A61K|A61P|C07D
12410159,2025-09-09,Preparation of oxindole derivatives as novel diacylglyceride O-acyltransferase 2 inhibitors,0,A61P|C07D
12410153,2025-09-09,"Compounds, compositions and methods",0,A61P|C07B|C07D
12391694,2025-08-19,Process for the preparation of 2-fluoroadenine,0,A61P|C07D
12371478,2025-07-29,Antibody neutralizing human respiratory syncytial virus,0,A61K|A61P|C07K|Y02A
12365706,2025-07-22,Macrocyclic peptides as potent inhibitors of K-RAS G12D mutant,0,A61K|A61P|C07K
12365674,2025-07-22,Inhibitors of histone deacetylase useful for the treatment or prevention of HIV infection,0,A61K|A61P|C07D
12365656,2025-07-22,Oxazolidinone compounds and methods of use thereof as antibacterial agents,0,A61K|A61P|C07D|C07F
12358986,2025-07-15,Anti-cancer combination therapies comprising CTLA-4 and PD-1 blocking agents,0,A61K|A61P|C07K
12358984,2025-07-15,Methods for treating cancer with anti-PD-1 antibodies,0,A61K|A61P|C07K
12351630,2025-07-08,PD1 and/or LAG3 binders,0,A61K|A61P|C07K
12350270,2025-07-08,Antimalarial agents,0,A61K|A61P|C07D|Y02A
12344670,2025-07-01,Anti-ILT4 antibodies and antigen-binding fragments,0,A61K|A61P|C07K
12344616,2025-07-01,Factor XIa inhibitors,0,A61K|A61P|C07D
12344595,2025-07-01,2-amino-n-phenyl-nicotinamides as NAV1.8 inhibitors,0,A61P|C07D
12331044,2025-06-17,Inhibitors of histone deacetylase useful for the treatment or prevention of HIV infection,0,A61K|A61P|C07D
12331022,2025-06-17,Spiropiperidine allosteric modulators of nicotinic acetylcholine receptors,0,A61K|C07D
12331018,2025-06-17,Pyrrolidine orexin receptor agonists,0,A61P|C07D
12319735,2025-06-03,Co-formulations of anti-LAG3 antibodies and anti-PD-1 antibodies,0,A61K|A61P|C07K
12319671,2025-06-03,"1-pyrazolyl, 5-, 6-disubstituted indazole derivatives as LRRK2 inhibitors, pharmaceutical compositions, and uses thereof",0,A61P|C07D
12312332,2025-05-27,Heteroaryl pyrrolidine and piperidine orexin receptor agonists,0,A61P|C07D
12311021,2025-05-27,Replication-competent attenuated chimeric VSV vectors encoding immunogenic SARS-CoV-2 spike proteins,0,A61K|A61P|C07K|C12N
12310999,2025-05-27,Biomarkers for cancer therapeutics,0,A61K|A61P|C07K|G01N
12310953,2025-05-27,Pharmaceutical formulations for the treatment of migraine,1,A61K|A61P
12310945,2025-05-27,Cyclohexylglycine derivatives as selective cytotoxic agents,0,A61K|A61P
12306082,2025-05-20,Apparatus and method for monitoring and recording disintegration times for pharmaceutical products,0,G01N
12304899,2025-05-20,Factor XI activation inhibitors,0,A61P|C07D
12297208,2025-05-13,Small molecule inhibitors of KRAS G12C mutant,0,A61K|A61P|C07B|C07D
12295998,2025-05-13,Enhancing immunogenicity of Streptococcus pneumoniae polysaccharide-protein conjugates,0,A61K|A61P
12291570,2025-05-06,Treatment of metastatic pancreatic adenocarcinoma,0,A61K|A61P|C07K
12291538,2025-05-06,Small molecule inhibitors of KRAS G12C mutant,0,A61K|A61P|C07B|C07D
12281109,2025-04-22,"Inhibitors of histone deacetylase-3 useful for the treatment of cancer, inflammation, neurodegeneration diseases and diabetes",0,A61P|C07D
12280107,2025-04-22,Pneumococcal conjugate vaccine formulations,0,A61K|A61P|C07K
