patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12409130,2025-09-09,Cosmetic compositions,0,A61K|A61Q
12350491,2025-07-08,Method for determining facial muscle responses,0,A61B|A61K|A61N|A61Q|Y02A
12337056,2025-06-24,Topical compositions and methods,0,A61K|A61Q
12303586,2025-05-20,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
12285509,2025-04-29,Glyceryl and glycol acid compounds,0,A61K|A61P|A61Q
12285457,2025-04-29,Topical skin compositions for treating rosacea and skin redness,0,A61K|A61P|A61Q
12280017,2025-04-22,Methods of treating skin with aromatic skin-active ingredients,0,A61K|A61P|A61Q
12274777,2025-04-15,Topical cosmetic compositions,0,A61K|A61Q
12274776,2025-04-15,Barrier guard technology,0,A61K|A61Q
12268721,2025-04-08,Botanical formulations,0,A61K|A61P|A61Q
12239724,2025-03-04,Lip composition,0,A61K|A61Q
12233154,2025-02-25,Compositions for sensitive skin,0,A61K|A61Q
12233153,2025-02-25,Cosmetic formulation,0,A61K|A61Q
12233151,2025-02-25,Cosmetic compositions and methods,0,A61K|A61Q
12220480,2025-02-11,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
12194135,2025-01-14,Topical skin care formulations comprising botanical extracts,0,A61K|A61P|A61Q|Y02A
12186423,2025-01-07,Brightening booster technology and brightening ampule,0,A61K|A61Q
12186357,2025-01-07,Compositions comprising kakadu plum extract or acai berry extract,0,A61K|A61P|A61Q
12161891,2024-12-10,Topical skin formulations,0,A61K|A61Q
12144885,2024-11-19,Topical cosmetic compositions,0,A61K|A61P|A61Q
12115243,2024-10-15,Cosmetic composition,0,A61K|A61Q
12097393,2024-09-24,Skin care formulations,0,A61K|A61Q
12097279,2024-09-24,Cosmetic compositions and methods,0,A61K|A61P|A61Q
12097273,2024-09-24,Magnolia extract containing compositions,0,A61K|A61P|A61Q
12090219,2024-09-17,Delivery of active ingredients from plant materials to skin,0,A61F|A61K|A61P|A61Q
12059491,2024-08-13,Cosmetic composition,0,A61K|A61Q
12048724,2024-07-30,Topical muscle relaxation compositions and methods,0,A61K|A61P|A61Q
12048723,2024-07-30,Cosmetic compositions,0,A61K|A61P|A61Q
12036296,2024-07-16,Cosmetic compositions,0,A61K|A61Q|A63B
12016895,2024-06-25,Skin care formulation,0,A61K|A61P|A61Q
12005135,2024-06-11,Barrier guard technology,0,A61K|A61Q
11992550,2024-05-28,Topical skin care formulations comprising plant extracts,0,A61K|A61Q
11969498,2024-04-30,Cosmetic compositions and methods of their use,0,A61K|A61Q
11931395,2024-03-19,Topical skin compositions for treating rosacea and skin redness,0,A61K|A61P|A61Q
11925700,2024-03-12,Topical compositions,0,A61K|A61Q
11918833,2024-03-05,Cosmetic compositions and uses thereof,0,A61K|A61P|A61Q
11911635,2024-02-27,Topical skin formulations,0,A61K|A61Q
11911494,2024-02-27,Topical skin compositions for treating wrinkles,0,A61K|A61Q
11911429,2024-02-27,Methods and compositions for treating striae distensae,0,A61K|A61Q
11890369,2024-02-06,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11883524,2024-01-30,Cosmetic compositions,0,A61K|A61Q
11883523,2024-01-30,Plant extracts to reduce the appearance of hyperpigmented skin or to lighten skin,0,A61K|A61Q
11865373,2024-01-09,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11865204,2024-01-09,Compositions for sensitive skin,0,A61K|A61Q
11865202,2024-01-09,Combination of plant extracts to improve skin tone,0,A61K|A61P|A61Q|Y02A
11857667,2024-01-02,Multi-purpose cosmetic compositions,1,A61K|A61P|A61Q|Y02A
11833243,2023-12-05,Pore minimizer,0,A61K|A61Q
11833240,2023-12-05,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11826456,2023-11-28,Cosmetic compositions and methods,0,A61K|A61Q
11793737,2023-10-24,Glyceryl and glycol acid compounds,0,A61K|A61P|A61Q
11786453,2023-10-17,Cosmetic compositions,0,A61K|A61Q
11779532,2023-10-10,Topical compositions and methods,0,A61K|A61Q
11771638,2023-10-03,Stable vitamin C compositions,0,A61K|A61P|A61Q
11766388,2023-09-26,Delivery of active ingredients from plant materials to skin,0,A61F|A61K|A61P|A61Q
11752335,2023-09-12,Method for determining facial muscle responses,1,A61B|A61K|A61N|A61Q|Y02A
11752090,2023-09-12,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11752089,2023-09-12,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11725096,2023-08-15,Zinc oxide complexes,0,A61K|A61Q|C07B|C07F|C08K
11723845,2023-08-15,Cosmetic compositions and uses thereof,0,A61K|A61Q
11707427,2023-07-25,Cosmetic compositions and methods,0,A61K|A61Q
11701322,2023-07-18,Topical compositions and methods,0,A61K|A61P|A61Q
11696888,2023-07-11,Topical compositions and methods,0,A61K|A61Q
11690798,2023-07-04,Topical cosmetic compositions,0,A61K|A61P|A61Q
11684568,2023-06-27,Topical cosmetic compositions,0,A61K|A61P|A61Q
11684566,2023-06-27,Cosmetic composition,0,A61K|A61Q
11684562,2023-06-27,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11679284,2023-06-20,Skin care formulations,0,A61K|A61Q
11672754,2023-06-13,Cosmetic composition,0,A61K|A61Q
11666525,2023-06-06,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11660259,2023-05-30,Magnolia extract containing compositions,0,A61K|A61P|A61Q
11648194,2023-05-16,Cosmetic composition and methods of use thereof,0,A61K|A61Q
11648187,2023-05-16,Topical skin formulation,0,A61K|A61P|A61Q
11642289,2023-05-09,Topical compositions,0,A61K|A61Q
11638735,2023-05-02,Botanical formulations,0,A61K|A61P|A61Q
11612559,2023-03-28,Cosmetic compositions,0,A61K|A61Q
11607380,2023-03-21,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11596813,2023-03-07,Skin care formulations,0,A61K|A61Q
11590194,2023-02-28,Topical skin compositions for treating rosacea and skin redness,0,A61K|A61P|A61Q
11583491,2023-02-21,Topical skin care formulations comprising plant extracts,1,A61K|A61P|A61Q
11577099,2023-02-14,Topical skin formulations,0,A61K|A61Q
11576854,2023-02-14,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11559480,2023-01-24,Compositions for sensitive skin,0,A61K|A61Q
11547734,2023-01-10,Topical muscle relaxation compositions and methods,0,A61K|A61P|A61Q
11547733,2023-01-10,Cosmetic compositions,1,A61K|A61P|A61Q
11534391,2022-12-27,Cosmetic compositions and methods,0,A61K|A61Q
11524184,2022-12-13,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11446218,2022-09-20,Cosmetic compositions,0,A61K|A61Q|A63B
11419815,2022-08-23,Topical cosmetic compositions,0,A61K|A61P|A61Q
11419810,2022-08-23,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
11400043,2022-08-02,Cosmetic composition,0,A61K|A61Q
11389392,2022-07-19,Cosmetic compositions and methods for their use in firming skin,0,A61K|A61P|A61Q
11389391,2022-07-19,Topical skin care formulations comprising plant extracts,1,A61K|A61P|A61Q
11376210,2022-07-05,Cosmetic formulation,1,A61K|A61Q
11344751,2022-05-31,Cosmetic compositions and uses thereof,1,A61K|A61P|A61Q
11344595,2022-05-31,Methods and compositions for treating striae distensae,0,A61K|A61Q
11331262,2022-05-17,Topical skin care formulations comprising botanical extracts,0,A61K|A61P|A61Q|Y02A
11266594,2022-03-08,Topical skin care formulations comprising plant extracts,0,A61K|A61Q
11253460,2022-02-22,Cosmetic compositions,0,A61K|A61Q
11213465,2022-01-04,Delivery of active ingredients from plant materials to skin,0,A61F|A61K|A61P|A61Q
11185492,2021-11-30,Cosmetic compositions,0,A61K|A61Q
11179305,2021-11-23,Topical compositions,0,A61K|A61Q
11161963,2021-11-02,Zinc oxide complexes,1,A61K|A61Q|C07B|C07F|C08K
11123578,2021-09-21,Skin care formulations,0,A61K|A61Q
11103445,2021-08-31,Cosmetic compositions,0,A61K|A61Q
11090352,2021-08-17,Topical skin compositions for treating rosacea and skin redness,0,A61K|A61P|A61Q
11058739,2021-07-13,Sebum control and anti-acne composition,0,A61K|A61P|A61Q
11033487,2021-06-15,Pore minimizer,1,A61K|A61Q
10980731,2021-04-20,Cosmetic composition and methods of use thereof,0,A61K|A61Q
10966918,2021-04-06,Topical skin care formulations comprising plant extracts,0,A61K|A61P|A61Q
10953058,2021-03-23,Botanical formulations,0,A61K|A61P|A61Q
