patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410421,2025-09-09,Keratinase composition,0,A23K|C12N
12357658,2025-07-15,Cancer treating composition containing copper-silver-phosphate nanoparticles,0,A61K|A61P|B82Y|C01B|C01G|C01P
12357583,2025-07-15,Magnetoelectric nanocomposites and method of preparation thereof,0,A61K|B82Y|H01F
12318422,2025-06-03,Tannin-based antiproliferative pharmaceutical,0,A23L|A61K|A61P
12313539,2025-05-27,Terahertz asymmetric S-shaped complementary metasurface biosensor for glucose concentration,0,G01N
12281086,2025-04-22,2-aminothiazoles derivatives and method of preparation thereof using super-paramagnetic iron oxide nanoparticles (SPIONs),0,A61P|B01J|C07D
12280158,2025-04-22,Method for forming a nanomedicinal composition,0,A61K|A61P
12280125,2025-04-22,Method for delivering insulin,0,A61K
12280020,2025-04-22,Method for making superparamagnetic iron oxide nanocarrier,0,A61K|A61P|B82Y
12274762,2025-04-15,Dental polishing paste and method for dental ceramics,0,A61K|B82Y|C09K
12274712,2025-04-15,Copper-silver-phosphate nanoparticle manufacturing method,0,A61K|A61P|B82Y|C01B|C01G|C01P
12220430,2025-02-11,Method for killing colorectal cancer cells,0,A61K|A61P|B82Y
12180087,2024-12-31,Method for treating water contaminated with polycyclic organics,0,A61P|B01J|B82Y|C01G|C01P|C02F|C30B|H01F|Y02W
12171842,2024-12-24,Method for hyperthermially treating a cancer,0,A61K|B82Y
12161756,2024-12-10,Pharmaceutical-loaded nanocomposite for treating pulmonary infections,0,A61K
12161747,2024-12-10,Gum and tooth treatment method with rinsing,0,A61K|A61Q
12161519,2024-12-10,Removable dental prosthetic,0,A61C|A61K
12157677,2024-12-03,Method for treating a biologically contaminated surface,0,A01N|A01P|A61K|A61P|C01G|C01P|Y02A
12153020,2024-11-26,Steel reinforced concrete beam testing method,0,G01N
12150964,2024-11-26,Subcutaneous injection method for pain treatment,0,A61K|A61N|A61P
12146172,2024-11-19,Engineered keratinases derived from Bacillus cereus and enhanced methods for biodegrading feathers and other keratin-containing materials,0,A23K|C12N
12145861,2024-11-19,Water purification process using zinc oxide nanoparticles,0,A23K|A23L|A23V|A61K|A61P|B01J|C01G|C01P|C02F
12144823,2024-11-19,Porous silicate and/or aluminosilicate matrix/cerium oxide nanoparticle nanocarrier for combination anti-cancer therapeutic and antioxidant delivery,0,A61K|A61P
12138324,2024-11-12,Method for treating denture stomatitis,0,A61C|A61K|B82Y|C08K|C08L|C09D
12133864,2024-11-05,Method for treating cancer cells with a Cu/Ag particle composition,0,A61K|A61P|B82Y|C01B|C01G|C01P
12121559,2024-10-22,Antibacterial treatment method for a patient with a skin wound,0,A61K|A61P
12109315,2024-10-08,Method for treating Blastocystis infection,0,A61K|A61P
12109082,2024-10-08,Method for forming a denture base,0,A61C|A61K
12102718,2024-10-01,Multistage calcination method for making hollow silica spheres,0,A61K|A61P
12102717,2024-10-01,Hollow silica spheres with nested iron oxide particles,0,A61K|A61P
12102716,2024-10-01,Method for making solid silica spheres,0,A61K|A61P
12102708,2024-10-01,Treatment method for teeth and gums,0,A61K|A61Q
12102697,2024-10-01,Method of reducing bacterial activity in the oral cavity of a patient,0,A61C|A61K|B82Y|C08K|C08L|C09D
12102651,2024-10-01,Solvent-based method for making nanocomposite pharmaceutical material,0,A61K|A61P
12102495,2024-10-01,Dental orthodontic retainer with nanodiamond pmma composite material,0,A61C|A61K
12099036,2024-09-24,Testing method for concrete beam having steel reinforcement,0,G01N
12097266,2024-09-24,Cancer treatment method for magnetic hypothermia cancer treatment,1,A61K|B82Y
12090169,2024-09-17,Method for decreasing colorectal cancer cells,0,A61K|A61P|B82Y|C01B|C01G|C01P
12076349,2024-09-03,Method for treating burns with brazilian green propolis,0,A61K|A61N|A61P
12029758,2024-07-09,Method for forming a silver-containing nanocomposite pharmaceutical compound,1,A61K|A61P
12017925,2024-06-25,Method for treating polluted composition,0,A61P|B01J|B82Y|C01G|C01P|C02F|C30B|H01F|Y02W
12012625,2024-06-18,Method for producing bioactive composition,0,A01N|A01P|C12N|C12P|C12R
11998572,2024-06-04,Method for treating nociceptive pain and burns with brazilian green propolis alcohol extract,0,A61K|A61N|A61P
11980638,2024-05-14,Method of preparing nanoparticles for cancer treatments,1,A61K|A61P|B82Y|C01B|C01G|C01P
11957789,2024-04-16,Hollow silica spheres with nested iron oxide particles,2,A61K|A61P
11957782,2024-04-16,Treatment method for teeth and gums,0,A61K|A61Q
11884981,2024-01-30,Primer compositions for detecting thalassemia,0,C12Q
11877987,2024-01-23,Method for preparing an Eruca sativa extract and use for shaving,0,A61K|A61P
11865193,2024-01-09,Equilibrium adsorption method for making a silica nanocarrier spion composition,0,A61K|A61P|B82Y
11857639,2024-01-02,Method for treating breast cancer,2,A61K|B82Y
11857621,2024-01-02,Synthetic pDNA vaccines against COVID-19,0,A61K|A61P|C07K|C12N
11850260,2023-12-26,Medicinal nanocomposite and method of preparation thereof,2,A61K|A61P
11850108,2023-12-26,Method for making composite denture material,0,A61C|A61K
11844659,2023-12-19,Denture or removable dental prosthetic made from composite material,0,A61C|A61K
11841321,2023-12-12,Blood analysis method,0,G01N
