patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428623,2025-09-30,Generation of midbrain-specific organoids from human pluripotent stem cells,0,C12N
12404542,2025-09-02,Visual and modular detection of nucleic acids with enzyme-assisted nanotechnology,0,B01L|C12M|C12N|C12Q
12404492,2025-09-02,Methods for enhancing efficacy of therapeutic immune cells,0,A61K|A61P|C07K|C12N
12404491,2025-09-02,Methods for enhancing efficacy of therapeutic immune cells,0,A61K|A61P|C07K|C12N
12378527,2025-08-05,"Differentiation of pluripotent stem cells using laminins LN-511, LN-521 and LN-221",0,C12N|C12Q
12378328,2025-08-05,Biohybrid peptidoglycan oligomers,0,A61K|A61P|C07K|C08B|C12Q
12351617,2025-07-08,Immune cells comprising truncated NKG2D chimeric receptors,0,A61K|A61P|C07K|C12N
12264335,2025-04-01,Natural killer cells expressing membrane-bound interleukin 15 (mbIL15) and uses thereof,0,A61K|A61P|C07K|C12N
12264070,2025-04-01,Two-dimensional amorphous carbon coating and methods of growing and differentiating stem cells,0,A61L|C01B|C01P|C12N|C23C|H01M|Y02E
12258381,2025-03-25,Activating chimeric receptors and uses thereof in natural killer cell immunotherapy,0,A61K|A61P|C07K|C12N
12240889,2025-03-04,Decoy cytokine receptor,0,A61K|A61P|C07K|G01N
12234284,2025-02-25,Treatment of kidney injury,0,A61K|A61P|C07K|C12N
12221624,2025-02-11,Systems and methods for producing retinal progenitors,0,C12N|C12P
12195526,2025-01-14,Anti-p53 antibodies,0,A61K|A61P|C07K
12171731,2024-12-24,Methods and compositions for the treatment of steatosis-associated disorders,0,A61K|A61P|C12Y
12157713,2024-12-03,Conjugated oligoelectrolytes as antimicrobial agents,0,A01N|A61K|A61P|A61Q|C07C
12138742,2024-11-12,Methods and apparatus for processing a substrate,0,B24B|G01N
12130093,2024-10-29,Device and method for a two phase heat transfer,0,F28D|F28F|G01N|H01L|H05K
12129485,2024-10-29,Blockade of CD2 surface expression and expression of chimeric antigen receptors for immunotherapy of T-cell malignancies,0,A61K|A61P|C07K|C12N
12110516,2024-10-08,Thermostable terminal deoxynucleotidyl transferase,0,C07K|C12N|C12Y
12091669,2024-09-17,Method for the generation of dumbbell-shaped DNA vectors,0,C12N
12071637,2024-08-27,Method of producing value-added chemicals by using Clostridium and Bacillus co-cultures,0,C12N|C12P|C12Y|Y02E
11988600,2024-05-21,Gas sensor MEMS structures and methods of fabrication thereof,0,B81B|B81C|G01N|H10N
11945865,2024-04-02,Blockade of CD7 expression and chimeric antigen receptors for immunotherapy of T-cell malignancies,2,A61K|A61P|C07K
11939374,2024-03-26,Treatment of fibrosis,0,A61K|A61P|C07K|C12N
11920129,2024-03-05,Ligation and/or assembly of nucleic acid molecules,0,C12N
11896616,2024-02-13,Stimulatory cell lines for ex vivo expansion and activation of natural killer cells,4,A61K|A61P|C07K|C12N|Y02A
11873512,2024-01-16,Chimeric receptor with NKG2D specificity for use in cell therapy against cancer and infectious disease,4,A61K|C07K|C12N
11865083,2024-01-09,Rapid method of generating live attenuated vaccines,0,A61K|A61P|C12N|Y02A
11820981,2023-11-21,Modulation of TJP1 expression to regulate regeneration of heart cells,0,A61K|A61P|C12N
11813311,2023-11-14,Treatment and prevention of metabolic diseases,0,A61K|A61P|C07K|C12N
11795436,2023-10-24,Derivation of hepatic stem cells and mature liver cell types and uses thereof,0,A61K|A61P|C12N
11795430,2023-10-24,Thin film deposited inorganic metal oxide as a selective substrate for mammalian cell culture and as an implant coating,0,A61L|C12N|C23C
11788148,2023-10-17,Prognostic and treatment response predictive method,0,C12Q|G01N
11780898,2023-10-10,Treatment of SMC mediated disease,0,A61K|A61P|C07K
11725216,2023-08-15,Vectors,0,A61K|C12N|C12P
11709164,2023-07-25,Approach for universal monitoring of minimal residual disease in acute myeloid leukemia,0,G01N
