patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427150,2025-09-30,Phospholipid formulations of 1′-cyano substituted carba-nucleoside analogs,0,A61K
12421235,2025-09-23,Bridged tricyclic carbamoylpyridone compounds and uses thereof,0,A61P|C07D
12415808,2025-09-16,"Pyrrolo[1,2-b]pyridazine derivatives",0,A61K|C07D|C07F|Y02A
12410183,2025-09-09,Sars-cov2 main protease inhibitors,0,A61P|C07D
12410160,2025-09-09,KHK inhibitors,0,A61K|A61P|C07D
12404289,2025-09-02,1′-cyano nucleoside analogs and uses thereof,0,A61K|A61P|C07D|C07F
12404262,2025-09-02,Therapeutic compounds for HIV virus infection,0,A61K|A61P|C07D|C07F
12398160,2025-08-26,Cot modulators and methods of use thereof,0,A61K|A61P|C07D|C07F
12377100,2025-08-05,Toll like receptor modulator compounds,0,A61K|A61P|C07C|C07D
12365666,2025-07-22,Process for preparing a Cot inhibitor compound,0,A61P|C07D
12364751,2025-07-22,HBV vaccines and methods treating HBV,0,A61K|A61P|C12N|C12Y|Y02A
12358903,2025-07-15,FXR (NR1H4) modulating compounds,0,A61P|C07D
12358887,2025-07-15,IKAROS Zinc Finger Family degraders and uses thereof,0,A61P|C07B|C07D
12357577,2025-07-15,Pharmaceutical formulations and uses thereof,0,A61K
12338278,2025-06-24,Antibodies that target HIV gp120 and methods of use,0,A61K|A61P|C07K
12338233,2025-06-24,PD-1/Pd-L1 inhibitors,0,A61K|A61P|C07D|C07K
12338220,2025-06-24,Antiviral pyrazolopiridinone compounds,0,A61P|C07D
12297282,2025-05-13,"Nucleic acids encoding, and methods of producing, antibodies that bind human chemokine (C—C motif) receptor 8 (CCR8)",0,A61K|A61P|C07K
12297226,2025-05-13,Compounds and methods for treatment of viral infections,0,A61P|C07B|C07D|C07H
12269812,2025-04-08,PD-1/PD-L1 inhibitors,0,A61K|A61P|C07D
12264173,2025-04-01,Antiviral compounds,0,A61K|A61P|C07F|Y02A
12258346,2025-03-25,Substituted 6-azabenzimidazole compounds,0,A61P|C07D
12240862,2025-03-04,Inhibitors of peptidylarginine deiminases,0,A61P|C07D
12227520,2025-02-18,Bridged tricyclic carbamoylpyridone compounds and their pharmaceutical use,0,A61P|C07D
12208110,2025-01-28,Phospholipid compounds and uses thereof,0,A61K|A61P|C07D|C07F
12202849,2025-01-21,Crystalline forms of tenofovir alafenamide,0,A61K|A61P|C07B|C07C|C07D|C07F
12202842,2025-01-21,MCL1 inhibitors,0,A61K|A61P|C07D|C07K|Y02A
12195524,2025-01-14,Multi-specific antigen binding molecules targeting HIV and methods of use,0,A61K|A61P|C07K
12187753,2025-01-07,Therapeutics compounds for HIV virus infection,0,A61P|C07D|C07F
12187734,2025-01-07,Substituted pyridotriazine compounds and uses thereof,1,A61P|C07D
12180217,2024-12-31,Compounds and methods for treatment of viral infections,1,A61K|A61P|C07B|C07D|C07F
12180197,2024-12-31,GLP-1R modulating compounds,0,A61K|A61P|C07D
12162896,2024-12-10,Salts and polymorphs of certain MCL-1 inhibitors,0,A61P|C07B|C07D
12162844,2024-12-10,MCL-1 inhibitors,0,A61K|A61P|C07D
12161625,2024-12-10,Substituted pyrrolizine compounds and uses thereof,0,A61K|A61P|C07D
12139474,2024-11-12,LPA receptor antagonists and uses thereof,0,A61P|C07D
12122776,2024-10-22,Tetracyclic compounds and uses thereof,0,A61P|C07D
12122764,2024-10-22,IKAROS zinc finger family degraders and uses thereof,0,A61P|C07D
12121529,2024-10-22,Nucleoside phosphoramidate prodrugs,0,A61K|A61P|C07D|C07H|Y02A
12121511,2024-10-22,GLP-1R modulating compounds,0,A61K|A61P|C07D
12116380,2024-10-15,Phospholipid compounds and methods of making and using the same,0,A61K|A61P|C07F
12110305,2024-10-08,Prodrugs of phosphonamide nucleotide analogues and their pharmaceutical use,0,A61K|A61P|C07F
12110294,2024-10-08,CD73 compounds,0,A61P|C07D|C07K|Y02A
