patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429441,2025-09-30,High throughput drug discovery platform with TEM,0,G01N
12428472,2025-09-30,Human immunodeficiency virus neutralizing antibodies and methods of use thereof,0,A61K|A61P|C07K|G01N
12428416,2025-09-30,ERK inhibitors and uses thereof,0,A61K|A61P|C07D|C12N
12427188,2025-09-30,"Pyocyanine demethylases and related phenazine degrading agents compositions, methods and systems for interfering with viability of bacteria",0,A01N|A01P|A61K|A61P|C12N
12421540,2025-09-23,Sequential probing of molecular targets based on pseudo-color barcodes with embedded error correction mechanism,0,C12Q
12421534,2025-09-23,Engineered enzymes and method for the synthesis of diverse tyrosine analogs,0,C12N|C12P|C12R|C12Y
12416748,2025-09-16,Optical layer having a low refractive index and methods of fabrication,0,G01J|G01N|G02B
12415018,2025-09-16,Microcapillary mesh oxygen transporter for cell transplantations,0,A61F|A61L|C12N
12408839,2025-09-09,Transcranial photoacoustic/thermoacoustic tomography brain imaging informed by adjunct image data,0,A61B|A61M|G01N
12385041,2025-08-12,Conditional-siRNAS and uses thereof in treating cardiac hypertrophy,0,C12N|C12Q
12385040,2025-08-12,Allosteric conditional guide RNAs for cell-selective regulation of CRISPR/Cas,0,C12N
12385029,2025-08-12,Engineered synthase for production of tryptophan derivatives and intransigent substrates,0,C07D|C12N|C12P|C12Y
12371445,2025-07-29,"Heteroaromatic silicon-fluoride-acceptors useful for 18F labeling of molecules and biomolecules, and methods of preparing same",0,A61K|C07B|C07F
12370272,2025-07-29,"Gas-filled structures and related compositions, methods and systems to image a target site",0,A61B|A61K|C07K
12360110,2025-07-15,Method for organizing individual molecules on a patterned substrate and structures assembled thereby,0,B01J|B82Y|C12Q|C40B|G01N
12359208,2025-07-15,Thermal control of T-cell immunotherapy through molecular and physical actuation,0,A61K|C07K|C12N
12338277,2025-06-24,Broadly neutralizing antibodies that target HIV ENV V3 N-glycans,0,A61K|A61P|C07K|C12N
12329786,2025-06-17,Regulate gut microbiota to treat neurodegenerative disorders,0,A61K|A61P|C12Q|G01N
12305224,2025-05-20,Multiplex labeling of molecules by sequential hybridization barcoding,0,C12N|C12Q|G01N|G02B
12297236,2025-05-13,Method for robust control of gene expression,0,A61K|C07K|C12N|C12Y
12297230,2025-05-13,Synthetic system for tunable thresholding of protein signals,0,A61P|C07K|C12N
12286621,2025-04-29,Efficient combinatorial bead barcoding,0,C12N|C40B
12281352,2025-04-22,Ultrasensitive molecular detection via hybridization chain reaction,0,C12Q
12259343,2025-03-25,Systems and methods for structurally characterizing compounds,0,G01N
12258613,2025-03-25,Pairing antigen specificity of a T cell with T cell receptor sequences,0,B01L|C12N|C12Q|G01N
12258605,2025-03-25,Alkane oxidation by modified hydroxylases,0,C07K|C12N|C12P|C12Y|Y02E|Y02P
12241094,2025-03-04,"Phenazine degrading agents and related compositions, methods and systems for interfering with viability of bacteria",1,A61K|C12N|C12Q|C12Y|G01N
12241069,2025-03-04,"Gas vesicle expression systems, gas vesicle constructs and related genetic circuits, vectors, mammalian cells, hosts, compositions, methods and systems",0,A61K|C07K|C12N|C12Q
12239698,2025-03-04,HIV vaccine immunogens,0,A61K|A61P|C07K|C12N
12239374,2025-03-04,Method of manufacturing a tear flow measurement device,0,A61B|G01F|G01G|G01N
12228500,2025-02-18,Infrared absorption-based composition sensor for fluid mixtures,0,E21B|G01N
12227529,2025-02-18,Method of preparing silanols with selective cytochrome P450 variants and related compounds and compositions,0,C07F|C12N|C12Y
12221465,2025-02-11,Signaling and antigen-presenting bifunctional receptors (SABR),0,A61K|A61P|C07K|C12N|C40B|G01N
12213468,2025-02-04,Population control using engineered translocations,0,A01K|C12N
12209268,2025-01-28,"Genetically engineered gas vesicle gene clusters, genetic circuits, vectors, prokaryotic cells, compositions, methods and systems for contrast-enhanced imaging",0,A61K|C07K|C12N|C12Q
12198300,2025-01-14,Computational refocusing-assisted deep learning,0,G01N|G02B|G06F|G06N|G06T|G06V
12180246,2024-12-31,Utility of nematode small molecules,0,A01N|A61K|A61P|C07D|C07H
12173363,2024-12-24,Absolute quantification of nucleic acids and related methods and systems,0,C12Q
12173361,2024-12-24,"Rodent model and related device, compositions, methods and systems",0,A01K|C12Q
12173281,2024-12-24,Bistable polynucleotide devices for the sensing and quantification of molecular events,0,C12N|C12Q|G01N
12173052,2024-12-24,HIV-1 gp120 CD4 binding site antibodies targeting HIV escape mutants,0,A61K|A61P|C07K|C12N
12168797,2024-12-17,Signal encoding and decoding in multiplexed biochemical assays,0,C12Q|G01N|G06F|G16B|Y02A
12157883,2024-12-03,DNA sequence modification-based gene drive,0,C12N
12152260,2024-11-26,Methods and compositions for in vivo gene editing based cell-type-specific cellular engineering,0,A61K|A61P|C12N
12139705,2024-11-12,Deep learning enabled spatial optical barcodes for pooled library screens,0,C12N|C40B|G06T|G06V|G16B
12129272,2024-10-29,Glycosyltransferase inhibitors,0,A61K|A61P|C07H|Y02A
12128075,2024-10-29,Compositions and methods comprising bacteria for improving behavior in neurodevelopmental disorders,0,A61K|A61P|Y02A
12122996,2024-10-22,Device for additive delivery of reagents and related methods and systems,0,B01L|C12N|C12Q|C40B|G01N
12085507,2024-09-10,In mask sensor system,0,A61B|A61M|A62B|G01N
12083109,2024-09-10,Neurokinin antagonists and uses thereof,0,A61K|A61P|G01N
12071470,2024-08-27,Human immunodeficiency virus neutralizing antibodies and methods of use thereof,1,A61K|A61P|C07K|G01N
12066430,2024-08-20,Trogocytosis mediated epitope discovery methods,0,G01N|G06F
12054711,2024-08-06,Meta-stable oligonucleotides junctions for delivery of therapeutics,0,B82Y|C12N
12054538,2024-08-06,Highly active agonistic CD4 binding site anti-HIV antibodies (HAADS) comprising modified CDRH2 regions that improve contact with GP120,0,A61P|C07K|C12N
12050201,2024-07-30,Multi-focus optical-resolution photoacoustic microscopy with ultrasonic array detection,1,A61B|G01N|G02B
12049648,2024-07-30,Adeno-associated virus compositions for targeted gene therapy,0,A61K|C07K|C12N
12039406,2024-07-16,"Controlling, detecting and entangling alkaline-earth rydberg atoms in tweezer arrays",0,B82Y|G01N|G06N|G21K|H04B
12037650,2024-07-16,Loop-mediated isothermal amplification (LAMP) based assay for detecting microbes,0,C12Q|G02B
12025858,2024-07-02,Contact lens with metered liquid system,0,A61K|G02C
12024731,2024-07-02,Methods and enzyme catalysts for the synthesis of non-canonical amino acids,0,C07K|C12N|C12P|C12Y
12004996,2024-06-11,Miniature fixed and adjustable flow restrictor for the body,0,A61F|A61K|A61M|B01L|G02C
12000735,2024-06-04,"Substrate for sensing, a method of fabricating the substrate, and analyzing apparatus including the substrate",0,B81B|B81C|B82Y|C23C|G01J|G01N
11999964,2024-06-04,Synthetic mammalian signaling circuits for robust cell population control,0,C07K|C12N|C12Y
11999954,2024-06-04,Programmable conditional SIRNAS and uses thereof,1,C12N
11998616,2024-06-04,Nanoparticles for crossing the blood brain barrier and methods of treatment using the same,0,A61K|A61P|B82Y|C07K|Y10S
11986269,2024-05-21,Spatiotemporal antialiasing in photoacoustic computed tomography,1,A61B|G01N
11969246,2024-04-30,Method of producing thin enzyme-based sensing layers on planar sensors,0,A61B|C12N|C12Q|C12Y|G01N
11965191,2024-04-23,Programmable protein circuits in living cells,0,C07K|C12N|C12Y
11965172,2024-04-23,DNA sequence modification-based gene drive,0,A01K|C12N
11965001,2024-04-23,"Modular dimerization thermoswitches and related monomers, dimers, constructs, dimeric complexes, vectors, cells, surfaces, devices compositions, methods and systems",0,C07K
11959856,2024-04-16,Multiplexing and quantification in PCR with reduced hardware and requirements,0,C12Q|G01N
11959127,2024-04-16,"Thermal bioswitches and related genetic circuits, vectors, cells, compositions, methods and systems",0,B01L|C12N|C12Q|G01N
11946066,2024-04-02,RNA-based delivery systems with levels of control,0,C07K|C12N|C12Y
11932668,2024-03-19,Selective recovery,0,A61K|C07K|C12N|C12Y
11904045,2024-02-20,"Low power, chemically amplified, electrically removable barrier",0,A61B|A61J|A61K
11903708,2024-02-20,Switchable low voltage electrochemical sensing for interfering species rejection,0,A61B|G01N
11897940,2024-02-13,Broadly neutralizing anti-HIV-1 antibodies and methods of use thereof,0,A61K|A61P|C07K|Y02A
11896629,2024-02-13,Probiotic therapies for treating Rett syndrome,0,A61K|A61P
11890318,2024-02-06,Methods and compositions for modulating appetite and intake of sodium,0,A01K|A61K|C12N
11879162,2024-01-23,Chromophore-based detection of genetic variations in analytes,0,C12Q|Y10T
11879143,2024-01-23,Engineered beta-subunit of tryptophan synthase for production of non-canonical amino acids,0,C12N|C12P|C12Y
11873518,2024-01-16,Engineered synthase for production of tryptophan derivatives and intransigent substrates,0,C07D|C12N|C12P|C12Y
