patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12415829,2025-09-16,Progesterone phosphate analogs and uses related thereto,0,A61K|A61P|C07J|Y02A
12415790,2025-09-16,GluN2B-subunit selective antagonists of the N-methyl-D-aspartate receptors with enhanced potency at acidic pH,0,A61K|A61P|C07D
12415770,2025-09-16,Modulators of liver receptor homologue 1 (LRH-1) and uses,0,A61P|C07C|C07D|C07F
12414961,2025-09-16,Substituted nucleosides and nucleotides for treating viral infections,0,A61K|A61P|C07H|Y02A
12391974,2025-08-19,Methods of detecting alloantibodies to HLA class II antigens,0,C07K|C12N|C12Q|G01N
12391746,2025-08-19,"HPV proteins, antibodies, and uses in managing abnormal epithelial cell growth",0,A61K|C07K|C12N|G01N
12391664,2025-08-19,GluN2C/D subunit selective antagonists of the N-methyl-D-aspartate receptor,0,A61K|A61P|C07D
12383568,2025-08-12,Lipid disulfide prodrugs and uses related thereto,0,A61K|A61P|Y02A
12383558,2025-08-12,Antiviral JAK inhibitors useful in treating or preventing retroviral and other viral infections,0,A61K|Y02A
12377117,2025-08-05,Hyaluronic acid nanoparticles comprising NADPH oxidases inhibitors and uses in treating cancer,0,A61K|A61P
12377063,2025-08-05,Combination therapies for managing cancer,0,A61K|A61P
12371468,2025-07-29,Variable lymphocyte receptors that target the blood brain barrier and methods of use,0,A61K|C07K
12370252,2025-07-29,RSV virus-like particles and methods of use thereof,0,A61K|A61P|C07K|C12N
12357629,2025-07-15,Uses of BCL-2 antagonists for treating cancer and diagnostics related thereto,0,A61K|A61P
12344863,2025-07-01,Method of producing stem cell-derived endothelial cells and uses thereof,0,A61K|A61P|C12N
12344827,2025-07-01,"Automatized, programmable, high-throughput tissue culture and analysis systems and methods",0,B01L|C12M|G01N
12329992,2025-06-17,Ebola virus antibodies and binding agents derived therefrom,0,A61K|A61P|C07K|C12Q
12329770,2025-06-17,N4-hydroxycytidine and derivatives and anti-viral uses related thereto,0,A61K|A61P|C07H|Y02A
12318450,2025-06-03,Photolysis to unlock caged protein therapeutics,0,A61K|C07K
12318415,2025-06-03,Lactococcus bacteria and uses thereof,0,A23L|A23V|A61K
12312328,2025-05-27,"Pyrazoline dihydroquinolones, pharmaceutical compositions, and uses",0,A61K|A61P|C07D|Y02A
12295930,2025-05-13,Inducing proliferation of cardiomyocytes and therapeutic uses related thereto,0,A61K|A61P|C12N
12286434,2025-04-29,Pan-tropic entry inhibitors,0,A61K|A61P|C07D
12269864,2025-04-08,Self-assembling collagen-like polypeptides for applications and uses related thereto,0,C07K
12268723,2025-04-08,Peptidomimetics for the treatment of coronavirus and picorna virus infections,0,A61K|A61P|C07D|C07K
12257296,2025-03-25,"Chimeric RSV, immunogenic compositions, and methods of use",0,A61K|A61P|C07K|C12N
12257225,2025-03-25,Polyoxometalate complexes and pharmaceutical compositions,0,A61K|A61P|B32B|C07C|C09D
12240829,2025-03-04,"Prostaglandin receptor EP2 antagonists, derivatives, and uses related thereto",0,A61P|C07D
12239655,2025-03-04,Combined modalities for nucleosides and/or NADPH oxidase (NOX) inhibitors as myeloid-specific antiviral agents,0,A61K|A61P|C07C|C07D|C07H
12233087,2025-02-25,Palladium hyaluronic acid particles and methods of managing cancer or angiogenic conditions,0,A61K|A61P|C07K|C08B|C08L
12213962,2025-02-04,Drug resistant immunotherapy for treatment of a cancer,0,A61K|A61P|C12N
12201692,2025-01-21,Targeted protease compositions and uses related thereto,0,A61K|A61P|C07K|C12N|C12Y
12194088,2025-01-14,Compositions and methods for promoting immune responses to human immunodeficiency virus,0,A61K|C07K|C12N
12188038,2025-01-07,"Methods, devices and systems for enhanced transduction efficiency",0,C12N
12180249,2024-12-31,Compositions and methods for selective labeling of secondary amines,0,C07D|C07K
12173315,2024-12-24,Growth and survival compositions for cells capable of producing antibodies and methods related thereto,0,A61K|C12N
12163965,2024-12-10,Methods of culturing and characterizing antibody secreting cells,0,C12N|G01N
12162960,2024-12-10,"Selectin inhibitors, composition, and uses related thereto",0,A61K|A61P|C07K
12161671,2024-12-10,Immune cells with DNMT3A gene modifications and methods related thereto,0,A61K|A61P|C07K|C12N|C12Y
12144791,2024-11-19,"KRAS agonists, pharmaceutical compositions, and uses in managing cancer",0,A61K|A61P
12116399,2024-10-15,Von Willebrand factor proteins for treating bleeding disorders,0,A01K|A61K|A61P|C07K|C12N
12098180,2024-09-24,Compositions and uses of vasoactive intestinal peptide (VIP) antagonists,0,A61K|A61P|C07K|C12N
12084487,2024-09-10,Nanoparticles having molecules that bind or block PD-L1 and uses in treating cancer,0,A61K|A61P|B82Y|C07K|C12Y|G01N
12083132,2024-09-10,Botanical extracts and compounds from Schinus plants and methods of use,0,A61K|A61P
12077609,2024-09-03,Variable lymphocyte receptors that target the brain extracellular matrix and methods of use,0,A61K|A61P|C07K|C12N
12070510,2024-08-27,Injection of single-stranded or self-complementary adeno-associated virus 9 into the cerebrospinal fluid,0,A61K|A61P|C12N
12065402,2024-08-20,Modulators of liver receptor homologue 1 (LRH-1) and uses,1,A61P|C07C|C07D|C07F
12049474,2024-07-30,Nucleoside prodrugs and uses related thereto,0,A61P|C07F
12023379,2024-07-02,"Immunostimulatory compositions, particles, and uses related thereto",0,A61K|A61P
12016863,2024-06-25,Inhibitors of RSV replication and applications thereof,0,A61K|A61P|C07D
12006328,2024-06-11,"Thieno[2,3-d]pyrimidin-4-one derivatives as NMDAR modulators and uses related thereto",0,A61P|C07D
12005078,2024-06-11,Genetically engineered drug resistant T cells and methods of using the same,0,A61K|A61P|C07K|C12N|C12Y
11987589,2024-05-21,"Heterocyclic flavone derivatives, compositions, and methods related thereto",0,A61K|A61P|C07D
11981699,2024-05-14,Phosphoramidates for the treatment of hepatitis B virus,0,A61K|A61P|C07B|C07D|C07H
11981652,2024-05-14,GluN2C/D subunit selective antagonists of the N-methyl-D-aspartate receptor,1,A61K|A61P|C07D
11976279,2024-05-07,Methods and compositions for managing vascular conditions using miR-483 mimics and HIF1alpha pathway inhibitors,0,A61K|C12N
11969427,2024-04-30,"Use of TREM-1 inhibitors for treatment, elimination and eradication of HIV-1 infection",0,A61K|A61P|C12N|Y02A
11963972,2024-04-23,Antiviral agents and nucleoside analogs for treatment of Zika virus,0,A61K|A61P|Y02A
11939593,2024-03-26,Compositions and methods for improving embryo development,0,A01K|C12N|C12Y
11903959,2024-02-20,N4-hydroxycytidine and derivatives and anti-viral uses related thereto,0,A61K|A61P|C07H|Y02A
11897938,2024-02-13,"Factor VIII proteins having ancestral sequences, expression vectors, and uses related thereto",0,A61K|C07K
11884967,2024-01-30,"Polynucleotide based movement, kits and methods related thereto",0,C12N|C12Q|C12Y
11883445,2024-01-30,Lactococcus bacteria and uses thereof,1,A23L|A23V|A61K
11859208,2024-01-02,Methods of treating cancer using cell based therapies,0,A61K|A61P|C07K|C12N|C12Y
11859014,2024-01-02,Peptidomimetics for the treatment of Norovirus infection,0,A61K|A61P|C07K
11857618,2024-01-02,Boosting immunogenicity of vaccines using saponins and agonists of the intracellular stimulator of interferon genes pathway,0,A61K|A61P|C12N
11857560,2024-01-02,Pharmaceutical compositions comprising substituted nucleotides and nucleosides for treating viral infections,0,A61K|A61P|C07H|Y02A
11851500,2023-12-26,Antibodies useful for detection of human carcinoma antigen,0,C07K|C12N|G01N
11850263,2023-12-26,Nanoparticles conjugated with vasoactive intestinal peptide antagonists,0,A61K|C07K
11850247,2023-12-26,Antiviral compounds,0,A61K|A61P|C07B|C07C|C07D|C07K
11844846,2023-12-19,Styrylbenzothiazole derivatives and uses in imaging methods,0,A61K|C07B|C07D
11844802,2023-12-19,Compounds and compositions for ossification and methods related thereto,0,A61K|A61L|A61P|C07D
11844785,2023-12-19,"3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide compounds for the management of CFTR protein mediated diseases",0,A61K|A61P
11826336,2023-11-28,Nutritional formulas comprising medium chain fatty acids or esters thereof and methods related thereto,0,A23L|A23V|A61K
11814627,2023-11-14,Circular RNAs and their use in immunomodulation,0,A61K|C12N
11801255,2023-10-31,Lipid disulfide prodrugs and uses related thereto,1,A61K|A61P|Y02A
11793836,2023-10-24,Method for treating complications related to acute or chronic hyperglycemia,0,A61K|A61P|C07K|G01N
11786580,2023-10-17,"VIP and VIP agonists, nanoparticles, and uses in inflammatory T-cell mediated disease",0,A61K|C07K
11779583,2023-10-10,Tricyclic amino containing compounds for treatment or prevention of symptoms associated with endocrine dysfunction,0,A61K|A61P|C07C|C07D
11744831,2023-09-05,Antiviral JAK inhibitors useful in treating or preventing retroviral and other viral infections,0,A61K|Y02A
11739138,2023-08-29,Compositions and methods for identifying and sorting antigen-specific B cells,0,A61K|A61P|C07K|C12N|C12Q
11738095,2023-08-29,Cyanine-containing compounds for cancer imaging and treatment,0,A61K|A61P|C07D|G01N
11738008,2023-08-29,N-methyl-D-aspartic acid receptor modulators,0,A61K|A61P|C07D
11730701,2023-08-22,Particles for targeted delivery and uses in managing bleeding or blood clotting,0,A61K
11725025,2023-08-15,Progesterone phosphate analogs and uses related thereto,0,A61K|A61P|C07J|Y02A
11713349,2023-08-01,Ebola virus antibodies and binding agents derived therefrom,1,A61K|A61P|C07K|C12Q
11701389,2023-07-18,Methods of preserving mesenchymal stem cells,0,A01N|A61K|C12N
11691939,2023-07-04,Modulators of liver receptor homologue 1 (LRH-1) and uses,2,A61P|C07C|C07D|C07F
11690824,2023-07-04,Antibacterial compounds,0,A61K|A61P|C07D
