patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429461,2025-09-30,Defect detection device and defect detection method,0,G01N|H04N
12423205,2025-09-23,"Monitoring system, monitoring method and server used therefor",0,G01N|G06F|G06T
12417619,2025-09-16,Image analyzing device,0,C12Q|G01N|G06T|G06V
12416641,2025-09-16,Microorganism identification method,0,C12Q|G01N|Y02A
12416612,2025-09-16,Gas chromatograph with a housing including an operation reception unit,0,G01N
12416610,2025-09-16,"Analysis assistance device, method, and program for an analysis used in liquid chromatography",0,G01N
12416606,2025-09-16,Liquid chromatography analysis system,0,G01N
12406839,2025-09-02,Mass spectrometry method and mass spectrometer,0,G01N|H01J
12405255,2025-09-02,Detector for liquid chromatograph,0,G01N
12405214,2025-09-02,Optical inspection apparatus and optical inspection method,0,G01N
12399192,2025-08-26,"Sample plate supply control device, sample plate supply control system, sample plate supply control method and non-transitory computer readable medium storing sample plate supply control program",0,G01N
12399162,2025-08-26,Waveform processing device for chromatogram and waveform processing method for chromatogram,0,G01N
12399161,2025-08-26,Method for analyzing coffee component,0,G01N
12399159,2025-08-26,"Liquid feeding unit, and liquid chromatography analysis system and control method thereof",0,B01D|G01N
12394170,2025-08-19,Cell image analysis method and cell image analyzer,0,C12M|C12Q|G06T|G06V
12392715,2025-08-19,Atomic absorption spectrophotometer,0,G01N
12392689,2025-08-19,Online sampling system,0,G01N
12385886,2025-08-12,Supercritical fluid chromatograph and sample supply method used in supercritical fluid chromatograph,0,B01D|G01N
12385855,2025-08-12,X-ray imaging system and learned model production method,0,G01N|G06T
12385845,2025-08-12,Optical measurement device and liquid chromatograph system,0,G01N
12385783,2025-08-12,Infrared Raman device,0,G01J|G01N
12379382,2025-08-05,"Analysis method, analytical method and microorganism identification method",0,C12Q|G01N
12379321,2025-08-05,Sulfur chemiluminescence detector,0,B01D|G01N|Y02A
12372472,2025-07-29,Micro-Raman device,0,G01J|G01N
12366559,2025-07-22,Gas chromatograph device,0,G01N
12361940,2025-07-15,Material testing machine and particle analyzing apparatus,0,G01N|G10L
12360089,2025-07-15,Gas spectroscopic device and gas spectroscopic method,0,G01N
12360088,2025-07-15,Liquid chromatograph,0,G01N
12360068,2025-07-15,Thermal conductivity detector,0,G01N
12360052,2025-07-15,Defect inspection apparatus and defect inspection method,0,G01B|G01H|G01M|G01N|G06T
12354860,2025-07-08,"Analysis method, adsorption prevention agent, and analysis kit",0,G01N|H01J
12352769,2025-07-08,"Method, system, and device for designing experimental protocol",0,G01N|G06F|H04L
12352731,2025-07-08,Autosampler for chromatograph and fluid chromatography system,0,G01N
12352710,2025-07-08,Signal processing device for x-ray analysis,0,G01N|G01T
12345726,2025-07-01,Plate changer,0,G01N
12345681,2025-07-01,Display process method and data analysis apparatus,0,G01N|G06T
12345653,2025-07-01,Defect inspection apparatus,0,G01B|G01N
12345651,2025-07-01,"Gas chromatographic component analysis system and component detector including an oxidation-reduction furnace, reaction cell and photodetector",0,B01D|G01N|Y02A
12339262,2025-06-24,"Analysis assistance device, method, and program for searching for an analysis condition for use with a liquid chromatography system",0,G01N
12332267,2025-06-17,Biochemical analysis apparatus and biochemical analysis method,0,G01N
12332259,2025-06-17,Analysis device,0,G01N|G06F
12332221,2025-06-17,Supercritical fluid apparatus and pressure control method used in supercritical fluid apparatus,0,B01D|G01N|G05D
12330156,2025-06-17,"Flow path device, and testing device and testing method using same",0,B01L|C12Q|G01N|G02B
12326427,2025-06-10,Preparative fluid chromatograph device,0,B01D|G01N
12326426,2025-06-10,Management system for managing operation of preparative liquid chromatograph apparatus,0,B01D|G01N
12326409,2025-06-10,"Sample component determination method, sample component determination apparatus, learning method and computer readable non-transitory recording medium",0,G01N|G06N
12325851,2025-06-10,Stirring device and preprocessing device,0,B01F|C12M|G01N
12320820,2025-06-03,"Sample pretreatment device, analysis system including the device, and autosampler",0,G01N
12320789,2025-06-03,Thermal conductivity detector,0,G01N
12320785,2025-06-03,Column oven and gas chromatograph,0,G01N
12320781,2025-06-03,"Joined body testing method, joined body testing device, and joined body",0,B21D|G01H|G01N
12318473,2025-06-03,Composition for controlling indigenous bacterial flora in the skin,0,A61K|A61P|A61Q
12313640,2025-05-27,"Validation device, validation method and non-transitory computer readable medium",0,G01N
12313608,2025-05-27,Automatic sample injection device,0,G01N
12313537,2025-05-27,"Holder for drying, method of manufacturing measurement sample, and measurement method",0,B01L|G01N
12307655,2025-05-20,Cell image analysis method and cell image analysis device,0,G01N|G06T
12306196,2025-05-20,Analysis device management system and non-transitory computer readable medium storing program,0,G01N
12306153,2025-05-20,Ion chromatograph,0,G01N
12306150,2025-05-20,Sample measurement device and measurement sample identification method,0,G01N
12306148,2025-05-20,Analysis system and analysis execution method,0,G01N|H01J
12306145,2025-05-20,Inspection apparatus,0,B01D|G01N
12306144,2025-05-20,Mobile phase delivery system and mobile phase delivery method,0,G01N
12306074,2025-05-20,Liquid waste monitoring device,0,G01F|G01N
12298285,2025-05-13,Sample measurement device and measurement parameter setting assistance device,0,G01N
12292425,2025-05-06,"Peak tracking device, peak tracking method and non-transitory computer readable medium storing peak tracking program",0,G01N
12292423,2025-05-06,"Liquid chromatographic system and method of cleaning the same, and computer readable medium",0,B01D|G01N
12292422,2025-05-06,Liquid chromatograph and flow path cleaning method in liquid chromatograph,0,B01D|B08B|G01N
12292421,2025-05-06,Gas chromatograph,0,G01N
12292397,2025-05-06,X-ray fluorescence analyzer,0,G01N
12292393,2025-05-06,X-ray phase imaging apparatus,0,G01N
12292383,2025-05-06,Raman infrared compound microscope device,0,G01J|G01N|G02B
12287348,2025-04-29,Autosampler structure for determining a vertical/horizontal distance between a needle tip and a vial top surface,0,G01N
12287339,2025-04-29,"Analysis method, microorganism identification method, and testing method",0,C12Q|G01N|Y02A
12287314,2025-04-29,Method of cleaning liquid chromatographic system and liquid chromatographic system,0,B01D|B08B|G01N
12287309,2025-04-29,Wire rope inspection device and wire rope inspection system,0,B66B|G01N
12287290,2025-04-29,Microscopic Raman device,0,G01J|G01N|G02B
12287263,2025-04-29,Sample purification apparatus and analysis system,0,B01D|B03B|B03D|G01N|Y02W
12285756,2025-04-29,Microfluidic system,0,B01L|G01N
