patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428719,2025-09-30,Multilayer coating for interface cones,0,B32B|C23C|C25D|G01N|H01J|Y10T
12420215,2025-09-23,Sample injector with sample fluid filtering,0,B01D|G01N
12416638,2025-09-16,Methods for labeling amine-containing compounds,0,C07D|G01N|Y10T
12416609,2025-09-16,Methods and systems for carrier gas identification in gas chromatography,0,B01D|G01N
12411114,2025-09-09,Chromatography column adaptor and use for fluidic connections,0,G01N
12404543,2025-09-02,Hybridization compositions and methods for making and using compositions,0,C12Q
12394614,2025-08-19,Ion source,0,G01N|H01J
12391981,2025-08-19,Chromogenic peroxidase substrates,0,C07D|C12N|C12Q|G01N
12385887,2025-08-12,"Collet, devices, and methods for installation of fluidic conduits to fluidic components",0,F16L|G01N
12372505,2025-07-29,Methods and systems for sensing headspace vial presence,0,B01D|G01F|G01N
12366551,2025-07-22,Capillary electrophoresis system,0,G01N
12360090,2025-07-15,Using multi-component test sample for determining real parameter value of sample separation,0,G01N
12359902,2025-07-15,Column depth measuring guide,0,G01B|G01N
12350674,2025-07-08,Headspace eliminating microtiter plate lid and method of optically measuring well oxygen concentration through the lid,0,B01L|G01N
12326387,2025-06-10,Deparaffinization of tissue by electric field generation and ionization,0,G01N
12320786,2025-06-03,Gas sample selector,0,G01N
12313607,2025-05-27,Operation of an injector of a sample separation device,0,G01N
12298210,2025-05-13,Preparation of tissue sections using fluorescence-based detection,0,G01N|G06T
12292420,2025-05-06,Control of sample separation based on analysis of mobile phase supply from mobile phase container,0,G01N
12281302,2025-04-22,Assembly of long nucleic acids by ligation using indexed splint oligos,0,C12N
12273670,2025-04-08,Instrument monitoring system,0,G01N|H04L|H04Q
12259371,2025-03-25,Carrier gas connection device for gas chromatographs,0,G01N
12235249,2025-02-25,Removing portions of undefined composition from the mobile phase,0,G01N
12235248,2025-02-25,Sample injection with fluidic connection between fluid drive unit and sample accommodation volume,0,G01N
12209276,2025-01-28,Hybridization compositions and methods,0,C12Q|Y10T
12174160,2024-12-24,Fluid processing with withdraw-transfer modulation,1,G01N
12172162,2024-12-24,Pre-shaping fluidic sample in a planar way before processing,0,B01L|G01N
12163932,2024-12-10,Configuring an injector for emulating operation of another injector,0,F16K|G01N
12140575,2024-11-12,Branching off fluidic sample with low influence on source flow path,0,B01D|G01N
12140478,2024-11-12,Method and system for element identification via optical emission spectroscopy,0,G01J|G01N
12130266,2024-10-29,Versatile tube-free jet for gas chromatography detector having a conical inlet skirt,0,B01D|G01N
12117424,2024-10-15,Versatile tube-free jet for gas chromatography detector having a conical inlet skirt,0,B01D|G01N
12092644,2024-09-17,Kits comprising aldehydes to reduce artifacts in analyzing glycans released from glycoproteins or glycopeptides,1,C09B|C12P|G01N
12085545,2024-09-10,Adjusting separation method using sensor data and numerical analysis,1,G01N
12078619,2024-09-03,Injector serving multiple sample separation apparatuses,0,B01D|G01N
12066428,2024-08-20,Cell-substrate impedance monitoring of cancer cells,0,C12N|G01N
12059683,2024-08-13,Headspace eliminating microtiter plate lid and method of optically measuring well oxygen concentration through the lid,0,B01L|G01N
12055526,2024-08-06,Sample handling and dispatching individual sample packages for fluid processing,0,B01D|G01N
12050163,2024-07-30,Deparaffinization of tissue utilizing electric field,0,G01N|G02B
