patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427532,2025-09-30,Magnetic levitation system,0,B03C|G01N|G06N
12427118,2025-09-30,Injectable cryogel vaccine devices and methods of use thereof,0,A61K|A61L
12421506,2025-09-23,"Engineering of systems, methods and optimized guide compositions with new architectures for sequence manipulation",0,C12N|C12Y
12421493,2025-09-23,Universal donor stem cells and related methods,0,A61K|C12N
12421248,2025-09-23,Macrocyclic compound and uses thereof,0,A61K|A61P|C07D|C07K
12419948,2025-09-23,Immunogenic compositions and use thereof,0,A61K|A61P|C12N|G01N
12419897,2025-09-23,Synthetic derivatives of cholic acid 7-sulfate and uses thereof,0,A61K|A61P|C07J
12416625,2025-09-16,Deterministic control of polymer molecule translocation through a nanopore,0,B01D|B82Y|C12Q|C12Y|G01N
12416033,2025-09-16,Assays and other reactions involving droplets,0,B01F|B01J|B01L|C12N|C12P|C12Q|C40B|G01N
12415001,2025-09-16,RNA-guided systems for in vivo gene editing,0,A61K|C12N
12415000,2025-09-16,CRISPR system based antiviral therapy,0,A61K|C12N
12414999,2025-09-16,Compositions and methods relating to macrophages and/or monocytes with adhered particles,0,A61K|A61P
12414982,2025-09-16,Cellular reprogramming to reverse aging and promote organ and tissue regeneration,0,A61K|A61P|C12N
12414971,2025-09-16,Methods and compositions to treat and prevent infection,0,A23L|A23V|A61K|A61P
12414935,2025-09-16,Compounds and methods for the treatment of parasitic diseases,0,A61K|A61P|C07D
12411126,2025-09-09,Nanopore sensor having a fluidic passage and transistor sensing of local electrical potential at the fluidic passage,0,B01L|C12Q|G01N
12410468,2025-09-09,CRISPR enzymes and systems,0,C12N|C12Q
12410447,2025-09-09,Engineered muscle targeting compositions,0,A61K|A61P|C07K|C12N
12410392,2025-09-09,Delivery of biomolecules to immune cells,0,A61K|A61P|C12M|C12N|G01N
12409207,2025-09-09,Cellular reprogramming to reverse aging and promote organ and tissue regeneration,0,A61K|A61P|C12N
12406749,2025-09-02,Systems and methods for predicting repair outcomes in genetic engineering,0,A61K|C12N|G16B
12405242,2025-09-02,Systems and methods for patterning and spatial electrochemical mapping of cells,0,B01J|C12Q|G01N
12404525,2025-09-02,Engineered human-endogenous virus-like particles and methods of use thereof for delivery to cells,0,C07K|C12N
12404514,2025-09-02,CRISPR-systems for modifying a trait of interest in a plant,0,C12N
12398423,2025-08-26,Single cell nucleic acid detection and analysis,0,C12N|C12Q
12398406,2025-08-26,CAS9 proteins including ligand-dependent inteins,0,C07K|C12N|C12P|C12Y
12398390,2025-08-26,Negative selection and stringency modulation in continuous evolution systems,0,C07K|C12N|C40B
12397294,2025-08-26,Microfluidic trapping chip and uses thereof for culture and assay of cell clusters and objects,0,B01L|C12M|G01N
12390514,2025-08-19,Cancer vaccine,0,A61K|C07K|C12N|C12Y
12385160,2025-08-12,Enzyme screening methods,0,C12Q|C40B|G01N|G16B
12385033,2025-08-12,High-resolution spatial macromolecule abundance assessment,0,C12N|C12Q
12371737,2025-07-29,CRISPR enzymes and systems,0,C12N|C12Q
12366009,2025-07-22,Continuous directed evolution,0,C07K|C12N|C40B
12359218,2025-07-15,Methods and compositions for evolving base editors using phage-assisted continuous evolution (PACE),0,C07K|C12N|C12Y
12351862,2025-07-08,Crisscross cooperative self-assembly,0,B82Y|C07H|C12Q
