patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428663,2025-09-30,Identification of DNA polymerase theta inactivation mechanism,0,A61K|C12Q|G01N
12419900,2025-09-23,Induction of synthetic lethality with epigenetic therapy,0,A61K|A61P
12410437,2025-09-09,Incorporation of internal polya-encoded poly-lysine sequence tags and their variations for the tunable control of protein synthesis in bacterial and eukaryotic cells,0,C12N
12410141,2025-09-09,Anti-cancer spirocyclic-guanidine compounds and uses thereof,0,A61P|C07D
12405333,2025-09-02,Magnetic resonance imaging of glycogen and other polysaccharides by magnetic coupling with water,0,A61B|G01N|G01R|Y02A
12405237,2025-09-02,Predicting ceramic colloidal suspension stability for extrusion-based additive manufacturing,0,G01N
12372524,2025-07-29,Anti-PAD2 antibody for treating and evaluating autoimmune and inflammatory diseases,0,A61K|A61P|C07K|C12Y|G01N
12371522,2025-07-29,Bioreducible poly (beta-amino ester)s for siRNA delivery,0,A61K|A61L|C07C|C07D|C08F|C08G|C12N|Y10T
12366570,2025-07-22,Cell-based ZNT8 assay,0,C07K|G01N
12364980,2025-07-22,Non-invasive cancer detection and analysis by single-molecule imaging,0,B01F|B01L|G01N
12364681,2025-07-22,Combined MAPK and NAMPT inhibition for treatment of neuron degeneration,0,A61K|A61P
12359250,2025-07-15,Bottleneck sequencing,0,C12Q|C40B
12359209,2025-07-15,Recombinant therapeutic interventions for cancer,0,A61K|A61P|C07K|C12N|C12Y
12359167,2025-07-15,"Methods and compositions for infusion of transiently engrafting, selected populations of allogeneic lymphocytes to treat cancer",0,A61K|A61P|C12N|Y02A
12357965,2025-07-15,Supramolecular filamentous assemblies for protein purification,0,B01D|B01J|C07K
12357673,2025-07-15,Compositions comprising albumin-FMS-like tyrosine kinase 3 ligand fusion proteins and uses thereof,0,A61K|A61N|A61P|C07K|C12N
12351605,2025-07-08,Optically controllable FGFR stimulation using wireless controlled cellular lighting system,0,C07K|C12M|C12N
12339288,2025-06-24,Multi-protein biomarker assay for brain injury detection and outcome,0,C12Q|G01N
12338472,2025-06-24,Isolation of fungal melanin and uses in external radiation shielding and heat capture,0,B01D|C09B|C12P|G21F
12327334,2025-06-10,Capturing multi-spectral images,0,G01J|G01N|G06T|G06V
12322509,2025-06-03,Methods and related aspects for analyzing chromosome number status,0,C12Q|G16B|G16H
12319971,2025-06-03,Methods for prostate cancer detection,0,C12Q|G01N
12312398,2025-05-27,Compositions and methods for targeting activin signaling to treat cancer,0,A61K|A61P|C07K
12311593,2025-05-27,Melanin based bio-composites for 3D printing,0,B29C|B32B|B33Y|C08G|C08K|C08L|C09B|C12P|F24S
12311346,2025-05-27,Increasing rates of catalytic chemical reactions by operating under conditions of adsorption compression,0,B01J|G01N
12306173,2025-05-20,Camera-based hemoglobin detection,0,A61B|G01J|G01N
12305242,2025-05-20,Methods and related aspects for quantitative polymerase chain reaction to determine fractional abundance,0,C12Q|G16B|G16H
12303508,2025-05-20,Combinatory treatment strategies of cancer based on RNA polymerase I inhibition,0,A61K|A61P
12295968,2025-05-13,Compositions and methods for targeted immunomodulatory antibodies and fusion proteins,0,A61K|A61P|C07K
12291749,2025-05-06,DNA methylation and genotype specific biomarker for predicting post-traumatic stress disorder,0,C12Q|G01N
12276657,2025-04-15,Detection of PAR in the CSF of patients with Parkinson's disease,0,C07K|G01N
12276631,2025-04-15,Parallel clock salinity sensor,0,G01N|G06F|H03K
12276590,2025-04-15,Surface area determination for porous and particulate materials,0,G01N
12275996,2025-04-15,Head and neck squamous cell carcinoma assays,0,C12Q
12275957,2025-04-15,Next generation designer liver organoids and their methods of preparation and use,0,A61K|C12N|G01N
12269797,2025-04-08,"Bifunctional linker for bisconjugation, method of synthesis, and method of use",0,A61K|C07B|C07C|C07D|C08G
12252743,2025-03-18,Safe sequencing system,0,C12Q
12240895,2025-03-04,Heterotopic ossification and method of treatment,0,A61K|A61P|C07K
12233137,2025-02-25,PSMA targeted radiohalogenated urea-polyaminocarboxylates for cancer radiotherapy,0,A61K|A61P|C07B|C07D|C07F|C12Y
12233125,2025-02-25,Method for treating pulmonary hypertension with antibodies to human Resistin,0,A61K|A61P|C07K
