patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429472,2025-09-30,Methods and systems for predicting formation thermal properties,0,G01N|G06N
12427516,2025-09-30,Apparatus for forming and testing inorganic salts,0,B01L|G01N
12422416,2025-09-23,Estimation of alkyl substituent carbon number of aromatic compounds using gel permeation chromatography retention time and prediction models,0,G01N
12422348,2025-09-23,High throughput high resolution gas sorption screening,0,B01D|B01J|G01J|G01N|Y02C
12421865,2025-09-23,Method of gas turbine LEL sensor remote gas calibration,0,F01D|F05D|G01N
12421850,2025-09-23,System for providing real-time predictive carbon dioxide corrosion rate modelling,0,C09K|E21B|G01N
12421844,2025-09-23,Method to assess reservoir continuity between single wells in an oilfield formation within a region with several petroleum reservoirs,0,E21B|G01N
12416623,2025-09-16,Real-time detection of gas kicks during drilling and gas cap gas intrusion during oil production,0,E21B|G01N
12416570,2025-09-16,Measurement of iron in glycol and amine in natural gas processing,0,B01D|C10L|G01N
12416563,2025-09-16,Systems and methods to determine permeability of rock under anisotropic stress,0,E21B|G01N
12412309,2025-09-09,Chemical purity assessment by image analysis,0,G01N|G06T
12410686,2025-09-09,Monitoring scale inhibitor treatment,0,C09K|E21B|G01N|H01J
12410134,2025-09-09,Tracers for petroleum reservoirs,0,C07D|C09K|E21B|G01N
12404754,2025-09-02,Method of measurement of interfacial tension (IFT) of two immiscible fluids at reservoir conditions: an in situ gas buffered injection,0,C09K|E21B|G01N
12400425,2025-08-26,Automated thermal maturation estimation from palynological sample images,0,E21B|G01N|G06V
12399292,2025-08-26,Method for determining connected and non-connected porosities,0,E21B|G01N|G01V
12399165,2025-08-26,On-line core holder design for polymer quality testing device,0,E21B|G01N
12399157,2025-08-26,Optimization of p-xylene recovery by integration of HPLC into aromatics recovery complex,0,B01D|G01N
12392763,2025-08-19,Hydrocarbon contaminant detection using polymer film,0,G01N
12392737,2025-08-19,Method and apparatus for cyclic imaging a rock sample,0,G01N
12387307,2025-08-12,Determining severity of stepwise cracking in a pressurized vessel,0,G01N|G06T
12385896,2025-08-12,Transporting clastic rock samples for palynomorph analysis,0,B01L|B64C|B64U|G01N
12385895,2025-08-12,Isotopic monitoring of reservoir water,0,E21B|G01N
12385858,2025-08-12,Evaluating source rock based on time series analysis,0,G01N
12385818,2025-08-12,Modeling gas desorption in a subsurface reservoir,0,E21B|G01N|G01V
12385394,2025-08-12,Hydrocarbon exploration and production using porosity variation prediction based on carbonate texture,0,E21B|G01N
12384747,2025-08-12,Tracers for petroleum reservoirs,0,C07D|C09K|E21B|G01N
12379358,2025-08-05,Industrial scale endothermic pilot plant system,0,B01J|G01N
12379299,2025-08-05,Methods and systems for a parallel flow core sample holder,0,G01N
12378881,2025-08-05,Method for determining rock matrix and fracture permeability by using poroelastodynamics and density averaging schemes,0,E21B|G01N|G01V
12374878,2025-07-29,Method of estimating relative humidity in a machine,0,G01N|G05D|H02H
12372684,2025-07-29,Numerical simulation capability for determining blockages within a wellbore and wellbore completion setups,0,E21B|G01N|G01V|G06F
12372503,2025-07-29,Multifunctional magnetic tags for mud logging,0,E21B|G01N
12372384,2025-07-29,360 degree in-line pipe sensor assembly,0,F16L|G01D|G01N
12371987,2025-07-29,Integrated on-stream inspection verification system with artificial intelligence advisory telescopic stick,0,E21B|G01N
12366554,2025-07-22,Gaseous bubble system and method to measure gelation time,0,G01K|G01N
12366543,2025-07-22,Determination of petroleum component boiling temperatures,0,G01N|G16C
12360098,2025-07-15,Analytical determination of dissolved gas concentration in water pipelines,0,G01N
12360031,2025-07-15,Online particles count monitoring system and seawater injection system comprising the same,0,E21B|G01N
12359554,2025-07-15,Real-time multimodal radiometry for subsurface characterization during high-power laser operations,0,E21B|G01N
12354712,2025-07-08,Method to prepare virtual assay using nuclear magnetic resonance spectroscopy,0,G01N|G01R|G16C
12352738,2025-07-08,Mixing model to determine the composition of produced water using oxygen and hydrogen isotope ratios,0,G01N|H01J
12352164,2025-07-08,Method for downhole reservoir sampling inlet selection,0,E21B|G01N|G01V
12352163,2025-07-08,Integrated time-lapse gas geochemistry and equation of state modeling for evaluating desorbed gas in production,0,E21B|G01N|G01V
12345670,2025-07-01,Hydrogel-based pH sensors and use thereof,0,G01N
12333921,2025-06-17,"Unmanned aerial system for autonomous gas leakage detection, quantification, and mitigation",0,G01N|G08B
12332230,2025-06-17,Prediction of cement longevity using digital cement modeling,0,E21B|G01N|G06F
12332157,2025-06-17,Methods and systems for determining reservoir and fracture properties,0,E21B|G01N|G01V
12323099,2025-06-03,Polymer based photovoltaic modules with embedded optical sensors,0,G01N|H02S|H10F|Y02E
12320688,2025-06-03,Systems and methods for analyzing multiphase production fluids,0,E21B|G01F|G01N
12313600,2025-05-27,Smart metal-loss monitoring for coil tubing,0,E21B|G01N
12313571,2025-05-27,Wellhead landing base inspection utilizing x-rays,0,E21B|G01B|G01N
12312945,2025-05-27,System and method for wellbore identification in multi-lateral wellbores,0,E21B|G01N
12305507,2025-05-20,Measuring drilling fluid hydrogen sulfide with smart polymers,0,C09K|E21B|G01N
12298286,2025-05-13,"Method for separation and quantitation of benzene, toluene, ethyl benzene, o-xylene, m-xylene, and p-xylene (BTEX) using high performance liquid chromatography",0,G01N
12298266,2025-05-13,Changes in resistivity of mesh-patterned polymer thin films coated with conductive traces used to detect hydrocarbon fuels hidden in paraffin-based lubrication oils,0,G01N
12287318,2025-04-29,"Workflow to predict source rock richness and net thickness using integrated inorganic, pyrolysis, and wireline data",0,E21B|G01N
12276651,2025-04-15,Systems and methods for analyzing multiphase production fluid,0,G01L|G01N
12260312,2025-03-25,Soft-sensor to measure pH of treated seawater,0,B01D|C02F|C09K|E21B|G01N|G06N
12259377,2025-03-25,Detecting hydrocarbon fuels in lubrication oils,0,B01L|G01N
12259366,2025-03-25,Cement strength evaluation in a simulated downhole setting with acoustic measurements,0,G01N
12259093,2025-03-25,Systems and methods for volume fraction analysis of production fluids utilizing a vertically oriented fluidic separation chamber,0,E21B|F17D|G01F|G01N
12258858,2025-03-25,Control systems and methods for rock cuttings identification,0,B82Y|E21B|G01N|G06T|G06V
12253511,2025-03-18,System and method for testing cement,0,G01N
12253467,2025-03-18,Determining partition coefficients of tracer analytes,0,G01N
12253459,2025-03-18,In-situ monitoring of chemical fingerprints in oilfield applications,0,E21B|G01N|G01V
12253453,2025-03-18,Multifunctional volumetric adsorption test units and methods of using same,0,G01K|G01L|G01N
12253440,2025-03-18,Methods and systems for automatic multi-phase mobile sampling collection and analysis,0,G01N
12249405,2025-03-11,Method to prepare virtual assay using time of flight mass spectroscopy,0,G01N|G16C|H01J
12247448,2025-03-11,"System and method for automated drill cutting sampling, preparation, analysis, and packaging",0,E21B|G01N
12243627,2025-03-04,Method to prepare virtual assay using Fourier transform ion cyclotron resonance mass spectroscopy,0,G01N|G16C|H01J
12241883,2025-03-04,Method to prepare virtual assay using gel permeation chromatography,0,B01D|G01N|G06F
12237055,2025-02-25,Method to generate highly accurate thermodynamic and physical fluid properties of real light-distillate fuels for one-dimensional hydraulic models using a detailed multi-component surrogate formulation approach,0,G01N|G16C
12235283,2025-02-25,Measuring density of multiphase fluids,0,G01F|G01N
12233545,2025-02-25,"Modular, propelled cable suspended robot for industrial plants and unmanned offshore platforms",0,A62C|B25J|B66C|F16L|G01N|G05B
12228560,2025-02-18,Methods and systems for predicting dissolved oxygen in seawater using a neural network,0,C02F|G01N
12228547,2025-02-18,Online inspection for early HTHA detection using a hybrid sensory system,0,G01N
12228512,2025-02-18,Multipurpose microfluidics devices for rapid on-site optical chemical analysis,0,B01L|G01N
12228437,2025-02-18,Multiphase flow meter,0,G01F|G01N|G01R
12226774,2025-02-18,Microfluidic device and direct measurement of reaction rate,0,B01L|G01N
12222273,2025-02-11,Apparatus for real-time monitoring of organic matter porosity evolution using selective photo-thermal laser as a heat source to target organic matter only,0,G01N
12221886,2025-02-11,Attenuated total internal reflection optical sensor for obtaining downhole fluid properties,0,E21B|G01N
12216097,2025-02-04,Sample cylinder content identification system and method thereof,0,G01N
12216087,2025-02-04,Portable EMI machine,0,E21B|G01N
12216041,2025-02-04,Method to detect diesel in fluid samples using partially dissolvable cuvettes,0,G01N
12210026,2025-01-28,Robotic modular geologic core preparation and examination table,0,G01N
12209895,2025-01-28,Inlet dividers having a plurality of analyzing and production apertures for analyzing multiphase production fluid as well as systems incorporating the same,0,G01F|G01N
12196910,2025-01-14,Parameterization of nuclear magnetic resonance transverse relaxation time distribution,0,E21B|G01N|G01V
12196713,2025-01-14,Convex ultrasonic sensor for weld inspection,0,G01N|G06T
12195840,2025-01-14,Methods for growing crystals on QCM sensors,0,C23C|C30B|G01B|G01N
12188074,2025-01-07,Methods for reducing condensation,0,B82Y|C01B|C01C|C01P|C08G|C09K|C12P|E21B|Y02E
12181628,2024-12-31,Method and apparatus for continuously checking casing cement quality,0,E21B|G01K|G01L|G01N|G01V
12181449,2024-12-31,Fluidized bed for industrial hygiene applications,0,B01D|G01N
12181418,2024-12-31,System and method for in-situ probing of a conduit,0,F17D|G01N
12181406,2024-12-31,Contactless measurement of rock wettability by photonic techniques,0,G01N
12180830,2024-12-31,Determining an uptake capacity of a core sample,0,E21B|G01N|G01R
12180791,2024-12-31,Method and system for drilling fluid monitoring,0,E21B|G01N
12174169,2024-12-24,Apparatus and method for measuring settling of weighting materials in drilling and completion fluids,0,C09K|E21B|G01N
