patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12411088,2025-09-09,Optimized photon collection for light-sheet microscopy,0,G01N|G02B
12403311,2025-09-02,System and method to induce epigenetic changes to the cells and tissue of the eye and orbit,0,A61N|C12Q|G02C
12383621,2025-08-12,Pharmaceutical compositions comprising POH derivatives,0,A61K|A61N|A61P|C07D
12360039,2025-07-15,Multi-spectral scattering-matrix tomography,0,A61B|G01B|G01N|G03H
12354012,2025-07-08,Histopathology classification through machine self-learning of “tissue fingerprints”,0,G01N|G06N|G06T|G06V|G16H
12329852,2025-06-17,Sustained-release 9-cis retinoic acid implantable drug delivery pellets for the prevention of postsurgical edema and lymphedema,0,A61K
12304931,2025-05-20,"MENTSH analogs as therapeutics for diabetes, obesity, and their associated diseases and complications",0,A61K|A61P|C07K|G01N
12285453,2025-04-29,Fasting-mimicking diet promotes cancer-free survival in acute lymphoblastic leukemia models,0,A23L|A23V|A61K|A61P
12240821,2025-03-04,Inhibitors of guanosine monophosphate synthetase as therapeutic agents,0,A61K|A61P|C07C|C07D|Y02A
12239374,2025-03-04,Method of manufacturing a tear flow measurement device,0,A61B|G01F|G01G|G01N
12208066,2025-01-28,Methods of permeabilizing the blood brain barrier,0,A61K|A61P|C07C|C07K|C12N|C12P
12196759,2025-01-14,Non-radioactive cytotoxicity assays,0,C12Q|G01N
12196679,2025-01-14,High throughput snapshot spectral encoding device for fluorescence spectral microscopy,0,A61B|G01N|G02B
12194021,2025-01-14,Modified herbal compositions for neuromodulation,0,A61K|A61P
12186352,2025-01-07,Fasting-mimicking diet (FMD) but not water-only fasting promotes reversal of inflammation and IBD pathology,0,A23B|A23L|A61K|A61P
12185747,2025-01-07,Fasting-mimicking diet (FMD) as an intervention for Alzheimer's disease (AD),0,A23L|A61K|A61P|Y02A
12178902,2024-12-31,Methods and compositions for fluid drainage by Piezo ion channel activation,0,A61K|A61P
12146005,2024-11-19,Compositions and methods for treatment of fungal infections,0,A61K|A61P|C07K
12085568,2024-09-10,Machine learning for digital pathology,1,G01N|G06F|G06T|G06V|G16H
12048679,2024-07-30,P53-destabilizing protein associated with proto-oncogene stemness as a therapeutic target and inhibitors thereof for use in treatment of cancer,0,A61K|C12Q|G01N
12025858,2024-07-02,Contact lens with metered liquid system,0,A61K|G02C
12016779,2024-06-25,Growth factor transduced cell-loaded ceramic scaffold for bone regeneration and repair,0,A61F|A61K|A61L|B33Y|C07K
12012440,2024-06-18,Compositions and methods for treatment of fungal infections,0,A61K|A61P|C07K|Y02A
12006513,2024-06-11,Methods for the long-term expansion of granulocyte-macrophage progenitors and applications thereof,0,A01K|A61K|C12N
12004996,2024-06-11,Miniature fixed and adjustable flow restrictor for the body,0,A61F|A61K|A61M|B01L|G02C
11992036,2024-05-28,Fasting condition as dietary treatment of diabetes,0,A23L|A23V|A61P
11982726,2024-05-14,Method for joint arterial input function and tracer kinetic parameter estimation in accelerated DCE-MRI using a model consistency constraint,0,A61B|A61K|G01R|G06T
11970436,2024-04-30,Pharmaceutical compositions comprising monoterpenes,0,A61K|A61N|A61P|C07B|C07C
11957750,2024-04-16,Triple vaccine protects against bacterial and fungal pathogens via trained immunity,0,A61K|A61P|Y02A
11938219,2024-03-26,Synthetic extracellular vesicles for novel therapies,0,A61K|A61P|C07K
11858888,2024-01-02,"Compounds, compositions, and methods for the treatment of inflammatory, degenerative, and neurodegenerative diseases",0,A61K|A61P|C07C|C07F
11845792,2023-12-19,Epitope specific antibodies that bind cell surface GRP78 and their use for cancer detection,0,A61K|A61P|C07K|G01N
11840549,2023-12-12,Bisphosphonate quinolone conjugates and uses thereof,0,A61K|A61P|C07F
11835524,2023-12-05,Machine learning for digital pathology,0,G01N|G06F|G06T|G06V|G16H
11834657,2023-12-05,Methods for sample preparation,0,C12N|C40B
11834470,2023-12-05,4-thioribose NAD analogues and methods of synthesizing and using the same,0,A61K|C07H|C12N|C12P|C12Y
