patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12412729,2025-09-09,Atom probe tomography specimen preparation,0,G01N|H01J|H01L
12400926,2025-08-26,Semiconductor device and method of manufacture,0,B81B|B81C|G01N|H01L
12400915,2025-08-26,Metrology method,0,G01N|H01L
12400313,2025-08-26,Optical inspection of a wafer,0,G01B|G01N|G06T|H04N
12399067,2025-08-26,"Apparatus, system, and method for measuring the temperature of a substrate",0,G01J|G01K|G01N|H01L
12392774,2025-08-19,Biosensor system with integrated microneedle,0,A61B|G01N|H01L
12387318,2025-08-12,Hot spot defect detecting method and hot spot defect detecting system,0,G01N|G06N|G06T
12385875,2025-08-12,Biosensor,0,G01N
12381540,2025-08-05,Sensing circuit and sensing method thereof,0,G01N|H03K
12368063,2025-07-22,Wafer taping apparatus and method,0,G01N|G06T|H01L
12367569,2025-07-22,Automatic optical inspection system and method,0,G01N|G06T|H01L|H04N
12364162,2025-07-15,Piezoelectric biosensor and related method of formation,0,G01N|H10N
12361745,2025-07-15,Semiconductor device with bioFET and biometric sensors,0,G01N|G06V|H10D|H10N
12359307,2025-07-15,In situ and tunable deposition of a film,0,C23C|G01N|H01J|H10N
12352724,2025-07-08,Dual gate biologically sensitive field effect transistor,0,G01N|H04N
12326416,2025-06-10,Differential sensing with biofet sensors,0,B01J|B01L|G01N
12326397,2025-06-10,In-situ apparatus for detecting abnormality in process tube,0,G01F|G01N
12320782,2025-06-03,Acoustic measurement of fabrication equipment clearance,0,B08B|G01B|G01N|H01L
12320775,2025-06-03,Bio-field effect transistor device,0,B01F|B01L|C12Q|G01N|H04N|H10N
12320755,2025-06-03,System and method for detecting contamination of thin-films,0,B82Y|C23C|G01N|G06F|G06N|G06V
12306133,2025-05-20,Biosensor,0,B03C|G01N
12298270,2025-05-13,Integrated biological sensing platform,0,B01L|G01N
12281998,2025-04-22,Bio-detector device for bio-targets,0,A61B|G01N
12281991,2025-04-22,Inspection layer to improve the detection of defects through optical systems and methods of inspecting semiconductor device for defects,0,G01N|G06T|H01L
12264362,2025-04-01,Optical detection for bio-entities,0,B01F|B01L|C12Q|G01N|G02B
12249526,2025-03-11,Detecting damaged semiconductor wafers utilizing a semiconductor wafer sorter tool of an automated materials handling system,0,G01N|H01L
12237417,2025-02-25,FinFET device and method of forming and monitoring quality of the same,0,G01N|H01L|H10D
12222317,2025-02-11,Integrated circuit with BioFETs,0,G01N|H01L
12216077,2025-02-04,BioFET device having a metal crown structure as a sensing layer disposed on an oxide layer formed under a channel region of a transistor,0,G01N|H01L|H10D
12211756,2025-01-28,Deposition system and method,0,C23C|G01B|G01N|H01J|H01L
12209987,2025-01-28,Semiconductor biosensor,0,B82Y|G01N|H10D
12205855,2025-01-21,Process tool for analyzing bonded workpiece interface,0,G01N|H01L
12196687,2025-01-14,Method for inspecting pattern defects,0,G01N|G03F
12189306,2025-01-07,Method and system of surface topography measurement for lithography,0,G01N|G03F
12169179,2024-12-17,Method and apparatus for monitoring edge bevel removal area in semiconductor apparatus and electroplating system,0,C25D|G01N|G06T|H01L|H04N
12163916,2024-12-10,BioFET system,0,G01N|H03K
12162134,2024-12-10,System with substrate carrier deterioration detection and repair,0,B23P|B25J|G01B|G01N|H01L|Y10T
12158434,2024-12-03,Broadband wafer defect detection,0,G01N
12123871,2024-10-22,Biosensor system with integrated microneedle,1,A61B|G01N|H01L
12123846,2024-10-22,"Wafer-level packaging of solid-state biosensor, microfluidics, and through-silicon via",1,B01L|B81B|B81C|G01N|H01L
