patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428632,2025-09-30,"Polypeptides having lyzozyme activity, polunucleotides encoding same and uses and compositions thereof",0,A23K|C12N|C12Y
12421504,2025-09-23,Bacterial superoxide dismutases,0,A23K|A61K|C12N|C12Y
12415972,2025-09-16,Alpha-amylase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
12410451,2025-09-09,Yeast expressing a heterologous trehalase for ethanol production,0,C12N|C12P|C12Y|Y02E
12410414,2025-09-09,Process of extracting oil from thin stillage,0,C12N|C12P|C12Y|Y02E|Y02W
12398407,2025-08-26,Yeast expressing a heterologous phospholipase for ethanol production,0,C12N|C12P|C12Y|Y02E
12391934,2025-08-19,Stabilized cellulase variants,0,C11D|C12N|C12Y
12385027,2025-08-12,Polypeptides having xylanase activity and polynucleotides encoding same,0,C12N|C12P|C12Y|Y02E
12383586,2025-08-12,Spore-based probiotic supplementation in dogs and control of endotoxemia,0,A23K|A23L|A61K|A61P
12378542,2025-08-05,Solid stabilized laccase compositions,0,C12N|C12Y
12371682,2025-07-29,Polypeptides,0,C11D|C12N|C12Y
12364720,2025-07-22,Bacillus strains improving health and performance of production animals,0,A23K|A61K|A61P|C12N|C12R
12364273,2025-07-22,Process for preparing an acidified milk product,0,A23C|A23J|C12Y
12359227,2025-07-15,Polypeptides having pullulanase activity suitable for use in liquefaction,0,C12N|C12P|C12Y|Y02E
12359187,2025-07-15,Stabilized liquid enzyme compositions for brewing,0,C12N|C12Y
12359182,2025-07-15,Polypeptide variants,0,A23C|C12N|C12Y
12349684,2025-07-08,Method of dough relaxation involving endopeptidases,0,A21D|C12N|C12Y
12344769,2025-07-01,Method for extracting gelatin,0,C08L|C09H|C12P
12331332,2025-06-17,GH61 variants and polynucleotides encoding same,0,C11D|C12N|C12P|C12Y|D21C|D21H
12325761,2025-06-10,Corn fiber processing system and wet milled corn starch processing system using same,0,B01D|C08B|C12P|D06M
12324447,2025-06-10,Animal feed compositions and uses thereof,0,A23K|A61K|C12N|C12Y
12319895,2025-06-03,Cleaning compositions and uses thereof,0,C11D|C12N
12297470,2025-05-13,Polypeptides having peptidoglycan degrading activity and polynucleotides encoding same,0,C11D|C12N|C12Y
12291730,2025-05-06,Serine protease variants and polynucleotides encoding same,0,C12N|C12P|C12Y
12286605,2025-04-29,Liquid cleaning compositions comprising protease variants,0,C11D|C12N|C12Y
12286604,2025-04-29,Liquid cleaning compositions comprising protease variants,0,C11D|C12N|C12Y
12275967,2025-04-15,Processes for producing fermentation products and compositions used therein,0,C12N|C12P|C12R|C12Y|Y02E
12270012,2025-04-08,Detergent compositions and uses thereof,0,B08B|C11D|C12Y
12269852,2025-04-08,Processes for producing a fermentation product,0,C07K|C12N|C12P|C12Y|Y02E
12252720,2025-03-18,Alpha-amylase variants and polynucleotides encoding same,0,C11D|C12N|C12P|C12Y|Y02E
12247241,2025-03-11,Processes for reducing lactic acid in a biofuel fermentation system and processes for producing a fermentation product,0,C12N|C12P|C12Y|Y02E
12247237,2025-03-11,Polypeptide variants,0,C11D|C12N|C12P|C12Y
12247235,2025-03-11,Liquid formation comprising GH10 xylanase and GH62 arabinofuranosidase,0,A01H|C08B|C11B|C12N|C12P|C12Y|C13K
12241045,2025-03-04,Detergent compositions and uses thereof,0,C11D|C12N|C12Y
12227785,2025-02-18,Compositions comprising a low pH alpha-amylase and a thermostable protease for liquefaction,0,C12P|C12Y|Y02E
12227784,2025-02-18,Enzyme blends and processes for improving the nutritional quality of animal feed,0,C12P|C12Y|Y02E
12221637,2025-02-11,Polypeptides having nuclease activity,0,C11D|C12N|C12Y
12207671,2025-01-28,"Polypeptides having lysozyme activity, polynucleotides encoding same and uses and compositions thereof",0,A23K|A61K|C12N|C12Y|Y02P
12201130,2025-01-21,Stable granules for feed compositions,0,A23K|C12N|C12Y
12188064,2025-01-07,Subtilase variants and compositions comprising same,0,C11D|C12N|C12Y
12185740,2025-01-07,Polypeptides having xylanase activity and polynucleotides encoding same,0,A23K|C07K|C12N|C12P|C12Y
12171792,2024-12-24,Bacillus strains for improving feed conversion rates and body weight gain in animals,0,A23K|A61K|A61P|C12N|C12R
12168787,2024-12-17,Process of extracting oil from thin stillage,0,C12N|C12P|C12Y|Y02E|Y02W
12146123,2024-11-19,Endonuclease 1 ribonucleases for cleaning,0,C11D|C12N|C12P|C12Y
12137695,2024-11-12,Production of par-baked products with improved freshness employing combination of GH8 xylanase and phospholipase,0,A21D|C12N|C12Y
12133542,2024-11-05,Animal feed compositions and uses thereof,0,A23K|C12N|C12Y
12129498,2024-10-29,Stabilized endoglucanase variants,1,C11D|C12N|C12Y
12129497,2024-10-29,Polypeptides,0,C11D|C12N|C12Y
12116601,2024-10-15,Detergent compositions,0,A61K|B65D|C11D|C12N|C12Y
12110518,2024-10-08,Polypeptides,0,C11D|C12N|C12Y
12102103,2024-10-01,Animal feed compositions and uses thereof,0,A23K|C12N|C12P|C12Y
12076368,2024-09-03,"Treatment of liver, biliary tract and pancreatic disorders",0,A61K|A61P
12071643,2024-08-27,Alpha-amylase variants,0,C12N|C12Y
12065680,2024-08-20,Subtilase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
12060589,2024-08-13,DNase variants,0,C11D|C12N|C12Y
12060542,2024-08-13,Polypeptides and compositions comprising such polypeptides,0,C11D|C12N|C12Y
12053509,2024-08-06,Microbial lysozyme for use in the treatment of irritable bowel syndrome or inflammatory bowel disease,0,A23L|A61K|A61P|C12Y
12037614,2024-07-16,Lipase variants and microcapsule compositions comprising such lipase variants,0,C11D|C12N|C12Y
12037613,2024-07-16,Phytase variants and polynucleotides encoding same,0,A23K|C12N|C12Y|Y02A
12018237,2024-06-25,Alpha-amylase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
12018236,2024-06-25,Detergent composition,0,C11D|C12N|C12Y
12018235,2024-06-25,Mannanase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
12012623,2024-06-18,Alpha-amylase variants,0,C12N|C12Y
12012573,2024-06-18,Cleaning compositions and uses thereof,0,C11D|C12Y
11999928,2024-06-04,Brewing method,0,C12C|C12N|C12Y|Y02E
11993762,2024-05-28,Polypeptides having alpha-mannan degrading activity and polynucleotides encoding same,0,C11D|C12N|C12P|C12Y
11987831,2024-05-21,Processes for producing a fermentation product,0,C12N|C12P|C13K|Y02E
11981941,2024-05-14,Polypeptides,0,C11D|C12N|C12Y
11965189,2024-04-23,Cellobiohydrolase variants and polynucleotides encoding same,0,C07K|C12N|C12P|C12Y|Y02E
11965143,2024-04-23,Process of recovering oil,0,B01D|C11B|C12N|C12P|C12Y|Y02E|Y02W
11963986,2024-04-23,Probiotic supplement for metabolic health,0,A23L|A23V|A61K|A61P|C12N|C12R
11959111,2024-04-16,Polypeptides having peptidoglycan degrading activity and polynucleotides encoding same,0,C11D|C12N|C12Y
11959107,2024-04-16,Variants and compositions comprising variants with high stability in presence of a chelating agent,0,C12N|Y02E
11959106,2024-04-16,Cleaning compositions comprising enzymes,0,C11D|C12N
11952558,2024-04-09,Subtilase variants,0,C11D|C12N|C12Y
11952557,2024-04-09,Alpha-amylase variants and polynucleotides encoding same,1,C11D|C12N|C12Y
11950569,2024-04-09,Animal chew toy with dental care composition,0,A01K|A23K|A61K
11946079,2024-04-02,Method for producing a protein hydrolysate using an endopeptidase and a carboxypeptidase,0,A23J|C12N|C12P
11939552,2024-03-26,Process of recovering oil,0,B01D|C11B|C12N|C12P|C12Y|Y02E
11937609,2024-03-26,Process for improving freshness of flat breads involving combination of maltogenic alpha amylase variants,0,A21D|C12N|C12Y
11926856,2024-03-12,Method for producing D-psicose,0,C12N|C12P|C12Y
11926852,2024-03-12,Compositions comprising polypeptides having xylanase activity and polypeptides having arabinofuranosidase activity,0,A23K|C07K|C12N|C12P|C12Y|Y02E
11896034,2024-02-13,"Polypeptides having lysozyme activity, polynucleotides encoding same and uses and compositions thereof",0,A23K|A61K|C12N|C12Y
11896033,2024-02-13,"Polypeptides having lysozyme activity, polynucleotides encoding same and uses and compositions thereof",0,A23K|A61K|C12N|C12Y|Y02P
11896024,2024-02-13,Method of glycation of a polypeptide,0,A23C|A61K|C12N|C12P|C12Y
11891645,2024-02-06,Serine protease variants and polynucleotides encoding same,0,C12N|C12P|C12Y|Y02E
11891591,2024-02-06,Lipase variants and compositions comprising surfactant and lipase variant,0,C11D|C12N
11889847,2024-02-06,"Method for producing a coffee extract employing enzymes having beta-1,3-galactanase activity",0,A23F|C12N|C12Y
11883443,2024-01-30,Compositions and methods for improving the health of aquatic animals,0,A23K|A61K|C12N|C12R
11873470,2024-01-16,Brewing method,0,C12C|C12Y
11866751,2024-01-09,Yeast expressing a heterologous alpha-amylase for ethanol production,1,C12N|C12P|C12Y|Y02E
11866748,2024-01-09,Compositions comprising polypeptides having mannanase activity,0,C07K|C11D|C12N|C12Y
11859221,2024-01-02,Enzyme variants and polynucleotides encoding the same,0,C11D|C12N|C12Y|Y02E
11859170,2024-01-02,"Polypeptides having lysozyme activity, polynucleotides encoding same and uses and compositions thereof",1,A23K|C12N|C12Y
11851639,2023-12-26,Liquid cleaning compositions comprising protease variants,2,C11D|C12N|C12Y
11851630,2023-12-26,Polypeptides having phospholipase C activity and polynucleotides encoding same,0,C11B|C12N|C12P|C12Y
11840718,2023-12-12,Processes for producing ethanol,1,C12P|C12Y|Y02E
11840713,2023-12-12,Glucoamylase variants and polynucleotides encoding same,0,C12N|C12P|C12Y|Y02E
11840696,2023-12-12,Methods of introducing multiple expression constructs into a eukaryotic cell,0,C12N
11834484,2023-12-05,Bakers's yeast expressing anti-staling/freshness amylases,0,A21D|A61K|A61P|C07K|C12N|C12Y
11819525,2023-11-21,Management of pathogenic lawsonia,0,A23K|A61K|A61P|C12N|C12R
11814656,2023-11-14,Methods of reducing odor,0,C11D|C12N
11807889,2023-11-07,Yeast expressing a heterologous phospholipase for ethanol production,2,C12N|C12P|C12Y|Y02E
11801272,2023-10-31,Bacillus strains improving health and performance of production animals,0,A23K|A61K|A61P|C12N|C12R
11795481,2023-10-24,Processes for producing a fermentation product,2,C12N|C12P|C12Y|Y02E
11795418,2023-10-24,GH9 endoglucanase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
11788079,2023-10-17,Compositions comprising polypeptides having xylanase activity and polypeptides having arabinofuranosidase activity,0,A23K|C07K|C12N|C12P|C12Y|Y02E
11788078,2023-10-17,Processes for producing ethanol,0,C12N|C12P|C12Y|Y02E
11786563,2023-10-17,Spore-based probiotic composition for modulation of dermal and sub-dermal properties,0,A23L|A23V|A61K|A61P
11781123,2023-10-10,Process of extracting oil from thin stillage,0,C12N|C12P|C12Y|Y02E|Y02W
11773386,2023-10-03,Heat-stable metagenomic carbonic anhydrases and their use,0,B01D|C07K|C12N|C12Y|Y02C
11767492,2023-09-26,Methods of treating fabric using a Lactobacillus hexosaminidase,0,C11D|C12N|C12Y
11751584,2023-09-12,Polypeptides having alpha-galactosidase activity and polynucleotides encoding same,0,A23K|C12N|C12Y
11746366,2023-09-05,GH5 and GH30 in wet milling,0,C08B|C08H|C08L|C12N|C12P|C12Y
11746310,2023-09-05,Polypeptides having mannanase activity and polynucleotides encoding same,0,C07K|C11D|C12N|C12Y
11744263,2023-09-05,Animal feed additives comprising a polypeptide having protease activity and uses thereof,0,A23K|C12N|C12Y
11739287,2023-08-29,Cleaning compositions and uses thereof,1,C11D|C12N
11732252,2023-08-22,DNase variants,0,C11D|C12N|C12Y
11732221,2023-08-22,Polypeptides having mannanase activity and polynucleotides encoding same,0,C11D|C12N|C12P|C12Y
11725197,2023-08-15,Lipase variants and polynucleotides encoding same,0,C11D|C12N|C12Y
11718840,2023-08-08,Method for screening alpha-amylases,0,C12N|C12Q
11685910,2023-06-27,Polypeptides having trehalase activity and the use thereof in process of producing fermentation products,0,C12N|C12P|C12Y|Y02E
11680231,2023-06-20,Detergent compositions and uses thereof,1,C11D|C12N|C12Y
11674127,2023-06-13,Process of extracting oil from thin stillage,0,C12N|C12P|C12Y|Y02E|Y02W
11667980,2023-06-06,Use of FCA control based on PH,0,C12N|C12Q
