patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419847,2025-09-23,"Composition and method for attenuating neuroinflammation, amyloidopathy and tauopathy",0,A61K|A61P
12398165,2025-08-26,Two-dimensional stimuli-responsive covalent organic frameworks with high intrinsic conductivity,0,C07F|G01N
12391723,2025-08-19,Steroids and methods of manufacture,0,A61P|C07C|C07J
12384827,2025-08-12,Chimeric NK receptor and methods for treating cancer,0,A61K|A61P|C07K
12383521,2025-08-12,Treatment of diseases by concurrently eliciting remyelination effects and immunomodulatory effects using selective RXR agonists,0,A61K
12378305,2025-08-05,Compositions and methods for preventing or ameliorating neonatal HSV infection,0,A61K|A61P|C07K|C12N
12351655,2025-07-08,Mechanically interlocked molecules-based materials for 3-D printing,0,A61K|A61L|B33Y|C08B|C08G|C08J|C08L
12350326,2025-07-08,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N|Y02A
12345673,2025-07-01,Metal-organic frameworks as ion capture compositions,0,B01J|G01N
12344662,2025-07-01,Chimeric antigen receptors for treatment of neurodegenerative diseases and disorders,0,A61K|A61P|C07K|C12N
12337041,2025-06-24,Medical imaging technique using X-ray to near-infrared downconverting nanopowder,0,A61B|A61K
12291723,2025-05-06,T-cell receptor-deficient T cell compositions,0,A61K|A61P|C12N|Y02A
12285277,2025-04-29,Method and apparatus for medical imaging using differencing of multiple fluorophores,0,A61B|A61K
12220434,2025-02-11,Altering the intestinal microbiome in cystic fibrosis,0,A23L|A23V|A61K|A61P
12203883,2025-01-21,Conductive bimetallic metal-organic frameworks for the detection of analytes,0,G01N
12168780,2024-12-17,T cell receptor-deficient t cell compositions,0,A61K|A61P|C12N|Y02A
12162928,2024-12-10,"VISTA-Ig constructs and the use of VISTA-Ig for treatment of autoimmune, allergic and inflammatory disorders",0,A01K|A61K|A61P|C07K|C12N|Y02A
12146158,2024-11-19,T cell receptor-deficient T cell compositions,0,A61K|A61P|C12N|Y02A
12139532,2024-11-12,Anti-human vista antibodies and use thereof,0,A61K|A61P|C07K|Y02A
12133892,2024-11-05,Methods and compositions for increasing susceptibility to radiation treatment by inhibiting suppression of numerical chromosomal instability of cancer cells,0,A61K|A61N|A61P
12116579,2024-10-15,Compositions and methods related to fungal hypoxia responsive morphology factor a (hrmA) and biofilm architecture factor (baf) proteins,0,C07K|C12N|C12P|C12R|G01N
12065492,2024-08-20,"Anti-B7-H6 antibody, fusion proteins, and methods of using the same",0,A61K|A61P|C07K
12064463,2024-08-20,Vista antagonist and methods of use,0,A61K|C07K|G01N|Y02A
12061328,2024-08-13,Method and apparatus for quantitative hyperspectral fluorescence and reflectance imaging for surgical guidance,0,A61B|G01J|G01N|G02B
12060394,2024-08-13,"Nucleic acid constructs for co-expression of chimeric antigen receptor and transcription factor, cells containing and therapeutic use thereof",0,A61K|A61P|C07K|C12N
12049653,2024-07-30,Unglycosylated lysostaphin variant protein,0,A61K|C12N|C12Y
12031156,2024-07-09,T cell receptor-deficient T cell compositions,1,A61K|A61P|C12N|Y02A
12025624,2024-07-02,"Molecularly-imprinted-polymer coated conductive nanoparticles for cotinine detection, and associated devices and methods",0,B82Y|G01N
12006355,2024-06-11,Nanobodies against cystic fibrosis transmembrane conductance regulator (CFTR) inhibitory factor (Cif),0,A61K|C07K|G01N
11977027,2024-05-07,Device and method for determining the depth of a subsurface fluorescent object within an optically absorbing and scattering medium and for determining concentration of fluorophore of the object,0,A61B|G01B|G01N
11964010,2024-04-23,Prefusion coronavirus spike proteins and their use,0,A61K|A61P|C07K|C12N
11953485,2024-04-09,Systems and methods for non-invasive microwave testing of bottles of wine,0,G01N|G01R
11952425,2024-04-09,High affinity B7-H6 antibodies and antibody fragments,0,A61K|A61P|C07K|C12N
11937951,2024-03-26,Method and apparatus for medical imaging using differencing of multiple fluorophores,0,A61B|A61K
11890339,2024-02-06,Nipah virus immunogens and their use,1,A61K|A61P|C07K|C12N
11872248,2024-01-16,Nucleic acids encoding chimeric receptor comprising NKP30 receptor and CD28 and CD3 zeta domains and human T cell containing,0,A61K|A61P|C07K|C12N
11858976,2024-01-02,"Nucleic acid constructs encoding chimeric NK receptor, cells containing, and therapeutic use thereof",0,A61K|A61P|C07K
11857571,2024-01-02,"Anti-mica antigen binding fragments, fusion molecules, cells which express and methods of using",1,A61K|A61P|C07K
11852605,2023-12-26,Metal-organic frameworks for electrochemical detection of analytes,0,B82Y|C07F|G01N
11845812,2023-12-19,Mechanically interlocked molecules-based materials for 3-D printing,0,A61K|A61L|B33Y|C08B|C08G|C08J|C08L
11834676,2023-12-05,T cell receptor-deficient T cell compositions,2,A61K|A61P|C12N|Y02A
11808763,2023-11-07,Method and apparatus for ordered nanoplasmonic sensor formation through microfluidic assembly,0,B82Y|G01N
11793781,2023-10-24,Autoimmune disorder treatment using RXR agonists,0,A61K|A61P|Y02A
11787835,2023-10-17,C19 scaffolds and steroids and methods of use and manufacture thereof,0,A61P|C07J
11771323,2023-10-03,Optical time-of-flight imaging methods and systems for surgical guidance and fluorescence depth estimation in tissue,0,A61B|G01N|G01S
11752189,2023-09-12,Vista antagonist and methods of use,1,A61K|C07K|G01N|Y02A
11730803,2023-08-22,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N|Y02A
11662315,2023-05-30,Device and method for determining depth and concentration of a subsurface fluorescent object,0,A61B|G01B|G01N
11634446,2023-04-25,Two-dimensional stimuli-responsive covalent organic frameworks with high intrinsic conductivity,1,C07F|G01N
11633379,2023-04-25,Methods of inhibiting PCSK9,0,A61K|A61P|C07D
11633145,2023-04-25,Specimen imaging with x-ray and optical measurement,0,A61B|G01N|G06N|G06T|H04N
11623006,2023-04-11,Methods and compositions for increasing susceptibility to radiation treatment by inhibiting suppression of numerical chromosomal instability of cancer cells,0,A61K|A61N|A61P
11617536,2023-04-04,System and method to measure pain levels of patients following surgery,0,A61B|A61K
11613583,2023-03-28,Nucleic acids encoding an anti-CD154 antibody comprising E269R and K322A mutations,0,A61K|C07K
11576881,2023-02-14,Autoimmune disorder treatment using RXR agonists,0,A61K|A61P|Y02A
11564639,2023-01-31,Method and apparatus for medical imaging using differencing of multiple fluorophores,0,A61B|A61K|G16H
11547684,2023-01-10,Autoimmune disorder treatment using RXR agonists,0,A61K|A61P|Y02A
11529416,2022-12-20,Vista modulators for diagnosis and treatment of cancer,2,A61K|A61P|C07K|C12N|Y02A
11486850,2022-11-01,Metal-organic frameworks as ion-to-electron transducers and detectors,1,G01N
11459353,2022-10-04,Steroids and methods of manufacture,0,A61P|C07C|C07J
11414490,2022-08-16,Regulatory T cell mediator proteins and uses thereof,3,A61K|C07K|G01N|Y02A
11366077,2022-06-21,"Systems, sensing devices and methods for detection of airborne contaminants",0,G01N|Y10T
11365391,2022-06-21,Chimeric antigen receptor anti-inflammatory cells and methods of use,0,A61K|A61P|C07K|C12N
11351208,2022-06-07,Altering the intestinal microbiome in cystic fibrosis,0,A23L|A23V|A61K|A61P
11339199,2022-05-24,Chimeric NK receptor and methods for treating cancer,0,A61K|A61P|C07K
11286299,2022-03-29,Peptides selective for Bcl-2 family proteins,0,A61K|A61P|C07K|C40B|G01N
11274305,2022-03-15,Compositions and methods for in vivo excision of HIV-1 proviral DNA,0,A61K|C12N
11262355,2022-03-01,System and apparatus for porously-encapsulated magnetic-nanoparticle biosensors,0,A61B|G01N|G01R
11248039,2022-02-15,Immunoglobulin single variable domain antibody against RSV prefusion F protein,0,A61K|A61P|C07K|C12N
11246845,2022-02-15,Autoimmune disorder treatment using RXR agonists,0,A61K|A61P|Y02A
11225514,2022-01-18,Nanobodies against cystic fibrosis transmembrane conductance regulator (CFTR) inhibitory factor (Cif),1,A61K|C07K|G01N
11208454,2021-12-28,Chimeric NK receptor and methods for treating cancer,0,A61K|A61P|C07K
11180557,2021-11-23,Vista modulators for diagnosis and treatment of cancer,37,A61K|C07K
11162900,2021-11-02,Device and method for determining depth and concentration of a subsurface fluorescent object,2,A61B|G01B|G01N
11156622,2021-10-26,"Molecularly-imprinted-polymer coated conductive nanoparticles for cotinine detection, and associated devices and methods",0,B82Y|G01N
11155801,2021-10-26,Unglycosylated lysostaphin variant protein,0,A61K|C12N|C12Y
11136549,2021-10-05,T-cell receptor-deficient T cell compositions,1,A61K|A61P|C12N
11123426,2021-09-21,Use of vista agonists and antagonists to suppress or enhance humoral immunity,0,A61K|A61P|C07K|Y02A
11092562,2021-08-17,Conductive textiles and uses thereof in functional devices,1,D06M|G01N|Y02A
11091749,2021-08-17,Deimmunized lysostaphin and methods of use,0,A61K|A61P|C12N|C12Y
11034767,2021-06-15,High affinity B7-H6 antibodies and antibody fragments,2,A61K|A61P|C07K|C12N
11034766,2021-06-15,"Anti-B7-H6 antibody, fusion proteins, and methods of using the same",1,A61K|A61P|C07K
10960070,2021-03-30,Prefusion coronavirus spike proteins and their use,15,A61K|A61P|C07K|C12N
10954315,2021-03-23,Mechanically interlocked molecules-based materials for 3-D printing,2,A61K|A61L|B33Y|C08B|C08G|C08J|C08L
10945976,2021-03-16,Autoimmune disorder treatment using RXR agonists,0,A61K|A61P|Y02A
10933115,2021-03-02,VISTA antagonist and methods of use,4,A61K|C07K|G01N|Y02A
