patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410245,2025-09-09,Compositions and methods for detecting and regulating fibronectin-integrin interaction and signaling,0,C07K|C40B|G01N
12403128,2025-09-02,Compositions and methods for blocking sodium channels,0,A61K|A61P|C07D
12391764,2025-08-19,Anti-CD30 and anti-CD3 bispecific antibodies and methods of immunotherapy for CD30+ malignancies,0,A61K|A61P|C07K
12384812,2025-08-12,Proton activated atomic medicine,0,A61K|A61N|A61P|C07B|C07H
12366579,2025-07-22,Sulfur-heterocycle exchange chemistry and uses thereof,0,A61P|C07D|C07K|C12N|G01N
12356994,2025-07-15,Antipathogenic polypeptides,0,A01N|A01P|C11D|C12N|C12Y
12352767,2025-07-08,Method of treating cognitive decline associated with neurological diseases based on a decrease in FLT4 expression or activity,0,A61B|A61P|C12Q|G01N
12351809,2025-07-08,Tissue-specific promoters in plants,0,A01H|C07K|C12N|C12P
12351639,2025-07-08,Anti-CD30 antibodies,0,A61K|A61P|C07K
12351606,2025-07-08,Compositions and related methods for modulating transcriptional activation by incorporating gag motifs upstream of core promoter elements,0,C07K|C12N
12347665,2025-07-01,Rapid identification and sequence analysis of intact proteins in complex mixtures,0,G01N|H01J
12343428,2025-07-01,Compositions and methods for cancer treatment,0,A61K|A61P
12326448,2025-06-10,Compositions and methods for high-sensitivity immunoassays,0,G01N
12324682,2025-06-10,Unified platform for monitoring and control of blood glucose levels in diabetic patients,0,A61B|A61K|A61M|G16H
12319967,2025-06-03,Methods and compositions for diagnosing and treating prostate cancer based on long noncoding RNA overlapping the LCK gene that regulates prostate cancer cell growth,0,C12N|C12Q
12319923,2025-06-03,Increasing trichome density and improving transport of metabolites in plant trichomes,0,A01H|C07K|C12N|C12P
12318484,2025-06-03,Pegylated liposomes and methods of use,0,A61K|A61P|C12N|Y02A
12297481,2025-05-13,Amplifier system and controls for dielectrophoretic tracking in microfluidic devices,0,B03C|C12Q|G01N
12275925,2025-04-15,Bioreactor and reseeding chamber system and related methods thereof,0,C12M|C12N
12274692,2025-04-15,Molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,0,A61K|A61P|C12Q|G16B
12270781,2025-04-08,Electrochemical device for identifying electroactive analyte and related methods thereof,0,B82Y|G01N|H10K
12266436,2025-04-01,"Method and system for the safety, analysis and supervision of insulin pump action and other modes of insulin delivery in diabetes",0,A61M|G01N|G16H
12234229,2025-02-25,Sphingosine kinase inhibitor amidoxime prodrugs,0,A61P|C07D
12233108,2025-02-25,Compositions and methods for promoting islet viability and enhancing insulin secretion,0,A61K|A61P
12227515,2025-02-18,In-flow photooxygenation of aminothienopyridinones generates novel PTP4A3 phosphatase inhibitors,0,A61K|A61P|C07D
12226453,2025-02-18,Eosinophils alleviate lung allograft rejection through their modulation of CD8+ t cells,0,A61K|A61P
12226401,2025-02-18,Molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,0,A61K|A61P|C12Q|G16B
12221654,2025-02-11,Serotonin transporter gene and treatment of opioid-related disorders,0,A61K|A61P|C12Q|G01N
12209961,2025-01-28,Fiber-optic based material property measurement system and related methods,0,G01B|G01N
12202839,2025-01-21,In-flow photooxygenation of aminothienopyridinones generates PTP4A3 phosphatase inhibitors,0,A61K|A61P|C07D
12187687,2025-01-07,Compositions and uses thereof,0,A61P|C07D
12178571,2024-12-31,"Method, system and computer program product for CGM-based prevention of hypoglycemia via hypoglycemia risk assessment and smooth reduction insulin delivery",0,A61B|A61M|A61P|G16H
12150931,2024-11-26,Molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,2,A61K|A61P|C12Q|G16B
12092595,2024-09-17,Steady-state thermo-reflectance method and system to measure thermal conductivity,0,G01N
12076344,2024-09-03,T-Rapa cells as novel effector cell type for chimeric antigen receptor therapy,0,A61K|A61P|C12N
12064469,2024-08-20,Stable peptide compositions,0,A61K|A61P
12060401,2024-08-13,Compositions and methods for treatment of autoimmune and inflammatory diseases and disorders,0,A61K|C07K
12059429,2024-08-13,Hornerin: a novel non-VEGF mediated angiogenic protein expressed in both human and mouse angiogenic endothelial cells and human pancreatic cancer cells,0,A61K|A61P|C07K|C12N
12054523,2024-08-06,Compositions and related methods for modulating alkaloid production by controlling PMT promoter activation mediated by transcriptional factors ERF and Myc,0,C07K|C12N
12042530,2024-07-23,Target peptides for immunotherapy and diagnostics,0,A61K|A61P|C07K|G01N
12031896,2024-07-09,Method and system for impedance-based quantification and microfluidic control,0,B01L|B03C|G01N|G01R
12017045,2024-06-25,"Method, system, and computer readable medium for controlling insulin delivery using retrospective virtual basal rates",0,A61B|A61K|A61M|G16H
12006511,2024-06-11,Recombinant PD-L1 peptides and methods of use,0,A61K|C07K|C12N
11987613,2024-05-21,Isolated T cell receptors and methods of use therefor,0,A61K|C07K|G01N
11986822,2024-05-21,"Microdevice for differential separation, purification and amplification of forensic samples",0,B01L|C12Q
11986294,2024-05-21,"Method, system and computer program product for CGM-based prevention of hypoglycemia via hypoglycemia risk assessment and smooth reduction insulin delivery",0,A61B|A61M|A61P|G16H
11965810,2024-04-23,Multiplexed on-chip impedance cytometry system and method,0,B01L|B03C|G01N
11964985,2024-04-23,Anti-cancer compounds targeting Ral GTPases and methods of using the same,0,A61K|A61P|C07D
11957682,2024-04-16,"Compounds and methods for regulating, limiting, or inhibiting AVIL expression",0,A61K|A61P
11957664,2024-04-16,Molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,4,A61K|A61P|C12Q|G16B
11945825,2024-04-02,Compositions and methods for regulating glucose homeostasis and insulin action,0,A61K|A61P|C07D|G01N
11944665,2024-04-02,Methods and compositions for modulating lymphatic vessels in the central nervous system,0,A61K|A61N|A61P|C07K
11931352,2024-03-19,Combination therapies for treating cancer,0,A61K|A61P|C07D
