patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12391597,2025-08-19,Systems and methods for measuring the temperature of glass during tube conversion,0,C03B|G01N|G05B
12378148,2025-08-05,Systems and methods for measuring the temperature of glass during tube conversion,0,C03B|G01N|G05B
12358834,2025-07-15,"Glass-ceramics based on lithium disilicate, zircon, and apatite",0,A61K|C03C|C12N
12351899,2025-07-08,"Transparent article with a body and metal oxide disposed directly on the body, facilitating deposition of an electrically conductive and transparent ultra-thin metal film of a noble metal, and method of forming the same",0,C23C|G01N|H01B
12345629,2025-07-01,Enhanced evanescent prism coupling systems and methods for characterizing stress in chemically strengthened curved parts,0,G01N
12329820,2025-06-17,Cross-linked shear thinning fluid with tunable rheology for 3D bioprinting and drug delivery,0,A61K|C08B|C08L
12305983,2025-05-20,Methods and apparatus for measuring a feature of glass-based substrate,0,G01B|G01N
12292387,2025-05-06,Apparatus and method for inspecting laser defect inside of transparent material,0,B23K|G01N
12265075,2025-04-01,Methods and apparatuses for monitoring the curing of a photocurable material,0,C08F|C08J|G01N
12227613,2025-02-18,Photo-patternable organic semiconductor (OSC) polymers and methods of formation and applications thereof,0,C08G|C09D|G01N|G03F|H01B|H01M|H10K|Y02A
12222308,2025-02-11,Methods for making electrodes and providing electrical connections in sensors,0,C03C|G01N|H01L
12222297,2025-02-11,Methods and apparatus for inspecting a material,0,G01N|G06T|H04N
12203059,2025-01-21,Microwell design and fabrication for generation of cell culture aggregates,0,C12M|C12N
12180451,2024-12-31,Packed-bed bioreactor systems and methods of using the same,0,C12M|C12N
12175709,2024-12-24,Laser marked calibration standards for on-line inspection camera qualification and methods of use,0,G01N|G06T
12173311,2024-12-24,Proteinase-free coatings for colony passaging,0,C08J|C09D|C12N
12167732,2024-12-17,Alkali-resistant calcium phosphate/nucleic acids hybrid carrier for pest control and method to produce the particles,0,A01N|C12N
12152999,2024-11-26,Laser based inclusion detection system and methods,0,G01N|G02B
12146154,2024-11-19,Spheroid cell culture article and methods thereof,0,C12M|C12N
12111230,2024-10-08,Thermal gas inspection of plugged honeycomb body,0,G01M|G01N
12078574,2024-09-03,Systems and methods for visual inspection and 3D measurement,0,C04B|G01M|G01N|G06T
12050207,2024-07-30,Apparatus and method for evaluating radial compressive strength of a ceramic honeycomb sample,0,G01N
12037572,2024-07-16,Packed-bed bioreactor systems and methods of using the same,0,C12M|C12N
12029999,2024-07-09,Package for batch chromatography,0,B01D|C12M|G01N
11999653,2024-06-04,High liquidus viscosity bioactive glass,0,A61K|C03B|C03C
11953462,2024-04-09,Glass electrochemical sensor with wafer level stacking and through glass via (TGV) interconnects,0,C03B|C03C|G01N
11952659,2024-04-09,Methods for coating a substrate with magnesium fluoride via atomic layer deposition,0,B29D|C23C|G01N|G02B|G02C|H01L
11946876,2024-04-02,Systems and methods for honeycomb body inspection,1,G01N
