patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427518,2025-09-30,Microfluidic on-chip filters,0,B01L|C12M|C12N
12421558,2025-09-23,Systems and methods for joint interactive visualization of gene expression and DNA chromatin accessibility,0,C12Q|G16B
12421539,2025-09-23,Methods and compositions for nucleic acid analysis,0,C12Q
12416603,2025-09-16,Electrophoresis cassettes and instrumentation,0,G01N
12416102,2025-09-16,Systems and methods for transfer of reagents between droplets,0,B01L|C12Q|C40B
12411132,2025-09-09,Systems and methods for single cell processing,0,B01L|C12Q|G01N
12406364,2025-09-02,Systems and methods for spatial analysis of analytes using fiducial alignment,0,C12Q|G06T
12405264,2025-09-02,Electrophoretic system and method for analyte capture,0,B01L|G01N
12404544,2025-09-02,Methods of capturing multiple analytes on a spatial array,0,B01L|C12N|C12Q|G01N|G02B
12400733,2025-08-26,In situ code design methods for minimizing optical crowding,0,C12Q|G01N|G16B
12399123,2025-08-26,Spatial targeting of analytes,0,G01N|G02B
12398262,2025-08-26,Triblock copolymer-based cell stabilization and fixation system and methods of use thereof,0,A61K|C08G|C08L
12391976,2025-08-19,"Methods, kits, and compositions for processing extracellular molecules",0,C12N|C12Q
12391975,2025-08-19,Systems and methods for transposon loading,0,C12Q
12385083,2025-08-12,Methods of using master / copy arrays for spatial detection,0,B01L|C12N|C12Q|G01N|G02B
12378607,2025-08-05,Method for transposase-mediated spatial tagging and analyzing genomic DNA in a biological sample,0,C12Q|C12Y|G01N
12371688,2025-07-29,"Methods, compositions, and systems for spatial analysis of analytes in a biological sample",0,C12N|C12Q
12365944,2025-07-22,Compositions and methods for amplification and sequencing,0,C12N|C12Q
12365942,2025-07-22,Methods of decreasing background on a spatial array,0,C12Q
12365935,2025-07-22,Methods for increasing resolution of spatial analysis,0,C12Q|C40B|G01N
12365893,2025-07-22,Systems and methods for nucleic acid preparation,0,C12N
12360105,2025-07-15,Methods and compositions for synchronizing reactions in situ,0,C12Q|G01N
12344892,2025-07-01,Method for transposase-mediated spatial tagging and analyzing genomic DNA in a biological sample,2,C12Q|C12Y|G01N
12325877,2025-06-10,Compositions and methods for gene expression library analysis,0,C12N|C12Q
12325023,2025-06-10,Methods for sorting particles,0,B01F|B01L|C12Q|G01N
12319956,2025-06-03,Methods and systems for targeted RNA cleavage and target RNA-primed rolling circle amplification,0,C12Q
12312640,2025-05-27,Analysis of nucleic acid sequences,0,C12Q|G16B
12305239,2025-05-20,Analysis of nucleic acid sequences,0,C12Q|G16B
12298314,2025-05-13,Methods and compositions for analyzing target binding of molecules,0,G01N
12297499,2025-05-13,Multicomponent nucleic acid probes for sample analysis,0,C12Q
12297486,2025-05-13,Methods for spatial analysis using proximity ligation,5,C12N|C12Q|C12Y
12297463,2025-05-13,Engineered reverse transcriptase enzymes with enhanced enzymatic activity in nanoliter reaction,0,C12N|C12Y
12287264,2025-04-29,Modular assay support devices,6,B01L|G01N
12286673,2025-04-29,Increasing efficiency of spatial analysis in a biological sample,6,C12N|C12Q
12281357,2025-04-22,In situ spatial barcoding,6,C12Q
12275993,2025-04-15,Analysis of nucleic acid sequences,0,C12Q|G16B
12275988,2025-04-15,"Methods, compositions, and kits for determining the location of an analyte in a biological sample",7,C12Q|G01N
12275984,2025-04-15,Sequential hybridization and quenching,0,C12Q
12270077,2025-04-08,Method for transposase-mediated spatial tagging and analyzing genomic DNA in a biological sample,7,C12Q|C12Y|G01N
12270074,2025-04-08,Compositions and methods for gene expression library analysis,0,C12N|C12Q
12270071,2025-04-08,Methods of detecting an analyte,0,C12Q
12269036,2025-04-08,"Devices, systems, and methods for increasing droplet formation efficiency",0,B01F|B01L|C12M|G01N
12265079,2025-04-01,Systems and methods for detecting analytes from captured single biological particles,9,G01N
12264411,2025-04-01,Methods and systems for analysis,0,C07K|C12N|C12Q|C40B|G01N
12264316,2025-04-01,Methods and systems for droplet-based single cell barcoding,0,B01L|C12N|C12Q
12263482,2025-04-01,Methods and devices for magnetic separation in a flow path,0,B01F|B01L|B03C|B81C|C12N
12258624,2025-03-25,Catalytic de-crosslinking of samples for in situ analysis,0,C12Q|G01N
12252732,2025-03-18,Methods and systems for nucleic acid preparation and chromatin analysis,0,C12N|C12Q
12249085,2025-03-11,Sample handling apparatus and image registration methods,12,C12Q|G01N|G06T|G06V|G16B
12241890,2025-03-04,Methods for generating barcoded nucleic acid molecules using fixed cells,14,C07D|C07F|C12N|C12Q|G01N
12241060,2025-03-04,"Methods, compositions, and systems for capturing probes and/or barcodes",14,C12N|C12Q
12235262,2025-02-25,Methods and systems for single cell protein analysis,5,G01N
12234507,2025-02-25,Compositions and methods for targeted masking of autofluorescence,0,C12Q|G01N
12228544,2025-02-18,Electrophoretic methods for spatial analysis,15,G01N
12227796,2025-02-18,RNA templated ligation,0,C12N|C12P|C12Q
12215379,2025-02-04,In situ analysis of chromatin interaction,0,C12Q
12209280,2025-01-28,Methods of identifying abundance and location of an analyte in a biological sample using second strand synthesis,17,C12Q
12209273,2025-01-28,Nucleic acid assays using click chemistry bioconjugation,0,C12Q
12209271,2025-01-28,Methods and systems for detection of protein-DNA interactions using proximity ligation,0,C12Q|G01N
12203134,2025-01-21,Methods of measuring mislocalization of an analyte,17,C12Q
12201983,2025-01-21,Droplet forming devices and system with differential surface properties,0,B01F|B01L|C12N|C12Q|C40B|G01N
12195790,2025-01-14,Methods for improved in situ detection of nucleic acids and spatial analysis,17,C12Q
12188087,2025-01-07,Sequential decoding of nucleic acids,0,C12Q
12188085,2025-01-07,Three-dimensional spatial transcriptomics with sequencing readout,0,C12Q
12188014,2025-01-07,Compositions and methods for nucleic acid processing using blocking agents,8,C12N|C12Q
12180543,2024-12-31,Imaging system hardware,17,B01L|C12N|C12Q|G01N|G02B
12173360,2024-12-24,Methods and compositions for integrated in situ spatial assay,0,C12Q
12169198,2024-12-17,Systems and methods for sample analysis,8,C07K|C12N|C12Q|C40B|G01N
12168801,2024-12-17,Hybrid/capture probe designs for full-length cDNA,0,C12N|C12Q
12163191,2024-12-10,Analysis of nucleic acid sequences,0,C12Q|G16B
12157124,2024-12-03,Imaging system hardware,19,B01L|C12Q
12152278,2024-11-26,Systems and methods for differentially tagging nucleic acid molecules,0,C12Q
12139756,2024-11-12,Systems and methods for processing-nucleic acid molecules from a single cell using sequential co-partitioning and composite barcodes,0,C12Q
12139751,2024-11-12,Circularizable probes for in situ analysis,0,C12Q
12138628,2024-11-12,Microfluidic systems and methods of use,0,B01L|G01N
12129516,2024-10-29,Quantitative and automated permeabilization performance evaluation for spatial transcriptomics,21,C12Q|G02B|G06T
12128403,2024-10-29,Fluid delivery methods,21,B01L|C12Q|G01N
