patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428486,2025-09-30,Chimeric antigen receptors specific for B-cell maturation antigen and encoding polynucleotides,0,A61K|A61P|C07K|C12N|C12Q
12414969,2025-09-16,Methods and compositions for reducing clostridium difficile infection,0,A61K|A61P|C12N|C12Q|C12Y
12409171,2025-09-09,Pharmaceutically active pyrazolo-pyridone modulators of DCN1/2-mediated cullin neddylation,0,A61K|A61P|C07D
12404489,2025-09-02,Establishing topographic organization in three-dimensional tissue culture,0,A61K|C12N|G01N
12404316,2025-09-02,Transgenic T cell and chimeric antigen receptor T cell compositions and related methods,0,A61K|A61P|C07K|C12N|Y02A
12397029,2025-08-26,Use of MVA or MVADELTAE3L as immunotherapeutic agents against solid tumors,0,A61K|A61P|C07K|C12N
12378261,2025-08-05,"One-step, fast, 18F-19F isotopic exchange radiolabeling of difluoro-dioxaborinins and use of such compounds in treatment",0,A61K|A61P|C07B|C07F
12371662,2025-07-29,Cell-based treatment and drug discovery in Hirschsprung's disease enabled by pluripotent stem cell-derived human enteric neural crest lineages,0,A61K|A61P|C12N
12371467,2025-07-29,T cell receptors targeting PIK3CA mutations and uses thereof,0,A61K|A61P|C07K
12364752,2025-07-22,Methods of enhancing immunogenicity of poorly immunogenic antigen-specific vaccines using oral yeast beta-glucans,0,A61K|A61P|C07K|C12N|Y02A
12345712,2025-07-01,Cancer antigen targets and uses thereof,0,A61K|A61P|C07K|G01N|G06F|G16B
12343407,2025-07-01,Inflammasome-targeted RNA interference approach to treating kidney injury and disease,0,A61K|A61P|G01N
12343401,2025-07-01,Modular self assembly disassembly (SADA) technologies,0,A61K|A61P|C07K|G01N
12338458,2025-06-24,Use of the IL-15/IL-15Rα complex in the generation of antigen-specific T cells for adoptive immunotherapy,0,A61K|C07K|C12N
12332177,2025-06-17,3D interferometric lattice light-sheet imaging,0,G01N|G02B
12331359,2025-06-17,Neoantigens and uses thereof for treating cancer,0,A61K|A61P|C07K|C12Q|G01N|G16B
12331129,2025-06-17,Chimeric receptors targeting ADGRE2 and/or CLEC12A and uses thereof,0,A61K|A61P|C07K
12295973,2025-05-13,"Luteinizing hormone receptor binding agents and luteinizing hormone agonists to identify, expand, ablate and modify stem cells",0,A61K|A61P|C07K|C12N
12275802,2025-04-15,Compositions and methods for immunotherapy,0,A61K|A61P|C07K|C12N
12268742,2025-04-08,Nanotherapeutic systems and methods using particle-driven photodynamic therapy (PDT),0,A61K|A61P
12263220,2025-04-01,Compositions and methods for immunotherapy,0,A61K|A61P|C07K|C12N
12259390,2025-03-25,Cancer antigen targets and uses thereof,0,A61K|A61P|C07K|G01N|G06F|G16B
12257284,2025-03-25,"Lantibiotics, lantibiotic-producing bacteria, compositions and methods of production and use thereof",0,A61K|A61P|C07K|C12N|C12P|C12Y|Y02A
12252702,2025-03-18,Recombinant poxviruses for cancer immunotherapy,0,A61K|A61P|C07K|C12N|Y02A
12246066,2025-03-11,Anti-CTLA-4 antibodies and methods of use thereof,0,A61K|A61P|C07K|Y02A
12241097,2025-03-04,Compositions and methods for adoptive cell therapy for cancer,0,A61K|A61P|C07D|C07H|C07K|C12N|C12Y|Y02A
12235270,2025-02-25,Depleting tumor-specific tregs,0,A61K|C07K|G01N
12215090,2025-02-04,Agents and methods for treating dysproliferative diseases,0,A61P|C07D|C07F
12214218,2025-02-04,Perfusion modulated tumor dose sculpting with single dose radiotherapy,0,A61K|A61N
12198336,2025-01-14,Fast whole slide tissue tiling method,0,G01N|G06T|G06V
12195554,2025-01-14,Anti-polysialic acid antibodies and uses thereof,0,A61K|A61P|C07K
12187755,2025-01-07,"Minimal saponin analogues, synthesis and use thereof",0,A61K|A61P|C07H|Y02A
12180285,2024-12-31,Antibodies to galectin-3 and methods of use thereof,0,A61K|A61P|C07K
12178830,2024-12-31,Compositions and methods for adoptive cell therapy for cancer,0,A61K|C07C|C07D|C07H|C07K|C12N|C12Y
12168696,2024-12-17,"Antibodies to mucin-16 (MUC16), encoding polynucleotides and methods of treating MUC16-positive cancer",0,A61K|A61P|C07K
12144805,2024-11-19,Compositions and methods for treatment of edema,0,A61K|A61P
12139538,2024-11-12,Chimeric antigen receptors targeting Fc receptor-like 5 and uses thereof,0,A61K|A61P|C07K|C12N
12139524,2024-11-12,Immune cell compositions and methods of use,0,A61K|A61P|C07K|C12N|C12Y
12133892,2024-11-05,Methods and compositions for increasing susceptibility to radiation treatment by inhibiting suppression of numerical chromosomal instability of cancer cells,0,A61K|A61N|A61P
12122844,2024-10-22,Treatment of brain cancers using central nervous system mediated gene transfer of monoclonal antibodies,2,A61K|C07K|C12N
12104211,2024-10-01,Immunocompetence assessment by adaptive immune receptor diversity and clonality characterization,0,C12Q|G16B
12097264,2024-09-24,Methods and compositions for theranostic nanoparticles,0,A61K|A61P
12086985,2024-09-10,Methods and systems for predicting response to PD-1 axis directed therapeutics,0,C07K|G06T|G16H
