patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422393,2025-09-23,"Gas sensor, gas sensor assembly, and chemical substance identification method",0,G01N
12420360,2025-09-23,Repair welding segment detection method and repair welding segment detection device,0,B23K|G01N|G06T|G06V
12410287,2025-09-09,"Composite resin molded product with adjusted decomposition rate, and production method therefor",0,C08J|C08K|C12N
12366651,2025-07-22,Imaging apparatus,0,G01N|G01S
12360095,2025-07-15,Gas detection system and control method for gas detection system,0,G01N
12352694,2025-07-08,Detection device and detection method,0,G01N
12352678,2025-07-08,Counting method and counting apparatus,0,B03C|G01N
12352626,2025-07-08,Raman spectroscopy device and Raman spectroscopy measurement method,0,G01J|G01N
12339238,2025-06-24,Inspection device and inspection method,0,G01N|H10H
12326399,2025-06-10,Inspection method and inspection system,0,G01J|G01N
12325218,2025-06-10,Jig,0,A45D|A61K|A61Q|B32B
12309506,2025-05-20,"Processing apparatus, method, and non-transitory computer-readable recording medium",0,G01J|G01N|G06T|H04N
12309499,2025-05-20,Inspection method and inspection apparatus,0,G01N|G06T|G06V|H04N
12306292,2025-05-20,Imaging apparatus including sub-terahertz wave reflective member,0,G01N|G01S|G01V|G02B
12306158,2025-05-20,Gas sensor,0,G01N
12303291,2025-05-20,"Information providing method, information processing system, information terminal, and information processing method",0,A61B|G01N|G06Q|G16H
12290336,2025-05-06,Pathogen detection apparatus and pathogen detection method,0,A61B|G01N
12279026,2025-04-15,Imaging device,0,G01N|H04N
12270693,2025-04-08,"Ultrasonic transceiver, ultrasonic flowmeter, ultrasonic flow velocimeter, ultrasonic densitometer, and manufacturing method",0,B06B|G01F|G01N|G10K
12265020,2025-04-01,"Food selection method, food selection system, robot, non-transitory computer-readable recording medium storing program, and comparison method",0,G01J|G01N|G06Q|H04N
12259320,2025-03-25,Imaging device,0,G01B|G01J|G01N|G01S|G02B
12258611,2025-03-25,Device for detecting tomato pathogenic fungus and detection method using the same,0,C12M|C12Q
12249420,2025-03-11,"Information provision method, information processing system, information terminal, and information processing method",0,A61B|G01N|G16H
12249058,2025-03-11,Inspection method and inspection machine,0,G01B|G01N|G06T|H04N
12247827,2025-03-11,"Bead appearance inspection device, bead appearance inspection method, program, and bead appearance inspection system",0,B23K|G01B|G01N
12222252,2025-02-11,Load sensor,0,G01L|G01N
12209962,2025-01-28,Detection method and detection device,0,B01D|B03C|C02F|G01N
12194161,2025-01-14,Living body-adhesive sheet,0,A61K|A61L|A61Q|B32B|C08J|C08L|C09D
12191544,2025-01-07,"Membrane electrode assembly, electrochemical device, and electrochemical system",0,C25B|G01N|H01M|Y02E|Y02P
12178383,2024-12-31,Detection device,1,A47L|G01N
12175682,2024-12-24,"Counting method, counting device, and recording medium",0,G01N|G06T
