patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12417645,2025-09-16,Multiple image segmentation and/or multiple dynamic spectral acquisition for material and mineral classification,0,G01N|G06V|H01J
12411099,2025-09-09,Systems and methods for detecting beam displacement,0,G01N
12392735,2025-08-19,Sparse image reconstruction from neighboring tomography tilt images,0,G01N|G06T
12362135,2025-07-15,Method and system for automatic zone axis alignment,0,G01N|H01J
12332194,2025-06-17,Dynamic spectral acquisition for material studies,0,G01N|G06T
12327342,2025-06-10,Automatic particle beam focusing,0,G01N|G06T|H01J
12306119,2025-05-20,Methods and systems for determining the absolute structure of crystal,0,G01N
12278087,2025-04-15,Systems and methods for performing sample lift-out for highly reactive materials,0,G01N|H01J
12270602,2025-04-08,Method of preparing a cryogenic sample with improved cooling characteristic,0,F25D|G01N
12244115,2025-03-04,Laser device with safety interlock and scientific instrument for use with the same,0,G01J|G01N|H01J|H01S
12228484,2025-02-18,Broad ion beam (BIB) systems for more efficient processing of multiple samples,0,G01N|H01J
12223752,2025-02-11,Data acquisition in charged particle microscopy,0,G01N|G06F|G06N|G06T|G06V|H01J
12216068,2025-02-04,Bifocal electron microscope,0,G01N|G03H|H01J
12216029,2025-02-04,Liquid shaping with charged particle beams,0,G01N|H01M|Y02E
12211666,2025-01-28,Data acquisition and processing techniques for three-dimensional reconstruction,0,G01N|G06N|G06T|H01J
12211295,2025-01-28,Parallel image segmentation and spectral acquisition,0,G01N|G06T|G06V
12165832,2024-12-10,Systems and methods for performing sample lift-out for highly reactive materials,0,G01N|H01J
12158372,2024-12-03,Concurrent laser cleaning and spectroscopic cleanliness monitoring,0,G01J|G01N|H01J
12136532,2024-11-05,"Dual speed acquisition for drift corrected, fast, low dose, adaptive compositional charged particle imaging",0,G01N|H01J
12123816,2024-10-22,Vibration-free cryogenic cooling,0,F25D|G01N|H01J
12117406,2024-10-15,Charged particle detection for spectroscopic techniques,0,G01N|G01T|H01J
12106931,2024-10-01,Systems and methods for pre-aligning samples for more efficient processing of multiple samples with a Broad Ion Beam (BIB) system,0,G01N|H01J
12099024,2024-09-24,Methods and apparatus for electron backscatter diffraction sample characterisation,0,G01N
