patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419358,2025-09-23,Electronic vaping device having pressure sensor,0,A24F|G01L|G01N|G01R|G05B|H02J|H05B
12379248,2025-08-05,On-line oil and foreign matter detection system and method employing hyperspectral imaging,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
12371703,2025-07-29,Tobacco having altered leaf properties and methods of making and using,0,A01H|A24B|C12N
12357774,2025-07-15,"Capsules, heat-not-burn (HNB) aerosol-generating devices, and methods of generating an aerosol",0,A24B|A24F|A61K|A61M
12357019,2025-07-15,Soft oral product,0,A24B|A61K|A61P
12351809,2025-07-08,Tissue-specific promoters in plants,0,A01H|C07K|C12N|C12P
12350306,2025-07-08,Modifying taste and sensory irritation of smokeless tobacco and non-tobacco products,0,A24B|A61K
12319923,2025-06-03,Increasing trichome density and improving transport of metabolites in plant trichomes,0,A01H|C07K|C12N|C12P
12295412,2025-05-13,Oral pouch product,0,A24B|A24F|A61K
12291715,2025-05-06,Genetic locus imparting a low anatabine trait in tobacco and methods of using,0,A01H|A24B|C12N|C12Q
12286637,2025-04-29,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,0,C07K|C12N|Y02A
12284977,2025-04-29,Methods and compositions related to improved nitrogen utilization efficiency in tobacco,0,A01H|C07K|C12N|C12Y|Y02A
12274276,2025-04-15,Dissolvable-chewable tablet,0,A23G|A61K
12270037,2025-04-08,Compositions and methods for producing tobacco plants and products having altered alkaloid levels with desirable leaf quality via manipulating leaf quality genes,0,C07K|C12N
12234469,2025-02-25,Compositions and methods for producing tobacco plants and products having altered alkaloid levels,0,A01H|A24B|C12N
12209249,2025-01-28,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,0,A24B|C07K|C12N|Y02A
12203082,2025-01-21,Genetic control of axillary bud growth in tobacco plants,0,C07K|C12N|Y02A
12193518,2025-01-14,Method of configuring aerosol-generating device to receive and identify consumable,0,A24B|A24D|A24F|G01N|H01R|H05K
12185750,2025-01-07,Acyl nornicotines reduce sensory irritation in tobacco and nicotine products,0,A24B|A24F|A61K|A61M|H05B
12178257,2024-12-31,System and method of obtaining smoking topography data,0,A24F|G01N
12178245,2024-12-31,Smoking device,0,A24F|A61K|A61M|A61P
12167743,2024-12-17,Oral product,0,A24B|A61K
12163139,2024-12-10,Tobacco plants having increased nitrogen efficiency and methods of using such plants,0,A24B|A61K|C12N|C12Y|Y02A
12133848,2024-11-05,Oral product,0,A24B|A61J|A61K|B29C|B29K|B29L
12129474,2024-10-29,Composition and methods for producing tobacco plants and products having reduced tobacco-specific nitrosamines (TSNAs),0,A01H|A24B|B01F|B01L|C07K|C12N|G01N|H02N
12121072,2024-10-22,Accessory for electronic cigarette,0,A24F|G01N
12109313,2024-10-08,Soluble fiber lozenge,0,A23G|A23V|A61K|A61Q
12083110,2024-09-10,Nicotine lozenge,0,A61K|B29C
12077765,2024-09-03,Tobacco plants comprising reduced nicotine and reduced tobacco specific nitrosamines,0,A01H|C07K|C12N
12075746,2024-09-03,Compositions and methods for producing tobacco plants and products having altered alkaloid levels,0,A01H|A24B|C12N
12059523,2024-08-13,Aerosol generating device comprising semiconductor heaters,0,A24D|A24F|A61M|G01N|H05B|Y02A
12053022,2024-08-06,"Capsules with integrated mouthpieces, heat-not-burn (HNB) aerosol-generating devices, and methods of generating an aerosol",0,A24F|A61K|A61M
11999961,2024-06-04,Composition and methods for producing tobacco plants and products having increased phenylalanine and reduced tobacco-specific nitrosamines (TSNAs),0,A24B|C12N|C12Y
11992605,2024-05-28,Non-combustible vaping device,1,A24F|A61M|G01N|H01R|H05B
11981903,2024-05-14,Tobacco having altered leaf properties and methods of making and using,1,A01H|A24B|C12N
11976973,2024-05-07,Blending of agricultural products via hyperspectral imaging and analysis,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11950563,2024-04-09,Compositions and methods for producing tobacco plants and products having altered alkaloid levels,2,A01H|A24B|C12N
11946807,2024-04-02,Hyperspectral imaging system for monitoring agricultural products during processing and manufacturing,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11946806,2024-04-02,On-line oil and foreign matter detection system and method employing hyperspectral imaging,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11945644,2024-04-02,Aerosol-generating system,0,A61M|B65D|G01N|H05B
11889864,2024-02-06,Vaporizer for vaporizing a constituent of a plant material,0,A24F|A61K|A61M|G05D
11879130,2024-01-23,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,1,C07K|C12N|Y02A
11873500,2024-01-16,Genetic locus imparting a low anatabine trait in tobacco and methods of using,0,A01H|A24B|C12N|C12Q
11859192,2024-01-02,Compositions and methods for producing tobacco plants and products having altered alkaloid levels with desirable leaf quality,0,A24B|C12N
11845946,2023-12-19,Tobacco plants exhibiting altered photosynthesis and methods of making and using,0,A01H|A24B|C07K|C12N|C12Y|Y02A
11827893,2023-11-28,Pale yellow locus and its applications in tobacco,0,A01H|C12N
11825878,2023-11-28,Vaporizer for vaporizing a constituent of a plant material,0,A24F|A61K|A61M|G05D
11807860,2023-11-07,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,0,A24B|C07K|C12N|Y02A
11767535,2023-09-26,Optimized tissue-preferred promoter and uses thereof,0,C12N|Y02A
11758938,2023-09-19,Soft oral product,0,A24B|A61K|A61P
11751608,2023-09-12,Electronic vaping device having pressure sensor,1,A24F|G01L|G01N|G01R|G05B|H02J|H05B
11723904,2023-08-15,Nicotine lozenge,0,A61K|B29C
11717028,2023-08-08,Vaporizing devices and methods for delivering a compound using the same,1,A24F|A61K|A61M|A61P
11717027,2023-08-08,Smoking device,1,A24F|A61K|A61M|A61P
11707089,2023-07-25,Smoking device,1,A24F|A61K|A61M|A61P
11696989,2023-07-11,Vaporizer for vaporizing an active ingredient,0,A24D|A24F|A61K|A61M|G05D
11696599,2023-07-11,Vaporizer for vaporizing a constituent of a plant material,0,A24F|A61K|A61M|G05D
11696598,2023-07-11,Vaporizer for vaporizing a constituent of a plant material,0,A24F|A61K|A61M|G05D
11684089,2023-06-27,Accessory for electronic cigarette,0,A24F|G01N
11647794,2023-05-16,System and method of obtaining smoking topography data,0,A24F|G01N
11634724,2023-04-25,Composition and methods for producing tobacco plants and products having reduced tobacco-specific nitrosamines (TSNAs),0,A01H|A24B|B01F|B01L|C07K|C12N|G01N|H02N
11602118,2023-03-14,Methods and compositions related to improved nitrogen utilization efficiency in tobacco,0,A01H|C07K|C12N|C12Y|Y02A
11602019,2023-03-07,Cartridge with a capacity sensor,1,A24F|G01F|G01N|H05B
11555790,2023-01-17,Oil soluble taggants,0,A24B|A24C|B07C|C09B|C09K|C10L|C10M|C10N|G01N
11554099,2023-01-17,Soluble fiber lozenge,0,A23G|A23V|A61K|A61Q
11549932,2023-01-10,Method for detecting oil on tobacco products and packaging,0,G01N
11541001,2023-01-03,Oral product,0,A61K
11533786,2022-12-20,Aerosol generating device comprising semiconductor heaters,0,A24D|A24F|G01N|H05B|Y02A
11517684,2022-12-06,"Capsules, heat-not-burn (HNB) aerosol-generating devices, and methods of generating an aerosol",0,A24B|A24F|A61K|A61M
11517566,2022-12-06,Oral product,1,A24B|A61J|A61K|B29C|B29K|B29L
11492633,2022-11-08,Tobacco having altered leaf properties and methods of making and using,0,A01H|A24B|C12N
11452275,2022-09-27,Tobacco plants having altered amounts of one or more alkaloids in leaf and methods of using such plants,0,A01H|A24B|C07K|C12N|C12Q|G01N
11447790,2022-09-20,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,0,A01H|C12N|Y02A
11432591,2022-09-06,Electronic vaping device having pressure sensor,1,A24F|G01L|G01N|G01R|G05B|H02J|H05B
11384361,2022-07-12,Compositions and methods based on PMT engineering for producing tobacco plants and products having altered alkaloid levels,0,A01H|C12N|C12Q
11377665,2022-07-05,Composition and methods for producing tobacco plants and products having increased phenylalanine and reduced tobacco-specific nitrosamines (TSNAs),0,A24B|C12N|C12Y
11369129,2022-06-28,Oral product,0,A24B|A61K
11340168,2022-05-24,Menthol detection on tobacco,0,A24B|B07C|B65G|C10L|C10N|G01N
11304440,2022-04-19,Tobacco having altered leaf properties and methods of making and using,0,A24B|A24D|A24F|C12N
11299743,2022-04-12,Genetic locus imparting a low anatabine trait in tobacco and methods of using,0,A01H|A24B|C12N|C12Q
11293030,2022-04-05,Optimized tissue-preferred promoter and uses thereof,1,C12N|Y02A
11266174,2022-03-08,Tobacco plants having increased nitrogen efficiency and methods of using such plants,1,A24B|A61K|C12N|C12Y|Y02A
11250261,2022-02-15,Hyperspectral imaging system for monitoring agricultural products during processing and manufacturing,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11250259,2022-02-15,Blending of agricultural products via hyperspectral imaging and analysis,0,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11236349,2022-02-01,Genetic control of axillary bud growth in tobacco plants,0,C07K|C12N|Y02A
11222203,2022-01-11,On-line oil and foreign matter detection system and method employing hyperspectral imaging,12,A24B|B07C|G01J|G01N|G06F|G06T|G06V
11220695,2022-01-11,Compositions and methods for producing tobacco plants and products having altered alkaloid levels with desirable leaf quality,1,A24B|C12N
11185112,2021-11-30,Consumable identification,2,A24B|A24D|A24F|G01N|H01R|H05K
11174490,2021-11-16,Tobacco plants exhibiting altered photosynthesis and methods of making and using,0,A01H|A24B|C07K|C12N|C12Y|Y02A
11160936,2021-11-02,Non-combustible vaping device,7,A24F|A61M|G01N|H01R|H05B
11116758,2021-09-14,Nicotine lozenge,1,A61K|B29C
11104912,2021-08-31,Compositions and methods for producing tobacco plants and products having reduced or eliminated suckers,2,C07K|C12N|Y02A
11096414,2021-08-24,Endolysin from bacteriophage against geobacillus and methods of using,0,A01N|A24B|C07K|C12N
11091314,2021-08-17,Aerosol-generating system,1,A61M|B65D|G01N|H05B
11058835,2021-07-13,Vaporizer for vaporizing a constituent of a plant material,1,A24F|A61K|A61M|G05D
11058834,2021-07-13,Vaporizer for vaporizing a constituent of a plant material,1,A24F|A61K|A61M|G05D
11058154,2021-07-13,Accessory for electronic cigarette,0,A24F|G01N
11034969,2021-06-15,Plant comprising recombinant polynucleotides encoding a pigment regulatory transcription factor with a tissue-preferred promoter,0,C07K|C12N
11034936,2021-06-15,Bacteriophage and methods of making and using,0,A24B|C07K|C12N|C12Y
11020401,2021-06-01,Oral energy products including encapsulated caffeine,1,A23L|A23P|A23V|A24B|A61K
10945393,2021-03-16,High yielding tobacco with oriental tobacco characteristics,0,A01H|A24B|A24D|C12N
