patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12416041,2025-09-16,Kits and flow cells,0,C12Q
12410426,2025-09-09,"Methods for generating, and sequencing from, asymmetric adaptors on the ends of polynucleotide templates comprising hairpin loops",0,C12N|C12Q
12398416,2025-08-26,Arrays including a resin film and a patterned polymer layer,0,C08G|C09D|C12Q
12385092,2025-08-12,Methods and arrays for producing and sequencing monoclonal clusters of nucleic acid,0,B01J|B01L|C12Q|C40B
12385085,2025-08-12,Preparation of templates for methylation analysis,0,C12Q
12359053,2025-07-15,Flow cell including a heteropolymer,0,C08F|C08L|C12Q
12351871,2025-07-08,Substituted coumarin dyes and uses as fluorescent labels,0,C07D|C09B|C09K|C12Q|G01N
12348874,2025-07-01,Apparatus and method of obtaining an image of a sample in motion,0,G01N|G02B|G06V|H04N
12319962,2025-06-03,Methods for sequencing polynucleotides,0,C12Q
12286453,2025-04-29,Methods of sequencing using nucleotides with 3′ acetal blocking group,0,C07H|C12Q|Y02P
12264361,2025-04-01,Image sensor structures and related methods,0,C12Q|G01N|H10F
12247254,2025-03-11,Compositions and methods for improving sample identification in indexed nucleic acid libraries,0,C12Q|C40B
12227802,2025-02-18,Nucleotides with a 3′ AOM blocking group,0,C07H|C12Q
12195796,2025-01-14,Cyclooctatetraene containing dyes and compositions,0,C07H|C09B|C12Q
12188078,2025-01-07,Methods for preparing a sample for nucleic acid amplification using tagmentation,0,C12N|C12P|C12Q
12157910,2024-12-03,Sample preparation for nucleic acid amplification,0,C12Q
12152237,2024-11-26,Functionalized plasmonic nanostructures,0,C08F|C08J|C12N|C12Q|G01N
12123056,2024-10-22,Surface concatemerization of templates,0,C12N|C12Q
12110546,2024-10-08,Tertiary amine substituted coumarin compounds and uses as fluorescent labels,0,C07D|C07H|C09B|C12Q
12104182,2024-10-01,"Polymerases, compositions, and methods of use",0,C12N|C12Y
12091713,2024-09-17,Generalized stochastic super-resolution sequencing,0,C12Q|G01N
12091712,2024-09-17,Systems and methods for measurement and sequencing of bio-molecules,0,C12Q|G01N
12071711,2024-08-27,Method of preparing libraries of template polynucleotides,0,C12N|C12Q|C40B|Y10T
12071662,2024-08-27,Short pendant arm linkers for nucleotides in sequencing applications,0,C07H|C12Q
12060448,2024-08-13,"Compositions including functional groups coupled to substrates, and methods of making the same",0,C07H|C08F|C08J|C12N
12053776,2024-08-06,Flowcells with linear waveguides,0,B01L|B82Y|C12Q|G01N|G02B
12043637,2024-07-23,Fluorescent dyes containing bis-boron fused heterocycles and uses in sequencing,0,C07F|C07H|C09B|C12Q
12031178,2024-07-09,Cyclooctatetraene containing dyes and compositions,0,C07H|C09B|C12Q
12018103,2024-06-25,Flow cell and methods,0,C08F|C12Q
12013330,2024-06-18,Resin composition and flow cells incorporating the same,0,C08G|C08L|C09D|G01N|G03F
11988957,2024-05-21,Flow cells,0,B01J|C08F|C08G|C12N|C12Q|G03F|Y02E
11981964,2024-05-14,Substituted coumarin dyes and uses as fluorescent labels,0,C07D|C09B|C09K|C12Q|G01N
11981955,2024-05-14,Polymethine compounds and their use as fluorescent labels,0,C07D|C09B|C12Q|G01N
11975478,2024-05-07,Flow cells,0,B01L|B29C|B29K|B82Y|C08G|G01N|G03F
11970695,2024-04-30,Sample preparation on a solid support,0,B01J|C12N|C12Q|C40B
11959138,2024-04-16,Methods and compositions for nucleic acid sequencing using photoswitchable labels,0,C07H|C12Q
11946096,2024-04-02,Methods for estimating cluster numbers,0,C12Q
11938475,2024-03-26,Flow cells with hydrogel coating,0,B01J|B01L|C08F|C09D|C12Q
11933728,2024-03-19,Reduced dimensionality structured illumination microscopy with patterned arrays of nanowells,0,B01L|G01N|G02B|G06V
11932900,2024-03-19,Arrays including a resin film and a patterned polymer layer,0,C08G|C09D|C12Q
11913067,2024-02-27,Compositions and methods for amplifying polynucleotides,0,C12Q
11884976,2024-01-30,Resin composition and flow cells incorporating the same,1,C08F|C08G|C08K|C08L|C09D|C12Q|G03F
11884825,2024-01-30,Exocyclic amine substituted coumarin compounds and uses as fluorescent labels,0,C07H|C09B|C09K|C12Q
11873480,2024-01-16,Contiguity preserving transposition,0,C12N|C12Q
11866780,2024-01-09,Nucleic acid sample enrichment for sequencing applications,0,C12Q
11858923,2024-01-02,Secondary amine-substituted coumarin compounds and their uses as fluorescent labels,0,C07D|C07F|C07H|C12Q
11846580,2023-12-19,Flow cell package and method for making the same,0,B01J|B01L|C09D|C12Q|G01N
11834699,2023-12-05,Methods of nucleic acid sequencing,0,C12Q
11827931,2023-11-28,Methods of preparing growing polynucleotides using nucleotides with 3′ AOM blocking group,2,C07H|C12Q
11827927,2023-11-28,Preparation of templates for methylation analysis,0,C12Q
11787930,2023-10-17,Flow cell including a heteropolymer,0,C08F|C08L|C12Q
11787831,2023-10-17,Nucleosides and nucleotides with 3′ acetal blocking group,2,C07H|C12Q|Y02P
11781184,2023-10-10,Method for sequencing a polynucleotide template,0,C12Q
11773438,2023-10-03,Modified nucleotide linkers,0,C07H|C12Q
11767558,2023-09-26,Adding nucleotides during sequence detection,0,B01L|C12Q
11760994,2023-09-19,Separating polynucleotide fragments,0,C12N|C12Q
11733147,2023-08-22,Flow cells,0,B01J|C12Q|C23C|G01N
11714848,2023-08-01,Time-based cluster imaging of amplified contiguity-preserved library fragments of genomic DNA,0,B01L|C12Q|G06F|G06T|G06V
11708573,2023-07-25,Tagmentation using immobilized transposomes with linkers,0,C12N|C12Q|C12Y
11692223,2023-07-04,Methods and arrays for producing and sequencing monoclonal clusters of nucleic acid,1,B01J|B01L|C12Q|C40B
11685946,2023-06-27,Complex surface-bound transposome complexes,0,C12N|C12Q|C12Y
11680292,2023-06-20,Flow cells,1,B01J|C08F|C08G|C12N|C12Q|G03F|Y02E
11667969,2023-06-06,Protective surface coatings for flow cells,0,B01L|C12Q
11667953,2023-06-06,Methods and compositions for cluster generation by bridge amplification,0,C12N|C12Q
11661627,2023-05-30,Kinetic exclusion amplification of nucleic acid libraries,0,B01J|B01L|C12Q
11655502,2023-05-23,Short pendant arm linkers for nucleotides in sequencing applications,1,C07H|C12Q
11654411,2023-05-23,Methods and compositions of localizing nucleic acids to arrays,3,B01J|C08F|C12Q|C40B|Y10T
11650156,2023-05-16,Reduced dimensionality structured illumination microscopy with patterned arrays of nanowells,0,B01L|G01N|G02B|G06V
11634768,2023-04-25,Methods for indexing samples and sequencing multiple polynucleotide templates,0,C12Q
11634765,2023-04-25,Methods and compositions for paired end sequencing using a single surface primer,3,C12N|C12Q
11634697,2023-04-25,"Polymerases, compositions, and methods of use",2,C12N|C12Y
11605446,2023-03-14,Methods and systems for determining haplotypes and phasing of haplotypes,0,B01L|C12Q|G16B|G16C
11597969,2023-03-07,Cyclooctatetraene containing dyes and compositions,2,C07H|C09B|C12Q
11584962,2023-02-21,Compositions for use in polynucleotide sequencing,0,B01L|C12Q
11555218,2023-01-17,Sequencing from multiple primers to increase data rate and density,0,C12Q|G06T
11542553,2023-01-03,Methods for sequencing a polynucleotide template,0,C12Q
11530439,2022-12-20,Polymethine compounds and their use as fluorescent labels,1,C07D|C09B|C12Q|G01N
11512339,2022-11-29,Arrays including a resin film and a patterned polymer layer,0,C08G|C09D|C12Q
11479808,2022-10-25,"Methods, carrier assemblies, and systems for imaging samples for biological or chemical analysis",0,B01L|C12Q|G01N|G02B
11473067,2022-10-18,Modified polymerases for improved incorporation of nucleotide analogues,2,C12N|C12Q|C12Y
11459610,2022-10-04,Compositions and methods for improving sample identification in indexed nucleic acid libraries,0,C12N|C12Q|C40B
11453875,2022-09-27,Surface-based tagmentation,0,B01J|C12N|C12Q|C40B
11447582,2022-09-20,Polymers and DNA copolymer coatings,3,B01J|C08F|C12Q|C40B
11421271,2022-08-23,Methods and compositions for nucleic acid sequencing using photoswitchable labels,1,C07H|C12Q
11406977,2022-08-09,Flowcells with linear waveguides,1,B01L|B82Y|C12Q|G01N|G02B
11390864,2022-07-19,"Nucleic acid extraction materials, systems, and methods",0,C08F|C12N
11390753,2022-07-19,Exocyclic amine substituted coumarin compounds and uses as fluorescent labels,1,C07H|C09B|C09K|C12Q
11390619,2022-07-19,Secondary amine-substituted coumarin compounds and their uses as fluorescent labels,3,C07D|C07F|C07H|C12Q
11384392,2022-07-12,Flow cells,0,B01J|C08F|C08G|C12N|C12Q|G03F|Y02E
11371078,2022-06-28,Coumarin compounds and their uses as fluorescent labels,0,C07D|C07H|C09B|C09K|C12Q
11370920,2022-06-28,Fluorescent dyes and their uses as biomarkers,0,C07D|C09B|C09K|C12Q
11306348,2022-04-19,Complex surface-bound transposome complexes,0,C12N|C12Q|C12Y
11299765,2022-04-12,Methods and compositions for preparing sequencing libraries,1,C12Q|C40B
11293061,2022-04-05,Sequencing methods using nucleotides with 3′ AOM blocking group,4,C07H|C12Q
11291998,2022-04-05,Fluid caching,0,B01L|G01N
11286521,2022-03-29,Pyrophosphorolytic sequencing,0,C12Q
11279975,2022-03-22,Methods for sequencing polynucleotides,5,C12Q
11257568,2022-02-22,Methods and systems for determining haplotypes and phasing of haplotypes,1,B01L|C12Q|G16B|G16C
11230734,2022-01-25,Modified nucleotide linkers,1,C07H|C12Q
11199540,2021-12-14,Reversible surface functionalization,0,C09D|C12N|C12Q|G01N
11150455,2021-10-19,Reduced dimensionality structured illumination microscopy with patterned arrays of nanowells,1,B01L|G01N|G02B|G06V
11142789,2021-10-12,Method of preparing libraries of template polynucleotides,0,C12N|C12Q|C40B|Y10T
11142786,2021-10-12,Methods for preparing a sample for nucleic acid amplification using tagmentation,14,C12N|C12P|C12Q
11136564,2021-10-05,Modified polymerases for improved incorporation of nucleotide analogues,7,C12N|C12Q|C12Y
11124829,2021-09-21,Flow cells,3,B01J|C08F|C08G|C12N|C12Q|G03F|Y02E
11111533,2021-09-07,Generalized stochastic super-resolution sequencing,0,C12Q|G01N
11060130,2021-07-13,Methods for estimating cluster numbers,2,C12Q
11028116,2021-06-08,Labelled nucleotides,2,C07H|C12Q|Y10T
11028115,2021-06-08,Labelled nucleotides,2,C07H|C12Q|Y10T
11008359,2021-05-18,Labelled nucleotides,2,C07H|C12Q|Y10T
11001888,2021-05-11,Short pendant arm linkers for nucleotides in sequencing applications,2,C07H|C12Q
11001816,2021-05-11,"Polymerases, compositions, and methods of use",9,C12N|C12Y
10995369,2021-05-04,Compositions and methods for improving sample identification in indexed nucleic acid libraries,0,C12Q|C40B
10995111,2021-05-04,Labelled nucleotides,0,C07H|C12Q|Y10T
