patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428473,2025-09-30,Combination therapies using anti-pseudomonas PSL and PCRV binding molecules,0,A61K|A61P|C07K
12391768,2025-08-19,Antibodies to ticagrelor and methods of use,0,A61K|A61P|C07D|C07K
12371464,2025-07-29,Polypeptides and uses thereof,0,A61K|A61P|C07K
12357692,2025-07-15,Method of treating influenza A,0,A61K|A61P|C07K|C12N
12344664,2025-07-01,Antibodies to amyloid beta,0,A61K|A61P|C07K
12325740,2025-06-10,Neutralizing anti-influenza B antibodies and uses thereof,0,A61K|A61P|C07K|G01N
12312397,2025-05-27,Anti-O2 antibodies and uses thereof,0,A61K|A61P|C07K
12264194,2025-04-01,Decreasing Staphylococcus aureus infections in colonized patients,0,A61K|C07K|C12Q
12224043,2025-02-11,Methods for determining treatment for cancer patients,0,A61K|C07K|G01N|G06N|G16B|G16H
12209126,2025-01-28,Treatment of cancer,0,A61K|A61P|C07K
12209099,2025-01-28,Azetidobenzodiazepine dimers and conjugates comprising them for use in the treatment of cancer,0,A61K|A61P|C07D
12187788,2025-01-07,Methods for treating atopic dermatitis and related disorders,0,A61K|A61P|C07K
12187774,2025-01-07,Heterodimeric Relaxin fusions and uses thereof,0,A61K|A61P|C07K|C12N
12178911,2024-12-31,Dry powder formulations of thymic stromal lymphopoietin (TSLP)-binding antibodies and methods of use thereof,0,A61K|A61P|C07K
12173050,2024-12-24,RSV-specific antibodies and functional parts thereof,0,A61K|A61P|C07K
12121590,2024-10-22,Pyrrolobenzodiazepines and conjugates thereof,0,A61K|A61P|C07D|Y02P
12110336,2024-10-08,Method for treating a neurodegenerative disease by administering an anti-cellular prion protein (PrPc) antibody,0,C07K
12098191,2024-09-24,Antibodies to amyloid beta,0,A61K|A61P|C07K
12076406,2024-09-03,Conjugates for targeting and clearing aggregates,0,A61K|A61P
12024553,2024-07-02,Dosage regimens for and compositions including anti-RSV antibodies,0,A61K|A61P|C07K
12018068,2024-06-25,Anti-O1 antibodies and uses thereof,0,A61K|A61P|C07K|C12N|G01N
11971377,2024-04-30,Method and apparatus for temperature gradient microfluidics,0,B01L|G01N
11970527,2024-04-30,Antibody directed against S. aureus clumping factor A (ClfA),0,A61K|A61P|C07K
11939382,2024-03-26,Bispecific PD-1 and TIGIT binding proteins and uses thereof,0,A61K|A61P|C07K|Y02A
11938192,2024-03-26,Dosage regimes for the administration of an anti-CD19 ADC,0,A61K|A61P|C07K
11932682,2024-03-19,Neutralizing anti-influenza A antibodies and uses thereof,0,A61K|A61P|C07K|C12P|G01N
11926657,2024-03-12,Neutralizing anti-influenza binding molecules and uses thereof,0,A61K|A61P|C07K
11912782,2024-02-27,BCMA monoclonal antibody-drug conjugate,0,A61K|A61P|C07K|C12N
11904053,2024-02-20,Dry powder formulations of thymic stromal lymphopoietin (TSLP)-binding antibodies and methods of use thereof,0,A61K|A61P|C07K
11897949,2024-02-13,Compounds and methods for treating pain,0,A61K|A61P|C07K
11845791,2023-12-19,Antibodies directed against GDF-15,0,A61K|A61P|C07K
11845782,2023-12-19,Relaxin fusion polypeptides and uses thereof,0,A61K|A61P|C07K
11834473,2023-12-05,Engineered O-glycosylation in recombinant polypeptides and uses thereof,0,A61K|C07K|C12P
11827706,2023-11-28,Anti-B7-H1 antibodies for treating tumors,0,A61K|A61P|C07K|G01N
11813335,2023-11-14,Pyrrolobenzodiazepine-antibody conjugates,0,A61K|A61P|C07D|C07K
