patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429481,2025-09-30,Target detection with nanopore,0,B82Y|C12Q|G01N
12411125,2025-09-09,Nanopore sensing device,0,G01N
12392766,2025-08-19,"Nanopore sensing device, components and method of operation",0,G01N
12383903,2025-08-12,Droplet interfaces in electro-wetting devices,0,B01L|C12M|C12N|C12Q|G01N
12371458,2025-07-29,Mutant pore,0,A61K|C07K
12351867,2025-07-08,Analysis of a polynucleotide via a nanopore system,0,C12Q
12350637,2025-07-08,Formation of array of membranes and apparatus therefor,0,B01J|B01L|C12Q|G01N
12338488,2025-06-24,Logic driven polynucleotide scanning for mapping features in a nanopore device,0,C12Q|G01N
12290815,2025-05-06,Droplet interfaces in electro-wetting devices,0,B01L|C12Q|G01N
12275761,2025-04-15,Mutant CsgG pores,0,C07K|C12Q|G01N
12269037,2025-04-08,Droplet interfaces in electro-wetting devices,0,B01L|C12M|C12N|C12Q|G01N
12264360,2025-04-01,Analysis of nanopore signal using a machine-learning technique,0,C12Q|G01N|G06F|G06N|G16B
12258591,2025-03-25,Modified helicases,0,C12N|C12Q|C12Y
12258375,2025-03-25,Mutant lysenin pores,0,C07K|C12Q|G01N
12256863,2025-03-25,Sensing system and method of operation,0,A47J|B01L|C12Q|F21L|F21V|H05B
12252717,2025-03-18,Modified helicases,0,C07K|C12N|C12Q|C12R|C12Y
12247946,2025-03-11,Biochemical analysis instrument,0,C12Q|G01N
12235233,2025-02-25,"Current measurement apparatus, molecular entity sensing apparatus, method of measuring a current, method of sensing a molecular entity",0,G01N|G01R
12227800,2025-02-18,Mutant pores,1,C07K|C12Q|G01N
12216110,2025-02-04,Method and system of estimating a sequence of polymer units,0,B82Y|C12Q|G01N|G06F|G06N|G16B
12215384,2025-02-04,Methods of characterising target polynucleotides,0,C12Q
12195777,2025-01-14,"Polynucleotide synthesis method, kit and system",0,C12N|C12P|C12Q
12188899,2025-01-07,"Sensing compositions, methods, and devices for the detection of molecules using a nanopore device",0,C12Q|G01N
12168799,2024-12-17,Hairpin loop method for double strand polynucleotide sequencing using transmembrane pores,0,C12Q|G01N
12152276,2024-11-26,Coupling method,0,B82Y|C12Q|G01N
12140563,2024-11-12,Formation of layers of amphiphilic molecules,1,B01L|C12Q|G01N
12129518,2024-10-29,Method for nanopore RNA characterization,0,C12N|C12Q|C12Y|G01N
12121894,2024-10-22,Microfluidic device,2,B01L|G01N
12104202,2024-10-01,Method of identifying sequence variants using concatenation,0,C12Q|G16B
12084477,2024-09-10,Protein pores,4,B82Y|C07K|C12Q|G01N
12042790,2024-07-23,Apparatus and methods for controlling insertion of a membrane channel into a membrane,0,B01L|B81C|G01N
12037636,2024-07-16,"Polynucleotide synthesis method, kit and system",0,B01J|C12P|C12Q
12024541,2024-07-02,Transmembrane pore consisting of two CsgG pores,5,C07K|C12Q|G01N
12018326,2024-06-25,Mutant pore,5,C07K|C12Q|G01N
11994486,2024-05-28,"Current measurement apparatus, molecular entity sensing apparatus, method of measuring a current, method of sensing a molecular entity",1,G01N|G01R
