patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431342,2025-09-30,Charged particle detector,0,G01N|H01J
12422383,2025-09-23,"Imaging unit, radiological image acquisition system, and radiological image acquisition method",0,G01N|G01V
12412726,2025-09-09,X-ray generation device and X-ray imaging system,0,A61B|G01N|G21K|H01J
12405228,2025-09-02,Inspection apparatus and inspection method,0,G01B|G01N
12392724,2025-08-19,Measurement device,0,G01N
12392720,2025-08-19,Time response measurement apparatus and time response measurement method,0,G01N
12387309,2025-08-12,Inspection apparatus and inspection method,0,G01J|G01N|G06T|H04N|H10H
12385934,2025-08-12,Image acquisition system and image acquisition method,0,B01L|G01N|G02B|G06K
12372458,2025-07-29,Optical property measurement apparatus and optical property measurement method,0,G01J|G01N|G02F|H01S
12366480,2025-07-22,Dispersion measurement apparatus and dispersion measurement method,0,G01J|G01M|G01N|H01S
12360056,2025-07-15,Semiconductor apparatus examination method and semiconductor apparatus examination apparatus,0,G01N|G01R
12345628,2025-07-01,Optical measurement device and optical measurement method,0,G01N
12332158,2025-06-17,Observation device and observation method,0,G01N|G02B
12302018,2025-05-13,"Photosensor, and driving method for photosensor",0,G01N|G01S|H04N|H10F
12288680,2025-04-29,Specimen carrier and method for manufacturing specimen carrier,0,G01N|H01J
12287288,2025-04-29,Optical measurement device and optical measurement method,0,G01N
12276623,2025-04-15,Foreign matter inspection device,0,G01N
12272577,2025-04-08,Inspection device and processing system,0,B23K|G01N|H01L
12269125,2025-04-08,Laser processing device and laser processing method,0,B23K|G01N|H01L
12259321,2025-03-25,Method for removing background of fluorescence lifetime measurement and method for quantifying target substance,0,G01N
12248159,2025-03-11,"Electron tube, electron tube module, and optical device",0,G01N|G02B|H01J
12228515,2025-02-18,Inspection apparatus and inspection method,0,G01N|G06T
12228126,2025-02-18,"Liquid supply device, microdevice system, and liquid supply method",0,C12M|C12Q|F04B|G01N
12222300,2025-02-11,"Radiographic inspection method, radiographic inspection apparatus, radiographic inspection system, and radiographic inspection program",0,G01N|G06T|G06V
12209996,2025-01-28,Ultrasonic testing device and ultrasonic testing method,0,G01N|G01R
12196703,2025-01-14,Ion detection device and ion detection method,0,G01N
12189108,2025-01-07,Sample observation device and sample observation method,0,G01N|G02B|G06T
12174120,2024-12-24,"Image acquisition device, image acquisition method, and spatial light modulation unit",0,G01N|G02B
12163900,2024-12-10,Semiconductor failure analysis device,0,G01N|G01R
12146831,2024-11-19,Optical measurement device and optical measurement method,0,G01N
12140742,2024-11-12,Light irradiation device and sample observation apparatus,0,G01N|G02B
12140715,2024-11-12,Radiation detector and method for manufacturing radiation detector,0,G01N|G01T|H01G|H10F|H10K|Y02E|Y02P
12117600,2024-10-15,Confocal microscope unit and confocal microscope,0,G01N|G02B
12099031,2024-09-24,"Electrophoresis method, electrophoresis system, and container vessel for electrophoresis",0,G01N
12098920,2024-09-24,Optical coherence tomography device,0,G01B|G01N|H04N
12085387,2024-09-10,Optical coherence tomography system for subsurface inspection,0,G01B|G01N
12080536,2024-09-03,"Sample support, adapter, ionization method and mass spectrometry method",0,G01N|H01J
12078789,2024-09-03,Confocal microscope unit and confocal microscope,0,G01N|G02B
12072289,2024-08-27,Inspection apparatus comprising a first imager imaging fluorescence having a wavelength longer than a first wavelength and a second imager imaging fluorescence having a wavelength shorter than a second wavelength and inspection method,1,G01N|H10H
12058472,2024-08-06,Imaging unit and radiation image acquisition system,1,G01N|G01T|H04N
12055516,2024-08-06,Smell detection device and smell detection method,0,G01N
12053747,2024-08-06,"Phantom, method for producing same, and kit for making phantom",0,B01F|C09K|G01N
12031911,2024-07-09,Sample observation device and sample observation method,0,G01J|G01N
12023635,2024-07-02,Phantom and method for producing same,0,B01F|G01N
12019005,2024-06-25,Cell observation system and cell observation method,0,C12M|G01N|G02B
12013353,2024-06-18,Image acquisition system and image acquisition method,0,G01N
12013349,2024-06-18,Inspection apparatus and inspection method,1,G01B|G01N
12000779,2024-06-04,Optical detector,0,G01J|G01N|H10F
11988497,2024-05-21,Optical unit and film thickness measurement device,1,G01B|G01N|G02B
11977048,2024-05-07,Odor sensor and odor sensing method,0,G01N
11971364,2024-04-30,Semiconductor device inspection method and semiconductor device inspection device,0,G01N|G01R
11970706,2024-04-30,Genetically modified rat that expresses an F54L Txn1 mutant,0,A01K|C12N
11967061,2024-04-23,Semiconductor apparatus examination method and semiconductor apparatus examination apparatus,0,G01N|G01R|G06T
11966035,2024-04-23,Light sheet microscope and sample observation method,0,G01N|G02B
11961728,2024-04-16,"Surface-assisted laser desorption/ionization method, mass spectrometry method and mass spectrometry device",0,G01N|H01J
11957472,2024-04-16,Brain measurement apparatus and brain measurement method,0,A61B|G01N|G01R
11953733,2024-04-09,Light source unit and optical head,0,G01J|G01N|G02B
11948787,2024-04-02,"Sample support, and manufacturing method of sample support",0,C25D|G01N|H01J
11935733,2024-03-19,"Sample support, sample ionization method, and mass spectrometry method",0,G01N|H01J
11929245,2024-03-12,"Sample support, method for producing sample support, ionization method and mass spectrometry method",0,G01N|H01J
11921081,2024-03-05,Odor sensor and method for manufacturing odor sensor,0,G01N
11921043,2024-03-05,Fluorescence observation device,0,G01N
11920921,2024-03-05,"Orientation characteristic measurement method, orientation characteristic measurement program, and orientation characteristic measurement device",0,G01B|G01N
11917314,2024-02-27,Image sensor and control method of image sensor,0,G01J|G01N|H04N
11914012,2024-02-27,Brain measurement apparatus and brain measurement method,0,A61B|G01N|G01R
11913836,2024-02-27,Dispersion measurement apparatus and dispersion measurement method,1,G01J|G01M|G01N|H01S
11906425,2024-02-20,"Simulation sample design method, simulation sample manufacturing method, simulation sample design device, program, and recording medium",0,A61B|G01N
11874224,2024-01-16,Sample observation device and sample observation method,0,G01N|G02B
11822066,2023-11-21,Sample observation device and sample observation method,0,G01N|G02B
11774357,2023-10-03,"Terahertz wave attenuated total reflection spectroscopic method, terahertz wave attenuated total reflection spectroscopic device, and pressure application device",0,G01N
11735406,2023-08-22,Sample support,0,G01N|H01J
