patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428449,2025-09-30,"FimH mutant, compositions therewith and use thereof",0,A61K|C07K|Y02A
12419859,2025-09-23,Compositions and methods for the treatment of depression,0,A61K|A61P
12404260,2025-09-02,Pyridine rings containing derivatives as MALT1 inhibitors,0,A61P|C07D
12398155,2025-08-26,Thienopyridinone compounds,0,A61K|A61P|C07D
12390451,2025-08-19,Small molecule inhibitor of the JAK family of kinases,0,A61K|A61P|C12Q
12383635,2025-08-12,Radiolabelled MGL PET ligands,0,A61K|C07D
12383543,2025-08-12,Methods of treating prostate cancer,0,A61K|A61P
12378254,2025-08-05,"Disubstituted octahydropyrrolo[3,4-c]pyrroles as orexin receptor modulators",0,A61K|A61P|C07D
12364698,2025-07-22,Compositions containing ibrutinib,0,A23L|A23V|A61J|A61K|A61P|B01J
12358917,2025-07-15,Processes and intermediates for preparing a Btk inhibitor,0,A61P|C07B|C07D
12350266,2025-07-08,FGFR2 inhibitors for the treatment of cholangiocarcinoma,0,A61K|A61P|C12Q|G01N
12338243,2025-06-24,P2X7 modulators,0,A61P|C07D
12331076,2025-06-17,Alphavirus-based replicons for administration of biotherapeutics,0,A61K|C07K|C12N|Y02A
12324855,2025-06-10,Method of safe administration of phosphorylated Tau peptide vaccine,0,A61K|A61P
12297238,2025-05-13,"FimH mutants, compositions therewith and use thereof",0,A61K|A61P|C07K|Y02A
12290563,2025-05-06,Production of E. coli 018 bioconjugates,0,A61K|A61P|C12N|C12P|Y02A
12275723,2025-04-15,Compounds and uses thereof,0,A61K|A61P|C07D|C07K|G01N
12274742,2025-04-15,MDR E. coli immunogen,0,A61K|A61P|C07K|G01N|Y02A
12274711,2025-04-15,Method of determining Acute Myeloid Leukemia response to treatment with farnesyltransferase inhibitors,0,A61K|C12Q
12269813,2025-04-08,"Crystalline form of 1-(1-oxo-1,2-dihydroisoquinolin-5-yl)-5-(trifluoromethyl)-N-(2-(trifluoromethyl)pyridin-4-yl)-1H-pyrazole-4-carboxamide monohydrate",0,A61K|A61P|C07B|C07D
12268687,2025-04-08,Compounds and uses thereof,0,A61K
12251424,2025-03-18,Methods of protecting vascular integrity induced by targeted radiation therapy,0,A61K|A61N
12247027,2025-03-11,P2X7 modulators,0,A61K|A61P|C07B|C07D|C07F|Y02A
12234280,2025-02-25,Anti-PHF-tau antibodies and uses thereof,0,A61K|A61P|C07K|C12N|G01N
12233121,2025-02-25,"Methods of producing bioconjugates of E. coli O-antigen polysaccharides, compositions thereof, and methods of use thereof",0,A61K|C12N|C12P|C12Y|Y02A
12233118,2025-02-25,Multivalent vaccine compositions and uses thereof,0,A61K|A61P|Y02A
