patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12416622,2025-09-16,Sensors for measuring properties of materials flowing through a flowline,0,E21B|G01N
12404726,2025-09-02,Distributed sensing with tubing encased conductors (TEC),0,E21B|G01D|G01K|G01N|G01R
12392922,2025-08-19,Systems and methods for calibrating a nuclear magnetic resonance tool,0,G01N|G01R|G01V
12385842,2025-08-12,Quantification of wellbore fluid additives by laser induced breakdown spectroscopy,0,E21B|G01N
12352162,2025-07-08,Fluid holdup monitoring in downhole fluid sampling tools,0,E21B|G01N
12345156,2025-07-01,Optical detection of ION water chemistry in oil and water,0,E21B|G01N
12326395,2025-06-10,Material test sub including one or more grooves or pockets for downhole environmental exposure,0,E21B|G01N
12326389,2025-06-10,Combined processing of borehole imagers and dielectric tools,0,E21B|G01N|G01R|G01V
12313512,2025-05-27,Fluid diode,0,E21B|F15D|G01N
12306169,2025-05-20,Method to tailor cement composition to withstand carbon dioxide injection loads,0,C04B|C09K|G01N
12306151,2025-05-20,Predictive chromatograph peak detection,0,G01N
12276595,2025-04-15,Material test sub including one or more retainer assemblies for downhole environmental exposure,0,E21B|G01N
12276533,2025-04-15,Materials and diagnostics for hydrogen service environments,0,G01D|G01N
12270296,2025-04-08,Cement evaluation,0,E21B|G01N
12265196,2025-04-01,Automatic landing of formation testing tools,0,E21B|G01N|G01V
12265074,2025-04-01,Borehole electrokinetic energy generation and on-line water determination,0,E21B|G01N
12265062,2025-04-01,Through tubing cement evaluation using converted multipole resonance mode,0,E21B|G01H|G01N
12248114,2025-03-11,Correction of nuclear magnetic resonance data in high vibration environments,0,G01N|G01R|G01V
12242016,2025-03-04,Nuclear magnetic resonance sensing device calibration system and method,1,G01N|G01R|G01V
12242015,2025-03-04,Split inversion for nuclear magnetic resonance data,0,G01N|G01V
12241842,2025-03-04,Optical spectra reconstruction based on optical measurements of downhole fluids,0,E21B|G01N
12241360,2025-03-04,"Downhole rotary core analysis using imaging, pulse neutron, and nuclear magnetic resonance",0,E21B|G01N|G01V
12228489,2025-02-18,In situ evaluation of filter parameters with opticoanalytical devices,0,B01D|G01N
12221884,2025-02-11,Detecting downhole fluid composition utilizing photon emission,0,E21B|G01N
12221841,2025-02-11,Velocity measurement of drilled cuttings on a shaker,0,B01D|E21B|G01B|G01F|G01N|G01S
12209492,2025-01-28,Reservoir and production simulation using asphaltene onset pressure map,0,E21B|G01N
12196077,2025-01-14,Sensor for quantifying production fluid percentage content,1,E21B|G01N
12180823,2024-12-31,Real-time monitoring of swellpackers,0,E21B|G01N
12174102,2024-12-24,Optical fluidic methods for a rheometer,0,G01N
12163423,2024-12-10,Recycled isotope correction,0,E21B|G01N
12158461,2024-12-03,Identification of mycotoxin absorption materials in clay deposits,0,G01N
12152487,2024-11-26,Fluid identification outside of wellbore tubing,0,E21B|G01N
12141960,2024-11-12,Cutter analysis and mapping,0,B23Q|E21B|G01N|G05B|G06F|G06N|G06T|G06V
12130276,2024-10-29,Predicted bias correction for a gas extractor and fluid sampling system,0,E21B|G01N
12099035,2024-09-24,Reconfigurable downhole pipe inspection tool,0,F16L|G01N
12098416,2024-09-24,Assessment of biological contamination and biological contamination treatment,0,A01N|C09K|C12Q|G01N
12093216,2024-09-17,Fluid optical database reconstruction methods and applications thereof,0,E21B|G01N|G01V|G06F|G06N
12085524,2024-09-10,Sag detection using thermal conductivity,0,E21B|G01N
12085504,2024-09-10,Extraordinary IR-absorption in SiO2 thin films with a foreign or attenuating material applied,0,E21B|G01J|G01N|G02B
12066414,2024-08-20,Modular gas detection system for a wellbore,0,G01N
12060786,2024-08-13,Wellbore inspection system,0,E21B|G01N|G01V
12055038,2024-08-06,Fluid holdup monitoring in downhole fluid sampling tools,1,E21B|G01N
12044671,2024-07-23,Gas detection integration into a gas extractor,0,E21B|G01N
12044655,2024-07-23,Downhole well pipe inspection using optimized inspection tools,0,G01N|G06F
12038547,2024-07-16,Entropy-diffusion method for fracture identification and labelling in images,0,A61B|G01N|G01V|G06T|G06V
12031900,2024-07-09,Corrosion analysis using magnetic flux leakage measurements,0,E21B|G01N|G01R|G06N
12030150,2024-07-09,Drill bit cutter evaluation methods and systems,0,B23Q|E21B|G01N|G06N|G06T
12025607,2024-07-02,Utilizing waste products by compositional analysis,0,C04B|C09K|G01N|G16C|Y02W
12022736,2024-06-25,Acoustic sensor self-induced interference control,0,B06B|E21B|G01N|G01V|H10N
12019012,2024-06-25,Multivariate statistical contamination prediction using multiple sensors or data streams,0,E21B|G01N
12013370,2024-06-18,Electromagnetic pipe inspection inversion with adaptive filter for artifact removal,0,G01B|G01N|G01V
12007368,2024-06-11,Fragile and normal viscoelastic components of drilling fluid gels,0,E21B|G01N
12006821,2024-06-11,Bandgap detection of reactive components in fluids,0,E21B|G01N|G01V
11994025,2024-05-28,Band-stop filter for volume analysis of downhole particles,0,E21B|G01N
11982175,2024-05-14,Workflow and visualization for localization of concentric pipe collars,0,E21B|G01N|G01V
11976952,2024-05-07,Self-cleaning thermal conductivity sensor for use in a mud pit,0,G01F|G01K|G01N
11971369,2024-04-30,Methods and systems of testing formation samples using a rock hydrostatic compression chamber,0,A61K|C07D|G01N
11970934,2024-04-30,Memory tool for a retrievable flow meter device,0,E21B|G01F|G01N
11965418,2024-04-23,Downhole optical emission spectroscopy,0,E21B|G01J|G01N
11959887,2024-04-16,Asymmetric fluidic oscillator for generating a wellbore signal,0,E21B|F15B|G01F|G01N
11952892,2024-04-09,Automatic gas sample handling and preparation for surface data logging applications,0,E21B|G01N
11946364,2024-04-02,Removing guided wave noise from recorded acoustic signals,0,E21B|G01N|G01V
11933931,2024-03-19,System and methods for mapping sensor data across parameter spaces,1,E21B|G01D|G01N|G01V
11933171,2024-03-19,Adaptive detection of abnormal channels for subsurface optical measurements,0,E21B|G01N
11927716,2024-03-12,Predicting contamination and clean fluid properties from downhole and wellsite gas chromatograms,0,E21B|G01N|G01V
11927089,2024-03-12,"Downhole rotary core analysis using imaging, pulse neutron, and nuclear magnetic resonance",1,E21B|G01N|G01V
11918962,2024-03-05,Proppant concentration accuracy in a fracturing fluid by compensating for proppant moisture,0,B01F|E21B|G01N
11913934,2024-02-27,Systems and methods to determine a characteristic of a drilling fluid,0,G01N
11906688,2024-02-20,Using electrical signal as a measure of water wettability for direct emulsion fluids,0,E21B|G01N|G01V
11906480,2024-02-20,Stressed rock perforating-charge testing system,1,E21B|G01N
11906395,2024-02-20,Shaker vibration and downhole cuttings measurement analysis and processing,1,B01D|E21B|G01L|G01M|G01N|G01P
11899158,2024-02-13,Logging tool motion error reduction for nuclear magnetic resonance logging via pulse sub-sequences,0,G01N|G01R|G01V
11898444,2024-02-13,Contamination estimation of formation samples,0,E21B|G01N
11879905,2024-01-23,Strain sensor based downhole fluid density measurement tool,0,E21B|G01N
11879834,2024-01-23,Fluid identification using optical data measurements,0,E21B|G01N
11879330,2024-01-23,System and methods for downhole property measurement,0,E21B|G01N
11873711,2024-01-16,Remote field eddy current tools,0,E21B|G01B|G01N
11851965,2023-12-26,Core sampling and analysis using a sealed pressurized vessel,1,E21B|G01N|G01R|G01V
11846183,2023-12-19,Determination of perforation crush zone permeability,0,E21B|G01N|G06F|G06T
11841308,2023-12-12,In situ evaluation of filter parameters with opticoanalytical devices,1,B01D|G01N
11840923,2023-12-12,ALD-thin layer coating applications for sensing telemetry through evanescent wave interactions,1,C23C|E21B|G01N|G01V|G02B
11836109,2023-12-05,Fluid optical database reconstruction methods and applications thereof,1,E21B|G01N|G01V|G06F|G06N
11833478,2023-12-05,System and method of producing foamed cement in a laboratory environment,0,B01F|B28B|B28C|C09K|E21B|G01N
11828901,2023-11-28,Nuclear magnetic resonance (NMR) fluid substitution using machine learning,0,G01N|G01R|G01V
11828725,2023-11-28,Surfactant selection workflow based on performance at the reservoir surface,0,G01N
11822045,2023-11-21,Optical sensor adaptive calibration,0,E21B|G01N|G01V
11821310,2023-11-21,Drilling fluid contamination determination for downhole fluid sampling tool,1,E21B|G01N
11821303,2023-11-21,One way telemetry for communication of downhole data to the surface using nucleic acid,0,B01L|C12Q|E21B
11815639,2023-11-14,Borehole fluid gel strength measurement,0,C09K|G01N|G01V
11815478,2023-11-14,"Through-tubing, cased-hole sealed material density evaluation using gamma ray measurements",0,E21B|G01B|G01N|G01V
11814946,2023-11-14,Evaluating annular material in a wellbore using transient thermal response data,0,E21B|G01N
11808147,2023-11-07,Multi-phase fluid identification for subsurface sensor measurement,2,E21B|G01N|G01V
11802850,2023-10-31,Magnetic permeability sensor with permanent magnet for downhole sensing,0,E21B|G01N
11796527,2023-10-24,Carbon and hydrogen isotope detection and report while drilling,1,G01N
11795820,2023-10-24,Dual pump reverse flow through phase behavior measurements with a formation tester,0,E21B|G01N
11795819,2023-10-24,Correction for cuttings lag,1,E21B|G01N
11795811,2023-10-24,Method and system to improve open loop systems,0,E21B|G01N|G01R|G01V
11781426,2023-10-10,Identifying a line of coherent radiation in a captured image of illuminated downhole particles,0,E21B|G01N|G06T
11781417,2023-10-10,Identifying corrosion from electromagnetic corrosion measurements and high-resolution circumferential measurements,0,E21B|G01N|G01V|G06N
11774623,2023-10-03,Microfluidic device and method for parallel pressure-volume-temperature analysis in reservoir simulations,0,B01L|E21B|G01N|G01R|G01V
11773718,2023-10-03,Formation fluid sampling methods and systems,0,E21B|G01N
11770975,2023-09-26,Acoustic sensor self-induced interference control,0,B06B|E21B|G01N|G01V|H10N
11768190,2023-09-26,Detecting amine-based inhibitors in drilling fluids,0,G01N
11768138,2023-09-26,Methods to use chemo-resistive sensors for wellbore production,1,E21B|G01N
11767755,2023-09-26,Predicting clean fluid composition and properties with a rapid formation tester pumpout,0,E21B|G01N
