patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428671,2025-09-30,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12421626,2025-09-23,Cell-stored barcoded deep mutational scanning libraries and uses of the same,0,C07K|C12N|C40B
12421285,2025-09-23,Micro-dystrophins and related methods of use,0,A61K|A61P|C07H|C07K|C12N
12415869,2025-09-16,Chemically induced protein dimerization systems,0,C07K|G01N
12410083,2025-09-09,"Microbe-based systems, compositions, and methods thereof",0,C02F|C12M|C12N|Y02W
12398191,2025-08-26,BRAF-specific TCRs and uses thereof,0,A61K|A61P|C07K|C12N
12390146,2025-08-19,Reagents and methods for modulating cone photoreceptor activity,0,A61B|A61K|A61N|A61P|C07K|C12N
12383906,2025-08-12,Device and method for detection of pathogens,0,B01L|C12Q
12377166,2025-08-05,Iron oxide nanoparticle for targeted chemo-immunotherapy,0,A61K|A61P
12371735,2025-07-29,In situ combinatorial labeling of cellular molecules,0,C12Q
12371734,2025-07-29,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12371733,2025-07-29,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12371672,2025-07-29,Compositions and methods for antigen targeting to CD180,0,A61K|A61P|C07K|C12N|Y02A
12352754,2025-07-08,Functionalized chromophoric polymer dots and bioconjugates thereof,0,C09K|G01N
12338466,2025-06-24,Therapeutic nuclease compositions and methods,0,A61K|A61P|C07K|C12N|C12Y
12329773,2025-06-17,Oxygen reactive polymers for treatment of traumatic brain injury,0,A61K|A61P
12321837,2025-06-03,Systems and methods for improved nanopore-based analysis of nucleic acids,0,C12Q|G01N|G06N
12320800,2025-06-03,High-throughput automation of organoids for identifying therapeutic strategies,0,A61K|A61P|C07D|G01N
12313519,2025-05-27,"Method and apparatus for flow-based, single-particle and/or single-molecule analysis",0,G01N
12305221,2025-05-20,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12305220,2025-05-20,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12305219,2025-05-20,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12304927,2025-05-20,De novo design of protein switches,0,A61K|C07K
12298297,2025-05-13,Visual cell sorting,0,G01N|G02B|G06T
12285482,2025-04-29,"Therapeutic vaccine for Hepatitis B virus (HBV) using the HBV PreS1 and/or PreS2, and/or S-HBsAg regions of the HBV envelope protein",0,A61K|A61P|C07K|C12N
12280376,2025-04-22,Devices and systems for droplet generation and methods for generating droplets,0,B01L|C12Q|G01N
12275757,2025-04-15,Self-assembling protein nanostructures displaying paramyxovirus and/or pneumovirus F proteins and their use,0,A61K|A61P|B82Y|C07K|C12N
12272468,2025-04-08,Polymer-silica hybrid pdots and methods of use thereof,0,C07K|C08K|C08L|C09K|G01N|G02F|H01B
12270067,2025-04-08,Nanoparticle transducer sensors and methods of use thereof,0,B82Y|C09K|C12Q|G01N
12269764,2025-04-08,Hydrogels for the entrapment of bacteria,0,C02F|C12N|Y02W
12263193,2025-04-01,System and method for removing uremic toxins from a patient's body,0,A61K|A61P|C12N
12258397,2025-03-25,Production of engineered T-cells by sleeping beauty transposon coupled with methotrexate selection,0,A61K|A61P|C07K|C12N|C12Y|G01N
12252737,2025-03-18,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12252736,2025-03-18,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
12252735,2025-03-18,Methods and kits for labeling cellular molecules,0,C12N|C12Q|C40B
