patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12392740,2025-08-19,"XPS sample holder, apparatus for X-ray photoelectron spectroscopy including the same and method for X-ray photoelectron spectroscopy using the same",0,G01N
12366541,2025-07-22,Sample holder for X-ray diffraction analysis and x-ray diffraction analysis method using the same,0,G01N
12330155,2025-06-17,Method for isolating extracellular vesicles,0,A61K|B01L|G01N
12257586,2025-03-25,Porous particle composite for PCR with heat dissipation function,0,B01L|C09K|C12Q
12247910,2025-03-11,High resolution fluorescence imaging device and method for manufacturing the same,0,G01N|G02B
12241825,2025-03-04,Apparatus for detecting microplastics based on differential interference contrast microscope system,0,G01N|G02B|G06T|G06V
12234257,2025-02-25,Triterpene saponin derivative and use thereof,0,A23L|A61K|A61P|C07H
12228496,2025-02-18,Apparatus and method for cell particle sorting based on microfluidic-chip flows,0,B01L|G01N
12214380,2025-02-04,Capacitive micromachined ultrasonic transducer,0,B06B|G01N
12201664,2025-01-21,"Composition for preventing or treating allergic diseases containing mixed extract of two or more among Asiasarum root, Platycodon root, and Cinnamomi ramulus as active ingredients",0,A23K|A23L|A61K|A61P
12186318,2025-01-07,Pharmaceutical composition for preventing or treating cancer comprising KSP inhibitor and mitosis inhibitor,0,A61K|C12N
12173342,2024-12-24,Method for producing monophosphoryl lipid A,0,B01D|C12N|C12P
12138283,2024-11-12,Method of preparing three-dimensional cell spheroid including adipose-derived stem cells and hepatocytes,0,A61K|C12N
12122999,2024-10-22,Composition for preventing or treating cognitive dysfunction including inhibitor or MECP2 expression,0,A61K|A61P|C12N
12117457,2024-10-15,Method for simultaneous analysis of neurotransmitters and their metabolites based on derivatization,0,G01N
12092623,2024-09-17,Optical sensor for sensing hydrogen gas and hydrogen gas detection system including the same,0,G01N|G02B
12050224,2024-07-30,Compounds useful as near-infrared fluorescent probes selectively binding to tau aggregates and method of preparing the same,0,C07D|G01N
12049564,2024-07-30,"Positively charged nanoparticles, use thereof, and preparation method thereof",0,A61K|B82Y|C07C|C07D|C08G|C08K|C08L|C12N
12038367,2024-07-16,Method for measuring condensable particulate matters formed from exhaust gas,0,G01N
12038356,2024-07-16,Vacuum transfer for nano indenter and sample measurement method using the same,0,B01L|B25J|G01N|H01J
12023317,2024-07-02,Composition for ameliorating psoriasis comprising cimicifugolide a as active ingredient,0,A23L|A61K|A61P|A61Q
12012537,2024-06-18,Method of fluorescent nanodiamonds production,0,B82B|B82Y|C01B|C01P|C09K|C23C|C30B|G01N|H01J
12006498,2024-06-11,Composition for regulating expression of PROX1 or expression of telomerase reverse transcriptase comprising activity regulator or method for screening telomerase reverse transcriptase regulator,0,A61K|A61P|C12N|C12Q|G01N
11988651,2024-05-21,Metabolome sampling and analysis method for analyzing metabolome during synthetic gas fermentation of synthetic gas fermentation microorganisms,0,G01N
11982619,2024-05-14,Method for detecting biomaterial using linear upconversion fluorescent property,0,G01N
11969728,2024-04-30,Microfluidic device mimicking a biological microenvironment and comprising diffusion chambers and channels,0,B01L|C12M|G01N
11946920,2024-04-02,Hydrogen sensor having vertical nanogap structure and method for manufacturing the same,0,G01N|H01L
11932895,2024-03-19,Medium composition for producing alcohol from synthetic gas comprising ethanol and method for producing alcohol using the same,0,C12P|C12R|Y02E
11931324,2024-03-19,"Pharmaceutical composition for prevention or treatment of osteoarthritis comprising obtusifolin, derivative thereof, or pharmaceutically acceptable salt thereof as active ingredient",0,A23L|A23V|A61K|A61P
11926860,2024-03-12,Method of screening inhibitor of caspase activity by lipopolysaccharide,0,C07K|C12N|C12Q|C12Y|G01N
11920195,2024-03-05,"Method for diagnosing drug addiction, method for screening therapeutic agent for drug addiction and pharmaceutical composition for preventing or treating drug addiction",0,C12Q
11884935,2024-01-30,Method for inducing trans-differentiation of cardiomyocytes based on exosome,0,C12N
11860166,2024-01-02,Red fluorescent protein-based biosensor for measuring activity of dopamine receptor D1,0,C07K|C12N|G01N
11833204,2023-12-05,Visible light-activatable nanoparticles for cancer immunotherapy and use thereof,0,A61K|A61P
11771777,2023-10-03,Three-dimensional self-assembled nucleic acid nanoparticles and use thereof,0,A01K|A61K|A61P|B82Y|C12N
11738123,2023-08-29,Implant having controlled generation rate of reactive oxygen species and method of controlling generation of reactive oxygen species using the same,0,A61B|A61F|A61K|A61L|C25D|F16B
11717474,2023-08-08,Method of continuously producing cannabinol from cannabis plant and uses thereof,0,A23L|A23V|A61K|A61Q|C07D
