patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428625,2025-09-30,Virus-like particles which can be used in the treatment of allergies,0,A61K|A61P|C07K|C12N
12427141,2025-09-30,BYL719 (alpelisib) for use in the treatment of PIK3CA-related overgrowth spectrum (PROS-CLOVES syndrome),0,A61K|A61P
12419971,2025-09-23,Diet controlled expression of a nucleic acid encoding a pro-apoptotic protein,0,A01K|A61K|A61P|C07K|C12N|C12Q
12405267,2025-09-02,"Diagnosis, prognosis and treatment of a disease related to a decrease of F. prausnitzii",0,A61K|G01N
12403193,2025-09-02,Allergen desensitization method,0,A61K|A61P
12403181,2025-09-02,"Combination of interleukin-2 with an interleukin 1 inhibitor, conjugates and therapeutic uses thereof",0,A61K|A61P|C07K
12403110,2025-09-02,Methods and compositions for treating cancers,0,A61K|A61P
12377066,2025-08-05,Treatment of diseases associated with biliary system destruction,0,A61K|A61P
12360113,2025-07-15,Method of prognosis and follow up of primary liver cancer,0,A61K|G01N|G06F|G16B|G16H
12351634,2025-07-08,Use of cilengitide for ameliorating cardiac fibrosis occurring in response to myocardial infarction,0,A61K|A61P|C07K
12345718,2025-07-01,Method for determining the haemoglobin content of an erythroid cell,0,A61P|G01N
12343376,2025-07-01,Methods for inhibiting diazepam binding protein,0,A61K|A61P|C07K|G01N
12331357,2025-06-17,Methods for assessing risk of developing a viral disease using a genetic test,0,A61K|C07K|C12Q|G01N
12291752,2025-05-06,Methods for predicting the survival time and treatment responsiveness of a patient suffering from a solid cancer with a signature of at least 7 genes,0,A61P|C12Q
12274694,2025-04-15,Dizocilpine derivatives as peripheral NMDA receptor antagonists,0,A61K|A61P|C07D
12258577,2025-03-25,Method effector cells using anti-CD127 antibodies for applications in cell therapy,0,A61K|A61P|C07K|C12N
12257232,2025-03-25,Methods and pharmaceutical compositions for the treatment of FGFR3-related chondrodysplasias,0,A61K|A61P
12241125,2025-03-04,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12234513,2025-02-25,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12227807,2025-02-18,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12173053,2024-12-24,Composition for the treatment of antibody deficiencies,0,A61K|A61P|C07K
12144859,2024-11-19,B cell depleting agent for the treatment of atherosclerosis,0,A61K|A61P|C07K
12139720,2024-11-12,Recombinant lentiviral vector for stem cell- based gene therapy of sickle cell disorder,0,A61K|C07K|C12N
12123058,2024-10-22,Molecular signature and use thereof for the identification of indolent prostate cancer,0,C12Q
12110551,2024-10-08,Combination of biomarkers for detecting and evaluating a hepatic fibrosis,0,C12Q|G01N
12077829,2024-09-03,Anellovirus genome quantification as a biomarker of immune suppression,0,C12Q
12071635,2024-08-27,Method for generating T-cell progenitors,0,A61P|C12N
12054778,2024-08-06,Methods for assessing risk of developing a viral disease using a genetic test,3,C07K|C12Q|Y02A
12029766,2024-07-09,Pharmaceutical composition and methods for the prevention and/or treatment of Staphylococcus aureus using artificial bacterial colonization,0,A61K|A61P|C12N
12019079,2024-06-25,Non invasive process for the evaluation of the quality of internal dense connective tissues,0,G01N|G06T
11986514,2024-05-21,Compositions for treating macular edema,0,A61K|A61P
11965894,2024-04-23,Method of diagnosis of drug induced liver injury,0,G01N|G16B
11951090,2024-04-09,Methods and pharmaceutical compositions for the treatment of FGFR3-related chondrodysplasias,0,A61K|A61P
11946909,2024-04-02,Microfluidic asymmetric flow field-flow fractionation device and method of using the same,0,G01N
11944616,2024-04-02,Dizocilpine derivatives as peripheral NMDA receptor antagonists,0,A61K|A61P|C07D
11938113,2024-03-26,Epigallocathechin gallate solution,0,A23L|A61K|A61Q
11931411,2024-03-19,Allergen desensitization method,1,A61K|A61P
11913074,2024-02-27,Methods for assessing risk of developing a viral disease using a genetic test,3,C07K|C12Q|Y02A
11913073,2024-02-27,Methods for assessing risk of developing a viral disease using a genetic test,0,A61K|C07K|C12Q|G01N
11905330,2024-02-20,Methods for weight reduction,0,A61K|A61P|C07K|G01N
11904014,2024-02-20,Immunostimulatory compositions,0,A61K|A61P
11857532,2024-01-02,Treatment and prediction of therapeutic responses in patients suffering from Friedreich ataxia,0,A61K|A61P
11725183,2023-08-15,Method of culturing segmented filamentous bacteria in vitro,0,C12N|Y02A
11723956,2023-08-15,Immunomodulation after locoregional anti-tumoral treatment,0,A61K|A61P|C07K|Y02A
11718661,2023-08-08,Composition for the treatment of antibody deficiencies,1,A61K|A61P|C07K
11717543,2023-08-08,Faecalibacterium prausnitzii strains for treating and preventing gastrointestinal pain,0,A23L|A61K|A61P|C12N|C12R
11679179,2023-06-20,Detection of bioprosthetic valve degeneration,0,A61F|A61L|G01N
11679148,2023-06-20,Methods and compositions for treating cancers,0,A61K|A61P
11667913,2023-06-06,Methods for performing antisense oligonucleotide-mediated exon skipping in the retina of a subject in need thereof,0,A61P|C12N|H04L|H04W
11666584,2023-06-06,Steroidal hormones for the treatment and prevention of wave burst arrhythmia,0,A61K|A61P
11662303,2023-05-30,Method for spectral study of a biological fluid,0,G01N
11655283,2023-05-23,HLA-G transcripts and isoforms and their uses,0,A61K|C07K|C12N|G01N
11642376,2023-05-09,Method for generating T cell progenitors,0,A61K|C12N
11638723,2023-05-02,Method for generating T cells progenitors,0,A61K|C12N
11629192,2023-04-18,Methods and pharmaceutical compositions for the treatment of diseases mediated by the NRP-1/OBR complex signaling pathway,0,A61K|A61P|C07K|C12N|G01N|Y02A
11617748,2023-04-04,Meclozine derivatives and diclazuril derivatives for use in the prevention and/or the treatment of disorders associated to the inflammation induced by P. acnes,0,A61K|A61P
11596657,2023-03-07,Use of AhR agonist for the preventive or curative treatment of metabolic syndrome and the associated disorders,0,A61K|A61P|Y02A
11559566,2023-01-24,Use of low dose IL-2 for treating autoimmune-related or inflammatory disorders,0,A61K|A61P
11541023,2023-01-03,Compounds and compositions for the treatment of neurodegenerative and inflammatory diseases,0,A61K|A61P|C07C
11536724,2022-12-27,Bladder cancer biomarker proteins,0,C07K|G01N
11534479,2022-12-27,Use of interleukin 2 for treating Sjögren's syndrome,0,A61K|A61P
11523997,2022-12-13,Method of providing celiprolol therapy to a patient,0,A61K|A61P
11492621,2022-11-08,Methods for the treatment of Leber congenital amaurosis,0,A61K|A61P|C12N|Y02A
11491117,2022-11-08,Compounds for the prevention and treatment of glucose intolerance related conditions and obesity,0,A61K|A61P
11484569,2022-11-01,Polypeptide for use in the protection of oxygen sensitive gram-positive bacteria,0,A23C|A23L|A61K|A61P|Y02A
11473145,2022-10-18,Methods for determining whether a patient suffering from rhabdomyolysis achieves a response with a TLR9 antagonist,0,C12Q|G01N
11459623,2022-10-04,In vitro method for detecting and quantifying HIV-2 DNA,0,C12Q
11458194,2022-10-04,Methods and compositions for treating cancers,0,A61K|A61P
11433059,2022-09-06,BYL719 (alpelisib) for use in the treatment of PIK3CA-related overgrowth spectrum (pros-CLOVES syndrome),1,A61K|A61P
11426430,2022-08-30,Method for generating T cells progenitors,0,A61K|C12N
11414666,2022-08-16,Viral vectors for treating neurogenic detrusor overactivity,0,A61K|A61P|C07K|C12N|C12Y|Y02A
11406686,2022-08-09,Methods for the treatment of tissue lesions with CCR2 agonists,0,A61K|A61P|C07K|C12N|G01N
11401326,2022-08-02,Method of treatment of human papillomaviruses related chronic infections,0,A61K|A61P|C07K
11389470,2022-07-19,Compositions useful for mucosal healing,0,A61K|A61P
11389434,2022-07-19,Methods and pharmaceutical compositions for the treatment of mast cell diseases,0,A61K|A61P|Y02A
11385231,2022-07-12,Methods for predicting the survival time of patients suffering from a lung cancer,0,G01N
11376245,2022-07-05,Dizocilpine derivatives as peripheral NMDA receptor antagonists,2,A61K|A61P|C07D
11359027,2022-06-14,Prevention or treatment of hematologic malignancy relapse using a TNFR2 antagonist,0,A61K|A61P|C07K|C12N
11357778,2022-06-14,Antagonist of the fibroblast growth factor receptor 3 (FGFR3) for use in the treatment or the prevention of skeletal disorders linked with abnormal activation of FGFR3,0,A61K|A61P|B29C|B29K|B29L|B32B|C08J|C08L
11317848,2022-05-03,Olfactory means for the diagnosis of neurological complications of nervous system infection,0,A61B|A61K|A61M|G01N|Y02A
11306294,2022-04-19,Virus-like particles which can be used in the treatment of autoimmune diseases,4,A61K|A61P|C07K|C12N
11300569,2022-04-12,In vitro method for the prognosis of progression of a cancer and of the outcome in a patient and means for performing said method,0,C12Q|G01N
11291630,2022-04-05,Gelling compositions for treating malignant tumours and/or preventing tumour recurrence,0,A61K|A61N|A61P
11285133,2022-03-29,2- or 3-imidazolines as carbapenemases inhibitors,0,A61K|A61P|C07D
11278589,2022-03-22,Use of a cyclic tripeptide for improving cellular energy metabolism,0,A61K|A61P|A61Q|B63B|C07K
