patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427465,2025-09-30,"Filters, filter systems, and methods of use",0,B01D|G01N
12416636,2025-09-16,Personalized treatment of pancreatic cancer,0,A61K|A61P|G01N
12415841,2025-09-16,Delivery of card protein as therapy for occular inflammation,0,A61K|A61P|C07K|C12N
12399118,2025-08-26,Terahertz data collection for electronic object classification and evaluation,0,G01N|G06F|G06V
12392786,2025-08-19,Methods for diagnosing Huntington's Disease,0,C07K|C12N|G01N
12390146,2025-08-19,Reagents and methods for modulating cone photoreceptor activity,0,A61B|A61K|A61N|A61P|C07K|C12N
12384767,2025-08-12,Probe for detection of cathepsin activity,0,C07D|C07K|C12N|C12Q|C12Y|G01N
12378285,2025-08-05,Cyclic peptides and cyclic peptide conjugates for treating neurological disorders,0,A61K|A61P|C07K|C40B|G01N
12377169,2025-08-05,Dual AAV-MYO7A vectors with improved safety for the treatment of USH1B,0,A61K|C07K|C12N
12371489,2025-07-29,Car based immunotherapy,0,A61K|A61P|C07K|C12N
12370269,2025-07-29,Retinal protective factor 2 (RPF2) protein delivered by adeno-associated virus expression,0,A61K|A61P|C07K|C12N
12370248,2025-07-29,Attenuated salmonella synthesizing antigens for vaccinating against helicobacter pylori,0,A61K|A61P|C07K|C12N
12370193,2025-07-29,Method of inhibiting TREM-1,0,A61K|A61P
12365912,2025-07-22,Methods and compositions for plant pathogen resistance in plants,0,C12N
12365900,2025-07-22,miRNA switches for RNA-triggered control of RNA interference,0,C12N
12364707,2025-07-22,Manipulation of eIF3 to modulate repeat associated non-ATG (RAN) translation,0,A61K|A61P|C07K|C12N
12360124,2025-07-15,Use and treatment of di-amino acid repeat-containing proteins associated with ALS,0,A61K|A61P|B01D|C07K|C12Q|G01N
12359221,2025-07-15,Compositions and methods for expressing otoferlin,0,A01K|C07K|C12N
12358954,2025-07-15,Capsid-modified rAAV vector compositions and methods therefor,0,A61K|C07K|C12N|C12Y
12357600,2025-07-15,Formulations for promoting hydration and methods of use thereof,0,A23L|A61K|A61P
12344854,2025-07-01,Methods and compositions for plant pathogen resistance in plants,0,C12N
12338240,2025-06-24,Nonmuscle myosin ii inhibitors,0,A61P|C07D
12331333,2025-06-17,Enhancers of neurolysin activity,0,A61K|C07K|C12N|C12P|C12Y
12325862,2025-06-10,Compositions and methods for transgenic crops resistant to thaxtomins,0,C12N
12320754,2025-06-03,Devices and methods for detecting or monitoring the quality of food products,0,G01N|G06T
12319946,2025-06-03,Methods for producing modified bacteria for production of nitroaromatics,0,C12N|C12P|C12Y
12310885,2025-05-27,Preservative removal from eye drops,0,A61F|A61J|A61K|B01D|B01J|B65D|C08J
12303870,2025-05-20,Compositions and methods relating to molecular cerium-oxide nanoclusters,0,A61K|A61P|B01J|C01F|C01P
12303511,2025-05-20,Methods related to opioid therapeutics,0,A61K|A61P
12297455,2025-05-13,"Methods, kits, and compositions for enhancing cellular therapy",0,A61K|C12N
12297444,2025-05-13,AAV-based gene therapies for treatment of autoimmune diseases,0,A01K|A61K|A61P|C12N
12297417,2025-05-13,Lateral filter array microfluidic device,0,B01D|C12M|C12Q|G01N
12286487,2025-04-29,Antibody compounds with reactive arginine and related antibody drug conjugates,0,A61K|C07K|C12N
12281320,2025-04-22,Methods and compositions for antibody-evading virus vectors,0,C07K|C12N
12281167,2025-04-22,Humanized anti-GDNF family alpha-receptor 4 (GRF-alpha-4) antibodies and chimeric antigen receptors (CARs),0,A61K|A61P|C07K
12274757,2025-04-15,Recombinant adeno-associated viruses encoding serpin peptides and uses thereof,0,A01K|A61K|A61P|C07K|C12N
12270808,2025-04-08,Paramagnetic immunobeads for the isolation of human adipose-derived stem cells,0,B01D|B01J|B03C|C07K|G01N
12270779,2025-04-08,Combined electrochemical phosphate/pH sensors and systems,0,G01N
12258395,2025-03-25,Materials and methods for treating stress-related disorders and cancer,0,A61K|A61P|C07K|Y02A
12252527,2025-03-18,CD4 muteins and methods of using the same,0,A61K|A61P|C07K|C12N
12239633,2025-03-04,Materials and methods for improving gastrointestinal function,0,A23L|A23V|A61K|A61P
12234440,2025-02-25,Efficient deposition of nano-sized particles onto cells at an air liquid interface,0,C12M|C12N
12224040,2025-02-11,Movable type method applied to protein-ligand binding,0,C40B|G01N|G06F|G16B|G16C
12220400,2025-02-11,Amino acid compositions and methods for treating cystic fibrosis,0,A61K|A61P
12209113,2025-01-28,Methods and compositions for protection against lentiviral infections,0,A61K|A61P|C07K|C12N|C12Y
12203074,2025-01-21,Compositions and methods for treatment of dominant retinitis pigmentosa,0,A01K|C12N
12195761,2025-01-14,"Bioprinted, 3D scaffolds for cellular test beds and methods of use thereof",0,B29C|B33Y|C12N|G01N
12194327,2025-01-14,Materials and methods for modifying Wolbachia and paratransformation of arthropods,0,A01N|A01P|A62C|C07K|C12N
12194066,2025-01-14,Mechanistic bacterial efector to prevent apoptosis of human beta cells,0,A61K|A61P
12188041,2025-01-07,Codon optimized otoferlin AAV dual vector gene therapy,3,A01K|A61K|C07K|C12N
12188037,2025-01-07,Synthetic combinatorial AAV3 capsid library,0,C07K|C12N|C40B
12187813,2025-01-07,Methods of identifying opioid cyclic peptides,0,A61K|A61P|C07K|C40B|G01N
12186425,2025-01-07,Devices and methods for reducing cystine crystals in vivo,0,A61F|A61K|B29D
12186381,2025-01-07,VirB10 for vaccination against gram negative bacteria,0,A61K|A61P
12180499,2024-12-31,Compositions and methods for impeding transcription of expanded microsatellite repeats,0,A61K|A61P|C12N
12178891,2024-12-31,"Methods and systems for producing, using, and administering hyperpolarized fluids",0,A61K|G01N|G01R
12171875,2024-12-24,Methods and compositions for retinal drug delivery,0,A61K
12163152,2024-12-10,AAV chimeras,0,C12N
12161614,2024-12-10,Amino acid compositions for the amelioration of symptoms of environmental enteropathy,0,A61K|A61P
12156919,2024-12-03,Method for delivering RNA to neurons to treat herpes infections,0,A61K|A61P|C12N
12156850,2024-12-03,Preservative removal from eye drops containing hydrophilic drugs,0,A61F|A61J|A61K|A61P|B01D|B01J
12152088,2024-11-26,"Co-assembly peptides, nanostructures, and methods of making and using the same",0,C07K
12135269,2024-11-05,System and method for measuring surface tension of a levitated sample,0,G01N|G06T
12133881,2024-11-05,Electrical stimulation of cells to induce enhanced secretome for therapeutic applications,0,A61K|A61N|C12N
12129311,2024-10-29,Cyclic peptide combinatorial libraries,0,A61K|A61P|C07K|C40B|G01N
12121627,2024-10-22,Bioresorbable metal alloy and implants,0,A61K|A61L|C22C
12116603,2024-10-15,RNA silencing nanozymes,0,A61K|C12N|C12Y
12109271,2024-10-08,Microparticle systems and their use for the treatment of multiple sclerosis,0,A61K|A61P
12109251,2024-10-08,Satiation peptide administration,0,A61K|A61P|C07K|C12N
12109191,2024-10-08,Materials and methods for inhibiting tumor growth,0,A61K|A61P
12098170,2024-09-24,Surface layer protein a (SlpA) as a therapeutic agent for the treatment of inflammatory diseases,0,A23L|A61K|A61P|C07K|C12R
12090189,2024-09-17,Polypeptide inhibitor of de novo lipogenesis in cancer cells,0,A61K|A61P|C07K|C08B
12071610,2024-08-27,Apparatus and method for performing microorganism detection,0,B01L|C12M|C12Q|G01N
12065467,2024-08-20,"High-transduction-efficiency rAAV vectors, compositions, and methods of use",1,C07K|C12N
12060395,2024-08-13,Delivery of NRF2 as therapy for protection against reactive oxygen species,0,A61K|C07K
12059454,2024-08-13,"Oral delivery of angiotensin converting enzyme 2 (ACE2) or angiotensin-(1-7)-bioencapsulated in plant cells attenuates pulmonary hypertension, cardiac dysfunction and development of autoimmune and experimentally induced ocular disorders",0,A61K|C07K|C12N|C12Y|Y02A
12044683,2024-07-23,Methods and compositions concerning intestinal permeability,0,A23L|A23V|A61P|G01N
12042518,2024-07-23,Lactobacillus supplement for promoting gastric and immune health,0,A23L|A23V|A61K|A61P
12042496,2024-07-23,Methods related to opioid therapeutics,1,A61K|A61P
12031919,2024-07-09,Methods and sensors for detection,0,G01N
12030864,2024-07-09,"Small molecule anticancer agents, combinations and uses thereof",0,A61K|A61P|C07C|C07D
12025622,2024-07-02,Use and treatment of di-amino acid repeat-containing proteins associated with ALS,3,A61K|A61P|B01D|C07K|C12Q|G01N
12018050,2024-06-25,AAVrh.10 variants with host antibody escape capabilities and altered tissue targeting properties,0,C07K|C12N
12016333,2024-06-25,Insect toxin delivery mediated by a densovirus coat protein,0,A01N|C07K|C12N
12005110,2024-06-11,Honeybee commensal Snodgrassella alvi vaccine against pathogenic Neisseriaceae,0,A61K|A61P
11998481,2024-06-04,Methods and compositions for iontophoretic drug delivery to the eye,0,A61F|A61K|A61N|G02C
11986494,2024-05-21,Materials and methods for prevention and treatment of diarrhea and inflammation in the gastrointestinal tract,0,A23L|A23V|A61K|A61P|Y02A
11975061,2024-05-07,Protective immunity enhanced Salmonella vaccine (PIESV) against Brucella spp,0,A61K
11970689,2024-04-30,Cyanobacterial hosts and methods for producing chemicals,0,C12N|C12R|C12Y
11969468,2024-04-30,Live self-destructing bacterial adjuvants to enhance induction of immunity,0,A61K|A61P|C12N|Y02A
11963936,2024-04-23,Method of manufacturing stable emulsions and compositions containing the same,0,A61K
11958886,2024-04-16,IL-1RA cDNAs,0,A61K|A61P|C07K|C12N
11945853,2024-04-02,Genetically modified probiotics for oral delivery of renin-angiotensin related therapeutic proteins and peptides,0,A61K|A61P|C07K|C12N
11932878,2024-03-19,"Metabolically competent cells, methods of making, and uses thereof",0,C12N|C12Y|G01N
11931346,2024-03-19,Uses of 4′-desferrithiocin analogs,0,A61K|A61P|C07D
11926604,2024-03-12,"Myelination stimulator compounds, and methods of treatment",0,A61K|A61P|C07D
11912999,2024-02-27,Aptamer conjugates with N-heterocyclic carbene metal complexes for targeted drug delivery,0,A61K|A61P|C12N
11905524,2024-02-20,AAV chimeras,1,C12N
11904016,2024-02-20,Hematopoietic stem cells in combinatorial therapy with immune checkpoint inhibitors against cancer,0,A61K|A61P|C07K|C12N|Y02A
11903910,2024-02-20,Use of metformin and analogs thereof to reduce RAN protein levels in the treatment of neurological disorders,2,A61K|A61P|C07K|C12Y|G01N
11890278,2024-02-06,Betel quid cessation therapy with nicotine and pilocarpine,0,A61K|A61P
11879144,2024-01-23,Modified bacteria for production of nitroaromatics,1,C12N|C12P|C12Y
11879119,2024-01-23,Perfusion bioreactor driven by osmotic pressure gradients,0,A01N|C12M|C12N
11865172,2024-01-09,Materials and methods for respiratory disease control in canines,0,A61K|A61P|C07K|C12N|C12Q|G01N
11845997,2023-12-19,Bioaerosol detection systems and methods of use,0,B01L|C12Q|G01N|Y02A
11840555,2023-12-12,Methods and compositions for antibody-evading virus vectors,0,A61K|A61P|C07K|C12N
11834501,2023-12-05,ROR2 antibody compositions and related methods,0,A61K|A61P|C07K
11827884,2023-11-28,Core master regulators of glioblastoma stem cells,0,A61K|C12N
11826311,2023-11-28,Coaxial nozzle configuration and methods thereof,0,A23P|A61J|A61K|B05B|B65D
11820835,2023-11-21,Cyclic tetrapeptide analogs,0,A61K|A61P|C07K
11806408,2023-11-07,Methods and compositions for treating cone-rod retinal dystrophy,0,A01K|A61K|C07H|C12N|C12Y
11801017,2023-10-31,Focused tomography,0,A61B|G01N
11788093,2023-10-17,Chimeric antigen receptor t-cells expressing interleukin-8 receptor,0,A61K|C07K|C12N
11788056,2023-10-17,Induction of protective immunity against antigens,0,A61K|A61P|C12N|Y02A
11781993,2023-10-10,Methods and sensors for detection,0,C08G|C08J|G01N|G02B
11781142,2023-10-10,AAV delivery of shRNA for treatment of pancreatic cancer,0,A01K|A61P|C12N
11771665,2023-10-03,"Compositions, methods of treatment, and containers including compositions",0,A45C|A61F|A61K|C12Y
11767346,2023-09-26,Modified AAV capsid proteins and uses thereof,0,A61P|C07K|C12N
11766823,2023-09-26,High speed 3D printing system for wound and tissue replacement,0,A61F|A61K|A61L|B29C|B29L|B33Y|C12N
11766475,2023-09-26,Food safety vaccine to control Salmonella enterica and reduce Campylobacter in poultry,0,A61K|C07K|C12N|Y02A
11761012,2023-09-19,Mitigation of maize heat stress with recombinant 6-phosphogluconate dehydrogenase,0,C07K|C12N|C12Y
