patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12409237,2025-09-09,Methods and models for assessing efficacy of immunotherapies,0,A01K|A61K|C07K
12403105,2025-09-02,Diagnosis and treatment of vitiligo,0,A61K|A61P|C07K
12398378,2025-08-26,AAV-mediated gene therapy for maple syrup urine disease (MSUD),0,A61K|A61P|C12N|C12Y
12391947,2025-08-19,Modulation of SPTLC1 via recombinant adeno-associated vectors,0,A61K|C12N|C12Y
12390539,2025-08-19,Minigene therapy,0,A61K|A61P|C07K|C12N
12378554,2025-08-05,Anti-C9ORF72 oligonucleotides and related methods,0,C12N
12377168,2025-08-05,Gene therapies for usher syndrome (USH1B),0,A01K|A61K|C07K|C12N
12371710,2025-07-29,Modified AAV constructs and uses thereof,0,A61K|C12N
12371462,2025-07-29,Brown fat-selective adipokines,0,A61K|A61P|C07K|C12N
12365894,2025-07-22,Branched lipid conjugates of siRNA for specific tissue delivery,0,A61K|C12N
12359248,2025-07-15,Enzymatic methods to generate high yields of sequence specific RNAs with extreme precision,0,C12Q
12351836,2025-07-08,Microhomology mediated repair of microduplication gene mutations,0,A61K|C07K|C12N|C12Q
12351821,2025-07-08,Method to prepare sperm,0,A01N|A61B|A61D|A61K|C12N
12350331,2025-07-08,Bivalent dengue/hepatitus B vaccines,0,A61K|A61P|C07K|C12N|Y02A
12344857,2025-07-01,Viral vector production,0,A61K|C12N
12344839,2025-07-01,Dual-acting siRNA based modulation of C9orf72,0,A61K|C12N
12344693,2025-07-01,Lipid-polymer based complexation and delivery of nucleic acids,0,A61K|B82Y|C08F
12338244,2025-06-24,"Temozolomide compounds, polymers prepared therefrom, and method of treating a disease",0,A61K|C07D|C08F|C08G
12325873,2025-06-10,Enzymatic methods to generate high yields of sequence specific RNA oligonucleotides with extreme precision,0,C12N|C12P|C12Q
12320802,2025-06-03,Microbial nanowires modified to contain peptides and methods of making,0,B82Y|C07K|C08H|C12N|G01N
12312587,2025-05-27,SOD1 dual expression vectors and uses thereof,0,A61K|C12N|C12Y
12312585,2025-05-27,Oligonucleotides targeting frataxin and related methods,0,C12N
12303615,2025-05-20,Demineralized bone paper,0,A61K|A61L|A61P|C12M|C12N|G01N
12297430,2025-05-13,O-methyl rich fully stabilized oligonucleotides,0,C12N|C12Y
12291719,2025-05-06,Heterologous targeting peptide grafted AAVs,0,A61K|C07K|C12N
12290539,2025-05-06,Purified anthelmintic compositions and related methods,0,A61K|A61P|C07K|Y02A
12281308,2025-04-22,Inhibition of protein kinases to treat Friedreich ataxia,0,A61K|A61P|C12N
12268901,2025-04-08,Targeting cell tropism receptors to inhibit cytomegalovirus infection,0,A61K|A61P|C07K|C12N
12268755,2025-04-08,Allele-specific inactivation of mutant HTT via gene editing at coding region single nucleotide polymorphisms,0,A61K|A61P|C07K|C12N
12265073,2025-04-01,Method and system for chromogenic array-based food testing,0,C12Q|G01N
12259384,2025-03-25,Membrane and droplet-interface bilayer systems and methods,0,B01J|G01N
12258566,2025-03-25,Oligonucleotides for PRNP modulation,0,C12N
12252703,2025-03-18,Closed-ended linear duplex DNA for non-viral gene transfer,0,A61K|A61P|C07K|C12N
12233168,2025-02-25,Localization of payload delivery systems to tumor sites via beacon cell targeting,0,A61K|A61P|B82Y|Y02A
12226432,2025-02-18,"Polymer nanoparticle, polymer composition, method of making a polymer nanoparticle, method for treatment of bacterial biofilms, and method for detection of bacterial biofilms",0,A01N|A61K|C08G|C12Q|G01N|Y02A
12215078,2025-02-04,"Compositions and methods for protein labeling, modification, analysis, and targeted delivery",0,A61K|A61P|C07C|C07D|C07K
12214086,2025-02-04,"Surface functionalized, host-guest polymer nano-assemblies and methods thereof",0,A61K|A61P|Y10S
12209097,2025-01-28,Furoxan-based compounds and uses thereof,0,A61P|C07D
12207932,2025-01-28,Ventricular arrhythmias and related methods,0,A61B|A61P|C12N
12202864,2025-01-21,Silk nucleotides and proteins and methods of use,0,A61L|C07K
12194108,2025-01-14,Gene therapeutics for treating bone disorders,0,A01K|A61K|A61P|C07K|C12N
12187747,2025-01-07,Gold compositions and methods of use thereof,0,A61K|A61P|C07D|C07F
12186319,2025-01-07,"Crosslinked polymer nanoparticles for targeted cellular uptake and therapeutics, and compositions and methods thereof",0,A61K|C08B|C08L
12180488,2024-12-31,Recombination systems for high-throughput chromosomal engineering of bacteria,0,C12N
12180477,2024-12-31,Dynamic pharmacokinetic-modifying anchors,0,A61K|C12N
12178878,2024-12-31,Amyloid peptide scaffolds coordinate with Alzheimer's disease drugs,0,A61K|A61P|C07K
12173286,2024-12-24,Fully stabilized asymmetric siRNA,0,A61P|C12N|C12Y
12168699,2024-12-17,Anti-polymeric IgA antibodies and methods of use,0,C07K
12163129,2024-12-10,Antisense oligonucleotides to restore dysferlin protein expression in dysferlinopathy patient cells,0,A61P|C12N|C12Q
12161658,2024-12-10,Compositions and methods for the treatment of expanded repeat-associated disorders,0,A61K|A61P|C12N
12146186,2024-11-19,HiC: method of identifying regulatory interactions between genomic loci,0,C12Q
12146136,2024-11-19,Synthesis of modified oligonucleotides with increased stability,0,C07H|C12N
12104183,2024-10-01,DNase H activity of Neisseria meningitidis Cas9,0,A61K|C12N
12103963,2024-10-01,Anti-ETEC adhesin protein antibodies and methods of use,0,A61K|A61P|C07K|G01N
12098381,2024-09-24,Compositions and methods for differential Cas9 gene labeling and/or editing,0,C12N|C12Q
12098363,2024-09-24,Targeting BCL11A distal regulatory elements with a CAS9-CAS9 fusion for fetal hemoglobin reinduction,0,A61K|C07K|C12N
12091664,2024-09-17,Methods for preventing graft ischemia reperfusion injury during ex vivo machine perfusion preservation,0,A61K|A61P|C12N
12091659,2024-09-17,High efficiency library-identified AAV vectors,0,C07K|C12N|C40B
12084660,2024-09-10,Therapeutic alteration of transplantable tissues through In Situ or Ex Vivo exposure to RNA interference molecules,0,A01N|A61K|C12N
12083143,2024-09-10,MLK-regulated microRNAs in angiogenesis and tumor development,0,A61K|A61P|C12N|C12Y
12078629,2024-09-03,Nanopore-matched protein shuttle for molecular characterization,0,C12Q|G01N
12077758,2024-09-03,Oligonucleotides for SARS-CoV-2 modulation,0,A61K|C12N|C12Y
12077755,2024-09-03,Bioactive conjugates for oligonucleotide delivery,0,A61K|A61P|C07H|C12N
12077562,2024-09-03,AAV capsids identified by in vivo library selection,0,A61K|C07K|C12N
12076394,2024-09-03,Cytosolic delivery of peptides using protein transduction domain mimics,0,A61K|C07K|C08F|C08G
12064534,2024-08-20,Zwitterionic hydrogels for delivery of biomolecules,0,A61K|A61L
12055495,2024-08-06,Diagnosis of disease using laser-induced breakdown spectroscopy and machine learning,0,G01N|G06N|G16H
12054715,2024-08-06,Modified AAV constructs and uses thereof,0,A61K|C12N
12049627,2024-07-30,Two-tailed self-delivering siRNA,0,C12N
12037585,2024-07-16,Oligonucleotides for tissue specific gene expression modulation,0,A61K|A61P|C12N
12031161,2024-07-09,Targeting Nrip1 to alleviate metabolic disease,0,A61K|A61P|C12N
12024706,2024-07-02,Modified oligonucleotides targeting SNPs,0,A61K|C12N
12023407,2024-07-02,Artificial exosome composition and related methods,0,A61K|C12N
11993632,2024-05-28,Compositions and methods for modulating inflammatory responses,0,A61K|A61P|C07K|C12N
11982637,2024-05-14,Sensors comprising electrically-conductive protein nanowires,1,A61B|G01N|Y02A
11981892,2024-05-14,Compositions and methods for improved gene editing,0,C12N
11963975,2024-04-23,Therapeutic targets for facioscapulohumeral muscular dystrophy,0,A61K|A61P|C12N|G01N
11957931,2024-04-16,Compositions and methods for treating vitiligo,0,A61K|A61N|A61P
11932848,2024-03-19,Mapping of genomic interactions,0,C12N
11931352,2024-03-19,Combination therapies for treating cancer,0,A61K|A61P|C07D
11926842,2024-03-12,Use of inverted terminal repeats (ITRS) from adeno-associated virus serotypes 8 and RH.39 in gene therapy vectors,0,A61K|C07K|C12N|H04L
11920168,2024-03-05,Compositions and methods for transient delivery of nucleases,0,A61K|C07K|C12N
