patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422435,2025-09-23,Methods and systems for evaluation of immune cell infiltrate in stage III colorectal cancer,0,G01N|G06T|G16H
12416050,2025-09-16,Compositions and methods for performing methylation detection assays,0,C12Q
12414974,2025-09-16,Materials and methods for treating cancer,0,A61K|C12N|G01N
12403119,2025-09-02,Treating lymphomas,0,A61K|A61P|C07K
12384846,2025-08-12,Targeting PD-L1 on tumor cells,0,A61K|A61P|C07K|C12N
12378610,2025-08-05,Systems and methods for preprocessing target data and generating predictions using a machine learning model,0,C12Q|G06N
12371657,2025-07-29,Cell culture media compositions for primary cells,0,A61K|A61L|A61P|C12N
12370240,2025-07-29,Methods and compositions for treating osteoarthritis,0,A61K|A61P|C07K|C12N
12364754,2025-07-22,Methods for treating VEGF-expressing cancer using preformed nanoparticle complexes comprising albumin-bound paclitaxel and bevacizumab,0,A61K|A61P|C07K
12357676,2025-07-15,Method of using NAP-2 and TGF-α to improve cardiac function,0,A61K|A61P|C07K|C12Y|G01N
12357205,2025-07-15,Systems and methods for the detection and quantification of ammonia and ammonium in fluids,0,A61B|B01D|G01N
12325878,2025-06-10,Detecting breast cancer,0,C12Q|G16H
12325690,2025-06-10,Compounds for the reducing lipotoxic damage,0,A61K|A61P|C07D
12324816,2025-06-10,Compositions containing platelet contents,0,A61K|C12N
12319969,2025-06-03,Detecting esophageal disorders,0,C12Q|G01N
12318401,2025-06-03,Injectable shear-thinning hydrogel containing therapeutic agent for enhanced tumor therapy,0,A61K|A61P|C08J
12311000,2025-05-27,Chimeric vesiculoviruses and methods of use,0,A61K|A61P|C12N
12306175,2025-05-20,Biomarkers for detection and treatment assessment of infectious diseases and disorders,0,G01N
12305168,2025-05-20,Materials and methods for efficient targeted knock in or gene replacement,0,C12N|C12Q
12303617,2025-05-20,Methods and materials for using fibrin supports for retinal pigment epithelium transplantation,0,A61K|A61L|C12N|C12Y
12290521,2025-05-06,Methods and materials for identifying and treating BET inhibitor-resistant cancers,0,A61K|A61P
12286413,2025-04-29,Compounds and methods for treating cancer,0,A61K|A61P|C07D
12285427,2025-04-29,Treatment of a senescence-associated ocular disease or disorder using a Bcl-xL selective inhibitor,0,A61K|A61P|C12N|C12Q
12280036,2025-04-22,Using fatty acid synthase inhibitors to treat fibrosis,0,A61K|A61P|C12N
12264189,2025-04-01,Methods and materials for treating cancer,0,A61K|A61P|C07K|C12N
12264163,2025-04-01,Compounds and methods for treating fibrotic pathologies,0,A61K|A61P|C07D
12258576,2025-03-25,Cell culture media compositions for primary cells,0,A61K|A61L|A61P|C12N
12258572,2025-03-25,Adenovirus vectors and methods for using adenovirus vectors,0,A61K|A61P|C07K|C12N|C12Y|Y02A
12257286,2025-03-25,Methods and materials for treating cancer,0,A61K|A61P|C07K|G01N
12257235,2025-03-25,Methods and materials for using ruminococcus gnavus or clostridium sporogenes to treat gastrointestinal disorders,0,A61K|Y02A
12246086,2025-03-11,Applications and imaging of shear-thinning biomaterial,0,A61F|A61K
12226416,2025-02-18,Methods and materials for improving arteriovenous fistula maturation and maintaining arteriovenous fistula functionality,0,A61K|A61P
12220449,2025-02-11,Enhancing T cell activation using altered MHC-peptide ligands,0,A61K|A61P|C07K|C12N|G01N
12216128,2025-02-04,Methods for guiding therapy decisions in seizure disorders,0,A61K|A61P|C12Q|G01N
12209140,2025-01-28,Therapeutics for the treatment of glaucoma,0,A61K|A61P|C07D|C07F|C07K
12204057,2025-01-21,Systems and methods for ultrasound attenuation coefficient estimation,0,A61B|G01N|G01S
12203933,2025-01-21,Methods and materials for identifying and treating membranous nephropathy,0,C12Q|G01N
12201659,2025-01-21,Foamy viruses and methods of use,0,A61K|A61P|C12N
12188093,2025-01-07,Detecting cholangiocarcinoma,0,C12Q
12178575,2024-12-31,Systems and methods for the detection and quantification of ammonia and ammonium in fluids,1,A61B|B01D|G01N
12161718,2024-12-10,Unit dose of a composition for treating cancer,0,A61K|A61P|C07K
12153052,2024-11-26,Identification and monitoring of immunoglobulin J chains,0,C07K|G01N
12139726,2024-11-12,Adenoviruses and methods for using adenoviruses,0,A61K|C07K|C12N
12139544,2024-11-12,EphA3 directed CAR-T cells for treatment of tumors,0,A61K|A61P|C07K|C12N
12133869,2024-11-05,Using autologous mesenchymal stem cells to treat multiple system atrophy,0,A61K|A61P
12130289,2024-10-29,Methods and materials for assessing immune system profiles,0,A61K|A61P|G01N
12121554,2024-10-22,Materials and methods for treatment with oncolytic viruses and modified CAR T cells,0,A61K|A61P|C07K|C12N
12116602,2024-10-15,Butyrylcholinesterases having an enhanced ability to hydrolyze acyl ghrelin,0,A61K|C07H|C07K|C12N|C12Y
12115287,2024-10-15,Methods and materials for reducing venous neointimal hyperplasia of an arteriovenous fistula or graft,0,A61K|A61L
12105088,2024-10-01,Methods and materials for identifying and treating autoimmune GFAP astrocytopathy,0,A61K|G01N
12099065,2024-09-24,Isotyping immunoglobulins using accurate molecular mass,0,G01N
12097494,2024-09-24,"Methods, devices, and systems for detecting two or more analytes within small volumes",0,B01L|G01N
12091716,2024-09-17,Methods and materials for identifying and treating traumatic brain injury,0,C12Q
12089996,2024-09-17,Methods for ultrasound system independent attenuation coefficient estimation,0,A61B|G01N|G01S|G16H
12084508,2024-09-10,TRAILshort antibody and methods of use,0,A61K|A61P|C07K
12078612,2024-09-03,Phase velocity imaging using an imaging system,0,A61B|G01N|G01S
12060582,2024-08-13,Adenoviruses and methods for using adenoviruses,0,A61K|C07K|C12N
12054785,2024-08-06,Methods and materials for using measles viruses,0,A61K|A61P|C12N|C12Q
12053455,2024-08-06,Antigen-driven detection and treatment of coccidioidomycosis,0,A61K|G01N
12053287,2024-08-06,Neural networks for atrial fibrillation screening,0,A61B|A61P|G06N|G16H
12049671,2024-07-30,Detection of colon neoplasia by analysis of methylated DNA,0,C12Q|G01N|G16Z
12043871,2024-07-23,Detecting neoplasm,0,C12Q|C12Y|G01N
12037590,2024-07-16,Short DNA aptamers and methods for promoting remyelination,0,A61K|C12N
12036325,2024-07-16,"Purified exosome products, method of making, and methods of using",0,A61K|A61L|A61P|A61Q
