patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410427,2025-09-09,System and method for automated single cell processing,0,B01L|C12N|C12Q|G01F|G01N
12399177,2025-08-26,Combination treponemal and non-treponemal syphilis test,0,G01N
12385081,2025-08-12,Detection of pathogens in wastewater,0,C12N|C12Q
12378598,2025-08-05,Digital analyte analysis,0,C12Q
12364978,2025-07-22,Anionic exchange-hydrophobic mixed mode chromatography resins,0,B01D|B01J|C07K|C12N|C12Y
12352673,2025-07-08,Manipulation of microfluidic droplets,0,B01F|B01L|F16K|F17D|G01N|Y10T
12351860,2025-07-08,Digital analyte analysis,0,C12Q
12345688,2025-07-01,Dynamic axial compression for preparative columns using external compression,0,B01D|G01N
12344780,2025-07-01,Polymer dots,0,B82Y|C09K|G01N
12343702,2025-07-01,Anionic exchange-hydrophobic mixed mode chromatography resin,0,B01D|B01J|C07K
12337287,2025-06-24,Microfluidic devices,0,B01F|B01J|B01L|B03C|C12N|C12Q|G01N|Y10T
12331338,2025-06-17,Compositions and methods for enhancing reverse transcriptase activity and/or reducing the inhibition of reverse transcriptase,0,C12N|C12Y
12319910,2025-06-03,Second strand direct,0,C12N|C12Q
12313628,2025-05-27,Digital affinity linkage assay,0,G01N
12311332,2025-05-27,Multiple beads per droplet resolution,0,B01J|C12Q
12297493,2025-05-13,Methods for processing nucleic acid samples,0,C12N|C12P|C12Q|C12Y
12292440,2025-05-06,Sandwich assays in droplets,0,B01F|C12Q|C40B|G01N
12290813,2025-05-06,Apparatus and method for fast digital detection,0,B01L|C12Q
12275989,2025-04-15,Emulsion compositions and methods of their use,0,C12Q
12263467,2025-04-01,"Mixed mode cation exchange chromatography ligands based on 1,3-dioxoisoindolin-2-yl structures",0,B01D|B01J|C07K
12259356,2025-03-25,Method and composition for quantifying protein using tagged standards,0,G01N
12241116,2025-03-04,Digital analyte analysis,0,C12Q
12239987,2025-03-04,System and method for droplet detection,0,B01F|B01L|C12Q|G01N
12227792,2025-02-18,MDA using bead oligonucleotide,0,C12Q
12222345,2025-02-11,System for imaging captured cells,0,A61B|G01N|G02B
12221634,2025-02-11,Methods of cDNA preparation,0,C07K|C12N|C12P|C12Y
12221633,2025-02-11,Modified reverse transcriptases,0,C07K|C12N|C12P|C12Y
12209277,2025-01-28,Methods and compositions for deconvoluting partition barcodes,0,C12N|C12Q
12194432,2025-01-14,Chromatography resin having an anionic exchange-hydrophobic mixed mode ligand,0,B01D|B01J|C07K
12188931,2025-01-07,Borrelia immunoassays and materials therefor,0,A61K|C07K|G01N
12180541,2024-12-31,Cell barcoding for single cell sequencing,0,C12Q
12168231,2024-12-17,Method of analysis,0,B01F|B01L|B29C|B29L|C12Q|G01N|Y02A
12163968,2024-12-10,Preparation of nucleated RBC (NRBC) analogs for use as reference hematology controls in automated hematology analyzers,0,C12N|G01N|Y10T
12163164,2024-12-10,Hybrid reverse transcriptases,0,C07K|C12N|C12R|C12Y|C40B
12162008,2024-12-10,Partition-based method of analysis,0,B01F|B01L|C12Q|G01N
12152980,2024-11-26,System and method for retrieving and analyzing particles,0,B01L|C12M|G01N|G06V
12146134,2024-11-19,Microfluidic devices and methods of use in the formation and control of nanoreactors,0,B01F|B01J|B01L|B82Y|C07K|C12N|C12Q|C40B|G01N
12140591,2024-11-12,Compositions and methods for molecular labeling,0,C12N|C12Q|C40B|G01N
12140590,2024-11-12,Compositions and methods for molecular labeling,0,C12N|C12Q|C40B|G01N
12128408,2024-10-29,Structures on microfluidic devices to control sedimentation,0,B01D|B01L|B03C|G01N
12103005,2024-10-01,Method of emulsion formation and modification,0,B01F|B01L|C12Q|G01N|Y10T
12097495,2024-09-24,Methods and compositions for detecting genetic material,0,B01F|B01L|C12Q|G01N
12091710,2024-09-17,Systems and methods for handling microfluidic droplets,0,B01F|B01J|B01L|B03C|C12N|C12Q|G01N
12090480,2024-09-17,Partition-based method of analysis,0,B01F|B01L|C12Q|G01N
12066373,2024-08-20,System and method for retrieving and analyzing particles,0,B01L|C12M|G01N|G06V
12065645,2024-08-20,Reverse transcriptases and uses thereof,0,C12N|C12Q
12064760,2024-08-20,System and method for rapid multiplexed sample processing with applications for nucleic acid amplification assays,0,B01L|C12Q
12064736,2024-08-20,Container rotation device,0,B01F|B01L|F16H|G01N
12044614,2024-07-23,System and method for retrieving and analyzing particles,0,B01L|C12M|G01N|G06V
12038438,2024-07-16,Enzyme quantification,1,A61P|B01F|B01J|B01L|C12Q|C40B|G01N
12031175,2024-07-09,Digital analyte analysis,2,C12Q
12030051,2024-07-09,System and method for capturing and analyzing cells,0,B01L|G01N
12024737,2024-07-02,Amplification reporter with base-pairing oligomers,0,C12Q
