patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12383486,2025-08-12,Hair styling composition and spray system,0,A61K|A61Q
12379320,2025-08-05,Method for analyzing content and distribution of boron introduced into positive electrode active material,0,C01G|C01P|G01N|Y02E
12371720,2025-07-29,Method for preparing block copolymer,0,C08G|C12N|C12P|C12Y
12350628,2025-07-08,"Method for quantifying amine compound constituting separator active layer prior to preparation of separator active layer, method for quantifying polyamide or unreacted amine compound in separator active layer, and method for setting preparation conditions of separator active layer or establishment standards for preparation conditions of separator active layer",0,B01D|G01N
12329846,2025-06-17,Method for preparing microcapsule,0,A61K|A61Q|B01J|C09B|C11D
12296054,2025-05-13,"Method of preparing polymeric microparticles, polymeric microparticles, medical composition, cosmetic composition, medical articles and cosmetic articles using the same",0,A61K|A61Q|C08J|C08L
12257341,2025-03-25,"Injectable composition containing prodrug of caspase inhibitors, and preparation method therefor",0,A61K|A61P
12128154,2024-10-29,Filler comprising hyaluronic acid hydrogel having excellent filling properties,0,A61K|A61L|A61Q
12122766,2024-10-22,"3-azabicyclo[3,1,1]heptane derivative and pharmaceutical composition including same",0,A61K|A61P|C07D
12092622,2024-09-17,"Method for analyzing deuterated benzenes, method for selecting deuterated benzene for deuterated compound preparation, and method for preparing deuterated compound",0,C07B|G01N
12090479,2024-09-17,Method for detecting aldehydes or ketones,0,B01L|G01N
12050211,2024-07-30,Device and method for quantitative evaluation of deodorant performance,0,G01N|Y02A
12042814,2024-07-23,Gravure coater test apparatus and gravure coater,0,B05C|B41F|B41P|G01N
12025554,2024-07-02,Method for quantitative analysis of hydrogen in porous silica,0,C01B|C01P|G01N
11992810,2024-05-28,Method of detecting defects in separation membrane element and apparatus for detecting defects in separation membrane element,0,B01D|G01N
11969729,2024-04-30,Microdevice for detecting aldehydes or ketones,0,B01L|G01N
11951449,2024-04-09,Method for preparing organic-inorganic hybrid microcapsule,0,A61K|B01J|C09B|C09K|C11D
11933741,2024-03-19,Method for evaluation of resin alloy,0,G01N
11913935,2024-02-27,"Method for evaluating properties of polypropylene resin, method for preparing polypropylene non-woven fabric, and polypropylene non-woven fabric",0,D04H|G01N
11913923,2024-02-27,Method for evaluating properties of melt-blown plastic resin,0,D01D|D01F|G01N
11913773,2024-02-27,Non-destructive method for measuring thickness of three-layered reinforced hydrogen ion exchange membrane for fuel cell,0,G01B|G01N|H01M|Y02E
11906442,2024-02-20,Foreign material inspection system of display unit,0,G01N|G02B|H10K
11873371,2024-01-16,Polyimide film for display substrate,0,C08G|C08J|C09D|G01N|G02F|H10K
11867600,2024-01-09,Assessment method for injection molding property of plastic form,0,B29C|B29K|C08F|G01N|Y02W
11852647,2023-12-26,Method for predicting the rubber reinforcing effect of organic-inorganic composite for rubber reinforcement,0,C08K|C08L|G01N
11845973,2023-12-19,Poly(3-hydroxypropionate-b-lactate) block copolymer using microorganisms,0,C08G|C12N|C12P|C12Y
11835536,2023-12-05,Device and method for qualitative and quantitative analysis of heavy metals utilizing rotary disc system,0,B01L|G01N
11835535,2023-12-05,Device and method for qualitative and quantitative analysis of heavy metals utilizing rotary disc system,0,B01L|G01N
11835498,2023-12-05,"High throughput gas-chromatography system for additive analysis, and analysis method using same",0,G01N
11828768,2023-11-28,Device and method for qualitative and quantitative analysis of heavy metals utilizing rotary disc system,0,B01L|G01N
11817564,2023-11-14,Active material analysis apparatus,1,G01N|H01M|Y02E
11815483,2023-11-14,Method for determining the deuterium substitution rate according to substitution positions,0,G01N
11776665,2023-10-03,Method for determining the average deuterium substitution rate,0,G01N|G01R|G16C
11771204,2023-10-03,"Method for manufacturing mask pack for adsorbing heavy metals, and mask pack manufactured thereby",0,A45D|A61K|A61Q|D04H|D21H
11747318,2023-09-05,Resin composition and reliability evaluation method thereof and color conversion film comprising the same,0,C08J|C08K|C08L|G01N
11697699,2023-07-11,Method for predicting long-term durability of resin composition for piping and olefinic polymer used for resin for piping,0,C08F|C08L|G01N
11668666,2023-06-06,Method for early detection of carbonization during drying of organic material,0,A62C|F26B|G01K|G01N|G08B
11666858,2023-06-06,Method for determining process conditions to remove volatile organic compounds from polymer,0,B01D|G01N|G06F|G16C
11649384,2023-05-16,Method for selecting adhesive with excellent folding stability,0,C08F|C09J|G01N|G06F|G09F|H01L|H10K|Y02E
11639920,2023-05-02,Multiple qualitative and quantitative heavy metal analysis device implemented by rotary platform,0,B01L|G01N
11639917,2023-05-02,Dianhydride analysis method,0,G01N
11635445,2023-04-25,Device and method for qualitative and quantitative analysis of heavy metals utilizing rotary disc system,0,B01L|G01N
11635421,2023-04-25,SAP evaluation apparatus,0,A61F|G01N
11630091,2023-04-18,On-line system for improving detection level of analytes by liquid chromatography and analysis method using same,0,G01N
11604176,2023-03-14,Method for detecting aldehyde and ketone by using thin layer chromatography,1,G01N
11579126,2023-02-14,Quantitative analysis method for monomer of photoresist binder,0,G01N
11549920,2023-01-10,Method for quantitative analysis of monomers in polyimide film,0,G01N
