patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431244,2025-09-30,Interpretable deep machine learning for clinical radiology,0,G01N|G06F|G06N|G06T|G06V|G16H
12421257,2025-09-23,Compositions and methods for inhibiting group II intron RNA,0,A61K|A61P|C07C|C07D|C07F|C12N
12419905,2025-09-23,Methods and compositions for the treatment of amyloid-related disorders,0,A61K|A61P
12414927,2025-09-16,CXCR5 antagonists and methods of treating diseases or disorders using same,0,A61K|A61P
12404495,2025-09-02,Epithelial cell differentiation of human mesenchymal stromal cells,0,A61K|A61P|C12N
12403180,2025-09-02,Interleukin-18 variants and methods of use,0,A61K|A61P|C07K|C12N
12402610,2025-09-02,Methods and compositions for modulating innate lymphoid cell pathogenic effectors,0,A01K|A61K|C12N|C12Q|G01N
12397060,2025-08-26,pHLIP®-mediated intracellular delivery of immuno-stimulatory compounds,0,A61K|A61P
12377074,2025-08-05,Treatment for Wolfram syndrome,0,A61K|A61P
12374435,2025-07-29,Methods for treating infections,0,C12Q|G16B|G16H
12364766,2025-07-22,Bifunctional small molecules to target the selective degradation of circulating proteins,0,A61K|A61P|C07D|C07H
12364755,2025-07-22,Method for obtaining globally activated monocytes,0,A61K|A61P|C12N
12344868,2025-07-01,ENPP1 polypeptides and methods of using same,0,A61K|C07K|C12N|C12Y
12343379,2025-07-01,Interleukin-18 variants and methods of use,0,A61K|A61P|C07K|C12N
12336987,2025-06-24,Quinoline amides and methods of using same,0,A61K|A61P|C07D
12320815,2025-06-03,Compositions and methods for enrichment and detection of ubiquitin and ubiquitin conjugates,0,C07K|G01N
12312621,2025-05-27,Reprogramming urokinase into an antibody-recruiting anticancer agent,0,A61K|C07C|C07D|C07K|C12N
12312417,2025-05-27,Binding proteins 1,0,A61K|A61P|C07K
12310970,2025-05-27,Compounds and methods for treating or preventing anterior segment ocular disorders and/or retinal degenerations,0,A61K|A61P
12304970,2025-05-20,"Nuclear localization signals, compositions formed therefrom, and methods of use thereof for delivery of cargo to the nucleus",0,A61P|C07K|C12N
12297428,2025-05-13,Compositions for identification of membrane targets for enhancement of T cell activity against cancer,0,A01K|A61K|C07K|C12N|C12Y
12290575,2025-05-06,Fluorescent compound comprising a fluorophore conjugated to a pH-triggered polypeptide,0,A61B|A61K|C07K|C09B|C09K|G01N
12286629,2025-04-29,Compositions and methods for treating endometriosis,0,A61P|C12N
12286398,2025-04-29,Anti-bacterial stilbene derivatives and methods of use,0,A01N|A01P|A61K|A61P|C07C|Y02A
12285462,2025-04-29,pH-triggered membrane peptide-mediated epitope tethering at cell surfaces,0,A61K|A61P|C07K
12280085,2025-04-22,Herbal composition PHY906 and its use in chemotherapy,0,A61K|A61P
12274756,2025-04-15,Methods of treating and diagnosing epilepsy,0,A01K|A61K|C07K|C12N
12274724,2025-04-15,Methods for treatment of cancer using chikungunya-VSV chimeric virus,0,A61K|A61P|C12N|Y02A
12268774,2025-04-08,Compositions and methods for in utero delivery,0,A61K|A61P
12264157,2025-04-01,Compounds and methods for the enhanced degradation of targeted proteins,0,A61K|A61P|C07D
12234500,2025-02-25,Methods for measuring Renalase,0,A61K|C07K|C12Q|G01N
12234489,2025-02-25,"Compositions for treating ectopic calcification disorders, and methods using same",0,A61K|A61P|C07K|C12N|C12Y
12234256,2025-02-25,Molecular degraders of extracellular proteins,0,A61K|A61P|C07D|C07H|C07K
12233140,2025-02-25,Hyperbranched polyglycerol-coated particles and methods of making and using thereof,0,A61K|A61P|A61Q|C07C|C08G
12227595,2025-02-18,Anti-renalase antibodies for the treatment and prevention of diseases and disorders,0,A61K|A61P|C07K|G01N
12186455,2025-01-07,Compositions and methods for promoting patency of vascular grafts,0,A61F|A61K|A61L|A61P
12186452,2025-01-07,Compositions and methods useful in regenerative medicine,0,A61F|A61K|A61L|A61P|C12N
12186451,2025-01-07,Bioartificial vascular pancreas,0,A61F|A61K|A61L
12186307,2025-01-07,Methods of treating epilepsy,0,A61K|A61P|G01N
12171831,2024-12-24,Compounds and methods for the targeted degradation of bromodomain- containing proteins,0,A61K|C07D
12168639,2024-12-17,Therapeutic DNP derivatives and methods using same,0,A61K|C07C|C07J
12162953,2024-12-10,Enhanced targeting platform,0,A61K|B82Y|C07K
