patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422656,2025-09-23,Methods and systems for multidimensional imaging,0,G01N|G02B
12421541,2025-09-23,Multiomic analysis device and methods of use thereof,0,B01L|C12Q|G01N
12416552,2025-09-16,Methods and devices for manipulating biological samples,0,B01L|G01N
12404550,2025-09-02,Dark cycle sequencing,0,C12Q
12391988,2025-08-19,Sequencing a target sequence in a cell,0,C07K|C12N|C12P|C12Q|C12Y|G01N
12365936,2025-07-22,Spatial sequencing of modified sequences,0,C12Q
12365801,2025-07-22,Silicon containing detectable compounds and uses thereof,0,C07F|C09B|C09K|G01N
12359068,2025-07-15,Rhodamine fluorescent compounds and production methods thereof,0,A61K|C07H|C09B|C12Q
12344867,2025-07-01,Engineered Pyrococcus enzymes and uses thereof,0,C12N|C12Q|C12Y
12298211,2025-05-13,Device for tissue section immobilization and retention,0,A61L|C12N|C12Q|G01N|G02B|G06V
12286667,2025-04-29,In situ detection of nucleic acid molecules,0,C12Q|G01N
12286666,2025-04-29,Methods for in situ transcriptomics and proteomics,0,C12Q|G01N
12258623,2025-03-25,Multiomic analysis device and methods of use thereof,1,B01L|C12Q|G01N
12252740,2025-03-18,Multiomic analysis device and methods of use thereof,1,B01L|C12Q|G01N
12247921,2025-03-11,Systems and methods for multicolor imaging,0,G01N|G02B|H04N
12227799,2025-02-18,Compositions and methods for nucleic acid sequencing,0,C12Q|G01N
12227774,2025-02-18,Modified PHI29 DNA polymerases and uses thereof,0,C12N|C12Q|C12Y
12215124,2025-02-04,Fluorinated nucleotides and uses thereof,0,A61P|C07H|C12Q
12215122,2025-02-04,Nucleotide analogues,0,C07H|C12Q
12188089,2025-01-07,Cleavable disulfide linkers and uses thereof,0,C07H|C12Q
12188088,2025-01-07,Multiplexed targeted amplification of polynucleotides,0,B01L|C12Q
12181388,2024-12-31,Device for tissue section immobilization and retention,1,A61L|C12N|C12Q|G01N|G02B|G06V
12180542,2024-12-31,Methods for in SITU transcriptomics and proteomics,1,C12Q|G01N
12158402,2024-12-03,Manipulating and detecting biological samples,1,A61L|C12N|C12Q|G01N|G02B|G06V
12145960,2024-11-19,Nucleotide analogues,0,C07H|C12Q
12139759,2024-11-12,Methods of sequencing circular template polynucleotides,0,C12Q
12139754,2024-11-12,Polynucleotide barcodes for long read sequencing,0,C12Q
12123055,2024-10-22,Linked paired strand sequencing,0,C12Q
12123054,2024-10-22,Methods for long read sequencing,1,C12Q
12116629,2024-10-15,Methods and compositions for reducing nucleotide impurities,0,B01L|C12Q
