patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427153,2025-09-30,"1,2,4-triazin-3(2H)-one compounds for the treatment of hyperproliferative diseases",0,A61K|A61P|C07C|C07D
12403135,2025-09-02,"4H-pyrrolo[3,2-c]pyridin-4-one derivatives",0,A61K|A61P|C07D|C12Q
12398120,2025-08-26,Substituted hydantoinamides as ADAMTS7 antagonists,0,A61K|A61P|C07D
12384843,2025-08-12,Anti-semaphorin 3A antibodies,0,A61K|A61P|C07K
12365679,2025-07-22,"Process for producing acyloxymethyl esters of (4S)-(4-cyano-2-methoxyphenyl)-5-ethoxy-2,8-dimethyl-1,4-dihydro-1,6-naphthyridin-3-carboxylic acid",0,C07B|C07D|C12N|C12P|C12Y
12362042,2025-07-15,Identifying the pairing of variable domains of light and heavy chains of antibodies,0,C07K|C12N|C40B|G16B
12358877,2025-07-15,Synthesis of 4-amino-5-methyl-1H-pyridin-2(1H)-on (intermediate compound for the synthesis of the MR antagonist finerenone) from 2-chloro-5-methyl-4-nitro-pyridine-1-oxide using the intermediate compound 2-chloro-5-methyl-4-pyridinamine,0,A61P|C07D
12357603,2025-07-15,Acyl sulfonamides for treating cancer,0,A61K|A61P|C07D
12350373,2025-07-08,Nano-seeding,0,A61K
12331094,2025-06-17,Atrial natriuretic peptide engrafted antibodies,0,A61K|A61P|C07K
12303573,2025-05-20,Formulation of contrast media and process of preparation thereof,0,A61K
12297196,2025-05-13,Condensed bicyclic heterocyclic derivatives as pest control agents,0,A01N|A61P|C07C|C07D
12296051,2025-05-13,"Oral bilayer tablets comprising acetylsalicylic acid and pseudoephedrine, methods of preparing and using thereof",0,A61J|A61K|A61P
12274683,2025-04-15,Topical gel compositions of naproxen,0,A61K|A61P
12263227,2025-04-01,Optimized mRNA encoding CAS9 for use in LNPs,0,A61K|C12N
12258323,2025-03-25,Dihydrooxadiazinones,0,A61K|A61P|C07D
12247201,2025-03-11,Materials and methods for treatment of autosomal dominant retinitis pigmentosa,0,A61K|A61P|C12N
12227501,2025-02-18,"3-amino-2-[2-(acylamino)pyridin-4-yl]-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one as CSNK1 inhibitors",0,A61P|C07D
12221479,2025-02-11,Pharmaceutical combination of anti CEACAM6 and TIM3 antibodies,0,A61K|A61P|C07K
12215320,2025-02-04,Compositions and methods for gene editing by targeting transferrin,0,A61K|C12N|C12Y
12215316,2025-02-04,Materials and methods for treatment of usher syndrome type 2A,0,A61P|C12N
12215168,2025-02-04,Anti-A2AP antibodies and uses thereof,0,A61K|A61P|C07K|C12N
12203110,2025-01-21,RNA-programmable endonuclease systems and uses thereof,0,C12N
12202805,2025-01-21,"Process for preparing (5S)-{[2-(4-carboxyphenyl)ethyl] |2-(2-{|3-chloro-4'-(trifluoromethyl)biphenyl-4-yl]methoxy}phenyl)ethyl]aminol-5,6,7,8-tetrahydroquinoline-2-carboxylic acid and its crystalline forms for use as pharmaceutically active compound",0,A61K|A61P|C07D
12195448,2025-01-14,Substituted pyrazolo piperidine carboxylic acids,0,A61P|C07D
12187705,2025-01-07,Heteroaryl-triazole and heteroaryl-tetrazole compounds as pesticides,0,A01N|A61P|C07C|C07D
