patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428625,2025-09-30,Virus-like particles which can be used in the treatment of allergies,0,A61K|A61P|C07K|C12N
12427141,2025-09-30,BYL719 (alpelisib) for use in the treatment of PIK3CA-related overgrowth spectrum (PROS-CLOVES syndrome),0,A61K|A61P
12419964,2025-09-23,Antibody drug conjugate (ADC) targeting Nectin 4 and comprising an exatecan payload,0,A61K|A61P|C07K
12415781,2025-09-16,Compounds with biguanidyl radical and uses thereof,0,A61K|A61P|C07C|C07D|C07F
12411143,2025-09-09,CD146 and uses thereof as a biomarker and as a therapeutic target in the diagnosis and treatment of fibrosis,0,A61K|A61P|C07K|G01N
12403181,2025-09-02,"Combination of interleukin-2 with an interleukin 1 inhibitor, conjugates and therapeutic uses thereof",0,A61K|A61P|C07K
12398206,2025-08-26,Antibodies having specificity for nectin-4 and uses thereof,0,A61P|C07K|Y02A
12385921,2025-08-12,Methods for the diagnosis and treatment of gastrointestinal stromal tumors,0,A61K|A61P|C07K|G01N
12358977,2025-07-15,Treatment of acute exacerbations of chronic obstructive pulmonary disease by antagonism of the IL-20R,0,A61K|A61P|C07K
12351634,2025-07-08,Use of cilengitide for ameliorating cardiac fibrosis occurring in response to myocardial infarction,0,A61K|A61P|C07K
12351556,2025-07-08,"Pyridin-2(1H)one derivatives, their preparation and their use for the treatment of pain",0,A61P|C07D
12350260,2025-07-08,Protease-activated receptor-2 inhibitors for the treatment of sensory neuropathy induced by a marine neurotoxic poisoning,0,A61K|A61P|C12N|G01N
12325735,2025-06-10,Regulatory T cells genetically modified for the lymphotoxin alpha gene and uses thereof,0,A61K|A61P|C07K|C12N
12319745,2025-06-03,Antibodies having specificity for CD38 and uses thereof,0,A61K|A61P|C07K|C12N
12318358,2025-06-03,"Probenecid for use in treating epileptic diseases, disorders or conditions",0,A61K|A61P
12305187,2025-05-20,Acid-alpha glucosidase variants and uses thereof,0,A61K|A61P|C07K|C12N|C12Y
12303556,2025-05-20,Peptides for treatment and prevention of diabetes and associated disorders,0,A61K|A61P
12291752,2025-05-06,Methods for predicting the survival time and treatment responsiveness of a patient suffering from a solid cancer with a signature of at least 7 genes,0,A61P|C12Q
12280074,2025-04-22,Preparation of platelet pellet lysate and its use for treating neurological disorders,0,A61K|A61P
12276000,2025-04-15,Methods for predicting the risk of developing pulmonary colonization/infection by Pseudomonas aeruginosa,0,C12Q
12258400,2025-03-25,Antibodies having specificity for BTN2 and uses thereof,0,A61K|C07K
12257232,2025-03-25,Methods and pharmaceutical compositions for the treatment of FGFR3-related chondrodysplasias,0,A61K|A61P
12253528,2025-03-18,Methods and compositions for treating asthma and allergic diseases,0,A61K|A61P|C07K|C12N|G01N
12247257,2025-03-11,Blood biomarkers of stroke,0,C12Q|G01N
12247075,2025-03-11,BTN3A binding proteins and uses thereof,0,A61P|C07K|C12N
12215067,2025-02-04,Chemical compounds targeting the eye and use thereof in the treatment of eye diseases,0,A61P|C07C|C07D
12213978,2025-02-04,"Madrasin-derivative compounds, composition and uses thereof for treating cancer",0,A61K|A61P|C07D|C07F|C07H
12203943,2025-01-21,Biomarkers of fast progression of chronic kidney disease,0,G01N
12186366,2025-01-07,Clusterin for use in the treatment of thrombotic microangiopathies,0,A61K|A61P|G01N
12173053,2024-12-24,Composition for the treatment of antibody deficiencies,0,A61K|A61P|C07K
12168694,2024-12-17,Anti-human CD45RC antibodies and uses thereof,0,A61K|A61P|C07K
12152046,2024-11-26,"Oleic acid derivatives, pharmaceutical composition or food composition comprising said oleic acid derivatives, and their uses",0,A23L|A61K|A61P|C07B|C07C|C07D|C07F
12146159,2024-11-19,Methods for obtaining regulatory t cells and uses thereof,0,A61K|A61P|C12N
12146150,2024-11-19,Rescue of central and peripheral neurological phenotype of friedreich's ataxia by intravenous delivery,0,A01K|A61K|A61P|C07K|C12N
12144896,2024-11-19,Drug delivery system,0,A61K|A61P
12139740,2024-11-12,Method for determining the invasive potential of a tumor cell,0,C12M|C12N|C12Q|G01N
12138298,2024-11-12,Expression vector for cholesterol 24-hydrolase in therapy of polyglutamine repeat spinocerebellar ataxias,0,A01K|A61K|A61P|C12N|C12Y
12134639,2024-11-05,IL-15Rα sushi domain—IL-15 fusion proteins,0,A61P|C07K
12129487,2024-10-29,Method to obtain lymphoid progenitors,0,C12N
12123058,2024-10-22,Molecular signature and use thereof for the identification of indolent prostate cancer,0,C12Q
12123000,2024-10-22,Use of PI3KC2B inhibitors for the preservation of vascular endothelial cell barrier integrity,0,A61K|A61P|C12N|G01N
12098179,2024-09-24,Antigenic peptides deriving from urocortin 3 and uses thereof for the diagnosis and treatment of type 1 diabetes,0,A61K|C07K|C12N
12091464,2024-09-17,Method of promoting a t-cell response or treating cancer by administering an antagonist to human c-type lectin-like receptor-1 (CLEC-1),0,A61P|C07K|C12N
12083163,2024-09-10,Isolated interleukin-34 polypeptide for use in preventing transplant rejection and treating autoimmune diseases,0,A61K|A61P|G01N|Y02A
12083091,2024-09-10,Inhibitors of glucosylceramide degradation in the treatment of diseases of the motor units,0,A61K|A61P
12077827,2024-09-03,Methods for predicting the risk of developing pulmonary colonization/infection by Pseudomonas aeruginosa,0,A61K|C07K|C12Q|G01N
12070452,2024-08-27,Compounds targeting HSP110 protein for cancer treatment,0,A61K|A61P
12066312,2024-08-20,Method and device for determining a flow rate and/or a concentration of particles of a fluid,0,A61B|A61M|G01F|G01N
12064470,2024-08-20,FGF10 for the treatment of heart diseases,0,A61K|A61P|C07K
12059457,2024-08-13,Immunogenic product comprising IL-4 and/or IL-13 for treating disorders associated with aberrant IL-4 and/or IL 13 expression or activity,0,A61K|A61P
12054743,2024-08-06,"Method for obtaining T cells from pluripotent stem cells, and uses thereof",0,A61K|C12N
12054550,2024-08-06,Bispecific antibodies targeting EGFR and HER2,0,A61K|A61P|C07K
12052979,2024-08-06,Transgenic mouse model of Neurofibromatosis type 1,0,A01K|A61K|C07K|C12N|G01N
12049500,2024-07-30,Anti-nectin-4-antibodies and uses thereof,1,A61K|A61P|C07K
12048761,2024-07-30,Methods and pharmaceutical compositions for the treatment of retinal capillary non-perfusion,0,A61K|A61P
12036237,2024-07-16,Bromide source for use in treating autism spectral disorder,0,A61K|A61P
12011466,2024-06-18,Modified Escherichia coli strain Nissle and treatment of gastrointestinal disorder,0,A61K|A61P|C12N|C12R|Y02A
12000833,2024-06-04,Marker for predicting the sensitivity to PI3K inhibitors,0,A61K|C07K|G01N
11987631,2024-05-21,Anti-BTN3A antibodies and their use in treating cancer or infectious disorders,0,A61K|A61P|C07K
11986514,2024-05-21,Compositions for treating macular edema,0,A61K|A61P
11981886,2024-05-14,Biocompatible three-dimensional network and use thereof as a cell support,0,C08L|C12M|C12N|D01D|D01F|D06M
11981695,2024-05-14,"Linoleic acid derivatives, pharmaceutical composition or food composition comprising said linoleic acid derivatives, and their uses",0,A23K|A23L|A23V|A61P|C07B|C07C|C07D|C07F
11945871,2024-04-02,Anti-BTN3A antibodies and their use in treating cancer or infectious disorders,0,A61K|A61P|C07K
11939577,2024-03-26,Antisense RNA targeting PMP22 for the treatment of Charcot-Marie-Tooth 1A disease,0,A61K|C12N
11926829,2024-03-12,Allele-specific silencing therapy for dynamin 2-related diseases,0,A61P|C12N|C12Y
11926664,2024-03-12,Methods and pharmaceutical compositions for modulating monocytopoiesis,0,A61K|C07K|C12N|Y02A
11912645,2024-02-27,Lipopeptide compounds for the treatment of pain disorders,0,A61P|C07C
11905330,2024-02-20,Methods for weight reduction,0,A61K|A61P|C07K|G01N
11903982,2024-02-20,Methods of treating pseudomonas aeruginosa respiratory infections,0,A61K|A61P
11866484,2024-01-09,Synthetic single domain antibody,0,C07K|C40B
11865189,2024-01-09,Transgenic RPE cells overexpressing OTX2 for the treatment of retinal degeneration,0,A61K|A61P|C12N
11857532,2024-01-02,Treatment and prediction of therapeutic responses in patients suffering from Friedreich ataxia,0,A61K|A61P
11823799,2023-11-21,Method for identifying personalized therapeutic strategies for patients affected with a cancer,0,C12Q|G16B|G16H
11820813,2023-11-21,Anti-neurotensin long fragment antibodies and uses thereof,0,A61K|A61P|C07K|C12N
11814683,2023-11-14,Methods and compositions for predicting chronic lung allograft dysfunction,0,C12Q
11773163,2023-10-03,Methods and pharmaceutical compositions for the prophylactic treatment of metastases,0,A61K|A61P|C07K|C12N
11753454,2023-09-12,IL-15 and IL-15R\alpha sushi domain based immunocytokines,0,A61K|A61P|C07K
11752131,2023-09-12,Methods and pharmaceutical compositions for the treatment of obesity,0,A61K|A61P
11740244,2023-08-29,Methods of screening for modulators of binding between GTPase and GTPase binding domains,0,C07K|C40B|G01N
11740243,2023-08-29,Early and non invasive method for assessing a subject's risk of having pancreatic ductal adenocarcinoma and methods of treatment of such disease,1,A61P|G01N
