patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431216,2025-09-30,Methods for identifying class 2 crispr-cas systems,0,C07K|C12N|G16B
12428373,2025-09-30,Dopamine D2 receptor ligands,0,A61P|C07D|C07K
12427153,2025-09-30,"1,2,4-triazin-3(2H)-one compounds for the treatment of hyperproliferative diseases",0,A61K|A61P|C07C|C07D
12421557,2025-09-23,Methods for predicting outcomes and treating colorectal cancer using a cell atlas,0,A61K|C12Q|G01N|Y02A
12421507,2025-09-23,Methods and compositions for optochemical control of CRISPR-CAS9,0,C07D|C07K|C12N
12421506,2025-09-23,"Engineering of systems, methods and optimized guide compositions with new architectures for sequence manipulation",0,C12N|C12Y
12419948,2025-09-23,Immunogenic compositions and use thereof,0,A61K|A61P|C12N|G01N
12419915,2025-09-23,Microglial progenitors for regeneration of functional microglia in the central nervous system and therapeutics uses thereof,0,A61K|C12N
12419885,2025-09-23,Kinase inhibitors and methods of use thereof,0,A61K|A61P|C07D
12415000,2025-09-16,CRISPR system based antiviral therapy,0,A61K|C12N
12414935,2025-09-16,Compounds and methods for the treatment of parasitic diseases,0,A61K|A61P|C07D
12410468,2025-09-09,CRISPR enzymes and systems,0,C12N|C12Q
12410447,2025-09-09,Engineered muscle targeting compositions,0,A61K|A61P|C07K|C12N
12410435,2025-09-09,Compositions and methods of use of CRISPR-Cas systems in nucleotide repeat disorders,0,A01K|A61K|A61P|B82Y|C12N|C12Y|Y02A
12410416,2025-09-09,CRISPR enzymes and systems with modified pam specificity,0,C12N
12406749,2025-09-02,Systems and methods for predicting repair outcomes in genetic engineering,0,A61K|C12N|G16B
12404514,2025-09-02,CRISPR-systems for modifying a trait of interest in a plant,0,C12N
12404348,2025-09-02,Bifunctional chimeric molecules for labeling of kinases with target binding moieties and methods of use thereof,0,A61K|A61P|C07D|C07K|C12R|C12Y
12403135,2025-09-02,"4H-pyrrolo[3,2-c]pyridin-4-one derivatives",0,A61K|A61P|C07D|C12Q
12402610,2025-09-02,Methods and compositions for modulating innate lymphoid cell pathogenic effectors,0,A01K|A61K|C12N|C12Q|G01N
12398145,2025-08-26,Bicyclic urea kinase inhibitors and uses thereof,0,A61K|A61P|C07D
12398120,2025-08-26,Substituted hydantoinamides as ADAMTS7 antagonists,0,A61K|A61P|C07D
12391685,2025-08-19,Inhibitors of RNA-guided nuclease target binding and uses thereof,0,A61K|A61P|C07D|C12N
12385033,2025-08-12,High-resolution spatial macromolecule abundance assessment,0,C12N|C12Q
12374435,2025-07-29,Methods for treating infections,0,C12Q|G16B|G16H
12374423,2025-07-29,Systems and methods for MHC class II epitope prediction,0,A61K|A61P|C07K|G01N|G06N|G16B|Y02A
12371737,2025-07-29,CRISPR enzymes and systems,0,C12N|C12Q
12359218,2025-07-15,Methods and compositions for evolving base editors using phage-assisted continuous evolution (PACE),0,C07K|C12N|C12Y
12358918,2025-07-15,Aryl hydrocarbon receptor (AHR) activator compounds as cancer therapeutics,0,A61K|C07D|G01N
12357603,2025-07-15,Acyl sulfonamides for treating cancer,0,A61K|A61P|C07D
12351837,2025-07-08,Supernegatively charged proteins and uses thereof,0,A61K|C07K|C12N
12350368,2025-07-08,Delivery of large payloads,0,A61K|C12N
12344838,2025-07-01,CPF1 complexes with reduced indel activity,0,C12N|C12Y
12338486,2025-06-24,Single-stranded break detection in double-stranded DNA,0,C12N|C12Q
12331319,2025-06-17,Respiratory and sweat gland ionocytes,0,A61K|A61P|C12N|G01N
12330154,2025-06-17,Reaction circuit design in microfluidic circuits,0,B01J|B01L|C12N|C12Q|F04B|F16K
12325880,2025-06-10,Identification of PDE3 modulator responsive cancers,0,A61K|A61P|C12N|C12Q|C12Y|G01N
12315601,2025-05-27,Linear genome assembly from three dimensional genome structure,0,C12Q|G16B
12313632,2025-05-27,Tepoxalin targeting of ABCB1 overexpressing cancers,0,A61K|A61P|C12Q|G01N
12305204,2025-05-20,CRISPR enzymes and systems,0,C12N|G16B
12297436,2025-05-13,"Systems, methods, and compositions for targeted nucleic acid editing",0,C12N|C12Y
12297426,2025-05-13,DNA damage response signature guided rational design of CRISPR-based systems and therapies,0,A61K|A61P|C12N|C12Q
12281338,2025-04-22,Nucleobase editors comprising GeoCas9 and uses thereof,0,C12N|C12Y
12281303,2025-04-22,Methods and compositions for prime editing nucleotide sequences,0,C07K|C12N|C12Y|G16B
12281301,2025-04-22,Sequencing-based proteomics,0,C12N
12264367,2025-04-01,Methods of in vivo evaluation of gene function,0,A01K|C12N|C12Q
12264359,2025-04-01,CRISPR enzymes and systems,0,C12N|C12Q
12264323,2025-04-01,CRISPR CPF1 direct repeat variants,0,C12N
12258595,2025-03-25,"Systems, methods and compositions for sequence manipulation with optimized functional CRISPR-Cas systems",0,A61K|A61P|C12N|C12Q|C12Y|Y02A
12258594,2025-03-25,Cas proteins with reduced immunogenicity and methods of screening thereof,0,C12N
12258323,2025-03-25,Dihydrooxadiazinones,0,A61K|A61P|C07D
12252707,2025-03-18,"Delivery, Engineering and optimization of systems, methods and compositions for sequence manipulation and therapeutic applications",0,A01K|A61P|C12N|G16B
12252705,2025-03-18,Small type II-D Cas proteins and methods of use thereof,0,C07K|C12N|C12Y
12251450,2025-03-18,"Delivery, use and therapeutic applications of the CRISPR-Cas systems and compositions for HBV and viral diseases and disorders",0,A61K|A61P|C07K|C12N|G06Q|H04L|Y02A
12246004,2025-03-11,Therapeutic treatment of microsatellite unstable cancers,0,A61K|A61P|C12N|C12Q|C12Y
12241830,2025-03-04,Living biosensors,0,G01N
12241053,2025-03-04,Modulation of novel immune checkpoint targets,0,A61K|A61P|C07K|C12N|C12Q
12234454,2025-02-25,Crispr enzymes and systems,0,C12N|C12Q|G16B
12227749,2025-02-18,Constructs for continuous monitoring of live cells,0,C07H|C12N|C12Q
12227742,2025-02-18,Nucleic acid modifiers,0,A61K|C12N
12227578,2025-02-18,"Modulation of intestinal epithelial cell differentiation, maintenance and/or function through T cell action",0,A61K|A61P|C07K|C12N|G01N
