patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12317844,2025-06-03,Soybean cultivar 17350708,0,A01H|C12N
12310314,2025-05-27,Soybean cultivar 06142425,0,A01H|C12N
12279590,2025-04-22,Soybean cultivar 20221948,0,A01H|C12N
12279589,2025-04-22,Soybean cultivar 19140413,0,A01H|C12N
12268160,2025-04-08,Soybean cultivar 18350959,0,A01H|C12N
12262682,2025-04-01,Soybean cultivar 10440106,0,A01H|C12N
12262681,2025-04-01,Soybean cultivar 13060205,1,A01H|C12N
12256704,2025-03-25,Soybean cultivar 13160410,0,A01H|C12N
12256703,2025-03-25,Soybean cultivar 19030607,0,A01H|C12N
12252721,2025-03-18,"Stacked herbicide tolerance event 8264.44.06.1, related transgenic soybean lines, and detection thereof",0,A01N|C12N|C12Q|C12Y
12239086,2025-03-04,Soybean cultivar 11150712,0,A01H|C12N
12239085,2025-03-04,Soybean cultivar 10330716,0,A01H|C12N
12213434,2025-02-04,Soybean cultivar 10210607,0,A01H|C12N
12193393,2025-01-14,Soybean cultivar 14350716,0,A01H|C12N
12193390,2025-01-14,Soybean cultivar 13140914,0,A01H|C12N
12193389,2025-01-14,Soybean cultivar 16340334,0,A01H|C12N
12193388,2025-01-14,Soybean cultivar 11220464,0,A01H|C12N
12144305,2024-11-19,Soybean cultivar 10330814,0,A01H|C12N
12137657,2024-11-12,Soybean cultivar 19140644,0,A01H|C12N
12127522,2024-10-29,Soybean cultivar 02198425,0,A01H|C12N
12121001,2024-10-22,Soybean cultivar 14310432,0,A01H|C12N
12121000,2024-10-22,Soybean cultivar 13330102,0,A01H|C12N
12114636,2024-10-15,Soybean cultivar 15050102,0,A01H|C12N
12114635,2024-10-15,Soybean cultivar 19320106,0,A01H|C12N
12114632,2024-10-15,Soybean cultivar 88161335,0,A01H|C12N
12089560,2024-09-17,Soybean cultivar 14240419,0,A01H|C12N
12089559,2024-09-17,Soybean cultivar 13320419,0,A01H|C12N
12070007,2024-08-27,Soybean cultivar 11230247,0,A01H|C12N
12035680,2024-07-16,Soybean cultivar 87470849,0,A01H|C12N
12010971,2024-06-18,Soybean cultivar 05170605,0,A01H|C12N
11991979,2024-05-28,Soybean cultivar 81002137,0,A01H|C12N
11991978,2024-05-28,Soybean cultivar 86422336,0,A01H|C12N
11991977,2024-05-28,Soybean cultivar 80101544,0,A01H|C12N
11980156,2024-05-14,Soybean cultivar 88173583,0,A01H|C12N
11980155,2024-05-14,Soybean cultivar 89033583,0,A01H|C12N
11980154,2024-05-14,Soybean cultivar 01139005,0,A01H|C12N
11980153,2024-05-14,Soybean cultivar 02460140,0,A01H|C12N
11930776,2024-03-19,Soybean cultivar 07081321,0,A01H|C12N
11819022,2023-11-21,"Stacked herbicide tolerance event 8264.44.06.1, related transgenic soybean lines, and detection thereof",0,A01N|C12N|C12Q|C12Y
11707041,2023-07-25,Soybean cultivar 09110424,0,A01H|C12N
11690343,2023-07-04,Soybean cultivar 02050022,0,A01H|C12N
11627716,2023-04-18,Soybean cultivar 04040632,0,A01H|C12N
11627715,2023-04-18,Soybean cultivar 04040309,0,A01H|C12N
11457602,2022-10-04,Soybean cultivar 97442034,0,A01H|C12N
11432513,2022-09-06,Soybean cultivar 99350040,2,A01H|C12N
11432512,2022-09-06,Soybean cultivar 90210769,0,A01H|C12N
11432511,2022-09-06,Soybean cultivar 91410186,0,A01H|C12N
11425906,2022-08-30,"Stacked herbicide tolerance event 8264.44.06.1, related transgenic soybean lines, and detection thereof",0,A01N|C12N|C12Q|C12Y
11425878,2022-08-30,Soybean cultivar 96140971,0,A01H|C12N
11369075,2022-06-28,Soybean cultivar 90392435,0,A01H|C12N
11363788,2022-06-21,Soybean cultivar 94120010,0,A01H|C12N
11363787,2022-06-21,Soybean cultivar 99250985,0,A01H|C12N
11363781,2022-06-21,Soybean cultivar 94220186,0,A01H|C12N
11357199,2022-06-14,Soybean cultivar 94150027,0,A01H|C12N
11350599,2022-06-07,Soybean cultivar 93410924,0,A01H|C12N
11266103,2022-03-08,Soybean cultivar 99150754,0,A01H|C12N
11252916,2022-02-22,Soybean cultivar 95110118,1,A01H|C12N
11252915,2022-02-22,Soybean cultivar 99040204,0,A01H|C12N
11219187,2022-01-11,Soybean cultivar 94240013,0,A01H|C12N
11219186,2022-01-11,Soybean cultivar 91120809,0,A01H|C12N
11202429,2021-12-21,Soybean cultivar 91410746,0,A01H|C12N
11197452,2021-12-14,Soybean cultivar 92140814,0,A01H|C12N
11191242,2021-12-07,Soybean cultivar 95450804,0,A01H|C12N
11172638,2021-11-16,Soybean cultivar 97320638,1,A01H|C12N
11140860,2021-10-12,Soybean cultivar 96220972,1,A01H|C12N
11140859,2021-10-12,Soybean cultivar 90120947,1,A01H|C12N
11140856,2021-10-12,Soybean cultivar 93440976,0,A01H|C12N
11140844,2021-10-12,Soybean cultivar 87140321,0,A01H|C12N
11134636,2021-10-05,Soybean cultivar 83222640,0,A01H|C12N
11109554,2021-09-07,Soybean cultivar 83211737,0,A01H|C12N
11096364,2021-08-24,Soybean cultivar 81111940,2,A01H|C12N
11096358,2021-08-24,Soybean cultivar 88340813,1,A01H|C12N
11083158,2021-08-10,Soybean cultivar 80361023,0,A01H|C12N
11076556,2021-08-03,Soybean cultivar 83422133,0,A01H|C12N
11076553,2021-08-03,Soybean cultivar 86270804,0,A01H|C12N
11071274,2021-07-27,Soybean cultivar 83050118,2,A01H|C12N
11051480,2021-07-06,Soybean cultivar 93230440,0,A01H|C12N
11044879,2021-06-29,Soybean cultivar 82352802,0,A01H|C12N
11044878,2021-06-29,Soybean cultivar 88031336,0,A01H|C12N
11044872,2021-06-29,Soybean cultivar 84344663,3,A01H|C12N
11044871,2021-06-29,Soybean cultivar 84340383,0,A01H|C12N
11044864,2021-06-29,Soybean cultivar 84370213,0,A01H|C12N
11026390,2021-06-08,Soybean cultivar 82201737,0,A01H|C12N
11006604,2021-05-18,Soybean cultivar 82431018,2,A01H|C12N
10999999,2021-05-11,Soybean cultivar 83392343,3,A01H|C12N
10993405,2021-05-04,Soybean cultivar 85281832,2,A01H|C12N
10993402,2021-05-04,Soybean cultivar 87390112,1,A01H|C12N
10986798,2021-04-27,Soybean cultivar 82230919,3,A01H|C12N
10986797,2021-04-27,Soybean cultivar 86440139,3,A01H|C12N
10980210,2021-04-20,Soybean cultivar 80202604,1,A01H|C12N
10980209,2021-04-20,Soybean cultivar 87230016,0,A01H|C12N
10980202,2021-04-20,Soybean cultivar 83162926,0,A01H|C12N
10980201,2021-04-20,Soybean cultivar 87370220,1,A01H|C12N
10973229,2021-04-13,"Stacked herbicide tolerance event 8264.44.06.1, related transgenic soybean lines, and detection thereof",1,A01N|C12N|C12Q|C12Y
10973197,2021-04-13,Soybean cultivar 87161800,1,A01H|C12N
10966399,2021-04-06,Soybean cultivar 80532336,3,A01H|C12N
10966397,2021-04-06,Soybean cultivar 82151940,2,A01H|C12N
10959391,2021-03-30,Soybean cultivar 80412336,3,A01H|C12N
10952402,2021-03-23,Soybean cultivar 81171312,0,A01H|C12N
10952400,2021-03-23,Soybean cultivar 82225478,0,A01H|C12N
10952399,2021-03-23,Soybean cultivar 80230701,1,A01H|C12N
10952398,2021-03-23,Soybean cultivar 84380724,1,A01H|C12N
10952394,2021-03-23,Soybean cultivar 88390016,1,A01H|C12N
10939651,2021-03-09,Soybean cultivar 83011212,0,A01H|C12N
10939634,2021-03-09,Soybean cultivar 83082600,1,A01H|C12N
10932431,2021-03-02,Soybean cultivar 86072910,0,A01H|C12N
10925245,2021-02-23,Soybean cultivar 89021021,1,A01H|C12N
10925243,2021-02-23,Soybean cultivar 87112125,0,A01H|C12N
10925242,2021-02-23,Soybean cultivar 88161514,0,A01H|C12N
10918064,2021-02-16,Soybean cultivar 84322401,1,A01H|C12N
10918061,2021-02-16,Soybean cultivar 82161323,0,A01H|C12N
10918057,2021-02-16,Soybean cultivar 89370134,0,A01H|C12N
10912276,2021-02-09,Soybean cultivar 85161716,0,A01H|C12N
10905078,2021-02-02,Soybean cultivar 85161246,2,A01H|C12N
10905077,2021-02-02,Soybean cultivar 80560821,0,A01H|C12N
10905076,2021-02-02,Soybean cultivar 87463802,1,A01H|C12N
