patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12411083,2025-09-09,"Measuring apparatus, measuring method, and storage medium",0,A61B|G01N
12399130,2025-08-26,"Information processing apparatus, imaging apparatus, information processing method, and non-transitory computer readable medium",0,G01N|G03B|G06T|G06V
12393183,2025-08-19,"Simulation method, simulation apparatus, film forming apparatus, article manufacturing method, and non-transitory computer-readable storage medium",0,B29C|G01N|G05B|G06F
12379509,2025-08-05,"Radiation detector, radiation imaging system, radiation image processing method, and storage medium",0,G01N|G01T
12377655,2025-08-05,Liquid ejection head and cleaning method,0,B41J|G01N
12367573,2025-07-22,"Image processing apparatus, image processing method, and program for detecting defect from image",0,G01N|G06T|G06V
12360059,2025-07-15,"Foreign matter inspection apparatus, foreign matter inspection method, processing apparatus, and article manufacturing method",0,G01N|G03F|H01L
12360053,2025-07-15,"Image processing apparatus, image processing method, and storage medium",0,G01B|G01N|G06T|G06V
12360038,2025-07-15,"Transmission apparatus, measurement system, and camera system",0,G01N|H10F
12332190,2025-06-17,"Radiation detector, radiation detection system, and radiation CT apparatus",0,G01N|G01T|H10F
12324698,2025-06-10,"Radiation imaging system, radiation imaging apparatus, control method of radiation imaging system, and non-transitory computer-readable storage medium",0,A61B|G01N
12298463,2025-05-13,Inspection system and storage medium,0,G01N|G01V|G06V|H04N
12298184,2025-05-13,Identification apparatus,0,B07C|G01J|G01N
12292368,2025-05-06,"Evaluation method, substrate processing apparatus, manufacturing method of substrate processing apparatus and article manufacturing method",0,G01N|G03F|H01L
12274570,2025-04-15,"Radiation imaging system, imaging control apparatus, radiation imaging apparatus, radiation imaging method, and non-transitory computer readable storage medium",0,A61B|G01N|G01T
12265061,2025-04-01,"Recording material detection device, image forming apparatus, and ultrasonic emission device",0,G01B|G01N
12254656,2025-03-18,"Apparatus, method, and storage medium for acquiring a reflection characistic of an object",0,G01J|G01N|G06V|H04N
12243903,2025-03-04,"Radiation detector, radiation CT apparatus, and method of manufacturing radiation detector",0,G01N|G01T|H01L|H10F
12241846,2025-03-04,"Detection apparatus, detection method, exposure apparatus, exposure system, and article manufacturing method",0,G01N|G06T
12228517,2025-02-18,Identification apparatus,0,B07C|G01B|G01J|G01N
12215357,2025-02-04,Apparatus and method for establishment of induced pluripotent stem cells,0,C12M|C12N
12161493,2024-12-10,Radiation imaging apparatus and radiation imaging system,1,A61B|G01N|G01T
12146843,2024-11-19,Power supply unit and radiation imaging apparatus including the same,0,G01N|G01T|Y02E
12140727,2024-11-12,Detection system and image forming apparatus,0,G01J|G01N|G01S|G01V
12140549,2024-11-12,Polymer dye for detecting hydrogen peroxide and structure for detecting hydrogen peroxide,0,C07F|C08F|C08K|C09B|C12Q|G01N
12138663,2024-11-12,Sorting apparatus for sorting objects and measurement apparatus,0,B07C|G01J|G01N
12135284,2024-11-05,"Image processing method, image processing apparatus, imaging system, and storage medium, for content concentration estimation",0,G01N|G06T|H04N
12116235,2024-10-15,Sheet property measurement device and image forming apparatus including sheet property measurement device,0,B65H|G01N|G03G
12112462,2024-10-08,"Information processing apparatus, information processing method, and storage medium",0,G01B|G01N|G06F|G06N|G06Q|G06T|G06V
12111311,2024-10-08,"Particle, particle for agglutination method, and reagent, kit and detection method containing the same",0,C08F|C08L|G01N
12106498,2024-10-01,"Apparatus, method, and storage medium",0,G01N|G06T
12105068,2024-10-01,"Information processing device, information processing device control method, program, calculation device, and calculation method",0,G01N|G06F|G06N|G16C
12102468,2024-10-01,"Radiation imaging apparatus, radiation imaging system, control method of radiation imaging apparatus, and non-transitory computer-readable storage medium",0,A61B|G01N|G01T
12082967,2024-09-10,Radiation imaging system,0,A61B|G01N|H04N
12079675,2024-09-03,"Paper management system, paper management method, and print control apparatus",0,B41J|G01N|G06K
12072297,2024-08-27,"Information processing apparatus, information processing method, and storage medium",0,G01N|G06T|G06V
12049469,2024-07-30,Compound and structural body for detecting hydrogen sulfide,0,C07D|C09B|C12Q|G01N
12044811,2024-07-23,"Control apparatus, control method, radiographic imaging system, and storage medium",1,A61B|G01N|G01T
12036061,2024-07-16,"Image processing apparatus and control method thereof, radiography apparatus, and computer-readable storage medium",0,A61B|G01N|G06T
12035041,2024-07-09,System and edge device,0,G01N|G06N|H04N
12019029,2024-06-25,"Optical system, and imaging apparatus and imaging system including the same",0,G01J|G01N|G02B|H04N
11974871,2024-05-07,"Radiation imaging system including a radiation imaging apparatus, a relay apparatus, and a system control apparatus, method of controlling radiation imaging apparatus, and computer readable storage medium therefor",0,A61B|G01N
11969284,2024-04-30,"Radiographic imaging apparatus, method of controlling the same, radiographic imaging system, and storage medium",0,A61B|G01N
11933743,2024-03-19,"Radiation imaging system, imaging control apparatus, and method",0,A61B|G01N|G01T|H04N
11930142,2024-03-12,"Identification apparatus, processing apparatus, processing method, and storage medium",0,B41J|B65H|G01N|G03G|G06N|H04N
11927540,2024-03-12,"Information processing apparatus, information processing method, and recording medium",0,G01N|G06F|G06T
11898966,2024-02-13,"Information processing apparatus, information processing method, and non-transitory computer-readable storage medium",0,G01N|G06T
11880025,2024-01-23,Optical system and plane spectroscopic device,0,G01J|G01N|G02B
11841373,2023-12-12,"Information processing apparatus, method for controlling information processing apparatus, and program",0,G01N|G06N|G16C
11841318,2023-12-12,Identification apparatus,0,B07C|G01J|G01N
11835470,2023-12-05,"Detection apparatus, detection method, exposure apparatus, exposure system, and article manufacturing method",1,G01N|G06T
11835452,2023-12-05,Terahertz wave camera system and method for controlling terahertz wave camera system,0,G01N|G01V|H04N
11830232,2023-11-28,Image judgment apparatus and image judgment method,1,G01N|G06T|G06V|H01L|H04N
11815453,2023-11-14,Moisture detecting apparatus for recording material and image forming apparatus,0,G01N|G03G
11808699,2023-11-07,Imaging system,0,G01N|G01V|H04N|Y02B
11800219,2023-10-24,"Radiation imaging system, control method thereof, system and control method thereof",0,A61B|G01N|G06F|G09G|H04N
11788958,2023-10-17,"Optical system, imaging apparatus including optical system, and imaging system",0,G01J|G01N|G02B
11782659,2023-10-10,"Information processing apparatus, printing apparatus, and method of determining print media type",0,B41J|G01N|G03G|G06F|H04N
11774376,2023-10-03,Power supply unit and radiation imaging apparatus including the same,2,G01N|G01T|Y02E
11770596,2023-09-26,Terahertz wave camera and detection module,0,G01J|G01N|H04N
11763437,2023-09-19,"Analyzing apparatus and method, and image capturing system",0,G01N|G06T
11749546,2023-09-05,"Surface inspection apparatus, processing system, and method of manufacturing article",0,G01N|G03F|H01L
11733174,2023-08-22,"Information processing apparatus, information processing method, and storage medium",0,G01N|G06T
11721013,2023-08-08,"Information processing apparatus, determination method, imprint apparatus, lithography system, article manufacturing method, and non-transitory computer-readable storage medium",0,G01N|G06N|G06T
11721011,2023-08-08,"Information processing apparatus, film forming apparatus, method of manufacturing article, and non-transitory computer-readable storage medium",0,G01N|G06F|G06T|G06V|H04N
11714000,2023-08-01,Detection device and detection system,0,G01J|G01N|H04N
11703493,2023-07-18,"Information processing apparatus, information processing method, and non-transitory computer-readable storage medium",0,A01B|A01D|G01N|G06F|G08B|G09G
11693129,2023-07-04,"Radiation imaging apparatus, radiation imaging system, control method of radiation imaging apparatus, and non-transitory computer-readable storage medium",0,A61B|G01N|G01T|H04N
11686698,2023-06-27,Reducing gas detection material and reducing gas detection sensor,0,G01N|H01M|Y02E|Y02T
11686691,2023-06-27,"Radiation imaging apparatus, radiation imaging system, and radiation imaging method",1,A61B|G01N|H04N
11686688,2023-06-27,Inspection apparatus and manufacturing method for semiconductor device,0,G01N|G03F|H01L
11674908,2023-06-13,"Optical system, and imaging apparatus and imaging system including the same",0,G01J|G01N|G02B|G06T|H04N
11674893,2023-06-13,Structure of optical sensor having light-emitting element and light-receiving element,0,G01N|G03G
11646329,2023-05-09,"Image capture device, method of capturing image with the same, and irradiation device",0,A61B|G01N|G01S|H04N|H10F
11635392,2023-04-25,"Radiation imaging apparatus, radiation imaging method, and non-transitory computer-readable storage medium",2,A61B|G01N
11633715,2023-04-25,"DNA complex, adsorbent, adsorption column, purification system, liquid treatment method, and method for producing DNA complex",0,B01D|B01J|B09B|C02F|C12N|C22B|Y02P
11619579,2023-04-04,Identification apparatus,2,B07C|G01B|G01J|G01N
11614695,2023-03-28,Image forming apparatus and optical sensor,0,G01N|G03G
11614397,2023-03-28,Identification apparatus and identification method,0,B07C|G01N
11603560,2023-03-14,"Particle measuring method, particle measuring apparatus, and nucleic acid concentration measuring system",0,C12Q|G06T
11598670,2023-03-07,Identification apparatus,0,B07C|G01J|G01N
11589752,2023-02-28,Photoacoustic apparatus and object information acquiring method,0,A61B|G01N
11579081,2023-02-14,Structure of optical sensor having light-emitting element and plurality of light-receiving elements,0,G01N|G03G
11534129,2022-12-27,Radiation imaging system and radiation imaging apparatus,0,A61B|G01N
11525784,2022-12-13,Identification apparatus,0,B07C|G01J|G01N|Y02W
11517219,2022-12-06,Biological information measurement apparatus,4,A61B|B08B|G01N
11513082,2022-11-29,Foreign substance inspection apparatus and foreign substance inspection method,0,G01N|G06T
11503218,2022-11-15,"Electronic device for executing predetermine processing based on image data acquired via filters having different polarization angles, control method of the same, and storage medium",0,G01N|H04N
11474033,2022-10-18,Terahertz wave camera system and method for controlling terahertz wave camera system,1,G01N|G01V|H04N
11443500,2022-09-13,"Image processing apparatus, image processing method, and program for detecting defect from image",0,G01N|G06T|G06V
11438995,2022-09-06,"Radiation imaging system, radiation imaging apparatus, radiation imaging method, and computer-readable medium",0,A61B|G01N|G01T|H05G
11436716,2022-09-06,"Electronic apparatus, analysis system and control method of electronic apparatus",0,A22C|G01N|G06T
11430161,2022-08-30,"Image processing apparatus, image processing method, and program",3,A61B|G01N|G06T
11427422,2022-08-30,Measurement apparatus and image forming apparatus,0,B41J|B65H|G01N|G03G
11422098,2022-08-23,"Radiation imaging system, imaging control apparatus, and method",2,A61B|G01N|G01T|H04N
11415508,2022-08-16,Moisture detecting apparatus for recording material and image forming apparatus,1,G01N|G03G
11408831,2022-08-09,"Information processing apparatus, information processing method, and recording medium",0,G01N|G06F|G06T
11392808,2022-07-19,"Paper management system, paper management method, and print control apparatus",1,B41J|G01N|G06K
11391625,2022-07-19,Element for oscillating or detecting an electromagnetic wave and element manufacturing method,0,G01J|G01N|H01Q
11385102,2022-07-12,"Optical system, and imaging apparatus and imaging system including the same",0,G01J|G01N|G02B|H04N
11378522,2022-07-05,"Information processing apparatus related to machine learning for detecting target from image, method for controlling the same, and storage medium",1,G01N|G06T|G06V
11375098,2022-06-28,"Radiation imaging system, control method thereof, system and control method thereof",3,A61B|G01N|G06F|G09G|H04N
11360034,2022-06-14,Radiation imaging apparatus and radiation imaging system,2,A61B|G01N|G06T|H04N
11357455,2022-06-14,"Information processing apparatus, radiation imaging apparatus, information processing method, and storage medium",2,A61B|G01N|G06T
11357407,2022-06-14,Photoacoustic apparatus,1,A61B|G01N
11353600,2022-06-07,Radiation imaging apparatus,0,A61B|G01N|G01T|G03B
11333777,2022-05-17,Radiation imaging apparatus with improved impact resistance,0,A61B|G01N|G01T|H04N
11333603,2022-05-17,"Processing apparatus, processing method, and storage medium",0,G01N|G06T
11262242,2022-03-01,Identification apparatus and sorting system,0,B07C|G01J|G01N|H04N
11249020,2022-02-15,Determination apparatus for determining type of recording medium and image forming apparatus using the same,0,B41J|G01N|G03G
11224390,2022-01-18,Radiation imaging apparatus,4,A61B|G01N|G01T|H04N|H10F
11199637,2021-12-14,"Radiation imaging apparatus, radiation imaging system, control method of radiation imaging apparatus, and non-transitory computer-readable storage medium",1,A61B|G01N|G01T|H04N
11187832,2021-11-30,Light-shielding film for optical element and optical element having light-shielding film,0,C04B|C09D|G01N|G02B|Y10T
11185301,2021-11-30,Radiation imaging apparatus and radiation imaging system,3,A61B|G01N
11182423,2021-11-23,Information presentation method and apparatus,0,G01N|G06F|G06T
11175239,2021-11-16,"Foreign substance inspection apparatus, processing apparatus, and article manufacturing method",0,G01N|G03F
11172830,2021-11-16,"Object information obtaining apparatus, display apparatus, and display method",0,A61B|G01N
11169458,2021-11-09,Toner,10,G01N|G03G
11166693,2021-11-09,"Radiation imaging system, control method of radiation imaging system and non-transitory computer-readable storage medium",3,A61B|G01N|H05G
11150134,2021-10-19,"Spectral information acquisition system, inspection method, and manufacturing method",0,G01J|G01N|H04N
11134841,2021-10-05,Image acquisition apparatus and method for controlling the same,1,A61B|G01B|G01N
11126130,2021-09-21,Optical sensor and image forming apparatus,0,G01J|G01N|G03G
11126104,2021-09-21,Image forming apparatus and optical sensor with multiple light-receiving and light-emitting elements,0,G01N|G03G
11125702,2021-09-21,"Radiation imaging apparatus, image processing apparatus, and image processing method",1,G01N|G06T
11105749,2021-08-31,"Information processing apparatus, information processing method and program",1,G01N|G06F|G06T
11099073,2021-08-24,"Identification apparatus, identification system, and resin-selecting system",0,B29B|G01J|G01N
11090021,2021-08-17,"Image processing apparatus, image processing method, and storage medium",0,A61B|G01N
11079341,2021-08-03,"Radiation imaging apparatus, control apparatus, and control methods and storage mediums therefor",3,A61B|G01N|G01T
11067908,2021-07-20,"Measurement apparatus, exposure apparatus, and method of manufacturing article",0,G01B|G01N|G03F
11067706,2021-07-20,"Radiation image sensing apparatus, radiation image sensing system, control method for radiation image sensing apparatus, and non-transitory computer-readable storage medium",10,A61B|G01N|G01T|G06T|H04N
11067447,2021-07-20,"Analysis apparatus, imaging system, and storage medium",0,G01J|G01N
11047809,2021-06-29,"Radiation imaging system, radiation imaging method, control apparatus, and computer-readable medium",0,A61B|G01N
11047808,2021-06-29,"Radiation imaging apparatus, radiation imaging system, and radiation imaging method",4,A61B|G01N|H04N
11035787,2021-06-15,Moisture detecting apparatus for recording material and image forming apparatus,1,G01N|G03G
11035779,2021-06-15,Particle container and particle filling apparatus,0,B01L|G01N
11027026,2021-06-08,"Polymer, and contrast agent for photoacoustic imaging, including the polymer",0,A61K|C08G|G01N
10998161,2021-05-04,"Anode, and x-ray generating tube, x-ray generating apparatus, and radiography system using the same",0,G01N|H01J|H05G
10980495,2021-04-20,"CT apparatus, CT imaging method, and storage medium",0,A61B|G01N|G06T|G16H
10980458,2021-04-20,Photoacoustic apparatus and control method thereof,0,A61B|G01N
10961380,2021-03-30,"Three-dimensional-forming photo-curable composition, method for producing three-dimensional article from the photo-curable composition, and resin",0,A61K|B33Y|C08F|C08G|C08L
10959701,2021-03-30,"Probe, transducer unit, and subject information acquisition apparatus",0,A61B|B06B|G01H|G01N|G10K
10937136,2021-03-02,Subject information processing apparatus and image display method,0,A61B|G01N|G06T|G16H
10921466,2021-02-16,Radiation imaging apparatus and radiation imaging system,0,A61B|G01N|G01T|H04N
10908544,2021-02-02,Discriminating device and image forming apparatus,1,G01N|G03G
