patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421208,2025-09-23,Chemical compounds,0,A61P|C07D
12414954,2025-09-16,POLQ inhibitors,0,A61K|A61P|C07D
12410254,2025-09-09,Treatment of cardiometabolic disease with inhibitors of type I interferon signalling,0,A61K|A61P|C07K
12410187,2025-09-09,Fused tricyclic compounds useful as anticancer agents,0,A61P|C07B|C07D
12409186,2025-09-09,Methods of treating chronic kidney disease with dapagliflozin,0,A61K|A61P|Y02A
12409174,2025-09-09,Combination of zibotentan and dapagliflozin for the treatment of endothelin related diseases,0,A61K|A61P
12377164,2025-08-05,Linkers and conjugates,0,A61K|A61P|C07D
12364689,2025-07-22,Dosage regimen for the treatment of cancer,0,A61K|A61P
12364684,2025-07-22,Pharmaceutical composition,0,A61K|A61P|C07D
12318367,2025-06-03,Pharmaceutical composition,0,A61K|A61P|C07D
12291524,2025-05-06,Amido heteroaromatic compounds,0,A61P|C07D
12280049,2025-04-22,Methods of delaying pain progression and treating prostate cancer,0,A61K|A61P
12264190,2025-04-01,Compositions and methods of treating cancer with chimeric antigen receptors,0,A61K|A61P|C07K|C12N
12252495,2025-03-18,Protein kinase B inhibitors,0,A61K|A61P|C07D
12240832,2025-03-04,IRAK4 inhibitors,0,A61K|A61P|C07D
12220403,2025-02-11,Pharmaceutical composition,0,A61K|A61P|C07D
12213988,2025-02-04,Methods of treating chronic kidney disease with dapagliflozin,0,A61K|A61P|Y02A
12201638,2025-01-21,"Pharmaceutical compositions comprising (2S)-n-{(1S)-1-cyano-2-[4-(3-methyl-2-oxo-2,3-dihydro-1,3-benzoxazol-5-yl)phenyl]ethyl}-1,4-oxazepane-2-carboxamide",0,A61K|A61P|C07K
12195485,2025-01-14,Arginase inhibitors and methods of use thereof,0,A61P|C07F
12178876,2024-12-31,Conjugates comprising cleavable linkers,0,A61K|A61P|C07H
12168766,2024-12-17,Modulators of APOL1 expression,0,A61K|A61P|C12N
12121517,2024-10-22,Combination of zibotentan and dapagliflozin for the treatment of endothelin related diseases,1,A61K|A61P
12115225,2024-10-15,GLP-1 receptor ligand moiety conjugated oligonucleotides and uses thereof,0,A61K|A61P|C07K|C12N
12115174,2024-10-15,Dendrimer formulations,0,A61K|A61P|C07D|C08G
12109310,2024-10-08,Exosome extracellular vesicles and methods of use,0,A61K
12084437,2024-09-10,Halo-substituted piperidines as orexin receptor modulators,0,A61P|C07D
12077530,2024-09-03,Chemical compounds,0,A61K|A61P|C07D
12065496,2024-08-20,Antibody molecules and conjugates,0,A61K|A61P|C07K
12060429,2024-08-13,Method of treating type 1 interferon (IFN)-mediated disease using a subcutaneous dosing regimen comprising anifrolumab,0,A61K|A61P|C07K
12059424,2024-08-13,"Pharmaceutical compositions comprising (2S)-N-{(1S)-1-cyano-2-[4-(3-methyl-2-oxo-2,3-dihydro-1,3-benzoxazol-5-yl)phenyl]ethyl}-1,4-oxazepane-2-carboxamide",1,A61K|A61P|C07K
12054465,2024-08-06,"Certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",1,A61K|A61P|C07D
12024523,2024-07-02,Pyrazole derivatives useful as 5-lipoxygenase activating protein (FLAP) inhibitors,0,A61K|A61P|C07D
12012453,2024-06-18,"Methods for treating late-stage small cell lung cancer by administering a human anti-PD-L1 antibody, an etoposide and a platinum-based therapeutic",0,A61K|A61P|C07K
11975004,2024-05-07,"1-[2-(aminomethyl)benzyl]-2-thioxo-1,2,3,5-tetrahydro-4H-pyrrolo[3,2-d]pyrimidin-4-ones as inhibitors of myeloperoxidase",0,A61K|A61P|C07D
11970530,2024-04-30,Methods of treating homologous recombination deficient cancer,0,A61K|A61P|C07K
11952392,2024-04-09,Arginase inhibitors and methods of use thereof,0,A61K|A61P|C07B|C07F
11912727,2024-02-27,Arginase inhibitors and methods of use thereof,0,A61P|C07F
11903955,2024-02-20,Methods of treating heart failure with reduced ejection fraction,0,A61K|A61P
11884671,2024-01-30,Purinone compounds and their use in treating cancer,0,A61K|A61N|A61P|C07B|C07D
11866405,2024-01-09,Substituted indazoles as IRAK4 inhibitors,0,A61P|C07D
11840689,2023-12-12,Method of treating fatty liver disease,0,A61K|A61P|C12N
11826376,2023-11-28,Methods of treating heart failure with preserved ejection fraction employing dapagliflozin and compositions comprising the same,0,A61K
11814359,2023-11-14,"Certain (2s)-n-[(1s)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",3,A61K|A61P|C07D
11813246,2023-11-14,Pharmaceutical composition,3,A61K|A61P|C07D
11795158,2023-10-24,Chemical compounds,1,A61P|C07D
11773069,2023-10-03,"Certain (2s)-n-[(1s)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",4,A61K|A61P|C07D
11760760,2023-09-19,Protein kinase B inhibitors,0,A61K|A61P|C07D
11738027,2023-08-29,MPO inhibitors for use in medicine,0,A61K|A61P
11730735,2023-08-22,Combination of zibotentan and dapagliflozin for the treatment of endothelin related diseases,2,A61K|A61P
11717574,2023-08-08,Therapeutic dendrimers,0,A61K|A61P|C08G
11691978,2023-07-04,Pyrazole derivatives useful as 5-lipoxygenase activating protein (FLAP) inhibitors,1,A61K|A61P|C07D
11685953,2023-06-27,Biomarkers and methods of treating cancer,0,A61P|C07D|C12Q
11680049,2023-06-20,"Certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",4,A61K|A61P|C07D
11673872,2023-06-13,"Certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",4,A61K|A61P|C07D
11673871,2023-06-13,"Certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",4,A61K|A61P|C07D
11667615,2023-06-06,"Certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors",4,A61K|A61P|C07D
