patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422387,2025-09-23,"Charged particle optical device, objective lens assembly, detector, detector array, and methods",0,G01N|H01J
12405535,2025-09-02,Method for filtering an image and associated metrology apparatus,0,G01N|G03F
12394674,2025-08-19,Method and machine for examining wafers,0,G01N|G03F|G05B|H01L|Y02P
12392732,2025-08-19,Multi-source illumination unit and method of operating the same,0,G01N|G03F
12366811,2025-07-22,Metrology system and method for determining a characteristic of one or more structures on a substrate,0,G01B|G01N|G03F
12366445,2025-07-22,Measuring apparatus and method for roughness and/or defect measurement on a surface,0,G01B|G01N|H01L
12346031,2025-07-01,"Methods and patterning devices and apparatuses for measuring focus performance of a lithographic apparatus, device manufacturing method",0,G01N|G03F
12339214,2025-06-24,Apparatus for and method of monitoring droplets in a droplet stream,0,G01N|G03F|H05G
12326428,2025-06-10,Residual gas analyzer,0,G01M|G01N|H01J
12326407,2025-06-10,Inspection apparatus and inspection method,0,G01N|G02F|G03F|G21K
12322660,2025-06-03,Method and apparatus to determine a patterning process parameter,0,G01N|G03F|H01L
12313980,2025-05-27,"Inspection system, lithographic apparatus, and inspection method",0,G01N|G03F|H01L
12298257,2025-05-13,Monolithic particle inspection device,0,G01N|G03F
12287470,2025-04-29,Dark field microscope,0,G01N|G02B|G03F
12276921,2025-04-15,"Substrate comprising a target arrangement, and associated at least one patterning device, lithographic method and metrology method",0,G01N|G03F|H01L
12209994,2025-01-28,"Method and metrology tool for determining information about a target structure, and cantilever probe",0,G01N|G01Q|G03F
12196692,2025-01-14,Systems and methods for voltage contrast defect detection,0,G01N|H01J
12196688,2025-01-14,Method and apparatus for efficient high harmonic generation,0,G01N|G02F|G03F|H05G
12182983,2024-12-31,Utilize machine learning in selecting high quality averaged SEM images from raw images automatically,0,G01N|G03F|G06T
12164233,2024-12-10,Metrology method and apparatus for of determining a complex-valued field,0,G01B|G01N|G02B|G03F|G03H|G06V
12158435,2024-12-03,Illumination and detection apparatus for a metrology apparatus,0,G01J|G01N|G02B|G03F
12142535,2024-11-12,Method and apparatus to determine a patterning process parameter using a unit cell having geometric symmetry,1,G01N|G03F|H01L
12142456,2024-11-12,Self-differential confocal tilt sensor for measuring level variation in charged particle beam system,0,G01C|G01N|G03F|H01J|H01L
12130246,2024-10-29,Method for overlay metrology and apparatus thereof,0,G01N|G03F|G06T
12117734,2024-10-15,Metrology method and device for determining a complex-valued field,0,G01N|G03F
12112260,2024-10-08,Metrology apparatus and method for determining a characteristic of one or more structures on a substrate,0,G01B|G01N|G03F|G06N|G06T
12105036,2024-10-01,Method and apparatus for monitoring beam profile and power,0,G01J|G01N|G06T|H01J
12092964,2024-09-17,Optically determining electrical contact between metallic features in different layers in a structure,0,G01B|G01N|G03F
12087542,2024-09-10,Image contrast enhancement in sample inspection,0,G01N|H01J
12086973,2024-09-10,Detection apparatus for simultaneous acquisition of multiple diverse images of an object,0,G01N|G02B|G03F|G06T
12080513,2024-09-03,Cross-talk cancellation in multiple charged-particle beam inspection,0,G01N|G06T|H01J
12055478,2024-08-06,Apparatus and method for cleaning an inspection system,0,G01N|G02B
12050409,2024-07-30,Assembly for collimating broadband radiation,0,G01N|G02B|G03F
12044979,2024-07-23,Computational metrology based sampling scheme,0,G01N|G03F|G06F
12031909,2024-07-09,Metrology method for measuring an exposed pattern and associated metrology apparatus,0,G01N|G02F|G03F
12019377,2024-06-25,Target for measuring a parameter of a lithographic process,0,G01N|G03F|H01L
12013647,2024-06-18,Metrology method,0,G01N|G03F|G06T
12007700,2024-06-11,Metrology system and method for determining a characteristic of one or more structures on a substrate,0,G01B|G01N|G03F
11999645,2024-06-04,Optical fibers and production methods therefor,1,C03B|C03C|G01N|G02B|G02F|G03F|Y02P
11982946,2024-05-14,Metrology targets,0,G01N|G03F
11977034,2024-05-07,Methods and apparatus for measuring a property of a substrate,0,G01B|G01N|G03F|G05B|H01L|Y02P
11966168,2024-04-23,"Method of measuring variation, inspection system, computer program, and computer system",0,G01N|G03F|G06T|H01J|H01L
11953450,2024-04-09,Diffraction based overlay metrology tool and method of diffraction based overlay metrology,0,G01N|G03F
11942303,2024-03-26,Systems and methods for real time stereo imaging using multiple electron beams,0,G01N|H01J
11940739,2024-03-26,Metrology apparatus,0,G01N|G03F
11940608,2024-03-26,Dark field microscope,1,G01N|G02B|G03F
11927891,2024-03-12,Apparatus and methods for determining the position of a target structure on a substrate,0,G01B|G01N|G03F
11861818,2024-01-02,Cascade defect inspection,0,G01N|G06T
11822254,2023-11-21,Metrology apparatus and a method of determining a characteristic of interest,2,G01N|G03F
11821859,2023-11-21,"Charged particle optical device, objective lens assembly, detector, detector array, and methods",2,G01N|H01J
11815473,2023-11-14,Methods of inspecting samples with multiple beams of charged particles,0,G01N|H01J
11815402,2023-11-14,Wavefront sensor and associated metrology apparatus,0,G01J|G01N|G02B|G03F|G21K|H05G
11808930,2023-11-07,Optical objective lens,0,G01N|G02B|G09B|H01J
11803119,2023-10-31,"Contaminant detection metrology system, lithographic apparatus, and methods thereof",0,G01N|G03F
11791127,2023-10-17,System and method for bare wafer inspection,0,G01N|H01J|H01L
11784098,2023-10-10,Method and apparatus to determine a patterning process parameter,2,G01N|G03F|H01L
11774862,2023-10-03,"Method of obtaining measurements, apparatus for performing a process step, and metrology apparatus",2,G01N|G03F|H01L
11761929,2023-09-19,Sensor apparatus for lithographic measurements,0,G01N|G03F
11758639,2023-09-12,Determining moving properties of a target in an extreme ultraviolet light source,0,G01N|H05G
11740561,2023-08-29,"Metrology system, lithographic apparatus, and calibration method",1,G01N|G03F
11728224,2023-08-15,Method and apparatus to determine a patterning process parameter,0,G01N|G03F|H01L
11720032,2023-08-08,Process tool and an inspection method,0,G01N|G03F
11715619,2023-08-01,Method and apparatus for charged particle detection,0,G01N|H01J
11710668,2023-07-25,Method and apparatus to determine a patterning process parameter,0,G01N|G03F|H01L
11698346,2023-07-11,"Methods and apparatus for monitoring a manufacturing process, inspection apparatus, lithographic system, device manufacturing method",0,G01N|G03F|H01L
11694821,2023-07-04,Reflector and method of manufacturing a reflector,0,B24C|G01N|G03F|G21K
11692948,2023-07-04,Inspection apparatus and inspection method,0,G01N|G02F|G03F|G21K
11675276,2023-06-13,Metrology apparatus and photonic crystal fiber,0,G01N|G02B|G03F
11668661,2023-06-06,Inspection tool and inspection method,0,G01N|G03F|G06T|H01L
11662323,2023-05-30,Method and system for inspecting an EUV mask,0,G01N|H01J|H05F
11658004,2023-05-23,Method for scanning a sample by a charged particle beam system,0,G01N|H01J
11651935,2023-05-16,Time-dependent defect inspection apparatus,0,G01N|H01J|H01L
11644428,2023-05-09,Diffraction based overlay metrology tool and method of diffraction based overlay metrology,0,G01N|G03F
11635698,2023-04-25,Computational metrology based sampling scheme,0,G01N|G03F|G06F
