patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12406825,2025-09-02,Interference scanning transmission electron microscope,0,G01N|H01J
12378597,2025-08-05,"Probe, probe set, and method for identifying desired DNA sequence in solution",0,C12Q|G01N
12339210,2025-06-24,Particle measuring device,0,G01N
12330161,2025-06-17,Mixing system and measurement system,0,B01F|B01L|G01N
12325874,2025-06-10,Bacterium number measuring method and bacterium number measuring system,0,C12M|C12Q
12298227,2025-05-13,Optical analysis system and control method of optical analysis system,0,C12M|G01N
12283038,2025-04-22,"Tool wear monitoring device, tool wear monitoring system, and program",0,G01B|G01N|G01R|G02B|G06T|H04N
12241826,2025-03-04,"Optical measurement instrument, server device, and optical measurement method",0,G01J|G01N
12203852,2025-01-21,Digital PCR measuring device,0,G01N
12198321,2025-01-14,Fracture surface analysis apparatus and fracture surface analysis method,0,G01N|G06T
12181402,2024-12-31,Corrosive environment monitoring device and corrosive environment monitoring method,0,G01N
12152269,2024-11-26,"Examination system, examination device, and examination method for testing sample quality prior to biomarker detection",0,C12M|C12Q|C40B|G01N|G16B|G16H
12152234,2024-11-26,Method of screening CO2-assimilating microorganism,0,C12N|C12R
12091700,2024-09-17,Method and apparatus for screening of cell strains and culture conditions,0,C12M|C12Q|G01N
12042877,2024-07-23,Welding management system,0,B23K|G01N
12036609,2024-07-16,"Additive manufacturing condition search apparatus, additive manufacturing condition search method, and reference sample",0,B22F|B29C|B33Y|G01N|G05B|G06N
12031913,2024-07-09,"Microchip and manufacturing method therefor, and multi-channel fluorescence detection device",0,B01L|G01N
12018319,2024-06-25,Method and device for digital PCR measurement,1,B01L|C12M|C12N|C12Q
11994454,2024-05-28,Particle beam experiment data analysis device,0,G01N|G06N
11926845,2024-03-12,Cell culture method and automatic cell culture apparatus,0,C12M|C12N
11904356,2024-02-20,"Ultrasonic transducer, manufacturing method thereof, and ultrasonic imaging device",0,A61B|B06B|B81B|B81C|G01N
11884973,2024-01-30,PCR measuring method and measurement device,0,C12M|C12Q
11867628,2024-01-09,Sample measurement device and sample measurement method,0,G01N
11852571,2023-12-26,Sample separation device and sample separation method,0,B01L|B04B|G01N
11852294,2023-12-26,Diagnosis system of lubricating oil and diagnosis method of lubricating oil,0,F03D|F05B|F16N|G01N|Y02E
11741113,2023-08-29,Measurement guide device and simulation computing device used therefor,0,G01N|G06F
11680286,2023-06-20,"Tag-sequence-attached two-dimensional cDNA library device, and gene expression analysis method and gene expression analysis apparatus each utilizing same",0,C12N|C12Q
11668285,2023-06-06,Method for diagnosing lubricant and system of monitoring lubricant,0,F03D|F05B|F16C|F16N|G01N|G05B|Y02E
11663713,2023-05-30,Image generation system,0,G01B|G01N|G06F|G06N|G06T
11656218,2023-05-23,"Liquid tank formation method, measurement device, and analysis device",0,G01N
11609188,2023-03-21,Processing condition determination system and processing condition searching method,0,G01N|G03F|G06N|H01L
11566978,2023-01-31,System providing an ultrasonic pretreatment for separating particles from an analysis sample,0,B01D|G01N
11566232,2023-01-31,"Cell culture substrate, cell culture vessel, and method for cell culture",0,C12M|C12N
11536637,2022-12-27,Abrasion test apparatus,0,B21D|B21J|G01N
11460478,2022-10-04,"Transfer apparatus, sample processing system, and conveyance method",19,G01N
11460394,2022-10-04,Corrosive environment monitoring method and corrosive environment monitoring system,1,G01N|G06F|G06T
11454577,2022-09-27,Method and apparatus for collecting biomolecules from specific region of tissue section,0,C12M|C12N|C12Q|G01N
11446662,2022-09-20,System for capturing single cell-derived biomolecules,0,B01L|C12M|C12N
11428621,2022-08-30,Analysis cell with wall surfaces having different acoustic impedances and analysis unit including the analysis cell,0,B01L|G01J|G01N
11427850,2022-08-30,Microorganism test,0,C12Q|G01N
11415583,2022-08-16,"Method, kit, and apparatus for cancer detection using urinary tumor markers",0,G01N|G16B|G16H
11398055,2022-07-26,"Color evaluation device, color evaluation method, and indication object used in color evaluation method",0,G01J|G01K|G01N|G06T|H04N
11397115,2022-07-26,Temperature detection label and article management device using same,1,B41M|C09K|G01K|G01N
11385156,2022-07-12,Particle size measuring apparatus and measuring method,0,G01N
11378521,2022-07-05,Optical condition determination system and optical condition determination method,0,G01N|G06T
11376628,2022-07-05,Capacitive device and piezoelectric device,0,A61B|B06B|G01N
