patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421316,2025-09-23,Bispecific immunotoxins targeting human CD25+CCR4+ tumors and regulatory T-cells,0,A61K|A61P|C07K
12416008,2025-09-16,Compositions and methods of use for small-molecule regulation of CRISPR-Cas9 activity using RNA aptamers,0,A61K|C12N|C12Y|Y02A
12409228,2025-09-09,Hydrogel drug delivery systems for the treatment of pediatric growth plate injuries,0,A61B|A61K|A61L|A61P|C07K|C08J
12409224,2025-09-09,Compositions and methods for the treatment of VEN/AZA resistant acute myeloid leukemia,0,A61K|A61P|C07K|C12N
12396994,2025-08-26,Compositions for improving physiological function with age,0,A23L|A61K
12396991,2025-08-26,Biomarkers for the diagnosis and treatment of fibrotic lung disease,0,A61K|A61P|C12Q
12385834,2025-08-12,Systems and methods for characterizing atmospheric emissions,0,G01N|G01W
12384829,2025-08-12,Pocket engineering of HLA alleles for treating autoimmunity,0,A61K|A61P|C07K|C12N|C12Q
12364765,2025-07-22,Pegylated cystathionine beta synthase for enzyme therapy for treatment of homocystinuria,0,A61K|A61P|C12Y
12350250,2025-07-08,Aggrelytes for treating ocular conditions,0,A61K|A61P
12345633,2025-07-01,Optical spectroscopy for characterizing atmospheric emissions,0,G01J|G01M|G01N|G01V
12331078,2025-06-17,Stabilizing mutants of prefusion SARS-CoV-2 (COVID-19) spike protein and improved yeast surface display engineering platform for the same,0,A61K|C07K|C12N
12319928,2025-06-03,Methods of treating Danon disease,0,C12N
12303602,2025-05-20,"Compositions, methods and uses for thermally stable multi-targeted antigens",0,A61K|C12N|Y02A
12297507,2025-05-13,Biomarkers for head and neck cancer and methods of their use,0,C12Q
12297234,2025-05-13,Genetically encoded system for constructing and detecting biologically active agents,0,C07K|C12N|C12Y
12291502,2025-05-06,Topoisomerase II-alpha inhibitors and methods of treating cancer using the same,0,A61K|A61P|C07D
12286615,2025-04-29,Cell transfection by precise mechanical membrane disruption,0,C12M|C12N
12285627,2025-04-29,Fabrication and irradiation of a radioactive isotope skin patch,0,A61K|A61N
12285357,2025-04-29,Intraocular drug delivery systems and methods of use,0,A61F|A61K
12270066,2025-04-08,Method to sense the presence and activity of microbes through the use of transient sensing materials,0,C12Q|G01N
12226450,2025-02-18,Peptides and methods for treating disease,0,A61K|A61P
12220415,2025-02-11,WEE1 kinase inhibitors and methods of treating cancer using the same,0,A61K|A61P|C07D
12215060,2025-02-04,Performance of technical ceramics,0,A61K|C04B|H01L|H01M|Y02E|Y02P
12194082,2025-01-14,Compositions and methods for treatment of homocystinuria,0,A61K|A61P|C12N|C12Y
12186384,2025-01-07,Compositions and methods for making and using thermostable immunogenic formulations with increased compatibility of use as vaccines against one or more pathogens,0,A61K|C12N
12162912,2024-12-10,Proteins for blocking neurotransmitter release,0,A61K|C07K|C12N|C12Y|Y02A
12145962,2024-11-19,Construction and methods of use of a barcoded and gene edited DNA library,0,C07H|C12N|C40B
12140551,2024-11-12,Radiometer and radiometer-based soil moisture determination method,0,G01N|G01W
12109224,2024-10-08,USB1 directed regulation of miRNAs related hematopoietic differentiation and affected in multiple forms of leukemia,0,A61K
12097291,2024-09-24,Thermostable vaccine compositions and methods of preparing same,1,A61K|Y02A
12084468,2024-09-10,Synthesis of backbone modified morpholino oligonucleotides and chimeras using phosphoramidite chemistry,0,A61P|C07D|C07F|C07H|Y02P
12054607,2024-08-06,"Tough, healable composites displaying stress relaxation at the resin-filler interface",0,A61K|B82Y|C08G|C08K|C08L
12042529,2024-07-23,Optimization of enzyme replacement therapy for treatment of homocystinuria,0,A61K|C12N|C12Y
12030911,2024-07-09,Synthesis and biological activity of phosphoramidimidate and phosphoramidate DNA,0,A61P|C07H|Y02P
12029732,2024-07-09,Treatment of vascular and lymphatic disease,0,A61K|A61P
12025596,2024-07-02,6-oxo-pipecolic acid quantitation by mass spectrometry,0,G01N
12018081,2024-06-25,Photoconjugation reactions for modification of specific proteins on live cells,0,A61K|C07K|C12N|C12Y
12012588,2024-06-18,Methods and systems for the use of photosynthetic microbes as mechanical transducers and sensors,0,C07K|C12N|C12Q|C12R
12011390,2024-06-18,Lacrimal drug delivery device,0,A61F|A61K|A61P
12007383,2024-06-11,Method for assessment of hepatic function and portal blood flow,0,A61J|G01N|Y02A
11993638,2024-05-28,GM-CSF mimetics and methods of making and using same,0,A61K|C07K
11993635,2024-05-28,Genetically encoded system for constructing and detecting biologically active agents,1,C07K|C12N|C12Y
11981760,2024-05-14,Therapeutic hydrogels and contact lens for corneal melting,0,A61F|A61K|A61P|C07D|C08F|C08J
11976328,2024-05-07,Methods for predicting risk of interstitial pneumonia,0,C12Q|G01N
11965831,2024-04-23,Methods and systems for stimulated emission depletion microscopy,0,A61B|G01N|G02B
11964985,2024-04-23,Anti-cancer compounds targeting Ral GTPases and methods of using the same,0,A61K|A61P|C07D
11952576,2024-04-09,"Methods for measuring and optimizing the structure, location, and activity of natural and engineered microcomparments, organelles, and macromolecules",0,C12N|C12Y
11932867,2024-03-19,Methods of treating rheumatoid arthritis using RNA-guided genome editing of HLA gene,2,A01K|A61K|A61P|C12N
11904007,2024-02-20,"Protection from stress, anxiety, neuroinflammation, and cognitive dysfunction",0,A61K|C07K
11879134,2024-01-23,Recombineering machinery to increase homology directed genome editing in thermophilic microbes,0,C12N
11851436,2023-12-26,Fused bicyclic pyrimidine derivatives and uses thereof,0,A61P|C07D
11806432,2023-11-07,"Compositions, methods and uses for thermally stable multi-targeted antigens",0,A61K|C12N|Y02A
11738022,2023-08-29,Methods for inducing pupil dilation,0,A61K|A61P
11709132,2023-07-25,Modulus-enforced probe,1,G01N
11686622,2023-06-27,Systems and methods for dual comb spectroscopy,0,G01J|G01N
11679093,2023-06-20,"2-naphthimidamides, analogues thereof, and methods of treatment using same",2,A23L|A61K|C07C|C07D
11662280,2023-05-30,Hi-fidelity bioaerosol condensation capture directly into genomic preservatives,0,C12Q|G01N
11639511,2023-05-02,CRISPR enabled multiplexed genome engineering,1,C12N|C40B
11608407,2023-03-21,Carbon nanotube-functionalized reverse thermal gel and methods of forming and using same,0,A61L|B82Y|C01B|C01P|C08G|C08J|C08K|C12N
11602556,2023-03-14,Insulin mimotopes and methods of using the same,0,A61K|C07K|G01N
11584928,2023-02-21,Methods for generating barcoded combinatorial libraries,0,C12N
11572588,2023-02-07,Methods of evaluating treatment efficacy and/or treatment duration in mycobacterial diseases,0,A61K|C12Q|G01N
11566242,2023-01-31,Methods and compositions for reprogramming cells,0,A61K|A61P|C12N
11563405,2023-01-24,Microwave photoconductance spectrometer and methods of using the same,0,G01N|G01R|H02S|Y02E
11554990,2023-01-17,"Filamentous organism-derived carbon-based materials, and methods of making and using same",2,C01B|C04B|C12P|H01G|H01M|Y02E
11535840,2022-12-27,Method for recyclably using an enzyme,2,C12N
11491111,2022-11-08,Thermostable vaccine compositions and methods of preparing same,2,A61K|Y02A
11480560,2022-10-25,Delivery of aerosolized respiratory pathogens,0,C12M|G01N
11473135,2022-10-18,High-throughput block optical DNA sequence identification,0,C12Q|G01N
11473096,2022-10-18,Method for differentiating cannabis plant cultivars based on cannabinoid synthase paralogs,0,A01H|C12N|C12P|C12Q|C12Y
11472812,2022-10-18,Anti-cancer compounds targeting Ral GTPases and methods of using the same,0,A61K|A61P|C07D
11466010,2022-10-11,Toll-like receptor 8 (TLR8) specific antagonists and methods of making and uses thereof,0,A61K|C07D
11452709,2022-09-27,Compositions and methods for preventing and treating radiation-induced bystander effects caused by radiation or radiotherapy,0,A61K|A61P|C12Q|G01N
11441193,2022-09-13,Biomarkers for head and neck cancer and methods of their use,0,C12Q
11433126,2022-09-06,"Protection from stress, anxiety, neuroinflammation, and cognitive dysfunction",0,A61K|C07K
11433088,2022-09-06,Methods for treatment of vascular endothelial dysfunction using nicotinamide mononucleotide,0,A61K|A61P
11376311,2022-07-05,Methods of treating microbial infection and inflammation,0,A61K|A61P
11376247,2022-07-05,Tyrosine kinase inhibitors regenerate non-cancerous tissue after cancer therapy,0,A61K|A61P
11360010,2022-06-14,Methods and device for controlled cell stretch and imaging,1,G01N
11324811,2022-05-10,Optimization of enzyme replacement therapy for treatment of homocystinuria,4,A61K|C12N|C12Y
11304996,2022-04-19,Yeast-based immunotherapy and type I interferon sensitivity,0,A61K|A61P|G01N
11298441,2022-04-12,Biodegradable biomimetics of growth plate cartilage for the treatment of physeal injuries,0,A61K|A61L|B33Y|C12M
11273127,2022-03-15,"Compositions, methods and uses for thermally stable multi-targeted antigens",0,A61K|C12N|Y02A
11267859,2022-03-08,GM-CSF mimetics and methods of making and using same,1,A61K|C07K
11253506,2022-02-22,"Compounds, compositions and methods for preventing and/or treating chlorine inhalation toxicity and/or injury",0,A61K|A61P
11221334,2022-01-11,Method for determining breast cancer treatment,0,G01N
11219552,2022-01-11,Intraocular filter device and methods of using same,1,A61F|A61K|A61L
11207211,2021-12-28,Lacrimal drug delivery device,0,A61F|A61K|A61P
11187710,2021-11-30,Time independent viscoelastic analysis parameter for prediction of patient outcome,0,A61B|G01N|G16H
11185580,2021-11-30,"Compositions, methods and uses for improved human papilloma virus constructs",0,A61K|A61P|C07K|C12N
11181536,2021-11-23,Methods for monitoring treatment of chronic liver disease,1,A61K|G01N|G16H
11171467,2021-11-09,Compact diode laser source,0,G01N|H01S
11169142,2021-11-09,Viscoelastic analysis in patients with disease associated with cardiovascular system,0,A61F|A61K|A61M|A61P|C12Q|G01N
11160908,2021-11-02,Intraocular drug delivery and filter device and methods of using same,0,A61F|A61K|A61L
11155821,2021-10-26,Compositions and methods for tagging ribonucleic acids,0,A61K|A61P|C12N
11147946,2021-10-19,Venous access catheters and methods for portal venous system catheterization,0,A23L|A23V|A61B|A61K|A61M
11137409,2021-10-05,Identification of novel disease states using viscoelastic analysis in the presence of a thrombolytic agent,0,A61K|A61P|C12Q|G01N
11110080,2021-09-07,Small molecule inhibitors of bacterial efflux pumps and methods of using same,1,A61K|A61P|C12Q|G01N
11083720,2021-08-10,Indazole inhibitors of fructokinase (KHK) and methods of use in treating KHK-mediated disorders or diseases,0,A61K|A61P|C07D
11078498,2021-08-03,CRISPR enabled multiplexed genome engineering,4,C12N|C40B
11077175,2021-08-03,Compositions and methods for treatment of homocystinuria,6,A61K|A61P|C12N|C12Y
11067511,2021-07-20,Methods and devices for real-time detection of fouling chemistry,0,B01D|G01N
11052060,2021-07-06,Compounds and methods for treating autoimmunity,0,A61K|A61P
11033601,2021-06-15,Selective inhibition of V1b for treating fatty liver,0,A61K
11013707,2021-05-25,Administration of oral methyldopa,0,A61K
10993834,2021-05-04,Lacrimal system drug delivery device,2,A61F|A61K|A61M|A61P
10955331,2021-03-23,Imaging or measurement methods and systems,2,G01B|G01N
10947238,2021-03-16,Wee1 kinase inhibitors and methods of making and using the same,1,A61K|A61P|C07D
10941392,2021-03-09,Purification of cystathionine beta-synthase,6,A61K|A61P|B01D|C12N|C12Y|Y02A
10935559,2021-03-02,Methodologies and reagents for detecting fibrinolysis and hyperfibrinolysis,0,C12Q|G01N
10920224,2021-02-16,Protecting RNAs from degradation using engineered viral RNAs,0,C12N
10913790,2021-02-09,"Compositions of, and methods for, alpha-1 anti trypsin Fc fusion molecules",0,A61K|A61P|C07K
10912770,2021-02-09,Targeting AMP deaminase 2 for ameliorating craving for sugar and other substances,0,A61K|C12N|C12Y
10912767,2021-02-09,Anthracycline prodrugs and methods of making and using the same,0,A61K|A61P
