patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431216,2025-09-30,Methods for identifying class 2 crispr-cas systems,0,C07K|C12N|G16B
12427135,2025-09-30,Compositions and methods for inhibiting ribosome inactivating proteins,0,A61K|A61P|C07D|C07F
12419966,2025-09-23,In vivo radical-mediated polymerization for targeted delivery of trophic factors,0,A61K|C08F|C08L
12409227,2025-09-09,Cochleates made with soy phosphatidylserine,0,A61K|A61P
12391957,2025-08-19,Recombinant Newcastle disease viruses and uses thereof for the prevention of RSV disease or human metapneumovirus disease,0,A61K|A61P|C07K|C12N
12378613,2025-08-05,Assays for fungal infection,0,C12Q
12370183,2025-07-29,Compositions and methods for treating malaria,0,A61K|A61P|Y02A
12356910,2025-07-15,Gene-edited basil plants resistant to downy mildew,0,A01H|C12N
12350404,2025-07-08,3D-porous hybrid anti-inflammatory nanoscaffold for drug delivery and tissue engineering,0,A61K|A61L|B82Y|C12N
12344626,2025-07-01,Pharmaceutical compounds and therapeutic methods,0,A61K|A61P|C07D|C07F
12343351,2025-07-01,Pulmonary function treatment,0,A61K|A61P
12319958,2025-06-03,Method and kit for CCR2 expression profiling and disease stratification,0,C12Q
12318449,2025-06-03,Combination therapy using riluzole to enhance tumor sensitivity to ionizing radiation,0,A61K
12303562,2025-05-20,Anti-LAM and anti-PIM6/LAM monoclonal antibodies for diagnosis and treatment of Mycobacterium tuberculosis infections,0,A61K|A61P|C07K|G01N
12285528,2025-04-29,Injectable formulations of anesthetics for any pathological pain,0,A61K|A61P
12280065,2025-04-22,Pharmaceutical compounds and therapeutic methods,0,A61K|A61P|C07D|C07F
12275008,2025-04-15,Electronic-sensing and magnetic-modulation (ESMM) biosensor for phagocytosis quantification in pathogenic infections and methods of use thereof,0,B01L|B33Y|G01N|G03F|G06N|H01F
12270778,2025-04-08,Full-scale dynamic detection of bacterial biofilm formation using MGZNO nanostructure modified multifunctional sensors,0,G01N|H10D|H10N
12269060,2025-04-08,Electroosmotic high fidelity acoustic transducer,0,B06B|G01N|G01S|G10K
12263168,2025-04-01,Carbonic anhydrase enzymes for regulating mast cell hematopoiesis and type 2 inflammation,0,A61K|A61P
12257248,2025-03-25,Bronchodilators for treating obstructive lung disease,0,A61K
12241054,2025-03-04,"Compositions and methods comprising endophytic bacterium for application to grasses to increase plant growth, suppress soil borne fungal diseases, and reduce vigor of weedy competitors",0,A01N|C12N|C12R
12215106,2025-02-04,Pharmaceutical compounds and therapeutic methods,0,A61P|C07B|C07D
