patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410390,2025-09-09,Factory-on-a-chip for production of biologically derived medicines/biopharmaceuticals/biologics/biotherapeutics,0,A61K|B01J|C12M|C12P
12404259,2025-09-02,Inhibitors of extracellular signal-regulated kinase,0,A61K|A61P|C07D
12397010,2025-08-26,Treatment of chronic headaches,0,A61K|A61P|C07D
12396988,2025-08-26,Methods of using muscarinic antagonists in the treatment of depression,0,A61K|A61P|C07D
12384833,2025-08-12,Yeast-based immunotherapy against Clostridium difficile infection,0,A61K|A61P|C07K|C12N|G01N
12378220,2025-08-05,WNT signaling pathway inhibitors for treatments of disease,0,A61K|A61P|C07D
12365722,2025-07-22,Multispecific antibodies targeting multiple epitopes on the HIV-1 envelope,0,A61K|A61P|C07K
12352720,2025-07-08,Redox probing for chemical information,0,G01N
12331105,2025-06-17,Broadly neutralizing antibodies against HIV,0,A61K|A61P|C07K|C12N
12295965,2025-05-13,Methods of treating sepsis using anti-sepsis lipid a (ASLA) based therapeutics,0,A61K|A61P|C07H|G01N
12269155,2025-04-08,Multivalent vaccines for rabies virus and coronaviruses,0,A61K|B25H|C12N
12253522,2025-03-18,Method for treating a cancer based on inflammatory subtype thereof,0,A61K|G01N
12253496,2025-03-18,Three-dimensional continuous scanning laser vibrometry for 3D or in-plane vibration measurements,0,G01H|G01N
12227734,2025-02-18,Microscale bioprocessing system and method for protein manufacturing from human blood,0,A61K|A61M|B01D|C07K|C12M|C12P
12220432,2025-02-11,Cardiac stem cells for cardiac repair,0,A61K|A61P
12213996,2025-02-04,Methods of treating optic nerve diseases using neural progenitor cell growth factors,0,A61K|A61P
12203882,2025-01-21,Detection of pharmaceutical product freezing history using water proton NMR,0,G01N|G01R
12202810,2025-01-21,Non-ATP/catalytic site p38 mitogen activated protein kinase inhibitors,0,A61P|C07D
12194027,2025-01-14,"Small molecule inhibitors of GPCR GPR68 and related receptors for treating cancer, glioblastoma, and other indications",0,A61K|A61P|C07D
12193874,2025-01-14,"Thermo-responsive ultrasound coupling gel, and methods and uses thereof",0,A61B|A61K|G10K
12171885,2024-12-24,"Hemostatic nanocapsules for stopping bleeding, visualizing injury, and delivering drugs",0,A61K|A61L
12171802,2024-12-24,Compositions for inhibiting fibrin-VLDL receptor-dependent inflammation and methods of treatment,0,A61K|A61P|C07K
12161765,2024-12-10,Compositions and methods for removing bio-synthetic nano-particles from bodily fluids,0,A61F|A61K|B82Y|C07F
12161691,2024-12-10,Protein inhibitors of clostridium difficile toxin b,0,A61K|A61P|C07K|C12N|C40B
12156891,2024-12-03,Cardiac stem cells for cardiac repair,0,A61K|A61P
12146874,2024-11-19,Microtentacle imaging in patient tumor samples,0,G01N|G02B
12139767,2024-11-12,Composition and methods for predicting necrotizing enterocolitis in preterm infants,0,A61K|A61P|C12Q|G01N
12129299,2024-10-29,Mutant anti-CTLA-4 antibodies with improved immunotherapeutic effect but attenuated adverse effects,0,A61K|A61P|C07K
12128062,2024-10-29,Methods for targeting pain directed at metabolic pathways,0,A61K|C12N|Y02A
12121526,2024-10-22,Targeting NCCA-ATP channel for organ protection following ischemic episode,0,A61K|A61P|G01N
12115182,2024-10-15,Adenosine A2A agonists for the treatment of cytokine storm syndrome,0,A61K|A61P|Y02A
12098387,2024-09-24,Methods for generating engineered human primary blood dendritic cell lines,0,A61K|A61P|C07K|C12N
12084521,2024-09-10,TLR9 inhibitors to suppress inflammatory response to pathogens,0,A61K|A61P|C07K
12077793,2024-09-03,Immunotherapeutic potential of modified lipooligosaccharides/lipid A,0,A61K|C07H|C12P
12077575,2024-09-03,Humanized tetra-specific octavalent antibody against clostridium difficile toxin A and B,0,A61K|A61P|C07K
12064454,2024-08-20,Cardiac stem cells for cardiac repair,2,A61K|A61P
12061160,2024-08-13,In situ determination of acceptable resuspension in pharmaceutical products using water proton NMR,0,G01N|G01R
11980630,2024-05-14,"Flex-nucleoside analogues, novel therapeutics against filoviruses and flaviviruses",0,A61K|A61P|Y02A
11971374,2024-04-30,"In situ, real-time in-line detection of filling errors in pharmaceutical product manufacturing using water proton NMR",0,G01N|G01R
11957718,2024-04-16,Methods for generating multipotent stem cells from tonsillar biopsies,0,A61K|A61L|C12N
11946885,2024-04-02,Noninvasive quantitation of full versus empty capsids using water proton NMR,0,C12N|G01N|G01R
11921113,2024-03-05,"Spectral shifts and modifications in metal-enhanced fluorescence, phosphorescence and alpha-fluorescence",0,G01N
11914013,2024-02-27,Real-time in situ monitoring of suspension sedimentation using water proton NMR,0,G01N|G01R
11911441,2024-02-27,Methods of use of CD24 for the prevention and treatment of leukemia relapse,0,A61K|A61P|C07K
11911393,2024-02-27,"Non-catalytic substrate-selective p38alpha-specific MAPK inhibitors with endothelial-stabilizing and anti-inflammatory activity, and methods of use thereof",0,A61K|A61P|C07D
11911392,2024-02-27,"Non-catalytic substrate-selective p38α-specific MAPK inhibitors with endothelial-stabilizing and anti-inflammatory activity, and methods of use thereof",0,A61K|A61P|C07D
11897875,2024-02-13,Deuterated Alpha5 subunit-selective negative allosteric modulators of gamma-aminobutyric acid type a receptors as fast acting treatment for depression and mood disorders,0,A61K|A61P|C07B|C07D
11859202,2024-01-02,Multi-functional fluid flow device,0,B01L|C12M|C12N|G01N
11846633,2023-12-19,Devices and techniques for oral fluid collection and seroprotection testing,0,A61B|G01N
11833256,2023-12-05,Selective RARγ ligand-loaded nanoparticles for manipulation of targeted bone growth,0,A61K|A61P
11821893,2023-11-21,Screen printing tissue models,0,B33Y|B41M|C12N|G01N|G09B
11807675,2023-11-07,Nanoparticle based artificial antigen presenting cell mediated activation of NKT cells,0,A61K|A61P|C07K|C12N
11788962,2023-10-17,Method and apparatus for rapid detection of bacterial contamination,0,B01L|C12Q|G01N
11766403,2023-09-26,"Peptide-targeted liposomal delivery for treatment, diagnosis, and imaging of diseases and disorders",0,A61K|A61P|C07K|G01N
11760789,2023-09-19,Broadly neutralizing antibodies against HIV,0,A61K|A61P|C07K|C12N
11744884,2023-09-05,Live Salmonella typhi vectors engineered to express heterologous outer membrane protein antigens and methods of use thereof,0,A61K|A61P|Y02A
11718595,2023-08-08,Non-ATP/catalytic site p38 Mitogen Activated Protein Kinase inhibitors,2,A61P|C07D
11713461,2023-08-01,Treatment of decreased bone mineral density with zinc and ring finger 3 (ZNRF3) inhibitors,0,A61P|C07K|C12N|C12Q
11708553,2023-07-25,Factory-on-a-chip for production of biologically derived medicines/biopharmaceuticals/biologics/biotherapeutics,2,A61K|B01J|C12M|C12P
11707468,2023-07-25,Methods of treating pancreatic cancer,0,A61K|A61P|C07J
11701345,2023-07-18,Car activator agents for cyclophosphamide-based treatments of cancer,0,A61K|A61P|C07D
11685892,2023-06-27,"Methods to incorporate machine learning analytics for optimizing protein purity, potency and quality in an on-demand production system for point-of-care delivery",0,A61P|C12M
11655233,2023-05-23,WNT signaling pathway inhibitors for treatments of disease,1,A61K|A61P|C07D
11643450,2023-05-09,Chemoenzymatic glycoengineering of antibodies and Fc fragments thereof,2,A61K|A61P|C07K|C12N|C12P|C12R|C12Y
11634381,2023-04-25,RUNX2 transcription factor inhibitors and uses thereof,0,A61K|A61P|C07C
11633431,2023-04-25,Cardiac stem cells for cardiac repair,3,A61K|A61P
11633411,2023-04-25,Methods of treating sepsis using anti-sepsis lipid A (ASLA) based therapeutics,0,A61K|A61P|C07H|G01N
11622960,2023-04-11,Microtubule polymerization inhibitor prodrugs and methods of using the same,0,A61K|A61P|C07C|C07D
11612647,2023-03-28,Immunogenic compositions,0,A61K|A61P|C07K|C08B|Y02A
11612570,2023-03-28,Decreased adhesivity receptor-targeted nanoparticles for Fn14-positive tumors,0,A61K|A61P|C07K
11608483,2023-03-21,Inverted culture plate system for cellular co-culture,0,B01L|C12M|C12N
11607461,2023-03-21,Compositions and methods for genetically modifying myosin phosphatase target subunit (Mypt1) gene for lowering blood pressure,0,A01K|A61K|C12N
11590202,2023-02-28,Inhibitors of LTβR-NFκB signaling pathways for treating inflammation and cancer,0,A61K|A61P|C07K
11585770,2023-02-21,In situ determination of alum filling evenness and sedimentation in pharmaceutical products using water proton NMR,2,G01N|G01R
11583216,2023-02-21,Method of administering sotalol IV/switch,3,A61B|A61K|G16H
11561180,2023-01-24,Hydrophilic coatings of plasmonic metals to enable low volume metal-enhanced fluorescence,0,G01N
11560412,2023-01-24,Compositions comprising GRIM-19 therapeutics and methods of use,0,A61K|C07K|C12N|C12Q
11559803,2023-01-24,Microfluidic chip for analysis of cell motility and methods for using same,0,B01L|G01N
11554105,2023-01-17,"Combinations of artemisinins, BCL-2 inhibitors, and kinase inhibitors for cancer treatment",0,A61K|A61P|Y02A
11543371,2023-01-03,"In situ, real-time in-line detection of filling errors in pharmaceutical product manufacturing using water proton NMR",2,G01N|G01R
11535895,2022-12-27,Methods of detecting lung cancer,0,C12Q
11513061,2022-11-29,System for nondestructive spectroscopic analysis of biologic specimens,0,A61B|G01N
11510908,2022-11-29,Protein translation inhibitors and uses thereof,0,A61K|A61P
11504390,2022-11-22,Treatment of increased lipid levels with sterol regulatory element binding transcription factor 1 (SREBF1) inhibitors,0,A61K|A61P|C07K|C12N|C12Q
11493428,2022-11-08,On-chip microfluidic processing of particles,3,B01L|G01N
11486802,2022-11-01,Methods and devices for high throughput purification,0,A61K|B01L|G01N
11485762,2022-11-01,Compositions and methods for inhibition of L-plastin activity in osteoclasts to reduce bone loss,0,A61K|A61P|C07K
11474097,2022-10-18,Method of identifying a compound which affects the multienzyme metabolic assembly of glucose metabolism and its association with cell cycle progression in cancer cells,0,C12N|C12Y|G01N
11471520,2022-10-18,Enhanced Shigella-enterotoxigenic E. coli multi-valent vaccine,0,A61K|A61P|C07K|Y02A
11466075,2022-10-11,Yeast-based immunotherapy against clostridium difficile infection,1,A61K|A61P|C07K|C12N|G01N
11464813,2022-10-11,Microbiome-based informed method to formulate live biotherapeutics,0,A61K|A61P|C12N
11459320,2022-10-04,Deuterated Alpha5 subunit-selective negative allosteric modulators of gamma-aminobutyric acid type A receptors as fast acting treatment for depression and mood disorders,0,A61K|A61P|C07B|C07D
11459313,2022-10-04,Aziridinyl and amino dimeric naphthoquinone compounds and use for acute myeloid leukemia,0,A61K|A61P|C07C|C07D
11440946,2022-09-13,Universal antibody-mediated biosensor,0,C07K|C12Q|G01N
11435343,2022-09-06,Metal-enhanced bioluminescence: an approach for monitoring biological bioluminescent processes,0,G01N
11389491,2022-07-19,Microbiome-based informed method to formulate live biotherapeutics,0,A61K|A61P|C12N
11389440,2022-07-19,PIM kinase inhibitors in combination with autophagy inhibitors for treatment of cancers,0,A61K|A61P
11364242,2022-06-21,Treatment agents for inhibiting HIV and cancer in HIV infected patients,0,A61K
11357781,2022-06-14,"Non-catalytic substrate-selective, p38α-specific MAPK inhibitors with endothelial-stabilizing and anti-inflammatory activity, and methods of use thereof",7,A61K|A61P|C07D
11346908,2022-05-31,Solvent nuclear magnetic resonance for noninvasive inspection of particle-containing products,2,G01N|G01R
11331332,2022-05-17,Treatment of increased lipid levels with sterol regulatory element binding protein cleavage-activating protein (SCAP) inhibitors,0,A61K|C12N|C12Q
11311485,2022-04-26,Self-assembled particles for targeted delivery of immunomodulators to treat autoimmunity and cancer,0,A61K|A61P
11306288,2022-04-19,Methods for preparing therapeutically active cells using microfluidics,0,A61K|A61P|B01L|C12N
11285539,2022-03-29,Synthesis and functionalization of highly monodispersed iron and Core/Iron oxide shell magnetic particles with broadly tunable diameter,0,A61C|A61K|B22F
11253614,2022-02-22,Methods for detecting and/or predicting age-related macular degeneration and/or Alzheimer's disease,0,A61B|A61K|G01N
11253529,2022-02-22,"Flex-nucleoside analogues, novel therapeutics against filoviruses and flaviviruses",0,A61K|A61P|Y02A
11246856,2022-02-15,Methods of treating resistant cancers,0,A61K|A61P
11186632,2021-11-30,Methods of treating cancer using bifunctional molecules that target growth factors,0,A61K|A61P|C07K
11174287,2021-11-16,Central nervous system homing peptides and uses thereof,0,A61K|A61P|C07K|G01N
11166926,2021-11-09,Compositions and methods for protecting a host from enteric toxigenic pathogens,0,A61K|A61P|Y02A
