patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429877,2025-09-30,Self-protection of robotic vehicles in invisible hazardous gaseous surrounding,0,G01N|G05D
12411121,2025-09-09,Predictive alerting and cutoff of hazardous water flow,0,G01N|G05B|G06N|G06Q
12403470,2025-09-02,Microfluidic devices with multiple inlets and outlets,0,B01L|B82B|G01N
12332643,2025-06-17,Virtual fencing of a contaminated area,0,B64C|B64U|G01N|G05D
12295917,2025-05-13,Drug delivery device having controlled delivery and confirmation,0,A61B|A61J|A61K|A61M|G16H
12283348,2025-04-22,Methods and systems for determining drug resistance using a precedence graph,0,G01N|G16B|G16C|G16H
12280150,2025-04-22,Light upconversion silica particles,0,A61K|B01J|C09K|G02B
12270777,2025-04-08,2D microfluidic structure,0,G01N
12265050,2025-04-01,Porous nanostructured electrodes for detection of neurotransmitters,0,A61B|C23C|G01N|H05K
12251208,2025-03-18,Time controlled medication,0,A61B|A61J|A61K|A61M|B01J|G16H
12210011,2025-01-28,Nanopore structures,0,B82Y|G01N|H01L
12205359,2025-01-21,Two-stage screening technique for prohibited objects at security checkpoints using image segmentation,0,G01N|G06N|G06Q|G06T|G06V
12181457,2024-12-31,Method and system for aroma mapping,0,G01N|H04W
12164010,2024-12-10,Implantable or insertable nuclear magnetic resonant imaging system,0,A61B|G01N|G01R|G06T
12154899,2024-11-26,Darlington pair bipolar junction transistor sensor,0,G01N|H03F|H10D
12152978,2024-11-26,Controlling a multiphase flow,0,G01N|G06N|G06T
12146837,2024-11-19,"Portable inspection, collection, and delivery apparatus for fluid-based systems",0,G01N
12135567,2024-11-05,Context aware dynamic positioning of sensors,0,B64U|G01D|G01N|G01W|G05D|G06Q|H04W
12133895,2024-11-05,Biodegradable functional polycarbonate nanoparticle carries for delivering molecular cargo,0,A61K|A61P
12129515,2024-10-29,Detection of mutations regarding one or more deoxyribonucleic acid sequences using deterministic lateral displacement arrays,0,C12Q
12128063,2024-10-29,Biocompatible and biodegradable antiviral polymers,0,A61K|A61P|C08G|Y02A
12117802,2024-10-15,"Characterizing liquids based on features extracted from time-dependent, differential signal measurements",0,G01N|G05B|G16C
12117420,2024-10-15,Sonar scanning water cooled coaxial cables,0,G01N|G06N|H01B
12117130,2024-10-15,Transfer port system for cryogenic environments,1,B01L|F17C|F25B|F25D|G01N
12099043,2024-09-24,Protective enclosure for gas sensors,0,G01N
12098415,2024-09-24,Cell culturing structure including growth medium and non-growth medium,0,C12M|C12N|C12Q|G01N
12059431,2024-08-13,Combination therapies that enhance antimicrobial/anticancer activities,0,A61K
12042222,2024-07-23,Laser-assisted transdermal delivery of nanoparticulates and hydrogels,0,A61B|A61K|A61M|A61N|A61Q
12036236,2024-07-16,Antimicrobial guanidinium macromolecules with bacteria targeting moieties,0,A61K|C08G|C08K|C08L|Y02A
12035966,2024-07-16,Laser-assisted treatment of Pachyonychia Congenita,0,A61B|G01N
12031964,2024-07-09,Enhancing spatial and temporal resolution of greenhouse gas emission estimates for agricultural fields using cohort analysis techniques,0,G01N
12017218,2024-06-25,Hybrid microfluidics devices,0,B01L|G01N
12011679,2024-06-18,Single layer nanofluidic separator chip and fluidic processor,1,B01D|B01L|B03B|B82Y|G01N
12004441,2024-06-11,Soil density prediction for subsoil crops,0,A01B|A01C|A01G|A01M|G01N|G06F|G06N
11992837,2024-05-28,Fluidic cavities for on-chip layering and sealing of separation arrays,0,B01L|B81B|B81C|G01N
11988621,2024-05-21,Thermal interface material detection through an electrical conductivity test,0,F28D|F28F|G01N|H01L
11977017,2024-05-07,Automated configuration of flow cytometry machines,0,G01N|G06F|G16B|G16C
11959874,2024-04-16,Nanostructure featuring nano-topography with optimized electrical and biochemical properties,0,B81B|B81C|B82B|G01N
11940392,2024-03-26,Measurement scheme for superconducting qubits using low-frequency microwave signals within a dilution refrigerator,0,G01N|G06N
11938015,2024-03-26,Bioprinted tissue with therapy capability,0,A61B|A61F|G01L|G01N|G16H
11934094,2024-03-19,Mask fingerprint using mask sensitive circuit,0,G01N|G01R|G03F|G06F|G11C
11911762,2024-02-27,Biomarker detection using integrated purification-detection devices,0,B01L|G01N|G06T
11906515,2024-02-20,Multiplexed lateral flow assay device,1,B01L|G01N
11893457,2024-02-06,Integrating simulated and real-world data to improve machine learning models,0,G01N|G06N|G06Q
11890342,2024-02-06,Stimulus-responsive micellar carrier,0,A61K|C08G
11872560,2024-01-16,Microfluidic chips for particle purification and fractionation,0,B01L|G01N
11860146,2024-01-02,Soil nutrient sensing platform,0,A01G|G01K|G01N|G01S
11848283,2023-12-19,Integrated circuit package that measures amount of internal precious material,0,G01N|G06Q|G07F|H01L|H05K|H10D
11845079,2023-12-19,Integrated silicon platform for electronic biosensors,0,B01L|B82Y|C12N|G01N
11836644,2023-12-05,Abnormal air pollution emission prediction,0,G01N|G01W|G06N|G16Z
11833511,2023-12-05,Microfluidic devices with multiple inlets and outlets,0,B01L|B82B|G01N
11815486,2023-11-14,Ion sensitive field effect transistor (FET) with back-gate coupled reference electrode,0,G01N|H10D
11781954,2023-10-10,Bridging liquid between microfluidic elements without closed channels,0,B01D|B01L|G01N
11781190,2023-10-10,Discovery of biological signatures of optimized sensitivity and specificity,0,C12Q|G16B
11781166,2023-10-10,Cell culturing structure including growth medium and non-growth medium,0,C12M|C12N|C12Q|G01N
11779916,2023-10-10,Moisture and volatile organic compound content measuring,0,B01L|G01N
11766484,2023-09-26,Exosome vessels for delivery of molecular cargo,0,A61K
11766451,2023-09-26,Utilizing polymers and antibiotics to enhance antimicrobial activity and inhibit antibiotic resistance,0,A61K|A61P|Y02A
11761903,2023-09-19,Wafer inspection and verification,0,G01N|G06F|G06T
11756185,2023-09-12,Product defect detection,1,G01N|G06T|G06V
11754550,2023-09-12,Medical device for stimulating and sensing bioactivity,0,B01L|C12Q|G01N
11754476,2023-09-12,Microscale and mesoscale condenser devices,0,B01D|B01L|G01N
11747296,2023-09-05,Sensors based on negative capacitance field effect transistors,0,G01N|G11C
11739327,2023-08-29,Positional delivery and encoding by oligonucleotides of biological cells for single cell sequencing (POS SEQ),0,C12N|C12Q|C40B
11735343,2023-08-22,Control electronics for a parallel dipole line trap,0,G01N|H01F|H10F
11733170,2023-08-22,Optical sensor system for quantitative colorimetric liquid analysis,0,G01N|H04M
11733154,2023-08-22,Thermal interface material detection through compression,0,G01N|H01L|H05K
11726071,2023-08-15,Finding a contaminant source in a volume of flowing fluid,0,E21B|G01M|G01N
11725107,2023-08-15,Polylysine polymers with antimicrobial and/or anticancer activity,0,A61K|C08G|C08L
11720801,2023-08-08,Chemical reaction network for estimating concentration of chemical species based on an identified pattern of output chemical species,3,C12Q|G06N
11719682,2023-08-08,Capturing and analyzing data in a drone enabled environment for ecological decision making,0,A01B|A01C|B64U|G01N|G05D
11719681,2023-08-08,Capturing and analyzing data in a drone enabled environment for ecological decision making,0,A01B|A01C|B64U|G01N|G05D
11715195,2023-08-01,Machine learning-based circuit board inspection,0,G01N|G06N|G06T
11715001,2023-08-01,Water quality prediction,0,G01N|G06N
11714074,2023-08-01,Particulate matter monitoring,0,G01N|G06N
11710005,2023-07-25,Use of microfluidic reader device for product authentication,0,B01L|G01N|G06K|G16C
11709819,2023-07-25,Validating test results using a blockchain network,2,G01N|G06F|G06N|H04L|H04W
11702508,2023-07-18,Hydrogels from dynamic covalent networks,0,A61K|C08G|C08K|C08L|C09D
11686709,2023-06-27,Evaluating and exchanging batteries,0,G01N|Y02T
11686697,2023-06-27,Multifunctional heterojunction metal oxide gas sensor,0,G01N|H10D
11684920,2023-06-27,Electrical tracking of a multiphase microfluidic flow,0,B01L|G01N
11682111,2023-06-20,Semi-supervised classification of microorganism,0,C12Q|G06F|G06T|G06V
11680875,2023-06-20,Microfluidic devices with capillary dilutors,0,B01F|B01L|G01N
11674947,2023-06-13,Nanopore structures,0,B82Y|G01N|H01L
11674922,2023-06-13,Porous nanostructured electrodes for detection of neurotransmitters,0,A61B|C23C|G01N|H05K
11668657,2023-06-06,Secure semiconductor wafer inspection utilizing film thickness,0,G01B|G01N|G03F|G06T|H01L
11664091,2023-05-30,Encoding data from genetic traits relevant to illness diagnosis and heritage,0,C12Q|G16B
11663923,2023-05-30,Screening material waste,0,G01N|G06Q|G09B|Y02W
11660026,2023-05-30,Restoring a wearable biological sensor,0,A61B|G01N
11648557,2023-05-16,Metal assisted chemical etching for fabricating high aspect ratio and straight silicon nanopillar arrays for sorting applications,0,B01L|B82Y|G01N|H01L|H10D
11646403,2023-05-09,Porous sheets and method of making same from porous carbon nanotubes and decomposing microorganisms,0,C01B|C12N|H01M|Y02E
11645609,2023-05-09,Tracking food safety in a supply chain,0,G01N|G06Q
11624740,2023-04-11,Protective enclosure for gas sensors,0,G01N
11621720,2023-04-04,Quantum processing apparatus with downsampling analog-to-digital converter,0,G01N|G01R|G06N|H03M|H04B|H10N
11621078,2023-04-04,Pre-processing whole slide images in cognitive medical pipelines,0,G01N|G06N|G06T|G16H
11619618,2023-04-04,Sensor tuning—sensor specific selection for IoT—electronic nose application using gradient boosting decision trees,0,G01N|G06F|G06N|G16Y
11619576,2023-04-04,Corrosive substance detection using hydrophilic gel for improved corrosion exposure detection in electronic devices,0,G01N
11618032,2023-04-04,Multiplexed testing strip device,0,B01L|G01N
11617367,2023-04-04,Antimicrobial polymers capable of supramolecular assembly,0,A01N|A61K|A61Q|C07C|C08G|C08L
11614432,2023-03-28,Adaptive sensor temperature control for fast recovery,0,G01N
11612889,2023-03-28,Fluidic cavities for on-chip layering and sealing of separation arrays,0,B01L|B81B|B81C|G01N
11612433,2023-03-28,Laser-assisted transdermal delivery of nanoparticulates and hydrogels,0,A61B|A61K|A61M|A61N|A61Q
11599690,2023-03-07,Wafer asset modeling using language processing methods,0,G01N|G06F
11569134,2023-01-31,Wafer backside engineering for wafer stress control,0,G01B|G01N|G03F|H01L
11566982,2023-01-31,Microscale and mesoscale condenser devices,2,B01D|B01L|G01N
11565262,2023-01-31,Continous band-pass filter size separation using a negative angle DLD array,0,B01L|G01N
11562907,2023-01-24,Nanostructure featuring nano-topography with optimized electrical and biochemical properties,0,B81B|B81C|B82Y|G01N|G03F|H01L
11561481,2023-01-24,Using E0 exposures for track/cluster monitoring,0,G01N|G03F|G06T|H01L
11559578,2023-01-24,Biodegradable cationic polycarbonates as adjuvants for vaccines,0,A61K
11555801,2023-01-17,Operation of diagnostic devices involving microchannels and electrodes,0,B01L|G01N
11555793,2023-01-17,Anti-vibration fixturing system for nondestructive testing,0,G01N
11549943,2023-01-10,Multiplexed lateral flow assay device,0,G01N
11547440,2023-01-10,Cranial access device,0,A61B|A61K|C12N|G16H
11534752,2022-12-27,Rapid test device having multiple heterogeneous diagnostic methods,0,B01L|G01N
11534585,2022-12-27,Fluid delivery device with hydrophobic surface,0,A61B|A61K|A61M|F16K|H01M
11527059,2022-12-13,Reservoir computing,0,G01N|G06F|G06N|G06V|H01S|H03M
11525036,2022-12-13,Chemical compositions with antimicrobial functionality,0,A61K|A61P|C07C|C08G
11515009,2022-11-29,Biomarker quantification in a tissue sample,0,G01N|G06T|G06V|G16B|G16H
11499953,2022-11-15,Feature tuning—application dependent feature type selection for improved classification accuracy,0,G01N|G06N
11498069,2022-11-15,Rapid testing device for wastewater analysis,0,B01L|G01N|G06K|G06T
11486857,2022-11-01,Carrier-resolved photo-hall system and method,0,G01N|G01R
11484731,2022-11-01,Cognitive optogenetics probe and analysis,0,A61N|B82Y|G01J|G01N|G06N|G06T|G16H
11480537,2022-10-25,Methods and structure to probe the metal-metal interface for superconducting circuits,0,G01N|G01R|G06N|H10N
11478550,2022-10-25,Biodegradable hydrogel and methods for use thereof,0,A61K|B01J|C08G|C08J|C08L
11474040,2022-10-18,Water-sensitive fluorophores for moisture content evaluation in hygroscopic polymers,0,G01N
11460384,2022-10-04,Pressure test apparatus including a top plate assembly and an air block,0,G01N
11458474,2022-10-04,Microfluidic chips with one or more vias,2,B01D|B01L|B81B|B81C|G01N
11453911,2022-09-27,DNA sequencing with stacked nanopores,0,B81B|B81C|B82Y|C12Q|G01N
11449765,2022-09-20,Mass estimation of prepared food products,0,G01N|G06N|G06Q
11448614,2022-09-20,Nanoscale granularity field effect transistor array,0,G01N|H01L|H10D
11428699,2022-08-30,Biosensors including surface resonance spectroscopy and semiconductor devices,0,G01N
11426774,2022-08-30,Dust removal method and system in rollable display device,2,B08B|F16M|G01N|G09F
11423577,2022-08-23,Printed circuit board assembly defect detection,0,G01N|G06T|H05K
11422139,2022-08-23,Biosensors including surface resonance spectroscopy and semiconductor devices,0,G01N
11408947,2022-08-09,Identification of molecules based on frequency responses using electromagnetic write-heads and magneto-resistive sensors,0,G01N|G01R
11408878,2022-08-09,Dynamic product lifecycle predictions based on real-time product quality analysis,1,G01N|G06N|G06Q|G06T
11406299,2022-08-09,Biosensors with programmable sensing cavities,0,A61B|B01L|G01N
11402577,2022-08-02,Analog optic memory and signal processing,0,G01N|G02B|G06N
11402361,2022-08-02,Personnel-tolerant carbon dioxide beamline variation reduction,0,G01N|H01J|Y02A
11393336,2022-07-19,Smog analysis via digital computing platforms,0,G01D|G01N|G01S|G08G|H04W
11384330,2022-07-12,Electrochemical sensors for cell culture monitoring,0,C12M|G01N
11380630,2022-07-05,Integrated circuit package that measures amount of internal precious material,0,G01N|G06Q|G07F|H01L|H05K|H10D
11378545,2022-07-05,Nanofluid sensor with real-time spatial sensing,0,G01N|H10D
11371926,2022-06-28,Particulate collection and analysis,0,G01N
11371071,2022-06-28,Cell culturing structure including growth medium and non-growth medium,1,C12M|C12N|C12Q|G01N
11348021,2022-05-31,Assisting prospect evaluation in oil and gas exploration,0,E21B|G01N|G01V|G06F|G06N
11346830,2022-05-31,Predictive water condition monitoring,0,G01N|G01W|G05B|G06N
11340110,2022-05-24,System and method for assessing spectroscopic sensor accuracy,1,G01J|G01N
11332772,2022-05-17,Cell culturing structure including growth medium and non-growth medium,1,C12M|C12N|C12Q|G01N
11331341,2022-05-17,Combination therapies that enhance antimicrobial/anticancer activities,0,A61K
11324552,2022-05-10,Laser-assisted transdermal delivery of nanoparticulates and hydrogels,0,A61B|A61K|A61M|A61N|A61Q
11320419,2022-05-03,Sampling of breath gas,0,A61B|G01N|H01J
11320394,2022-05-03,Biosensor electrode having three-dimensional structured sensing surfaces,0,C12Q|G01N
11320387,2022-05-03,Structure facilitating optically checking via formation,1,G01N|H01J|H01L
11313826,2022-04-26,Integrated chemical sensor,0,G01N|H10D
11313811,2022-04-26,Dynamic determination of irrigation-related data using machine learning techniques,0,A01G|G01N|G06N|G06Q
11313810,2022-04-26,Secure semiconductor wafer inspection utilizing film thickness,1,G01B|G01N|G03F|G06T|H01L
11311722,2022-04-26,Cross-platform workload processing,1,A61K|A61M|A61N|A61P|G06F
11308603,2022-04-19,Detection and monitoring of waste disposal in an environmental location using artificial intelligence,1,G01N|G06T|G06V
11307187,2022-04-19,Detection of area of abnormal air quality within a geographical area,0,G01N|G01W|G08B|G08C|H04L|H04Q|H04W
