patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419906,2025-09-23,Compositions and methods for application over skin,0,A61K|A61L|A61P|A61Q|C08G|C08L
12419814,2025-09-23,Emulsion cosmetic,0,A61K|A61Q
12409110,2025-09-09,Composition with superabsorbent polymer,0,A61K|A61Q
12383476,2025-08-12,W/O/W emulsion composition,0,A61K|A61Q
12383473,2025-08-12,Oil-based cosmetic product having decorative layer,0,A61K|A61Q
12357560,2025-07-15,Composition for treating or preventing skin pigmentation,0,A61K|A61P|A61Q
12318467,2025-06-03,Cosmetic,0,A61G|A61K|A61Q
12299722,2025-05-13,System and method for adjusting custom topical agents,0,A61K|A61Q|G06F|G06Q
12296040,2025-05-13,Cosmetic oil thickener and oil-soluble copolymer,0,A61K|A61Q|C08F
12296033,2025-05-13,Water-type or oil-in-water-type cosmetic product,0,A61K|A61Q
12257338,2025-03-25,Compositions and methods for application over skin,0,A61K|A61Q
12236465,2025-02-25,"Fluid delivery apparatus for use in systems, methods and apparatus for producing customized topical agents",0,A61K|A61Q|B01F|B65D|G06Q|G07F
12220469,2025-02-11,Solid W/O cosmetic composition,0,A61K|A61Q
12203012,2025-01-21,"Stratum corneum-collecting adhesive composition, stratum corneum-collecting instrument, biological substance extraction kit, and biological substance collection method",0,A61B|C09J|G01N
12201716,2025-01-21,External preparation for concealing roughness,0,A61K|A61Q
12178605,2024-12-31,"Device, method, and program for visualizing network of blood vessels of skin",0,A61B|G01N
12161741,2024-12-10,Skin gel preparation for external use,0,A61K|A61Q
12161740,2024-12-10,Cosmetic product,0,A61K|A61Q|G01N
12090218,2024-09-17,Water-in-oil emulsion composition,0,A61K
12070322,2024-08-27,Method for determining skin condition based on thermal sensitivity in skin,0,A61B|A61K|A61Q
12059489,2024-08-13,Oil-in-water type dermatological composition for external use,0,A61K|A61Q
12036308,2024-07-16,Transparent liquid composition,0,A61K|A61Q
12029303,2024-07-09,Method for preparation of a cosmetic kit,0,A45D|A61K
11964043,2024-04-23,Method of emulsification using core-corona type microparticles,0,A61K|A61Q|C08F
11931448,2024-03-19,Water-in-oil type emulsion composition,0,A61K|A61Q
11931435,2024-03-19,Water-in-oil type emulsified cosmetic,0,A61K|A61Q
11844850,2023-12-19,Water in oil type cosmetic composition for preventing syneresis,0,A61K|A61Q
11806412,2023-11-07,Oil-in-water emulsion sunscreen cosmetic,0,A61K|A61Q
11801207,2023-10-31,Water-in-oil emulsion sunscreen cosmetic,0,A61K|A61Q
11771640,2023-10-03,Water-in-oil emulsion cosmetic,0,A61K|A61Q
11771630,2023-10-03,Oil-based cosmetic,0,A61K|A61Q
11730684,2023-08-22,Cleansing composition,0,A61K|A61Q|C11D
11712406,2023-08-01,Oil-in-water emulsion cosmetic,0,A61K|A61Q
11696886,2023-07-11,Cosmetic,0,A61K|A61Q
11684556,2023-06-27,Cleaner composition,0,A61K|A61Q|C11D
11660313,2023-05-30,Compositions and methods for application over skin,0,A61K|A61L|A61P|A61Q|C08G|C08L
11660262,2023-05-30,Cosmetic base and skin cosmetic using same,0,A61K|A61Q
11638687,2023-05-02,Oil-based cosmetic preparation,0,A61K|A61Q
11638686,2023-05-02,Cosmetic preparation,0,A61K|A61Q
11622688,2023-04-11,"Device, method, and program for visualizing network of blood vessels of skin",0,A61B|G01B|G01N
11612550,2023-03-28,Decorating powder composition,0,A61K|A61Q
11596583,2023-03-07,Raw material for cosmetic and oil-in-water emulsion cosmetic comprising core-corona polymer particle,0,A61K|A61Q|C08F|C08L|Y02A
11572484,2023-02-07,"Ink-jet ink composition, ink-jet cartridge, and decoration device",0,A45D|A61K|A61Q|B41J|B41M|C09D
11564959,2023-01-31,"Screening method for laminin 511 production promoting agent, basal epidermal layer stabilizing agent, and/or epidermal stem cells reduction inhibiting or proliferation promoting agent",0,A61K|A61P|C12N|C12Q|C12Y|G01N
11547653,2023-01-10,Lip cosmetic,0,A61K|A61Q
11540998,2023-01-03,Water-in-oil emulsion cosmetic,0,A61K|A61Q
11529293,2022-12-20,Oil-in-water emulsion cosmetic,0,A61K|A61Q
11510863,2022-11-29,Water-in-oil emulsion cosmetics,0,A61K|A61Q
11474038,2022-10-18,Method for evaluating protective effect against external damage to skin,0,A61B|A61K|A61Q|G01N
11452683,2022-09-27,Cosmetic product,0,A45D|A61K|A61Q
11439582,2022-09-13,Low-stringiness thickener and cosmetic material admixed with said thickener,0,A61K|A61Q|C08F
11427807,2022-08-30,Serum-free medium containing PDGF for DS cells,0,C12N
11413234,2022-08-16,Transparent composition and transparent cosmetic,0,A61K|A61Q
11413227,2022-08-16,Durable sunscreen cosmetic,0,A61K|A61Q
11400033,2022-08-02,Water-in-oil type emulsification cosmetic,0,A61K|A61Q
11390808,2022-07-19,Singlet oxygen scavenger,0,A61K|A61P|A61Q|C09K
11327030,2022-05-10,Method for preparing sample for X-ray imaging,0,G01N
11318084,2022-05-03,Elastomer,0,A61K|A61Q|C08G|C08K|C08L|C09D
11311585,2022-04-26,VE-cadherin expression promoting agent and/or integrin α5 expression promoting agent,0,A61K|A61P|A61Q
11311466,2022-04-26,"Oil-in-water emulsion composition, preparation method therefor and product",0,A61K|A61Q
11298302,2022-04-12,Water-in-oil type emulsion cosmetic,0,A61K|A61Q
11285096,2022-03-29,Core-corona polymer particles,0,A61K|A61Q|C08F|C08L|Y02A
11284863,2022-03-29,"Surface property measurement method, surface property measurement apparatus, and recording medium",0,A61B|G01N
11273108,2022-03-15,Emulsion cosmetic,0,A61K|A61Q
11266591,2022-03-08,Oil-in-water type emulsion cosmetic,0,A61K|A61Q
11266579,2022-03-08,Oil-in-water type emulsion solid cosmetic,0,A61K|A61Q
11238584,2022-02-01,"Device, method, and program for visualizing network of blood vessels of skin",1,A61B|G01N|G06T
11213472,2022-01-04,VEGFC production promoter,0,A61K|A61P|A61Q
11213463,2022-01-04,Oil-in-water type cosmetic composition,2,A61K|A61Q
11191711,2021-12-07,Hair dye,0,A61K|A61Q
11191703,2021-12-07,Non-sticky body surface patch,0,A61F|A61K|A61L|A61Q
11191523,2021-12-07,"Ultrasonic image construction method, ultrasonic image construction apparatus, ultrasonic image construction program, and skin evaluation method",0,A61B|G01B|G01N|G01S
11179300,2021-11-23,Emulsion cosmetic containing titanium dioxide powder,0,A61K|A61Q
11166888,2021-11-09,Water-in-oil emulsion cosmetic,0,A61K|A61Q
11166887,2021-11-09,Water-in-oil emulsion cosmetic,0,A61K|A61Q
11160827,2021-11-02,Compositions and methods for application over skin,3,A61K|A61L|A61P|A61Q|C08G|C08L
11160736,2021-11-02,Lip cosmetic,0,A61K|A61Q
11147750,2021-10-19,Two-component cosmetic,0,A61K|A61Q
11123269,2021-09-21,Transparent solid composition,0,A61K|A61Q
11096872,2021-08-24,Water-in-oil emulsion cosmetic material,0,A61K|A61Q
11090233,2021-08-17,Titanium dioxide powder and powder cosmetic incorporating same,0,A61K|A61Q|C01G|C01P
11077048,2021-08-03,Oil-in-water emulsion cosmetic,0,A61K|A61Q
11052030,2021-07-06,Method for manufacturing microemulsion-type cosmetic,0,A61K|A61Q
11033479,2021-06-15,Alpha-gel forming composition and alpha-gel composition,0,A61K|A61Q|C08K|C08L
11000463,2021-05-11,Cosmetic including liquid cosmetic impregnated into impregnated body,0,A45D|A61K|A61Q
10973848,2021-04-13,Compositions and methods for treating conditions of compromised skin barrier function,3,A61K|A61P
10959920,2021-03-30,Oil-in-water type emulsion cosmetic,0,A61K|A61Q
10945942,2021-03-16,Starting material for cosmetics,0,A61K|A61Q
10943279,2021-03-09,"Systems, methods and apparatus for producing customized topical agents",4,A61K|A61Q|B01F|B65D|G06Q|G07F
10940104,2021-03-09,Oil in water type solid cosmetic,0,A61K|A61Q
10918661,2021-02-16,Skin compositions and methods of use thereof,3,A61K|A61L|A61P|A61Q
10918590,2021-02-16,Fat stem cell attractant-containing agent for improving skin looseness or aging caused by dermal cavitation,0,A61K|A61Q
10907208,2021-02-02,Method for screening agents promoting skin barrier function and method for evaluating skin barrier function taking epidermal serine racemase and/or D-serine level as indicator,0,A61K|A61Q|C12Q|G01N
