patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428485,2025-09-30,Compositions and methods to block and bind CCR2 to modulate cellular function,0,A61K|A61P|C07K
12397016,2025-08-26,Sulfated oligosaccharides having anti-inflammatory activity,0,A61K|A61P
12390421,2025-08-19,"Zwitterionic dendritic amphiphiles, zwitterionic dendrimers, zwitterionic telodendrimers, nanocarriers comprising same, and methods of making and using same",0,A61K|B82Y|C08G|C09D
12371693,2025-07-29,5-halouracil-modified micrornas and their use in the treatment of cancer,0,A61K|A61P|C07H|C12N
12366574,2025-07-22,Keratin 17 as a biomarker for bladder cancer,0,A61K|C12Q|G01N
12331320,2025-06-17,Genome edited cancer cell vaccines,0,A61K|A61P|C12N
12325678,2025-06-10,Anti-fungals compounds targeting the synthesis of fungal sphingolipids,0,A01N|A61K|A61P|C07C|C07D
12319913,2025-06-03,5-halouracil-modified microRNAs and their use in the treatment of cancer,0,A61K|A61P|C12N
12318463,2025-06-03,Compositions and methods for treating canker sores,0,A61K|A61P|A61Q
12298291,2025-05-13,Nitrogen sensor apparatus for simultaneously measuring nitrate/nitrite and ammonium in wastewater and method of operating same,0,C02F|G01N
12285437,2025-04-29,Reversing the undesirable pH-profile of doxorubicin via activation of a disubstituted maleamic acid prodrug at tumor acidity,0,A61K|A61P
12285426,2025-04-29,Combination serotonin specific reuptake inhibitor and serotonin 1A receptor partial agonist for reducing L-DOPA-induced dyskinesia,0,A61K|A61P
12269803,2025-04-08,Krüppel-like factor 15 (KLF15) small molecule agonists in kidney disease,0,A61K|C07C|C07D|C07F
12258561,2025-03-25,Compositions and methods to promote bone formation and their uses including for the treatment of cancer,0,A61K|A61P|C12N
12257326,2025-03-25,TCO conjugates and methods for delivery of therapeutic agents,0,A61K|A61P|C07D|C07H
12220874,2025-02-11,Enhanced non-destructive testing in directed energy material processing,0,B22F|B29C|B33Y|G01N|G06N|Y02P
12195803,2025-01-14,Methods and materials for assessing and treating cancer,0,C12Q|G01N
12194023,2025-01-14,Compositions and methods for modular control of bioorthogonal ligation,0,A61K|C07D|Y02P
12189449,2025-01-07,Energy aware processing load distribution system and method,0,A61K|B03B|G05D|G06F|G06K|H04L|H05K|Y02D
12186428,2025-01-07,Combination taxoid nanoemulsion with immunotherapy in cancer,0,A61K|A61P|C07K
12178846,2024-12-31,Methods of using gap junctions as therapeutic targets for the treatment of degenerative disorders of the retina,0,A61K|C12N
12161687,2024-12-10,Compositions targeting the interaction domain between p27KIP1 and Brk and methods of use thereof to inhibit p27 Y phosphorylation and cdk4 activity,0,A61K|A61P|C07K|C12Q|C12Y|G01N
12146790,2024-11-19,Terahertz three-dimensional spectral scanner apparatus and method of using same,0,G01J|G01N|G02B
12135598,2024-11-05,Apparatus and method for efficient estimation of the energy dissipation of processor based systems,0,A61K|B03B|G05D|G06F|G06K|H04L|H05K|Y02D
12077807,2024-09-03,Compositions and methods for analyte detection using nanoswitches,0,C12Q|G01N
12077795,2024-09-03,Method for biocatalytic protein-oligonucleotide conjugation,0,A61K|C07K|C12N|C12P|C12Y
12077610,2024-09-03,Peptides and other agents for treating pain and increasing pain sensitivity,0,A61K|A61P|C07K|C12Y
12059413,2024-08-13,Methods of inhibiting viruses using compositions targeting TSG101-ubiquitin interaction,0,A61K|A61P|G01N|Y02A
12054749,2024-08-06,Attenuation of human respiratory syncytial virus by genome scale codon-pair deoptimization,0,A61K|C07K|C12N
12018003,2024-06-25,Substituted pyrimidines as matrix metalloproteinase-9 hemopexin domain inhibitors,0,A61P|C07D
12016657,2024-06-25,Devices and methods for photoacoustic tomography,0,A61B|G01N|H04R
12006351,2024-06-11,Compositions and methods for modifying activity of extracellular MMP-2,0,A61K|C07K
11959140,2024-04-16,Method for monitoring metabolism before and after exercise or injury using salivary micro-RNAs,0,C12Q
11953479,2024-04-09,Selective optical aqueous and non-aqueous detection of free sulfites,0,C07D|G01N
11952328,2024-04-09,Selective ship inhibitors for treating disease,0,A61P|C07C|C07D
11932878,2024-03-19,"Metabolically competent cells, methods of making, and uses thereof",0,C12N|C12Y|G01N
11918822,2024-03-05,Compositions and methods for enhancing the biological response to chemical agents and physical stimuli,0,A61M|A61N|C12N
11918570,2024-03-05,Method of treatment for prevention of glucocorticoid toxicity and/or enhancement of muscle regeneration via neutrophil elastase inhibition,0,A61K|A61P
11912646,2024-02-27,Transmembrane pores formed by aromatic oligoamide foldamers and uses of same,0,A61K|B82Y|C07C|C08G
11911763,2024-02-27,Microfluidic device and methods,0,B01L|C12M|F04B|G01N
11886914,2024-01-30,Energy efficient scheduling for computing systems and method therefor,0,A61K|B03B|G05D|G06F|G06K|H04L|H05K|Y02D
11865137,2024-01-09,Sulfated oligosaccharides having anti-inflammatory activity,1,A61K|A61P
11858880,2024-01-02,Anti-fungals compounds targeting the synthesis of fungal sphingolipids,1,A01N|A61K|A61P|C07C|C07D
11857352,2024-01-02,Positron imaging tomography imaging agent composition and method for bacterial infection,0,A61B|A61K|A61P|C07B|C07C
11814626,2023-11-14,Compositions and methods for loading extracellular vesicles with chemical and biological agents/molecules,0,A61K|C12N
11792566,2023-10-17,Directional microphone and system and method for capturing and processing sound,0,B06B|G01N|G10L|H04R|H04S
11771672,2023-10-03,Use of 2-hydroxyoleic acid for the treatment of systemic lupus erythematosus and other immune pathologies,0,A61K|A61P|Y02A
11768193,2023-09-26,System and method for characterizing the equibiaxial compressive strength of 2D woven composites,0,B29C|B32B|G01L|G01N
11739047,2023-08-29,Alpha-truxillic acid derivatives and pharmaceutical compositions thereof,0,A61P|C07C|C07D
11725026,2023-08-15,Compositions and methods for inhibiting lactate dehydrogenase a activity,0,A61K|C07K|C12N
11701328,2023-07-18,Phosphoserine containing compositions for immune tolerance induction,0,A61K|C12Y
11685951,2023-06-27,Biomarkers for intracranial aneurysm,0,C12Q|G01N|Y02A
11684555,2023-06-27,Compositions and methods for treating canker sores,1,A61K|A61P|A61Q
11649326,2023-05-16,"Functional, segregated, charged telodendrimers and nanocarriers and methods of making and using same",0,A61K|A61P|C08G
11643394,2023-05-09,Krüppel-like factor 15 (KLF15) small molecule agonists in kidney disease,0,A61K|C07C|C07D|C07F
11617741,2023-04-04,Method for inhibiting growth of bacteria,0,A01N|A01P|A61K|A61P|A61Q
11612888,2023-03-28,Biomarker detection device,0,B01D|B01L|G01N
11608309,2023-03-21,Curcumin analogues as zinc chelators and their uses,0,A61P|C07C|C07D|C12N|C12Y
11584932,2023-02-21,5-halouracil-modified microRNAs and their use in the treatment of cancer,0,A61K|A61P|C07H|C12N
11567084,2023-01-31,Microwave enhanced enzymatic reactor for proteomics by mass spectrometry,0,B01J|C12Q|G01N|H01J
11549101,2023-01-10,Attenuated influenza viruses and vaccines,0,A61K|A61P|C12N
11541110,2023-01-03,Comprehensive vaccine design for commensal disease progression,0,A61K
11541105,2023-01-03,Compositions and methods for disrupting biofilm formation and maintenance,0,A01N|A61K|C12N|C12R|C12Y
11535649,2022-12-27,Peptides and other agents for treating pain and increasing pain sensitivity,1,A61K|A61P|C07K|C12Y
