patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421510,2025-09-23,"Peptide, a complex and a method for treating cancer",0,A61K|A61P|C07K|C12N
12415985,2025-09-16,"Culture media, cell cultures and methods of culturing pluripotent stem cells in an undifferentiated state",0,C12N
12405222,2025-09-02,"Means and methods for detection and characterization of spectrally structured, continuously changing, diffuse radiation sources",0,G01J|G01N|G16C
12391918,2025-08-19,Media for culturing stem cells,0,C12N
12364706,2025-07-22,Modified aminoglycoside compounds and uses thereof in disabling bacterial ribosome,0,A61K|A61P|C07H
12344899,2025-07-01,Compositions and methods for therapeutics prescreening,0,A61K|A61P|C12Q
12344886,2025-07-01,Compositions and methods for detection of genomic variations,0,C12Q|G01N
12329784,2025-06-17,Gut microbiota and treatment of cancer,0,A01K|A61K|A61P|C07K
12313576,2025-05-27,Measurement of coating thermal properties by induction radiometry,0,F01D|F05D|G01J|G01N|H05B|Y02T
12274678,2025-04-15,Cannabinoids and uses thereof,0,A61K|A61P
12247231,2025-03-11,Bee-less honey,0,A23L|C12N|C12P|C12Y|C13K
12217884,2025-02-04,Protein-based films,0,C07K|H01B|H10K|Y02E
12201628,2025-01-21,Neuronal modulation,0,A61K|A61N|A61P
12196699,2025-01-14,Chemically sensitive sensor comprising micro-barrier and method of fabrication thereof,0,B82Y|C01G|C01P|G01N|G03F
12186454,2025-01-07,Scaffolds fabricated from electrospun decellularized extracellular matrix,0,A61K|A61L|A61P
12168265,2024-12-17,Nanopore fabrication,0,B01D|B23K|G01B|G01N
12165070,2024-12-10,DNA-based neural network,0,C12N|G06N|H03M
12163120,2024-12-10,Mycelium-containing hybrid materials,0,A01G|C08L|C12N
12116611,2024-10-15,"Method of treating intellectual disability, autism and epilepsy associated with an IQSEC2 mutation and for identifying medicaments for treating the same",0,A01K|A61K|A61P|C07K|C12N|C12Q|G01N
12098409,2024-09-24,Probiotic bacteria for yeast bioethanol production,0,C12N|C12P|C12R|C12Y|Y02E
12084523,2024-09-10,Ubiquitin high affinity cyclic peptides and methods of use thereof,0,A61K|A61P|C07K
12083215,2024-09-10,Targeted delivery of aerosols of magnetized active agents,0,A61K|A61M|A61N
12064239,2024-08-20,Device and methods for detection and monitoring of tuberculosis,0,A61B|G01N
12060575,2024-08-13,Methods of expanding embryonic stem cells in a suspension culture,1,C12N
12053548,2024-08-06,Liposomal compositions and uses of same,0,A61K|C12N
12043641,2024-07-23,Minimally-invasive continuous clinical monitoring of small molecules with analytical accuracy,0,A61F|C07D|C07F|G01N|G01R
11992557,2024-05-28,Collagenase loaded liposomes for enhancing drug delivery,0,A61K|A61P|C12Y
11977021,2024-05-07,Phase modulated pulse interferometry for multi-channel ultrasound detection,0,G01H|G01N
11970416,2024-04-30,Bio-clays composites for aldehyde remediation,0,C02F|C12N|Y02W
11965850,2024-04-23,Biomimetic sensing platform unit,1,G01K|G01L|G01N
11959098,2024-04-16,Methods and culture media for culturing pluripotent stem cells,1,C12N
11916148,2024-02-27,Multi-functional field effect transistor with intrinsic self-healing properties,0,B82Y|G01N|H10D|H10K
11911373,2024-02-27,Attention evaluation and methods for medicating,0,A61B|A61K
11906498,2024-02-20,Swab composition for detection of molecules/explosives on a surface,0,C09K|D01D|D01F|G01N
11865128,2024-01-09,Aminoglycosides and uses thereof in treating genetic disorders,0,A61K|A61P|B65D|C07H
11833188,2023-12-05,Methods and compositions for preventing or treating cancer,0,A61K|A61P|C07K
