patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431216,2025-09-30,Methods for identifying class 2 crispr-cas systems,0,C07K|C12N|G16B
12428373,2025-09-30,Dopamine D2 receptor ligands,0,A61P|C07D|C07K
12422399,2025-09-23,"Systems, devices, and methods for gas sensing",0,B82Y|G01N
12422394,2025-09-23,Devices and methods including a preconcentrator material for detection of analytes,0,B82Y|G01N
12421557,2025-09-23,Methods for predicting outcomes and treating colorectal cancer using a cell atlas,0,A61K|C12Q|G01N|Y02A
12421506,2025-09-23,"Engineering of systems, methods and optimized guide compositions with new architectures for sequence manipulation",0,C12N|C12Y
12419940,2025-09-23,Compositions and methods for modified dendrimer nanoparticle delivery,0,A61K|A61P|B82Y|C12N|Y02A
12419915,2025-09-23,Microglial progenitors for regeneration of functional microglia in the central nervous system and therapeutics uses thereof,0,A61K|C12N
12415000,2025-09-16,CRISPR system based antiviral therapy,0,A61K|C12N
12414997,2025-09-16,Brush prodrugs and uses thereof,0,A61K|C07F|C08G|C08L
12410468,2025-09-09,CRISPR enzymes and systems,0,C12N|C12Q
12410447,2025-09-09,Engineered muscle targeting compositions,0,A61K|A61P|C07K|C12N
12410435,2025-09-09,Compositions and methods of use of CRISPR-Cas systems in nucleotide repeat disorders,0,A01K|A61K|A61P|B82Y|C12N|C12Y|Y02A
12410416,2025-09-09,CRISPR enzymes and systems with modified pam specificity,0,C12N
12410392,2025-09-09,Delivery of biomolecules to immune cells,0,A61K|A61P|C12M|C12N|G01N
12409249,2025-09-09,Compositions and methods for immune tolerance,0,A61K|A61L|A61P|C12N|Y02A
12406749,2025-09-02,Systems and methods for predicting repair outcomes in genetic engineering,0,A61K|C12N|G16B
12405193,2025-09-02,Iterative direct expansion microscopy,0,G01N
12404514,2025-09-02,CRISPR-systems for modifying a trait of interest in a plant,0,C12N
12402610,2025-09-02,Methods and compositions for modulating innate lymphoid cell pathogenic effectors,0,A01K|A61K|C12N|C12Q|G01N
12398355,2025-08-26,Micro physiological model for neuronal and muscular diseases and disorders,0,A61K|B01L|C12M|C12N|G01N
12396996,2025-08-26,"Compounds, pharmaceutical compositions, and methods of their use in reversing cancer chemoresistance",0,A61K|A61P|C07D
12390537,2025-08-19,Compositions of polymeric microdevices and methods of use thereof in cancer immunotherapy,0,A61K|A61P|B82Y|C07K
12390528,2025-08-19,Conjugated lipomers and uses thereof,0,A61K|A61P|C07D|C08G|C12N
12385085,2025-08-12,Preparation of templates for methylation analysis,0,C12Q
12385033,2025-08-12,High-resolution spatial macromolecule abundance assessment,0,C12N|C12Q
12385024,2025-08-12,Applications of engineered streptococcus canis Cas9 variants on single-base PAM targets,0,C12N
12384818,2025-08-12,Cyclin-dependent kinase 5 (CDK5) inhibitory peptides,0,A61K|C07K|C12N|C12Y
12383589,2025-08-12,Synthetic oncolytic LNP-replicon RNA and uses for cancer immunotherapy,0,A61K|A61P|C07K|C12N
12383495,2025-08-12,Resident articles for gram-level dosing,0,A61B|A61K|A61M
12379380,2025-08-05,Single-molecule protein and peptide sequencing,0,G01N
12377153,2025-08-05,Poly(beta-thioester) polymers and polymeric nanoparticles,0,A61K|A61P|B82Y|C08F|C08L|C09D
12377037,2025-08-05,Cleavable comonomer strategy for accelerating removal of gel nail polish,0,A61K|A61Q
12371737,2025-07-29,CRISPR enzymes and systems,0,C12N|C12Q
12371460,2025-07-29,Glycan-binding proteins and related compositions and methods,0,C07K
12370261,2025-07-29,Chimeric peptides for antisense delivery,0,A61K|A61P|C12N
12364431,2025-07-22,Systems and methods for lymph node and vessel imaging,0,A61B|G01N|G06T
12360428,2025-07-15,Melanin-peptide-based photonic materials,0,C07K|C09B|G02F
12357802,2025-07-15,Self-actuating articles,0,A61B|A61J|A61K|A61M|A61N
12351615,2025-07-08,Cell body targeted sensors,0,A61B|C07K|C12N|G01N
12350368,2025-07-08,Delivery of large payloads,0,A61K|C12N
12350290,2025-07-08,Compositions and methods that promote hypoxia or the hypoxia response for treatment and prevention of mitochondrial dysfunction and oxidative stress disorders,0,A61K|A61M|A61P|C07K|C12N|G01N
12345669,2025-07-01,Ethylene sensor,0,G01N|Y10T
12344877,2025-07-01,"Synell creation, evolution, and digital transmission",0,C12N|C12P
12344838,2025-07-01,CPF1 complexes with reduced indel activity,0,C12N|C12Y
12343443,2025-07-01,Dry double-sided material for adhesion of wet tissues and devices,0,A61B|A61F|A61K|A61L|B32B|C08K|C09J
12338486,2025-06-24,Single-stranded break detection in double-stranded DNA,0,C12N|C12Q
12331319,2025-06-17,Respiratory and sweat gland ionocytes,0,A61K|A61P|C12N|G01N
12331298,2025-06-17,Phosphorylation-based miRNA sensor,0,C07K|C12N|C12Q|C12Y
12331089,2025-06-17,Channelrhodopsins for optical control of cells,0,A61K|A61N|C07K|C12N|G01N
12330154,2025-06-17,Reaction circuit design in microfluidic circuits,0,B01J|B01L|C12N|C12Q|F04B|F16K
12320801,2025-06-03,Methods to spatially profile protease activity in tissue and sections,0,A61K|C07K|C12N|C12Q|G01N
12312583,2025-05-27,MicroRNA-based logic gates and uses thereof,0,C12N|C12Q
12305204,2025-05-20,CRISPR enzymes and systems,0,C12N|G16B
12303566,2025-05-20,Immunostimulatory compositions and methods of use thereof,0,A61K|A61P|Y02A
12297506,2025-05-13,High performance multi-input microRNA sensors and uses thereof,0,A61K|C12N|C12Q
12297436,2025-05-13,"Systems, methods, and compositions for targeted nucleic acid editing",0,C12N|C12Y
12297433,2025-05-13,Targeted trans-splicing using CRISPR/Cas13,0,C12N
12296127,2025-05-13,Intravesical drug delivery devices,0,A61F|A61K|A61M|A61P
12295986,2025-05-13,"Combination immunotherapy for treatment of melanoma, colon or non-small cell lung cancers",0,A61K|A61P|C07K
12288131,2025-04-29,Quantum computing architecture based on entangled fermions,0,G01N|G06N|G21K
12287336,2025-04-29,"Protein for rapid, efficient capture of antigens",0,C07K|G01N
12286646,2025-04-29,Methods for in vitro evolution of constructs derived from viruses,0,A61K|C12N
12285440,2025-04-29,APOE4 impairs myelination via altered cholesterol biosynthesis and transport in oligodendroglia,0,A61K|A61P
12281301,2025-04-22,Sequencing-based proteomics,0,C12N
