patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428649,2025-09-30,Methods and compositions for making and using compatible insecticidal proteins,0,C07K|C12N|G01N
12428647,2025-09-30,Plant regulatory elements and uses thereof,0,C12N|C12Y|Y02A
12421521,2025-09-23,Transgenic plants with enhanced traits,0,C07K|C12N|Y02A
12408674,2025-09-09,Methods and compositions for controlling plant viral infection,0,A01H|A01N|C12N
12404520,2025-09-02,Insect inhibitory proteins,0,A01N|C07K|C12N|Y02A
12398401,2025-08-26,Lepidopteran-active Cry1Da1 amino acid sequence variant proteins,0,A01N|C07K|C12N|Y02A
12392000,2025-08-19,Methods and compositions for producing brachytic corn plants,0,A01H|C12Q
12391932,2025-08-19,RNA-guided DNA nucleases and uses thereof,0,C07K|C12N
12385060,2025-08-12,Compositions and methods for improving crop yields through trait stacking,0,A01H|C07K|C12N|C12Y
12378571,2025-08-05,Use of glyphosate for disease suppression and yield enhancement in soybean,0,A01N|C12N
12371700,2025-07-29,Intergenic sequence regions and uses thereof,0,C12N|Y02A
12371695,2025-07-29,Methods and compositions to promote targeted genome modifications using HUH endonucleases,0,C07K|C12N|C12Q
12359216,2025-07-15,Methods and compositions for short stature plants through manipulation of gibberellin metabolism to increase harvestable yield,0,C12N|Y02A
12331329,2025-06-17,Genome editing in plants,0,C12N
12331305,2025-06-17,Plant regulatory elements and uses thereof,0,C12N|Y02A
12324437,2025-06-10,Insect inhibitory proteins,0,A01N|C07K|C12N|C12Q|Y02A
12319922,2025-06-03,Methods and compositions for short stature plants through manipulation of gibberellin metabolism to increase harvestable yield,0,C12N|Y02A
12319716,2025-06-03,Proteins toxic to Hemipteran insect species,0,A01N|C07K|C12N|Y02A
12317853,2025-06-03,Soybean cultivar 94112440,0,A01H|C12N
12310371,2025-05-27,Insect inhibitory proteins,0,A01N|A01P|C07K|C12N|C12Q|G01N|Y02A
12305182,2025-05-20,Soybean transgenic event MON 87708 and methods of use thereof,0,A23D|A23L|C12N|C12Q|C12Y|Y02A
12305178,2025-05-20,Plant regulatory elements and uses thereof,0,C07K|C12N|Y02A
12298252,2025-05-13,"Automated systems for removing tissue samples from seeds, and related methods",0,G01N
12275944,2025-04-15,Compositions and methods for genome editing in planta,0,C12N
12274225,2025-04-15,Soybean cultivar 12340924,0,A01H|C12N
12274205,2025-04-15,Delayed harvest of short stature corn plants,0,A01B|A01D|A01H|C12N
12268173,2025-04-08,Soybean cultivar 17050534,0,A01H|C12N
12264182,2025-04-01,Chimeric insecticidal proteins toxic or inhibitory to lepidopteran pests,0,A01N|C07K|C12N|Y02A
12258569,2025-03-25,Transgenic plants with enhanced traits,0,C12N|Y02A
12256685,2025-03-25,Cross pollination through liquid-mediated delivery of pollen to enclosed stigmas of flowers from recipient plants,0,A01H|C12N|C12Q
12252696,2025-03-18,Cotton transgenic event MON 88701 and methods of use thereof,1,A01N|C12N
12247966,2025-03-11,System and method for automated phenotyping of shattered seed pods,0,A01D|G01N|G01V
12241074,2025-03-04,Genome editing-based crop engineering and production of brachytic plants,0,A01H|C07K|C12N|Y02A
12240874,2025-03-04,Pesticidal toxin proteins active against Lepidopteran insects,0,A01N|C07K|C12N|Y02A
12239087,2025-03-04,Soybean cultivar 17111743,0,A01H|C12N
12234471,2025-02-25,Insect inhibitory proteins,0,A01N|C07K|C12N|C12Q|G01N|Y02A
12225871,2025-02-18,Soybean cultivar 15341968,0,A01H|C12N
12207656,2025-01-28,Microbial compositions and methods,0,A01C|A01N|C12N|C12R
12207614,2025-01-28,Soybean cultivar 15280717,0,A01H|C12N
12196648,2025-01-14,"Automated contamination-free seed sampler and methods of sampling, testing and bulking seeds",0,A01C|A01G|B26D|G01N
12195736,2025-01-14,Methods for plant transformation using spectinomycin selection,0,A01H|C12N|C12R|C12Y|G01N
